code;name
2441502;Production of aluminum laminates
2442300;Metallurgy of precious metals
2443100;copper metallurgy
2449101;Production of zinc in primary forms
2449102;Production of zinc laminates
2449103;Production of solders and anodes for electroplating
2449199;Metallurgy of other nonferrous metals and their alloys not otherwise specified
2449199;Metallurgy of other nonferrous metals and their alloys not otherwise specified
2451200;Iron and steel foundry
2452100;Casting of nonferrous metals and their alloys
2511000;Manufacture of metallic structures
2512800;Manufacture of metal frames
2513600;Manufacture of heavy boiler works
2521700;Manufacture of tanks, metallic reservoirs and boilers for central heating
2522500;Manufacture of steam generating boilers, except for central heating and for vehicles
2531401;Production of steel forgings
2531402;Production of nonferrous metal forgings and their alloys
2532201;Production of stamped metal artifacts
2532202;powder metallurgy
2539000;Machining, welding, treatment and coating services for metals
2541100;Manufacture of cutlery items
2542000;Manufacture of locksmith articles, except frames
2543800;tool making
2543800;tool making
2550101;Manufacture of heavy war equipment, except military combat vehicles
2550102;Manufacture of firearms and ammunition
2591800;Manufacture of metal packaging
2592601;Manufacture of standardized metal drawn products
2592602;Manufacture of drawn metal products, except standardized
2593400;Manufacture of metal articles for domestic and personal use
2599301;Services for the manufacture of metal frames for construction
2599399;Manufacture of other metal products not otherwise specified
2610800;Electronic component manufacturing
2621300;IT equipment manufacturing
2622100;Manufacture of peripherals for computer equipment
2631100;Manufacture of communication transmitter equipment, parts and accessories
2632900;Manufacture of telephone sets and other communication equipment, parts and accessories
2632900;Manufacture of telephone sets and other communication equipment, parts and accessories
2640000;Manufacture of equipment for receiving, reproducing, recording and amplifying audio and video
2651500;Manufacture of measurement, test and control apparatus and equipment
2651500;Manufacture of measurement, test and control apparatus and equipment
2652300;Manufacture of chronometers and watches
2660400;Manufacture of electromedical and electrotherapeutic devices and irradiation equipment
2660400;Manufacture of electromedical and electrotherapeutic devices and irradiation equipment
2670101;Manufacture of optical equipment and instruments, parts and accessories
2670102;Manufacture of photographic and cinematographic apparatus, parts and accessories
2680900;Manufacture of virgin, magnetic and optical media
2710401;Manufacture of direct and alternating current generators, parts and accessories
2710402;Manufacture of transformers, inductors, converters, synchronizers and the like, parts and accessories
2710403;Manufacture of electric motors, parts and accessories
2721000;Manufacture of cells, batteries and electric accumulators, except for motor vehicles
2722801;Manufacture of batteries and accumulators for motor vehicles
2722802;Reconditioning of batteries and accumulators for motor vehicles
2731700;Manufacture of apparatus and equipment for distribution and control of electrical energy
2732500;Manufacture of electrical material for installations in consumer circuits
2733300;Manufacture of wires, cables and insulated electrical conductors
2733300;Manufacture of wires, cables and insulated electrical conductors
2740601;light bulb manufacturing
2740602;Manufacture of luminaires and other lighting equipment
2751100;Manufacture of stoves, refrigerators and washing and drying machines for domestic use, parts and accessories
2759701;Manufacture of electrical appliances for personal use, parts and accessories
2759799;Manufacture of other not otherwise specified household appliances, parts and accessories
2790201;Manufacture of electrodes, contacts and other articles of carbon and graphite for electrical use, electromagnets and insulators
2790202;Manufacture of signaling and alarm equipment
2790299;Manufacture of other electrical equipment and appliances not otherwise specified
2790299;Manufacture of other electrical equipment and appliances not otherwise specified
2811900;Manufacture of engines and turbines, parts and accessories, except for aircraft and road vehicles
2812700;Manufacture of hydraulic and pneumatic equipment, parts and accessories, except valves
2813500;Manufacture of valves, valves and similar devices, parts and accessories
2814301;Manufacture of compressors for industrial use, parts and accessories
2814302;Manufacture of compressors for nonindustrial use, parts and accessories
2815101;Manufacture of bearings for industrial purposes
2815102;Manufacture of transmission equipment for industrial purposes, except bearings
2821601;Manufacture of industrial furnaces, nonelectric appliances and equipment for thermal installations, parts and accessories
2821602;Manufacture of electric stoves and ovens for industrial purposes, parts and accessories
2822401;Manufacture of machinery, equipment and devices for transporting and lifting people, parts and accessories
2822402;Manufacture of machinery, equipment and apparatus for transporting and lifting loads, parts and accessories
2823200;Manufacture of refrigeration and ventilation machines and equipment for industrial and commercial use, parts and accessories
2824101;Manufacture of air conditioning apparatus and equipment for industrial use
2824102;Manufacture of air conditioning apparatus and equipment for nonindustrial use
2825900;Manufacture of machines and equipment for basic and environmental sanitation, parts and accessories
2829101;Manufacture of typewriters, calculators and other nonelectronic office equipment, parts and accessories
2829101;Manufacture of typewriters, calculators and other nonelectronic office equipment, parts and accessories
2829199;Manufacture of other machines and general purpose equipment not previously specified, parts and accessories
2829199;Manufacture of other machines and general purpose equipment not previously specified, parts and accessories
2831300;Manufacture of agricultural tractors, parts and accessories
2832100;Manufacture of agricultural irrigation equipment, parts and accessories
2833000;Manufacture of machinery and equipment for agriculture and livestock, parts and accessories, except for irrigation
2840200;Manufacture of machine tools, parts and accessories
2851800;Manufacture of machinery and equipment for prospecting and extracting oil, parts and accessories
2852600;Manufacture of other machinery and equipment for use in mineral extraction, parts and accessories, except for oil extraction
2853400;Manufacture of tractors, parts and accessories, except agricultural
2854200;Manufacture of machinery and equipment for earthmoving, paving and construction, parts and accessories, except tractors
2854200;Manufacture of machinery and equipment for earthmoving, paving and construction, parts and accessories, except tractors
2861500;Manufacture of machines for the metallurgical industry, parts and accessories, except machine tools
2862300;Manufacture of machinery and equipment for the food, beverage and tobacco industries, parts and accessories
2863100;Manufacture of machinery and equipment for the textile industry, parts and accessories
2864000;Manufacture of machinery and equipment for the clothing, leather and footwear industries, parts and accessories
2865800;Manufacture of machinery and equipment for the pulp, paper and cardboard industries and artifacts, parts and accessories
2866600;Manufacture of machinery and equipment for the plastics industry, parts and accessories
2869100;Manufacture of machines and equipment for specific industrial use not previously specified, parts and accessories
2910701;Manufacture of cars, vans and SUVs
2910702;Manufacture of chassis with engine for cars, vans and SUVs
2910703;Manufacture of engines for cars, vans and SUVs
2920401;Truck and bus manufacturing
2920402;Manufacture of engines for trucks and buses
2930101;Manufacture of cabins, bodies and trailers for trucks
2930102;Manufacture of bus bodies
2930103;Manufacture of cabins, bodies and trailers for other motor vehicles, except trucks and buses
2941700;Manufacture of parts and accessories for the engine system of motor vehicles
2942500;Manufacture of parts and accessories for the gear and transmission systems of motor vehicles
2943300;Manufacture of parts and accessories for the brake system of motor vehicles
2944100;Manufacture of parts and accessories for the steering and suspension system of motor vehicles
2945000;Manufacture of electrical and electronic material for motor vehicles, except batteries
2949201;Manufacture of seats and upholstery for motor vehicles
2949299;Manufacture of other parts and accessories for motor vehicles not previously specified
2950600;Reconditioning and recovery of engines for motor vehicles
3011301;Construction of large vessels
3011302;Construction of vessels for commercial use and for special uses, except for large vessels
3012100;Construction of boats for sport and leisure
3031800;Manufacture of locomotives, wagons and other rolling stock
3032600;Manufacture of parts and accessories for railway vehicles
3041500;aircraft manufacturing
3042300;Manufacture of turbines, engines and other components and parts for aircraft
3050400;Manufacture of military combat vehicles
3091100;Manufacture of motorcycles, parts and accessories
3092000;Manufacture of nonmotorized bicycles and tricycles, parts and accessories
3092000;Manufacture of nonmotorized bicycles and tricycles, parts and accessories
3099700;Manufacture of transport equipment not otherwise specified
3101200;Manufacture of furniture with a predominance of wood
3102100;Manufacture of furniture with a predominance of metal
3102100;Manufacture of furniture with a predominance of metal
3103900;Manufacture of furniture from other materials, except wood and metal
3104700;mattress manufacturing
3211601;gem cutting
3211602;Manufacture of jewelery and goldsmith artifacts
3211603;Minting of coins and medals
3212400;Manufacture of costume jewelery and similar artifacts
3220500;Manufacture of musical instruments, parts and accessories
3230200;Manufacture of artifacts for fishing and sport
3240001;Electronic game manufacturing
3240002;Manufacture of pool tables, pool tables and accessories not associated with the lease
3240003;Manufacture of pool tables, pool tables and accessories associated with the lease
3240099;Manufacture of other toys and recreational games not otherwise specified
3250701;Manufacture of nonelectronic instruments and utensils for medical, surgical, dental and laboratory use
3250701;Manufacture of nonelectronic instruments and utensils for medical, surgical, dental and laboratory use
3250702;Manufacture of furniture for medical, surgical, dental and laboratory use
3250703;Manufacture of devices and utensils for the correction of physical defects and orthopedic devices in general to order
3250704;Manufacture of devices and utensils for correcting physical defects and orthopedic devices in general, except to order
3250705;Manufacture of materials for medicine and dentistry
3250706;Dental prosthesis services
3250707;Manufacture of optical articles
3250707;Manufacture of optical articles
3250707;Manufacture of optical articles
3250708;Manufacture of nonwoven fabric artifacts for dentalmedicalhospital use
3291400;Manufacture of brushes, brushes and brooms
3292201;Manufacture of protective and safety and fire resistant clothing
3292201;Manufacture of protective and safety and fire resistant clothing
3292202;Manufacture of equipment and accessories for personal and professional safety
3292202;Manufacture of equipment and accessories for personal and professional safety
3292202;Manufacture of equipment and accessories for personal and professional safety
3292202;Manufacture of equipment and accessories for personal and professional safety
3299001;Manufacture of umbrellas and similar
3299002;Manufacture of pens, pencils and other office supplies
3299003;Manufacture of letters, signs and plates of any material, except luminous ones
3299003;Manufacture of letters, signs and plates of any material, except luminous ones
3299004;Manufacture of illuminated panels and signs
3299005;Manufacturing of trimmings for sewing
3299099;Manufacture of miscellaneous products not otherwise specified
3311200;Maintenance and repair of tanks, metallic reservoirs and boilers, except for vehicles
3311200;Maintenance and repair of tanks, metallic reservoirs and boilers, except for vehicles
3312102;Maintenance and repair of measuring, testing and control apparatus and instruments
3312102;Maintenance and repair of measuring, testing and control apparatus and instruments
3312103;Maintenance and repair of electromedical and electrotherapeutic devices and irradiation equipment
3312104;Maintenance and repair of optical equipment and instruments
3313901;Maintenance and repair of generators, transformers and electric motors
3313901;Maintenance and repair of generators, transformers and electric motors
3313901;Maintenance and repair of generators, transformers and electric motors
3313902;Maintenance and repair of batteries and electric accumulators, except for vehicles
3313999;Maintenance and repair of electrical machines, devices and materials not otherwise specified
3314701;Maintenance and repair of nonelectric prime movers
3314702;Maintenance and repair of hydraulic and pneumatic equipment, except valves
3314703;Maintenance and repair of industrial valves
3314704;Compressor maintenance and repair
3314705;Maintenance and repair of transmission equipment for industrial purposes
3314706;Maintenance and repair of machines, apparatus and equipment for thermal installations
3314706;Maintenance and repair of machines, apparatus and equipment for thermal installations
3314707;Maintenance and repair of refrigeration and ventilation machines and apparatus for industrial and commercial use
3314708;Maintenance and repair of machines, equipment and apparatus for transporting and lifting loads
3314708;Maintenance and repair of machines, equipment and apparatus for transporting and lifting loads
3314709;Maintenance and repair of typewriters, calculators and other nonelectronic office equipment
3314710;Maintenance and repair of machines and equipment for general use not previously specified
3314711;Maintenance and repair of machinery and equipment for agriculture and livestock
3314712;Maintenance and repair of agricultural tractors
3314713;Machine tool maintenance and repair
3314714;Maintenance and repair of machinery and equipment for prospecting and extracting oil
3314715;Maintenance and repair of machinery and equipment for use in mineral extraction, except for petroleum extraction
3314716;Maintenance and repair of tractors, except agricultural
3314716;Maintenance and repair of tractors, except agricultural
3314717;Maintenance and repair of earthmoving, paving and construction machinery and equipment, except tractors
3314717;Maintenance and repair of earthmoving, paving and construction machinery and equipment, except tractors
3314718;Maintenance and repair of machines for the metallurgical industry, except machine tools
3314719;Maintenance and repair of machinery and equipment for the food, beverage and tobacco industries
3314720;Maintenance and repair of machinery and equipment for the textile, clothing, leather and footwear industry
3314720;Maintenance and repair of machinery and equipment for the textile, clothing, leather and footwear industry
3314721;Maintenance and repair of machines and devices for the pulp, paper and cardboard industry and artifacts
3314722;Maintenance and repair of machinery and equipment for the plastics industry
