name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,dissolution_date,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,category_survey_email_address,date_of_organization_meeting,reason_for_administrative,mailing_international_address,office_jurisdiction_3
"KRYOLA BLISS ENTERPRISES, LLC",LLC,Active,Annual report past due,1345727,2021-03-31,105 WILBAR DRIVE,STRATFORD,United States,06614,CT,CMAIO@KRYOLABLISS.COM,Domestic,2020-06-01,CT,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
INFINITE GAINS LLC,LLC,Active,Annual report past due,1345729,2021-03-31,391 MAIN STREET,WALLIGFORD,United States,06492,CT,ROB@FEDTAXSERVICES.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
36 ESR LLC,LLC,Dissolved,,1345730,2021-03-31,36 EAST SHORE ROAD,NEW PRESTON,United States,06777,CT,EKELLYAGUIRRE@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:44.8266667,,,,,2021-04-14T00:00:00.000,,,,,,,,,,,,,,,,,,
"INSERT DIGITAL PRESS,LLC",LLC,Active,Annual report past due,1345732,2021-03-31,81 BEAVER BROOK ROAD,DANBURY,United States,06810,CT,EDAFIESCHI@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
"33LDS , LLC",LLC,Active,,1345733,2022-03-31,51 LAKE DRIVE SOUTH,NEW FAIRFIELD,United States,06812,CT,paul@widerwake.net,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),812990.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
JAK'S DS LLC,LLC,Active,,1345735,2022-03-31,22 NORTH PLAINS INDUSTRIAL RD,WALLINGFORD,United States,06492,CT,johng@cctmovers.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
VITAL U LLC,LLC,Active,Annual report past due,1345736,2021-03-31,8 HAMPDEN CIRCLE,SIMSBURY,United States,06070,CT,LISA.COOPERMAN@OUTLOOK.COM,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,All Other Outpatient Care Centers (621498),621498.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
SILK WAXING SPA LLC,LLC,Active,,1345737,2022-03-31,1204 FARMINGTON AVE,BERLIN,United States,06037,CT,jennbrom@yahoo.com,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
CUP OR CONE LLC,LLC,Active,Annual report past due,1345739,2021-03-31,35 ALPHA AVE,GUILFORD,United States,06437,CT,CUPORCONECT@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,Mobile Food Services (722330),722330.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
PORTES DRYWALL & PAINTING  LLC,LLC,Active,Annual report past due,1345740,2021-03-31,16 COMSTOCK ST,DANBURY,United States,06810,CT,EDERPORTES@ICLOUD.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),238310.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
M.W.P. PROPERTIES LLC,LLC,Active,,1345741,2022-03-31,"321 CLIFFSIDE DRIVE, UNIT #321",TORRINGTON,United States,06790,CT,mpianka1@hotmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
EKO TECHNOLOGIES LLC,LLC,Active,,1345742,2022-03-31,9 Acorn Holw,Shelton,United States,06484-2979,CT,UGO.ETUDO@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:44.8266667,,,,,,,,,,,,,,,,,,,,,,,
"NEXT STEPS COUNSELING, LLC",LLC,Active,,1345743,2022-03-31,52 DOUGLAS DR.,MERIDEN,United States,06451,CT,Ksilva.nextsteps@gmail.com,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
"ABSOLUTE SERVICES, LLC",LLC,Dissolved,,1345744,2021-03-31,1536 NEW BRITAIN AVENUE,FARMINGTON,United States,06032,CT,NELSONR@FIPCONSTRUCTION.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:44.8733333,,,,,2021-05-12T00:00:00.000,,,,,,,,,,,,,,,,,,
V&R HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1345745,2021-03-31,27 B PERRY AV,SHELTON,United States,06484,CT,INSURANCEAGENCYMAGIC@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Building Equipment Contractors (238290),238290.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
"44 MORGAN ASSOCIATES, LLC",LLC,Active,Annual report past due,1345747,2021-03-31,66 KINGS HIGHWAY,NORTH HAVEN,United States,06473,CT,TENPROPERTIESLLC@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
"USCB AMERICA, INC.",Stock,Active,,1345748,2022-06-01,"355 S. GRAND AVENUE, STE. 3200",LOS ANGELES,United States,90071,CA,skistner@mamlaw.com,Foreign,2020-06-01,CA,CA,False,False,False,False,False,Collection Agencies (561440),561440.0,2021-11-10 00:08:44.8733333,,2020-06-01,"USCB, INC.",United States,,,,,,,,,,,,,,,,,,,
"CHFO, LLC",LLC,Active,,1345749,2022-03-31,53 WATER STREET SUITE 1,NORWALK,United States,06856,CT,chfoadmin@chfollc.com,Foreign,2020-06-01,DE,DE,False,False,False,False,False,Office Administrative Services (561110),561110.0,2021-11-10 00:08:44.8733333,,2020-06-01,"CHFO, LLC",United States,,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,,,
"BENNICK, LLC",LLC,Active,,1345750,2022-03-31,64 Thompson St,East Haven,United States,06513-5707,CT,benmarinv@comcast.net,Domestic,2020-06-01,CT,Connecticut,False,False,False,True,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,A101,,,,,
ISG REALTY LLC,LLC,Active,,1345751,2022-03-31,71 STEPHEN ST,STAMFORD,United States,06902,CT,MGLFILING@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,Residential Property Managers (531311),,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
MILE 13 AIRPLANE LLC,LLC,Active,,1345758,2022-03-31,1807 BOULEVARD,WEST HARTFORD,United States,06107,CT,matthew.pess@gmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
ZACK SHAY LLC,LLC,Active,Annual report past due,1345759,2021-03-31,121 SUNNYSIDE AVE,WATERBURY,United States,06708,CT,EFILE1234@INCFILE.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
DEIN LLC,LLC,Active,,1345760,2022-03-31,1 GLENDINNING PLACE,WESTPORT,United States,06880,CT,ExecFin_ERPDFO@bwater.com,Foreign,2020-06-01,DE,DE,False,False,False,False,False,Other Grantmaking and Giving Services (813219),,2021-11-10 00:08:44.8733333,,2020-06-01,DEI LLC,United States,,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,,,
CLEAN QUARTERS LLC,LLC,Active,Annual report past due,1345761,2021-03-31,167 LINWOOD AVE,BRIDGEPORT,United States,06605,CT,CLEANQUARTERSLLC@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Drycleaning and Laundry Services (except Coin-Operated) (812320),812320.0,2021-11-10 00:08:44.8733333,,,,,,,,,,,,,,,,,,,,,,,
SESWAZ LLC,LLC,Active,,1345762,2022-03-31,211 WHITNEY ST,HARTFORD,United States,06105,CT,saratovu@hotmail.com,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
GERMSLAYER LLC,LLC,Active,Annual report past due,1345763,2021-03-31,195 RIVER RD,MADISON,United States,06443,CT,EFILE1234@INCFILE.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
MARKETING TRANSFORMATION NETWORK INC.,Stock,Active,,1345764,2022-06-16,31 BROOKRIDGE DR,AVON,United States,06001,CT,EFILE1234@INCFILE.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:45.4500000,100.0,,,,,,,,,,,,,,,,,,,,,,
G WINT LLC,LLC,Active,,1345765,2022-03-31,1111 STRATFORD AVENUE APT106,STRATFORD,United States,06615,CT,customerservice@gdriptrendywearsllc.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Men's Clothing Stores (448110),,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
DTS OIL & GAS SERVICE & SOLUTIONS LLC,LLC,Active,,1345766,2022-03-31,33 CARRIAGE DR,LEBANON,United States,06249,CT,DTSSOLUTIONS1@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
"TRINITY DESIGN & CONSULTANTS, LLC",LLC,Active,Annual report past due,1345767,2021-03-31,21 ROBINHOOD ROAD,DANBURY,United States,06811,CT,SOLIMINE@SBCGLOBAL.NET,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
GRECO'S TRUCKING CORP.,Stock,Active,,1345769,2022-06-26,101 LAKESIDE DR,BRISTOL,United States,06010,CT,agreco@grecostruckingcorp.com,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,True,Other Support Activities for Road Transportation (488490),488490.0,2021-11-10 00:08:45.4500000,20000.0,,,,,,,,,,,,,,,,,Unit 94,,,,,
"JIMENEZ SERVICES, LLC",LLC,Active,Annual report past due,1345770,2021-03-31,14 SWAIN AVENUE,MERIDEN,United States,06450,CT,MCABAN@CRNAGENCY.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
"CARITE CONNECTICUT REALTY, LLC",LLC,Active,,1345771,2022-03-31,2095 BARNUM AVE.,STRATFORD,United States,06615,CT,LICENSING@CARITE.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),531312.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
"LDP GLOBAL, LLC",LLC,Active,Annual report past due,1345772,2021-03-31,104 MILLDALE AVE,PLANTSVILLE,United States,06479,CT,PALAZZO.LEE@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
PLP PLUMBING & HEATING LLC,LLC,Active,Annual report past due,1345773,2021-03-31,160 LAKEVIEW AVE,WEST HARRISON,United States,,NY,CHRISTINE@PLPPLUMBINGHEATING.COM,Foreign,2020-06-01,NY,NY,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",238220.0,2021-11-10 00:08:45.4500000,,2020-06-01,PLP PLUMBING & HEATING LLC,United States,,"160 LAKEVIEW AVE, WEST HARRISON, NY, United States",160 LAKEVIEW AVE,WEST HARRISON,NY,,United States,"160 LAKEVIEW AVE, WEST HARRISON, NY, United States",160 LAKEVIEW AVE,WEST HARRISON,NY,,United States,,,,,,
HUNGRY FOOD HOLDINGS LLC,LLC,Active,,1345774,2022-03-31,71 STEPHEN ST,STAMFORD,United States,06902,CT,MGLFILING@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,Professional Organizations (813920),,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
ANOINTED ESENTAILS LLC,LLC,Active,Annual report past due,1345775,2021-03-31,65 MONTOWESE ST 65 MONTOWESE ST,HARTFORD,United States,06114,CT,HOILETTSHAMEKA@YAHOO.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Manufactured (Mobile) Home Dealers (453930),453930.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
"FLOSPORTS, INC.",Stock,Active,,1345776,2022-06-01,979 SPRINGDALE RD STE 120,AUSTIN,United States,78702,TX,jsiebold@harborcompliance.com,Foreign,2020-06-01,DE,DE,False,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),519130.0,2021-11-10 00:08:45.4500000,,2020-05-19,"FLOSPORTS, INC.",United States,,,,,,,,,,,,,,,,,,,
ELIXIRCISE LLC,LLC,Active,,1345777,2022-03-31,62 MAYBROOK ROAD,BRIDGEPORT,United States,06696,CT,info@elixircise.com,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
SAUCE GAWD LLC,LLC,Dissolved,,1345778,2021-03-31,71 STEPHEN ST,STAMFORD,United States,06902,CT,SAUCEGAWDCO@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,,,2021-11-10 00:08:45.4500000,,,,,2021-01-27T00:00:00.000,,,,,,,,,,,,,,,,,,
"107 HAMILTON, LLC",LLC,Active,,1345779,2022-03-31,107 HAMILTON STREET,HARTFORD,United States,06106,CT,cprealtor@cox.net,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,,,,,
"JOEL BARLOW SCHOLARSHIP FUND, INCORPORATED",Non-Stock,Active,,1345780,2022-09-21,100 BLACK ROCK TURNPIKE BOX 413,REDDING,United States,06876,CT,WNBCOMP@AOL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,2021-11-10 00:08:45.4500000,,,,,,,,,,,,,,,,,,,wnbcomp@aol.com,,,,
"AFS FIRE PROTECTION, INC.",Non-Stock,Active,,1345781,2022-07-29,213 Cedar Breeze S,Glenburn,United States,04401-1735,ME,DANIELLE@AFSFIREPROTECTION.COM,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,2020-06-15,,,
UNIKE SUPPLEMENTAL FOODS LLC,LLC,Active,,1345782,2022-03-31,260 STAMM ROAD INDUSTRIAL PARK,NEWINGTON,United States,06111,CT,unikesupplementalfoodsllc@gmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,True,False,False,General Line Grocery Merchant Wholesalers (424410),424410.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
"MATTABESETT PROPERTIES, LLC",LLC,Active,,1345783,2022-03-31,165 LINCOLN STREET,MIDDLETOWN,United States,06457,CT,mbpropertiesct@gmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
JM LIGHT HOUSE ELECTRIC LLC,LLC,Active,Annual report past due,1345784,2021-03-31,19 WEAVER STREET APT 2 SECOND FLOOR,GREENWICH,United States,06831,CT,JULIANBYCLE33@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
60 YOWAGO LLC,LLC,Active,Annual report past due,1345785,2021-03-31,"12 E 88TH ST, STE 8B",NEW YORK,United States,10128,NY,DANIELETRA@HOTMAIL.COM,Domestic,2020-06-01,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
22 RIVER ENTERPRISES LLC,LLC,Active,,1345786,2022-03-31,137 WOODBROOK DR,STAMFORD,United States,06902,CT,SMDKMAREK@HOTMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
WOODLAND HILLS DESIGNS LLC,LLC,Active,,1345787,2022-03-31,94 WOODLAND HILLS RD,SOUTHBURY,United States,06488,CT,woodlandhills124@gmail.com,Domestic,2020-06-01,CT,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
"KEARTHIESEDIBLES, LLC",LLC,Active,Annual report past due,1345788,2021-03-31,250 PIERREMOUNT AVENUE,NEW BRITIAN,United States,06053,CT,KAWAN198484@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
SONO FINE ART LLC,LLC,Active,,1345789,2022-03-31,50 WATER STREET,NORWALK,United States,06854,CT,info@sonofineart.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
"HELZBERG'S DIAMOND SHOPS, LLC",LLC,Active,,1345790,2022-03-31,1825 SWIFT AVE,NORTH KANSAS CITY,United States,64116,MO,Compliancemail@cscinfo.com,Foreign,2020-06-01,MO,MO,False,False,False,False,False,Jewelry Stores (448310),,2021-11-10 00:08:45.4833333,,2020-06-01,"HELZBERG'S DIAMOND SHOPS, LLC",United States,,,,,,,,,,,,,,,,,,,
GREENSKIES MANAGEMENT LLC,LLC,Active,,1345791,2022-03-31,127 WASHINGTON ST WEST BLDG GARDEN LVL,NORTH HAVEN,United States,06473,CT,legal@greenskies.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),221114.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
"JAM LODGE, LLC",LLC,Active,,1345792,2022-03-31,25 THIMBLE FARM ROAD,BRANFORD,United States,06405,CT,amathieu@sgbllp.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
PALMER DOGS LLC,LLC,Active,Annual report past due,1345794,2021-03-31,60 MEETINGHOUSE HILL ROAD,DURHAM,United States,06422,CT,PALMERDOGS2020@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Sports Teams and Clubs (711211),711211.0,2021-11-10 00:08:45.4833333,,,,,,,,,,,,,,,,,,,,,,,
LIGHT OF LIFE HOLISTIC HEALTH LLC,LLC,Active,,1345796,2022-03-31,20 MORGAN TER,EAST HAVEN,United States,06512,CT,filings@betterlegal.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),,2021-11-10 00:08:45.4966667,,,,,,,,,,,,,,,,,,,,,,,
MANDA INSTITUTE FOR COUNSELING  SERVICES CORPORATION,Non-Stock,Active,First report past due,1345797,2020-08-30,No information provided,,,,,CMANDA3@GMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:08:45.4966667,,,,,,,,,,,,,,,,,,,,,Failure to file First Report,,
"ERICSON'S BARBER CO., LLC",LLC,Active,,1345798,2022-03-31,6202 MAIN STREET,TRUMBULL,United States,06611,CT,longhillbarberco@gmail.com,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,Barber Shops (812111),812111.0,2021-11-10 00:08:45.4966667,,,,,,,,,,,,,,,,,,,,,,,
L&A ENTERPRISE LLC,LLC,Active,Annual report past due,1345799,2021-03-31,3 GRANGER CIRCLE,EAST GRANBY,United States,06026,CT,MIRA.ALBANO@HOTMAIL.COM,Domestic,2020-06-01,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:08:45.5300000,,,,,,,,,,,,,,,,,,,,,,,
"REVIVE, REJUVENATE, RENEW, LLC",LLC,Active,,1345800,2022-03-31,1 MCKAYLA DR,NEW MILFORD,United States,06776,CT,jennifer@reviveu2.com,Domestic,2020-06-01,CT,Connecticut,True,False,True,False,False,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,2021-11-10 00:08:45.5300000,,,,,,,,,,,,,,,,,,,,,,,
