name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,category_survey_email_address,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,reason_for_administrative,mailing_international_address
CLARKE INTERNATIONAL BUSINESS INCORPORATED,Stock,Active,First report past due,1349347,2020-09-29,No information provided,,,,,CENERG@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:08:46.0900000,,,,,,10000.0,,,,,,,,,,,,,,,,
SHERMAN TREE SURGEONS LLC,LLC,Active,Annual report past due,1349348,2021-03-31,29 ROUTE 37 CTR STE 4 #401,SHERMAN,United States,06784,CT,EFILE1234@INCFILE.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
JOSE SALINAS TREE SERVICES LLC,LLC,Active,Annual report past due,1349349,2021-03-31,54 PLEASANT ST APT 2,DANBURY,United States,06810,CT,JOSESALINAS0809@HOTMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Logging (113310),113310.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
NORWICH CYLINDER GAS LLC,LLC,Active,Annual report past due,1349350,2021-03-31,15 JEWETT CITY RD,TAFTVILLE,United States,06380,CT,DSAMIS@YAHOO.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
TIFFANY V. LLC,LLC,Active,Annual report past due,1349351,2021-03-31,74 FEELEY STREET,STRATFORD,United States,06615,CT,LLCOFTIFFANYV@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,,,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
PUCKER ME UP LLC,LLC,Active,Annual report past due,1349354,2021-03-31,112 VAN BLOCK AVE APT 2,HARTFORD,United States,06106,CT,PUCKERMEUPLIPGLOSS@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,All Other Health and Personal Care Stores (446199),446199.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
"411-413 DAVIDSON STREET, LLC",LLC,Active,,1349355,2022-03-31,201 SCRIBNER AVENUE,NORWALK,United States,06854,CT,greg1977@optonline.net,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
TELEHAVEN LLC,LLC,Active,,1349356,2022-03-31,3013 DIXWELL AVE,HAMDEN,United States,06518,CT,Jess@telehaven.com,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
PINTO PROPERTIES LLC,LLC,Active,,1349357,2022-03-31,17 FAIRWOOD FARMS DRIVE,WEST HARTFORD,United States,06107,CT,pintopropertiesct@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
STAMFORD FIRE PROTECTION LLC,LLC,Active,,1349358,2022-03-31,35 JUDY LANE,STAMFORD,United States,06906,CT,jeffwilliams.sfp@yahoo.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
LEBANON GREEN STORE LLC,LLC,Active,Annual report past due,1349360,2021-03-31,199 WEST TOWN ST,LEBANON,United States,06249,CT,JMONTALVO28@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
BRANFORD FORD LLC,LLC,Active,Annual report past due,1349361,2021-03-31,7 HICKORY CT,EAST LYME,United States,06333,CT,PJPRICE1@AOL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:46.0900000,,,,,,,,,,,,,,,,,,,,,,
"JAMES D. ACERS COMPANY, INC.",Stock,Active,Annual report past due,1349362,2021-07-01,1510 12TH STREET,CLOQUET,United States,55720,MN,MIKEACERS@MAC.COM,Foreign,2020-07-01,MN,MN,False,False,False,False,False,Industrial Machinery and Equipment Merchant Wholesalers (423830),423830.0,2021-11-10 00:08:46.0900000,,2020-06-15,"JAMES D. ACERS COMPANY, INC.",United States,,,,,,,,,,,,,,,,,,
"SOCIAL VENTURE PARTNERS CONNECTICUT, INC.",Non-Stock,Active,,1349363,2022-07-16,50 CHARLES STREET,WESTPORT,United States,06880,CT,INFO@SVP-CT.ORG,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Grantmaking Foundations (813211),813211.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
"ASCENDO HEALTHCARE STAFFING, LLC",LLC,Active,Annual report past due,1349365,2021-03-31,500 WEST CYPRESS CREEK ROAD SUITE 230,FORT LAUDERDALE,United States,33309,FL,LABOR@ASCENDO.COM,Foreign,2020-07-01,FL,FL,False,False,False,False,False,Employment Placement Agencies (561311),561311.0,2021-11-10 00:08:46.1233333,,2020-02-03,"ASCENDO HEALTHCARE STAFFING, LLC",United States,,,"500 WEST CYPRESS CREEK ROAD SUITE 230, FORT LAUDERDALE, FL, 33309, United States",500 WEST CYPRESS CREEK ROAD SUITE 230,FORT LAUDERDALE,FL,33309,United States,"500 WEST CYPRESS CREEK ROAD SUITE 230, FORT LAUDERDALE, FL, 33309, United States",500 WEST CYPRESS CREEK ROAD SUITE 230,FORT LAUDERDALE,FL,33309,United States,,,,
C&R PAINTING SERVICES LLC,LLC,Active,Annual report past due,1349366,2021-03-31,71 SOUTH WHITNEY ST APT 3 S,HARTFORD,United States,06106,CT,ELAINEAGUIDA142@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
"JOURNEYMAN'S COTTAGE RENTALS, LLC",LLC,Active,,1349367,2022-03-31,138 MAPLE AVE 1ST FL,NORTH HAVEN,United States,06473,CT,tnt246@iCloud.com,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
GREEN TRUCK TRANSPORT LLC,LLC,Active,,1349370,2022-03-31,27 BARBER STREET,Windsor,United States,06095,CT,GREENTRUCKING27@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484110.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,Flr 1,,,
"KOPO INTERNATIONAL, INC.",Stock,Active,,1349371,2022-07-01,"331 NEWMAN SPRINGS ROAD ONE RIVER CENTER, SUITE 104",RED BANK,United States,07701,NJ,ANDREW.TOWEY@SIJ.SI,Foreign,2020-07-01,NY,NY,False,False,False,False,False,Iron and Steel Mills and Ferroalloy Manufacturing (331110),331110.0,2021-11-10 00:08:46.1233333,,2020-07-06,"KOPO INTERNATIONAL, INC.",United States,,,,,,,,,,,,,,,,,,
D'AVILA CLEANING LLC,LLC,Active,Annual report past due,1349372,2021-03-31,258 LLOYD STREET,NEW HAVEN,United States,06513,CT,AMELIASERVICES@LIVE.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
MAS BROAD STREET LLC,LLC,Active,,1349373,2022-03-31,86 OLD SALT WORKS RD,WESTBROOK,United States,06498,CT,simeone.michael@gmail.com,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
"CXPRO, LLC",LLC,Active,Annual report past due,1349374,2021-03-31,26 PERNA LANE,RIVERSIDE,United States,06878,CT,CTELLA22@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
CLEAN & CLEAR LLC,LLC,Dissolved,,1349375,2021-03-31,6 DANBURY RD,RIDGEFIELD,United States,06877,CT,CLEANCLEARLLC@YAHOO.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:46.1233333,2020-11-30T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
RAINBOW ARTIFACTS LLC,LLC,Active,,1349376,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,pengbears@yahoo.com,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
JJ IMPORTS LLC,LLC,Active,Annual report past due,1349377,2021-03-31,17 GREENWOOD STREET APT C4,HARTFORD,United States,06106,CT,JJIMPORTSLLC@OUTLOOK.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
SHOREFRONT REALTY LLC,LLC,Active,,1349378,2022-03-31,168 SHOREFRONT ST,MILFORD,United States,06460,CT,GULICKSTEVE@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:08:46.1233333,,,,,,,,,,,,,,,,,,,,,,
CT CONNECT FOR SUCCESS INC.,Non-Stock,Active,,1349380,2022-07-27,27 E MOUNTAIN DR,SOUTHINGTON,United States,06489,CT,CTCONNECTFORSUCCESS@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
101 WINCHESTER LLC,LLC,Active,Annual report past due,1349382,2021-03-31,107 WHITNEY AVENUE,NEW HAVEN,United States,06510,CT,AVIVA@FARNAMGROUP.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
BRANFORD REAL ESTATE LLC,LLC,Active,,1349383,2022-03-31,544 WEST MAIN STREET,BRANFORD,United States,06405,CT,prevalla@yahoo.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
MWB PROPERTIES LLC,LLC,Active,Annual report past due,1349385,2021-03-31,675 VFW PARKWAY SUITE 261,CHESTNUT HILL,,02467,MA,JAY.BERRIO@HOMEVESTORS.COM,Foreign,2020-07-01,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:43.4800000,,2020-06-16,MWB PROPERTIES LLC,,,,"9 E. LOOCKERMAN STREET SUITE 311, DOVER, DE, 19901,",9 E. LOOCKERMAN STREET SUITE 311,DOVER,DE,19901,,"9 E. LOOCKERMAN STREET SUITE 311, DOVER, DE, 19901,",9 E. LOOCKERMAN STREET SUITE 311,DOVER,DE,19901,,,,,
NORWALK TO GO LLC,LLC,Active,Annual report past due,1349387,2021-03-31,97-77 QUEENS BLVD STE 620,REGO PARK,,11374,NY,,Domestic,2020-07-01,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
"DORMAN TRAINING, LLC",LLC,Active,,1349389,2022-03-31,3400 EAST WALNUT ST,COLMAR,United States,18915,PA,Compliancemail@cscinfo.com,Foreign,2020-07-01,PA,PA,False,False,False,False,False,Professional and Management Development Training (611430),,2021-11-10 00:08:43.4800000,,2020-07-01,"DORMAN TRAINING, LLC",United States,,,,,,,,,,,,,,,,,,
"45 HURLINGHAM, LLC",LLC,Active,Annual report past due,1349391,2021-03-31,"18 E. 50TH ST., 10TH FL.",NEW YORK,,10022,NY,,Foreign,2020-07-01,DE,DE,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:43.4800000,,2020-07-10,"45 HURLINGHAM, LLC",,,,"920 NORTH KING ST., 2ND FL., WILMINGTON, DE, 19801,","920 NORTH KING ST., 2ND FL.",WILMINGTON,DE,19801,,"920 NORTH KING ST., 2ND FL., WILMINGTON, DE, 19801,","920 NORTH KING ST., 2ND FL.",WILMINGTON,DE,19801,,,,,
MKM LLC,LLC,Active,Annual report past due,1349392,2021-03-31,38 FOREST DRIVE,WETHERSFIELD,United States,06109,CT,MANNYMELEOUNIS@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
CHERRON NICOLE LLC,LLC,Active,Annual report past due,1349393,2021-03-31,68 WILLOW STREET,WATERBURY,United States,06710,CT,CHERRONNICOLE25@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
JR INDUSTRY LLC,LLC,Active,Annual report past due,1349394,2021-03-31,310 VINE ST,HARTFORD,United States,06112,CT,JRINDUSTRYLLC@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
THE DOG BARK INN LLC,LLC,Active,Annual report past due,1349395,2021-03-31,4 COLONIAL DR.,WEATOGUE,United States,06089,CT,ROB@THEDOGBARKINN.COM,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,Pet Care (except Veterinary) Services (812910),812910.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT CONSUMER ADVOCATES LLC,LLC,Active,,1349396,2022-03-31,190 CIDER BROOK RD,AVON,United States,06001,CT,hailey@ctconsumeradvocates.com,Domestic,2020-07-01,CT,Connecticut,True,False,False,False,False,Offices of Lawyers (541110),541110.0,2021-11-10 00:08:43.4800000,,,,,,,,,,,,,,,,,,,,,,
CLEANSE LLC,LLC,Active,,1349397,2022-03-31,136 SIMSBURY ROAD BUILDING 11,AVON,United States,06001,CT,kelleymcintyre@icleanse.com,Foreign,2020-07-01,DE,DE,False,False,False,False,False,Other Direct Selling Establishments (454390),,2021-11-10 00:08:43.4800000,,2020-06-30,CLEANSE LLC,United States,,,,,,,,,,,,,,,,,,
CAPITAL CLEANING SERVICES LLC,LLC,Active,,1349398,2022-03-31,75 BYSIEWICZ DRIVE,MIDDLETOWN,United States,06457,CT,dylan.buscema@capitalcleaningct.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:08:43.5133333,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY AUTO SERVICE LLC,LLC,Active,Annual report past due,1349399,2021-03-31,32 LEON PLACE,STAMFORD,United States,06902,CT,ROGERADRIANO0214@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Appliance Repair and Maintenance (811412),811412.0,2021-11-10 00:08:43.5133333,,,,,,,,,,,,,,,,,,,,,,
TRS PRODUCTIONS INC,Stock,Active,Annual report past due,1349400,2021-07-01,127 GREYROCK PL APT 1009,STAMFORD,United States,06901,CT,RSUCHECKIMUSIC@GMAIL.COM,Foreign,2020-07-01,NY,NY,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:43.5133333,,2020-06-08,TRS PRODUCTIONS INC,United States,,,,,,,,,,,,,,,,,,
SUGAR SWEET CREATIONS LLC,LLC,Active,Annual report past due,1349401,2021-03-31,194 DOVER ST,NEW HAVEN,United States,06513,CT,FABIAN.VASQUEZ@YAHOO.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,All Other Traveler Accommodation (721199),721199.0,2021-11-10 00:08:43.5133333,,,,,,,,,,,,,,,,,,,,,,
"BLUE STATE SALES, LLC",LLC,Active,,1349402,2022-03-31,61 N PLAINS INDUSTRIAL RD. SUITE 123,WALLINGFORD,United States,06492,CT,tom@t2bcleaningservices.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
THE JUMPS ACADEMY LLC,LLC,Active,,1349403,2022-03-31,12 SANDRA DRIVE,BLOOMFIELD,United States,06002,CT,thejumpsacademy@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Fitness and Recreational Sports Centers (713940),713940.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
INFINITE TRANSPORT LLC,LLC,Active,Annual report past due,1349404,2021-03-31,252 LINDLEY STREET,BRIDGEPORT,United States,06606,CT,INFINITESOURCELLC4@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
MATANU INSTITUTE FOR SOCIAL INNOVATION LLC,LLC,Dissolved,,1349405,2021-03-31,1295 PEMBROKE ST,BRIDGEPORT,United States,06608,CT,USAMATANUINSTITUTE@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Professional and Management Development Training (611430),611430.0,2021-11-10 00:08:43.5300000,2021-01-15T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
AMERICAN PUBLIC ADJUSTERS LLC,LLC,Active,,1349406,2022-03-31,185 MERWIN AVE,MILFORD,United States,06460,CT,dan@americanpas.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Claims Adjusting (524291),524291.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
JUST MACK LLC,LLC,Active,,1349407,2022-03-31,3 ELIZABETH STREET,BRANFORD,United States,06405,CT,toddmckiernan66@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
"MOWAVE COLLECTIVE, LLC",LLC,Active,Annual report past due,1349408,2021-03-31,1 HORIZON DR,NORWALK,United States,06854,CT,MOWAVECOLLECTIVE@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,True,False,False,Industrial Design Services (541420),541420.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
CAPITAL GLOBAL MARKETING LLC,LLC,Active,Annual report past due,1349409,2021-03-31,31 CARLIN ST,NORWALK,United States,06851,CT,CAPITALGLOBALLC@GMAIL.COM,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Drywall and Insulation Contractors (238310),238310.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
CHESHIRE LOCKSMITH LLC,LLC,Active,,1349410,2022-03-31,1095 OLD COLONY RD 1A,MERIDEN,United States,06451,CT,pete.staab@gmail.com,Domestic,2020-07-01,CT,Connecticut,False,False,False,False,False,Locksmiths (561622),541990.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
"EVENT PLANNING SOLUTIONS, LLC",LLC,Active,,1349411,2022-03-31,162 WARDE TERRACE,FAIRFIELD,United States,06825,CT,cmulberg1@gmail.com,Domestic,2020-07-01,CT,Connecticut,True,False,True,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:08:43.5300000,,,,,,,,,,,,,,,,,,,,,,
