name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,country_formation,billing_unit,dissolution_date,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting
"R2I HOLDINGS, LLC",LLC,Active,1337657,2022-03-31,400 E. PRATT ST. 11TH FL,BALTIMORE,United States,21102,MD,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-03-02,DE,DE,False,False,False,False,False,Custom Computer Programming Services (541511),,2021-11-10 00:08:35.7000000,,2020-02-18,"R2I HOLDINGS, LLC",,United States,,,,,,,,,,,,,,,,,
CPI WATERFORD I LLC,LLC,Active,1337663,2022-03-31,195 NORTH ST STE 100,TETERBORO,United States,07608,NJ,MDECKER@CPIFUNDS.COM,Domestic,2020-03-02,NJ,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,,,
CPI WATERFORD II LLC,LLC,Active,1337666,2022-03-31,300 Broadacres Dr,Bloomfield,United States,07003-3179,NJ,gm@fandpcpa.com,Domestic,2020-03-02,NJ,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),,2021-11-10 00:08:35.7466667,,,,gm@fandpcpa.com,,Suite 150,,,,,,,,,,,,,,,,
J&B RENTAL PROPERTIES LLC,LLC,Active,1337859,2022-03-31,11 CHAPIN AVE,ROCKY HILL,United States,06067,CT,bruce.abbott88@sbcglobal.net,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
MOBILTECH LLC,LLC,Active,1337860,2021-03-31,29 SHORE DR.,COVENTRY,United States,06238,CT,JOSH.SALES@LIVE.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:08:34.9666667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BARBARA LOHSE LLC,LLC,Active,1337861,2022-03-31,4 ASHLEY COURT,DANBURY,United States,06810,CT,bol55@comcast.net,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
"238 ELY, LLC",LLC,Active,1337862,2022-03-31,67 HIGHLAND AVE,NORWALK,United States,06853,CT,jamiewbehr@yahoo.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:34.9666667,,,,,,,,,,,,,,,,,,,,,,
"BUSY BEE'S VIRTUAL ASSISTANCE & MANAGEMENT, LLC",LLC,Active,1337864,2022-03-31,208H BRITTANY FARMS ROAD,NEW BRITAIN,United States,06053,CT,admin@busybeesva.com,Domestic,2020-03-02,CT,Connecticut,True,False,True,False,False,All Other Business Support Services (561499),561499.0,2021-11-10 00:08:34.9966667,,,,,,,,,,,,,,,,,,,,,,
"FRANK'S VACUUM TRUCK SERVICE, INC.",Non-Stock,Active,1337866,2022-03-02,1717 NEW RD.,NIAGARA FALLS,United States,14304,NY,susana@franksvac.com,Foreign,2020-03-02,NY,NY,False,False,False,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",484230.0,2021-11-10 00:08:35.0133333,,2020-01-01,"FRANK'S VACUUM TRUCK SERVICE, INC.",,United States,,,,,,,,,,,,,,,,,
FOUNTAIN & ASSOCIATES REALTY LLC,LLC,Active,1337868,2021-03-31,465 ANSON STREET,BRIDGEPORT,United States,06606,CT,FOUNTAINREALESTATE8@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,True,False,True,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"YGK 15 SHAW, LLC",LLC,Dissolved,1337876,2021-03-31,66 HALLEY DR.,POMONA,United States,10970,NY,YGKEST@GMAIL.COM,Domestic,2020-03-02,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.0133333,,,,,,,2021-03-31T00:00:00.000,,,,,,,,,,,,,,,
LYRICAL LENS EVENTS LLC,LLC,Active,1337877,2021-03-31,232 WOODLAND ST,MANCHESTER,United States,06042,CT,CONNIE@LYRICALLENS.COM,Domestic,2020-03-02,CT,Connecticut,True,False,False,True,False,Musical Groups and Artists (711130),711130.0,2021-11-10 00:08:35.0133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
GOOD WIRE INC.,Stock,Active,1337878,2020-05-31,No information provided,,,,,EFILE1234@INCFILE.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.0133333,First report past due,,,,,,,Failure to file First Report,1500.0,,,,,,,,,,,,,
RLS EMPREENDIMENTO LLC,LLC,Active,1337879,2022-03-31,187 LINEN AVE,BRIDGEPORT,United States,06604,CT,INFO2@CPS-FILINGS.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
"MILLER PARTNERS 121HA, LLC",LLC,Active,1337880,2022-03-31,342 WEST PUTNAM AVENUE,GREENWICH,United States,06830,CT,jjefferson@millermotorcars.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.0133333,,,,,,,,,,,,,,,,,,,,,,
VILLA CONSULTING LLC,LLC,Dissolved,1337881,2021-03-31,11 OSCAR ST. APT #B,STAMFORD,United States,06906,CT,JOANAVILLA2020@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:08:35.0433333,,,,,,,2021-02-15T00:00:00.000,,,,,,,,,,,,,,,
GOULART PAINTING LLC,LLC,Active,1337882,2021-03-31,78 SHERIDAN ST,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",811121.0,2021-11-10 00:08:35.0433333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
LORRAINE'S LLC,LLC,Active,1337884,2021-03-31,15 BLUE HILLS AVE # 3,HARTFORD,United States,06112,CT,EFILE1234@INCFILE.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.0433333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BEEOTTO LLC,LLC,Active,1337886,2022-03-31,874 WALKER RD SUITE C,DOVER,United States,19904,DE,boberrato@gmail.com,Foreign,2020-03-02,DE,DE,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:08:35.0433333,,2020-01-01,BEEOTTO LLC,,United States,,,,,"874 WALKER RD SUITE C, DOVER, DE, 19904, United States",874 WALKER RD SUITE C,DOVER,DE,19904,United States,"874 WALKER RD SUITE C, DOVER, DE, 19904, United States",874 WALKER RD SUITE C,DOVER,DE,19904,United States,
"JONES UNLIMITED, LLC",LLC,Active,1337887,2022-03-31,515 WEST AVENUE #134,NORWALK,United States,06850,CT,info@jonesunlimited.net,Domestic,2020-03-02,CT,Connecticut,True,False,True,False,False,Office Administrative Services (561110),561110.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
337 BERLIN LLC,LLC,Active,1337890,2022-03-31,321 MAIN STREET,FARMINGTON,United States,06032,CT,lgomulinski@calcoconstructioninc.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:35.0433333,,,,,,,,,,,,,,,,,,,,,,
"DARCARS OF RAILROAD AVENUE, INC.",Stock,Active,1337894,2022-06-05,7550 WISCONSIN AVE FL6,BETHESDA,United States,20814,MD,STEPHEN.KEARNEY@DARCARS.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Motorcycle, ATV, and All Other Motor Vehicle Dealers (441228)",441228.0,2021-11-10 00:08:35.0433333,,,,,,,,,5000.0,,,,,,,,,,,,,
"DARCARS OF MILBANK AVENUE, INC.",Stock,Active,1337895,2022-06-05,315 MILBANK AVENUE  315 MILBANK AVENUE,GREENWICH,United States,06830,CT,STEPHEN.KEARNEY@DARCARS.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Motorcycle, ATV, and All Other Motor Vehicle Dealers (441228)",441228.0,2021-11-10 00:08:35.0433333,,,,,,,,,5000.0,,,,,,,,,,,,,
RJ HARDWOOD FLOORING LLC,LLC,Active,1337896,2021-03-31,109 LAKE ST,MANCHESTER,United States,06042,CT,TONYROSSETTO@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Flooring Contractors (238330),238330.0,2021-11-10 00:08:35.0433333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
ANK INDUSTRIES LLC,LLC,Active,1337898,2021-03-31,150-C PRODUCTION COURT,NEW BRITAIN,United States,06051-2913,CT,CFR1967@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",423450.0,2021-11-10 00:08:35.0433333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
NEWTOWN 19 MAIN LLC,LLC,Active,1337906,2022-03-31,1814 MIDDLEBURY ROAD,MIDDLEBURY,United States,06762,CT,DALEBARTON@SBCGLOBAL.NET,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
COMPLETE CONSTRUCTION NY LLC,LLC,Active,1337912,2021-03-31,302 WEST 12TH ST 9B,MANHATTAN,United States,10014,NY,INFO@COMPLETECONSTRUCTIONNY.COM,Foreign,2020-03-02,NY,NY,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.0733333,Annual report past due,2020-03-02,COMPLETE CONSTRUCTION NY LLC,,United States,,,,,"302 WEST 12TH ST 9B, MANHATTAN, NY, 10014, United States",302 WEST 12TH ST 9B,MANHATTAN,NY,10014,United States,"302 WEST 12TH ST 9B, MANHATTAN, NY, 10014, United States",302 WEST 12TH ST 9B,MANHATTAN,NY,10014,United States,
CONNECTICUT INTERIOR & EXTERIOR RESTORATION LLC,LLC,Active,1337914,2021-03-31,153 STODDARD RD.,WATERBURY,,06708,CT,SONEROPICHARDO@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.0733333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BLOOMS BY MELISSA LLC,LLC,Active,1337915,2022-03-31,159 OLD HYDE RD,WESTON,United States,06883,CT,alexita29006@icloud.com,Domestic,2020-03-02,CT,Connecticut,True,False,True,False,False,Florists (453110),453110.0,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
79 NORTON MAHARAJ LIMITED LIABILITY COMPANY,LLC,Active,1337917,2022-03-31,254 BRUSHY PLAIN RD,BRANFORD,United States,06405,CT,BOBBY@MAHARAJCONSTRUCTION.COM,Domestic,2020-03-02,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
WIND CLIFF FARM LLC,LLC,Active,1337918,2022-03-31,68 HARD HILL ROAD NORTH,BETHLEHEM,United States,06751,CT,ghamel68@charter.net,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Grain Farming (111199),111199.0,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
"PECKFORE ENTERPRISES, LLC",LLC,Active,1337919,2022-03-31,6 HUNTINGTON LANE,NEW FAIRFIELD,United States,06812,CT,epeckfore@gmail.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
CORE IT SERVICE LLC,LLC,Active,1337920,2021-03-31,46 NELLS RD,MILFORD,United States,06460,CT,JOE@CORETTIHOMES.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Consumer Electronics Repair and Maintenance (811211),811211.0,2021-11-10 00:08:35.0733333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"PALACE TACO, LLC",LLC,Active,1337921,2021-03-31,25 BOSTON POST ROAD UNIT 1,MADISON,United States,06443,CT,BUSINESSGROUPLAW@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Specialty Food Stores (445299),445299.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"DRAGONFLY CREATIONS, LLC",LLC,Active,1337922,2022-03-31,11 TUNXIS ST,WINDSOR,United States,06095,CT,gator042976@yahoo.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Home Furnishings Stores (442299),442299.0,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
NAYLA CLEANERS LLC,LLC,Active,1337923,2021-03-31,26 FRANKLIN ST. APT 1,DANBURY,United States,06810,CT,LOPEZNAYSHA4@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Private Households (814110),814110.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"GGR, LLC",LLC,Dissolved,1337925,2022-03-31,734 LEFFERTS AVE APT C,BROOKLYN,United States,11203,NY,byron@ifcares.com,Domestic,2020-03-02,NY,Connecticut,False,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:35.6700000,,,,,,,2021-06-30T00:00:00.000,,,,,,,,,,,,,,,
THE FRAZIER GROUP LLC,LLC,Active,1337926,2021-03-31,8 NORDEN PL #354,NORWALK,United States,06855,CT,THEFRAZIERGROUPWORLDWIDE@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,True,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
DREAMSCAPE MASONRY AND LANDSCAPING LLC,LLC,Active,1337927,2021-03-31,41 VOLPI RD,BOLTON,United States,06043,CT,MONASPIKE@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,True,False,False,Masonry Contractors (238140),238140.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SORENSEN-DURYEA LLC,LLC,Active,1337928,2021-03-31,6 DEANE COURT,NORWALK,United States,06853,CT,TINADURYEA@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SMARTBUG OPERATING LLC,LLC,Active,1337929,2022-03-31,"2618 SAN MIGUEL DRIVE, STE 216",NEWPORT BEACH,United States,92660,CA,James@jplcpas.com,Foreign,2020-03-02,DE,DE,False,False,False,False,False,Advertising Agencies (541810),,2021-11-10 00:08:35.6700000,,2020-01-31,SMARTBUG OPERATING LLC,,United States,,,,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,
"SCHOOL AND COMMUNITY HEALTH CONSULTING, LLC",LLC,Active,1337930,2022-03-31,11 ASH LANE,PROSPECT,United States,06712,CT,dphgenetics@aol.com,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
SECONDSPINDISK LLC,LLC,Active,1337931,2022-03-31,"1 HARTFORD SQ, BOX E-27",NEW BRITAIN,United States,06052,CT,MAREK@SECONDSPINDISK.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Used Merchandise Stores (453310),453310.0,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
PERFORMANCE GOLF REHAB LLC,LLC,Active,1337932,2022-03-31,1579 STRAITS TURNPIKE,MIDDLEBURY,United States,06762,CT,cspag@pgrehab.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:08:35.6700000,,,,,,,,,,,,,,,,,,,,,,
DIAKOTECH LLC,LLC,Active,1337938,2021-03-31,10 NORTHRIDGE DR.,BURLINGTON,United States,06013,CT,NDIAKO90@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Software Publishers (511210),511210.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"CONNECTICUT POWER WASH, LLC",LLC,Active,1337939,2021-03-31,126 BUNNELL STREET,COLEBROOK,United States,06021-3710,CT,JANE.VASATURO@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"DEB LAUREN COACHING, LLC",LLC,Active,1337940,2021-03-31,9 PARSELL LANE,WESTPORT,United States,06880,CT,DEB@HEARTCENTEREDYOU.COM,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:35.6700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
HOOFBEATS WITH PURPOSE INC.,Non-Stock,Active,1337941,2021-05-30,229 NORTH MAIN STREET,STONINGTON,United States,06378,CT,HOOFBEATSWITHPURPOSE@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,True,False,False,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:08:35.7000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
WILLS HEARING LLC,LLC,Active,1337942,2022-03-31,71 RAYMOND RD,WEST HARTFORD,,06107,CT,NICK@HOMEHEARING.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),621999.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,,,
UCONN WHALE TEA INC,Stock,Active,1337944,2021-05-28,34 WILBUR CROSS WAY STE 101,STORRS,United States,06268,CT,FWCACCOUNTING@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:08:35.7000000,Annual report past due,,,,,,,,200.0,,,,,,,,,,,,,
"FRIENDLEE FARMS, LLC",LLC,Active,1337945,2021-03-31,25 FRIENDLEE LANE,WILTON,United States,06897,CT,LYZNRAY@OPTONLINE.NET,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.7000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
WEALTH STRATEGIES TEAM LLC,LLC,Active,1337949,2022-03-31,3 WALNUT FARMS DRIVE,FARMINGTON,United States,06032,CT,mike@ol-advisors.com,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:35.7166667,,,,,,,,,,,,,,,,,,,,,,
DUNCAN HATS LLC,LLC,Active,1337956,2021-03-31,27 WARD STREET,BRISTOL,United States,06010,CT,SUMMERSUN11@COMCAST.NET,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:08:35.7166667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
FARFROMBORING PROMOTIONS.COM LLC,LLC,Active,1337958,2021-03-31,6401 CONGRESS AVENUE SUITE 215,BOCA RATON,United States,33487,FL,ROBERT@FARFROMBORING.COM,Foreign,2020-03-02,FL,FL,False,False,False,False,False,Business to Business Electronic Markets (425110),425110.0,2021-11-10 00:08:35.7166667,Annual report past due,2020-01-01,FARFROMBORING PROMOTIONS.COM LLC,,United States,,,,,"6401 CONGRESS AVENUE SUITE 215, BOCA RATON, FL, 33487, United States",6401 CONGRESS AVENUE SUITE 215,BOCA RATON,FL,33487,United States,"6401 CONGRESS AVENUE SUITE 215, BOCA RATON, FL, 33487, United States",6401 CONGRESS AVENUE SUITE 215,BOCA RATON,FL,33487,United States,
MERCEDES VENEGAS LLC,LLC,Active,1337959,2021-03-31,45 HIGH ST,NORWALK,United States,06851,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:08:35.7466667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"JVP CAPITAL, LLC",LLC,Dissolved,1337960,2021-03-31,171 ELLIS STREET,NEW BRITAIN,United States,06051,CT,JVPCAPITALLLC@GMAIL.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:35.7466667,,,,,,,2021-03-15T00:00:00.000,,,,,,,,,,,,,,,
"C&C PROPERTY GROUP, LLC",LLC,Active,1337962,2022-03-31,387 EAST 153RD STREET,BRONX,United States,10455,NY,NSTYNY@AOL.COM,Foreign,2020-03-02,NV,NV,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.7466667,,2020-03-02,"C&C PROPERTY GROUP, LLC",,United States,,,,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,
"19 RAILROAD AVENUE, LLC",LLC,Active,1337963,2021-03-31,19 RAILROAD AVENUE,GREENWICH,United States,06830,CT,AWARD@MHLAWYERS.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7466667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"HUGS AND LOVES, INC.",Non-Stock,Active,1337964,2020-05-31,No information provided,,,,,KUNJANPATEL@MAC.COM,Domestic,2020-03-02,CT,Connecticut,False,False,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",711310.0,2021-11-10 00:08:35.7466667,First report past due,,,,,,,Failure to file First Report,,,,,,,,,,,,,,
