name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,mailing_address
NAZIRA LLC,LLC,Active,Annual report past due,1364745,2021-03-31,302 DUNFEY LN,WINDSOR,United States,06095,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
KLEM ELECTRIC & SUN LLC,LLC,Active,,1364746,2022-03-31,234 MIDDLE RIVER RD,DANBURY,United States,06811,CT,justcl@comcast.net,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
CARING HEARTS & MORE LLC,LLC,Active,Annual report past due,1364747,2021-03-31,3371 DECATUR AVENUE,BRONX,United States,10467,NY,EFILE1234@INCFILE.COM,Domestic,2020-11-02,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
UPLIFTHER BEAUTY LLC,LLC,Active,Annual report past due,1364750,2021-03-31,3212 BIGELOW  COMMONS,ENFIELD,United States,06082,CT,INFO@UPLIFTHERBEAUTY.COM,Domestic,2020-11-02,CT,Connecticut,True,False,True,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
SILVA HOME IMPROVEMENT LLC,LLC,Active,Annual report past due,1364752,2021-03-31,124 HANOVER ST,MERIDEN,United States,06401,CT,LEONEPORTO16@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
THE STANTON GROUP LLC,LLC,Active,Annual report past due,1364753,2021-03-31,29 FARMSTEAD LANE,WEST HARTFORD,United States,06117,CT,DD@STANTONCAP.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:12:34.9300000,,,,,,,,,,,,,,,,,,,,,,,,,
BRANFORD MARKETS LLC,LLC,Active,Annual report past due,1364754,2021-03-31,610 LONGFELLOW DR,BRANFORD,United States,06405,CT,FLUFFYBLUEFOX01@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Specialty Food Stores (445299),445299.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
"RTG MANAGEMENT, LLC",LLC,Active,,1364756,2022-03-31,305 SOUTH MAIN STREET,MANCHESTER,United States,06040,CT,steve@giamalis.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
HOME IMPROVEMENT GARCIA SOLUTIONS LLC,LLC,Active,Annual report past due,1364757,2021-03-31,13 ACADEMY ST,NORWALK,United States,06850,CT,TAXCENTERCT@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
"THE BEST MAN FOR THE JOB IS A WOMAN,LLC",LLC,Active,Annual report past due,1364758,2021-03-31,"30 SILVER SANDS RD , E -14",EAST HAVEN,United States,06512,CT,RKASJ007@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,True,False,True,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
STANTON REAL ESTATE PARTNERS LLC,LLC,Active,,1364760,2022-03-31,41 Crossroads Plz,West Hartford,United States,06117,CT,DD@STANTONCAP.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.2600000,,,301,,,,,,,,,,,,,,,,,,,,,,
THROTTLE UP USA LLC,LLC,Active,,1364761,2022-03-31,95 GAYLORD MOUNTAIN ROAD,BETHANY,United States,06524,CT,contact@throttleupusa.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",451120.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
RIVER ASSOCIATES LLC,LLC,Active,,1364762,2022-03-31,460 FRONTAGE ROAD,WEST HAVEN,United States,06516,CT,agallo@stardistributors.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
ZERULL ENTERPRISES LLC,LLC,Active,,1364763,2022-03-31,140 WATER STREET,CANTERBURY,United States,06331,CT,jim_zerull@yahoo.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
OLD ROUTE 8 ASSOCIATES LLC,LLC,Active,,1364764,2022-03-31,460 FRONTAGE ROAD,WEST HAVEN,United States,06516,CT,agallo@stardistributors.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
INTERNATIONAL NEW HOPE FOR REFUGEES LLC,LLC,Active,,1364765,2022-03-31,418 WHALLEY AVE,NEW HAVEN,United States,06511,CT,janetk26@yahoo.com,Domestic,2020-11-02,CT,Connecticut,True,False,True,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",484122.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
GJ AGENCY LLC,LLC,Active,,1364766,2022-03-31,372 MIDDLE TURNPIKE WEST,MANCHESTER,United States,06040,CT,gjimenez18@yahoo.com,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
WE HAVE TO GO BACK LLC,LLC,Active,,1364768,2022-03-31,31 JUNE STREET,DUDLEY,United States,01571,CT,compliance@zenbusiness.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
BLINK BEAUTY BAR LLC,LLC,Active,Annual report past due,1364769,2021-03-31,31 LEBRIA ROAD,WEST SUFFIELD,,06093,CT,BLINKNEWENGLAND@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
EYE 90 PRODUCTIONS LLC,LLC,Active,,1364770,2022-03-31,"243 WEAVER STREET, APT 9A",GREENWICH,United States,06831,CT,davehbo@aol.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
"AMERICAN DETECTION DOG FOUNDATION, INC.",Non-Stock,Active,Annual report due,1364771,2021-12-08,85 LARCHMONT CIRCLE,STRATFORD,,06614,CT,david@blackrockcanines.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Animal Production (112990),112990.0,2021-11-10 00:12:36.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
"BALI BUILDING MAINTENANCE, LLC",LLC,Active,,1364773,2022-03-31,300 LENORA ST SUITE 167,SEATTLE,United States,98121,WA,BALIBUILDING@OUTLOOK.COM,Foreign,2020-11-02,WA,WA,False,False,False,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:12:36.9466667,,,,2020-12-31,"BALI BUILDING MAINTENANCE, LLC",United States,"300 LENORA ST SUITE 167, SEATTLE, WA, 98121, United States",300 LENORA ST SUITE 167,SEATTLE,WA,98121,United States,"300 LENORA ST SUITE 167, SEATTLE, WA, 98121, United States",300 LENORA ST SUITE 167,SEATTLE,WA,98121,United States,,,,,,,
RG SOLUTIONS LLC,LLC,Active,,1364774,2022-03-31,804 AVERY STREET,SOUTH WINDSOR,United States,06074,CT,rajeshgandre@yahoo.com,Domestic,2020-11-02,CT,Connecticut,False,False,True,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"CONSTITUTION REALTY MANAGEMENT, LLC",LLC,Active,,1364775,2022-03-31,100 AVON MEADOW LANE,AVON,United States,06001,CT,katiecistulli@cbfs.us,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
THE PROESTAKES GROUP LLC,LLC,Active,,1364776,2022-03-31,327 HOLLOW ROAD,ORANGE,United States,06477,CT,vproestakes@sbcglobal.net,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Offices of Other Holding Companies (551112),,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"CROSSFORD INTERNATIONAL II, LLC",LLC,Active,Annual report past due,1364778,2021-03-31,420 WEST AVENUE,STAMFORD,United States,06902,CT,TKANE@GOODWAY.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"BELDEN DESPRES ASSOCIATES, INC",Stock,Active,First report past due,1364779,2021-01-31,No information provided,,,,,JIM.BELDEN@YAHOO.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Construction Material Merchant Wholesalers (423390),423390.0,2021-11-10 00:12:36.9466667,,100.0,,,,,,,,,,,,,,,,,,,,,,,
NIKOLE RAY PRODUCTIONS LLC,LLC,Active,,1364780,2022-03-31,20 NINA CT,WATERBURY,United States,06704,CT,NikoleRayProductions@gmail.com,Domestic,2020-11-02,CT,Connecticut,True,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"NNVMM HOLDINGS, LLC",LLC,Active,Annual report past due,1364781,2021-03-31,38 HUNDLEY COURT,STAMFORD,United States,,CT,GOLTDOYWBK@MM.ST,Foreign,2020-11-02,DE,DE,False,False,False,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:12:36.9466667,,,,2020-11-01,"NNVMM HOLDINGS, LLC",United States,"8 THE GREEN, SUITE B, DOVER, DE, United States","8 THE GREEN, SUITE B",DOVER,DE,,United States,"8 THE GREEN, SUITE B, DOVER, DE, United States","8 THE GREEN, SUITE B",DOVER,DE,,United States,,,,,,,
"TREETOP FLYER, LLC",LLC,Active,,1364782,2022-03-31,3 JULIANO DRIVE,OXFORD,United States,06478,CT,accounting@flytradewind.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Nonscheduled Air Transportation (481219),481219.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
DOT DOT EAT LLC,LLC,Active,,1364783,2022-03-31,55 HODDER DR,HAMDEN,United States,06514,CT,accounting@dotdoteat.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
CF MULNITE LLC,LLC,Active,,1364784,2022-03-31,"127 WASHINGTON AVE WEST BUILDING, LOWER LEVEL",NORTH HAVEN,United States,06473,CT,legal@greenskies.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),221114.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"BDR REAL ESTATE INVESTMENTS, LLC",LLC,Active,,1364785,2022-03-31,91 WATERBURY ROAD,PROSPECT,United States,06712,CT,harry@bigdipper.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
GOODSPEED AIR SERVICE LLC,LLC,Active,,1364787,2022-03-31,280 SOUTH STREET,MIDDLEBURY,,06762,CT,ACCOUNTING@FLYTRADEWIND.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Nonscheduled Air Transportation (481219),481219.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
ELEVATE MASSAGE THERAPY LLC,LLC,Active,Annual report past due,1364788,2021-03-31,405 HIGH ST,EAST HARTFORD,United States,06118,CT,P.TALBOT.LMT@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
JOSE ANGEL PILAMUNGA YUQUILEMA LLC,LLC,Active,Annual report past due,1364789,2021-03-31,58 MARCONI AVE,BRISTOL,United States,06010,CT,ESTEVEZKATIUSCA@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
"GOLDEN BOY AUTO DETAILING, LLC",LLC,Active,Annual report past due,1364790,2021-03-31,119 PINE HILL AVENUE,STAMFORD,United States,06906,CT,S.IRIZARRY13@YAHOO.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",811121.0,2021-11-10 00:12:36.9466667,,,,,,,,,,,,,,,,,,,,,,,,,
KOZY BOUTIQUE LLC,LLC,Active,Annual report past due,1364792,2021-03-31,2246 CORBIN AVE,NEW BRITAIN,United States,06053,CT,KAYLASERGEANT2018@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Other Direct Selling Establishments (454390),454390.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
LA BEFANA AND FRIENDS LLC,LLC,Active,Annual report past due,1364793,2021-03-31,300 MUNGERTOWN RD,MADISON,United States,06443,CT,BEFANAANDFRIENDS@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
CF BOOMBRIDGE LLC,LLC,Active,,1364794,2022-03-31,"127 WASHINGTON AVE WEST BUILDING, LOWER LEVEL",NORTH HAVEN,United States,06473,CT,legal@greenskies.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),221114.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
HOT DEALZ LLC,LLC,Active,,1364795,2022-03-31,6238 BIGELOW COMMONS BUILDING #6 APARTMENT #238,ENFIELD,United States,06082,CT,HOTDEALZLLC2020@GMAIL.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
"AAAMM, INC.",Stock,Active,Annual report past due,1364796,2021-11-02,9 RIDGE COURT,OAKVILLE,United States,06779,CT,MULLAMARCEL@YAHOO.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:12:37.5866667,,1000.0,,,,,,,,,,,,,,,,,,,,,,,
"HERITAGE PRIVATE NURSING, INC.",Stock,Active,Annual report past due,1364798,2022-02-25,174 SOUTH ROAD,ENFIELD,United States,06082,CT,AMY.MCLEOD@HERITAGEPRIVATENURSING.COM,Domestic,2020-11-02,CT,Connecticut,True,False,False,False,False,Home Health Care Services (621610),621610.0,2021-11-10 00:12:37.5866667,,100.0,,,,,,,,,,,,,,,,,,,,,,,
GRACE TRANSPORTATION LLC,LLC,Active,,1364800,2022-03-31,22 SPRING STREET,DANBURY,United States,06810,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
FOREVER HOMES CONTRACTING LLC,LLC,Active,Annual report past due,1364801,2021-03-31,25 PAULA LN,WATERFORD,United States,06385,CT,EFILE1234@INCFILE.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
MERRILL PERSONAL BOOKKEEPING LLC,LLC,Active,,1364803,2022-03-31,53 LATHROP AVENUE,PAWCATUCK,United States,06379,CT,wmemerrill@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Accounting Services (541219),541219.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
"BALD HEAD ISLAND, INC.",Stock,Active,,1364804,2022-10-15,431 Poquonock Ave,Windsor,United States,06095-2465,CT,JIVIMEY@RRLAWPC.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:37.5866667,,500.0,,,,,,,,,,,,,,,,,2020-10-20,,,,,,
THE SMOKE SHOP LLC,LLC,Active,,1364806,2022-03-31,60 MAIN STREET,WINDSOR LOCKS,United States,06096,CT,MOHAMMADTANASH@ICLOUD.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Tobacco Stores (453991),453991.0,2021-11-10 00:12:37.5866667,,,,,,,,,,,,,,,,,,,,,,,,,
LEO CLARKE CORP.,Stock,Active,First report past due,1364809,2021-01-31,No information provided,,,,,,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:38.2600000,,1.0,,,,,,,,,,,,,,,,,,,,,,,
EXILE VAPOR INC.,Stock,Active,First report past due,1364810,2021-01-31,No information provided,,,,,,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:38.2600000,,10000.0,,,,,,,,,,,,,,,,,,,,,,,
"COMPUCOLOR, LLC",LLC,Active,Annual report past due,1364811,2021-03-31,680 E MAIN ST STE 511,STAMFORD,United States,06901,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:38.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
KNOWBUCKS LLC,LLC,Active,,1364812,2022-03-31,85 GRANDVIEW AVENUE,HAMDEN,United States,06514,CT,support@knowbucks.com,Domestic,2020-11-02,CT,Connecticut,False,False,True,False,False,All Other Personal Services (812990),523930.0,2021-11-10 00:12:38.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
JAY'S SNOW REMOVAL LLC,LLC,Active,Annual report past due,1364813,2021-03-31,196 NORTON ST,NEW HAVEN,United States,06511,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:38.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
NYCE ENTERTAINMENT GROUP LLC,LLC,Active,Annual report past due,1364814,2021-03-31,108 W CEDAR ST APT 302,NORWALK,United States,06854,CT,BGILCHRIST@NYCEENTERTAINMENTGROUP.COM,Domestic,2020-11-02,CT,Connecticut,False,False,True,False,False,Sound Recording Studios (512240),512240.0,2021-11-10 00:12:38.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
"PALMER TRAILER SALES CO, INC.",Stock,Active,,1364815,2022-11-02,1158 PARK STREET,PALMER,United States,01069-1609,MA,ELAINE@PTSSUPPLY.COM,Foreign,2020-11-02,MA,MA,False,False,False,False,False,Hardware Merchant Wholesalers (423710),423710.0,2021-11-10 00:12:38.2600000,,,,2020-11-02,"PALMER TRAILER SALES CO, INC.",United States,,,,,,,,,,,,,,,,,,,
ZYNNYX LLC,LLC,Active,,1364816,2022-03-31,494 BRIDGEPORT AVENUE SUITE 101 #302,SHELTON,United States,06484,CT,kynnyxllc@gmail.com,Domestic,2020-11-02,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:12:38.2600000,,,,,,,,,,,,,,,,,,,,,,,,,
