name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,category_survey_email_address,date_of_organization_meeting,mailing_international_address
SKURBOSCH LLC,LLC,Active,1343007,2022-03-31,1117 E PUTNAM AVE,RIVERSIDE,United States,06878,CT,store1217@theupsstore.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Office Supplies and Stationery Stores (453210),453210.0,2021-11-10 00:08:40.1066667,,,,,,,,,,,,,,,,,,,,,,,
MEANT2BE GIVERS INC.,Non-Stock,Active,1343008,2020-07-30,No information provided,,,,,M2BGIVERS@YAHOO.COM,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Other Warehousing and Storage (493190),493190.0,2021-11-10 00:08:40.1066667,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
MATEO MORONTA LLC,LLC,Active,1343010,2022-03-31,"1261 MERRIAM AVENUE, APT. 6B",BRONX,United States,10452,NY,info@mateomorontallc.com,Domestic,2020-05-01,NY,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.1233333,,,,,,,,,,,,,,,,,,,,,,,
"EMERALD EYES APIARY ""LLC""",LLC,Active,1343012,2022-03-31,199 LANYON DR,CHESHIRE,United States,06410,CT,JOHNRCRCRN@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Apiculture (112910),,2021-11-10 00:08:40.1233333,,,,,,,,,,,,,,,,,,,,,,,
ANGELIC BEAUTY LLC,LLC,Dissolved,1343013,2021-03-31,75 CITY AVE,NEW BRITAIN,United States,06051,CT,ANGELICBEAUTYCEO@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:40.1233333,,,,2021-03-06T00:00:00.000,,,,,,,,,,,,,,,,,,,
FLOW LLC,LLC,Active,1343014,2021-03-31,20 CHELSEA STREET,FAIRFIELD,United States,06824,CT,MARGARET.SAHAGIAN@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:40.1233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
PMJ PROPERTIES LLC,LLC,Dissolved,1343015,2021-03-31,49 WHITE ST,WEST HAVEN,United States,06516,CT,PHILMJR@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.1233333,,,,2021-02-05T00:00:00.000,,,,,,,,,,,,,,,,,,,
CHICUCUA CLEANING SERVICES MAINTENANCE LLC,LLC,Active,1343016,2021-03-31,1895 PARK ST,HARTFORD,United States,06106,CT,CHICUCUASERVICESLLC@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.1233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
TEM ONLINE INNOVATIONS LLC,LLC,Active,1343017,2021-03-31,1107 NORTH HIGH STREET,EAST HAVEN,United States,06512,CT,LLCSUPPORT@PRIMECORPORATESERVICES.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:08:40.1233333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"GIRL ON THE BALL SOLUTIONS, LLC",LLC,Active,1343018,2022-03-31,8 MESSEX LANE,WESTON,United States,06883,CT,marie@girlontheballsolutions.com,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Marketing Consulting Services (541613),,2021-11-10 00:08:40.1233333,,,,,,,,,,,,,,,,,,,,,,,
BY MORRIS HOUSE LLC,LLC,Active,1343020,2021-03-31,27 SPRING STREET,VERNON-ROCKVILLE,United States,06066,CT,BY.MORRISHOUSE@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Voluntary Health Organizations (813212),813212.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
BLUSH & BEAUTY LLC,LLC,Active,1343021,2021-03-31,56 ARBOR ST SUITE 401,HARTFORD,United States,06107,CT,INFO@BLUSHANDBEAUTY.STUDIO,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"WOODLAND ASSOCIATION, INC.",Non-Stock,Active,1343022,2022-06-17,15 MEIGS AVENUE,MADISON,United States,06443,CT,DRMIRANTE@DRMIRANTE.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:40.1533333,,,,,,,,,,,,,,,,,,,,,,,
BROS MINI MART LLC,LLC,Active,1343023,2021-03-31,245 SPRUCE ST,MANCHESTER,,06040,CT,FOREIGNTEAMCT@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"ACE INSURANCE SERVICES OF FLORIDA,LLC.",LLC,Active,1343025,2022-03-31,2155 N STATE RD 7,MARGATE,United States,33063,FL,managedreports@incorp.com,Foreign,2020-05-01,FL,FL,False,False,False,False,False,Insurance Agencies and Brokerages (524210),524210.0,2021-11-10 00:08:40.1533333,,,,,2020-05-01,"ACE INSURANCE SERVICES OF FLORIDA,LLC.",United States,"2155 N STATE RD 7, MARGATE, FL, 33063, United States",2155 N STATE RD 7,MARGATE,FL,33063,United States,"2155 N STATE RD 7, MARGATE, FL, 33063, United States",2155 N STATE RD 7,MARGATE,FL,33063,United States,,,,
THE ART OF BULL LLC,LLC,Active,1343026,2021-03-31,555 ASYLUM AVE APT 301,HARTFORD,United States,06105,CT,PUREBULLDESIGN@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,True,False,False,"Independent Artists, Writers, and Performers (711510)",711510.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
INDEPENDENT CONNECTS LLC,LLC,Active,1343027,2021-03-31,15 LEWIS ST STE 302,HARTFORD,United States,06103,CT,INDEPENDENTCONNECTSNOW@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
CHE BEAUTY LLC,LLC,Active,1343028,2021-03-31,585 HUNTINGTON ROAD,BRIDGEPORT,United States,06610,CT,RICKETTSSHANEKA@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
SILVA'S REALTY 1 LLC,LLC,Active,1343032,2022-03-31,901 MADISON AVENUE,BRIDGEPORT,United States,06606,CT,depo7@aol.com,Foreign,2020-05-01,FL,FL,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:08:40.1533333,,,,,2020-05-01,SILVA'S REALTY LLC,United States,"502 LINDELL BLVD, DELRAY BEACH, FL, 33444, United States",502 LINDELL BLVD,DELRAY BEACH,FL,33444,United States,"502 LINDELL BLVD, DELRAY BEACH, FL, 33444, United States",502 LINDELL BLVD,DELRAY BEACH,FL,33444,United States,,,,
FERRARO LAWN CARE SERVICE LLC,LLC,Active,1343033,2021-03-31,256 S BROOKSVALE RD,CHESHIRE,United States,06410,CT,FERRAROLAWNCARESERVICE@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:08:40.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
TINY TALKERS INC,Stock,Active,1343034,2020-07-30,No information provided,,,,,JBKPERFORMANCE@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,True,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:08:40.1533333,First report past due,Failure to file First Report,1.0,,,,,,,,,,,,,,,,,,,,
BEACH BAGGER AUDIO LLC,LLC,Active,1343035,2022-03-31,106 EVERGREEN RD,VERNON,United States,06066,CT,beachbaggeraudio@gmail.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Electronics Stores (443142),443142.0,2021-11-10 00:08:40.1533333,,,,,,,,,,,,,,,,,,,,,,,
SAEZ TRANSPORT LLC,LLC,Active,1343038,2021-03-31,9 THISTLE LN APT D,ENFIELD,United States,06082,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
COVICLEAN LLC,LLC,Dissolved,1343039,2021-03-31,22 PEHR LN,CHESHIRE,United States,06410,CT,EFILE1234@INCFILE.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,,,,2021-08-11T00:00:00.000,,,,,,,,,,,,,,,,,,,
IESOLUTIONS LLC,LLC,Active,1343040,2022-03-31,70 BEHRENS ROAD,NEW HARTFORD,United States,06057,CT,compliance@zenbusiness.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Other Electronic and Precision Equipment Repair and Maintenance (811219),811219.0,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
GTPARTNERS LLC,LLC,Active,1343041,2022-03-31,60 KENSETT,DARIEN,United States,06820,CT,one@ghinzo.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
GARGANO PASTA LLC,LLC,Active,1343042,2021-03-31,16 BUSINESS PARK DRIVE,BRANFORD,United States,06405,CT,ENRIGHT@HALLORANSAGE.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"WHOLE HEART ART THERAPY & CREATIVE COUNSELING, LLC",LLC,Active,1343043,2022-03-31,303 CHURCH ST,GUILFORD,United States,06437,CT,ashley@wholeheartarttherapy.com,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621399.0,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
CUCUSO CLEANING SERVICES LLC,LLC,Active,1343044,2021-03-31,510 LOMBARD STREET,NEW HAVEN,United States,06513,CT,MARIBELJIMENEZCRUZADO@YAHOO.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
F.R ACOUSTICAL CEILINGS LLC,LLC,Active,1343045,2021-03-31,1273 TOWNSEND AVE,NEW HAVEN,United States,06513,CT,EPEREZ@LUCEROMULTISERVICES.COM,Domestic,2020-05-01,CT,Connecticut,False,False,True,False,False,Drywall and Insulation Contractors (238310),238310.0,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
GREENWICH CONCIERGE & PROPERTY MANAGEMENT LLC,LLC,Active,1343046,2021-03-31,236 BEDFORD RD,GREENWICH,United States,06831,CT,GREENWICHCONCIERGE203@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
LITTLE STICK CORP.,Stock,Active,1343047,2021-05-01,2620 NICHOLS AVENUE,STRATFORD,United States,06614,CT,,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:08:40.2000000,Annual report past due,,100.0,,,,,,,,,,,,,,,,,,,,
SKELETON KEY CYBER SECURITY LLC,LLC,Active,1343048,2022-03-31,46 IDLEWOOD,BETHEL,United States,06801,CT,info@skeletonkeycybersecurity.com,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Other Scientific and Technical Consulting Services (541690),541690.0,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,,,,
SPACEBAR TECH LLC,LLC,Active,1343049,2022-03-31,1011 Washington Blvd,Stamford,United States,06901,CT,ashok.subedi009@gmail.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:40.2000000,,,,,,,,,,,,,,,,,,,,Apt 1306,,,
ALPHA ECOMM 2 LLC,LLC,Active,1343050,2021-03-31,1700 DIXWELL AVE BLD D SUITE K,HAMDEN,United States,06514,CT,ALPHAHOLDINGSCT@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.2000000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
DR. LISTY A. THOMAS M.D. INC.,Stock,Active,1343051,2021-05-04,36 MILL PLAIN RD SUITE 209 36 MILL PLAIN RD,DANBURY,United States,06811,CT,LISTYT@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,2021-11-10 00:08:40.2000000,Annual report past due,,1000.0,,,,,,,,,,,,,,,,,,,,
"RESOURCE FINANCIAL SERVICES, INC.",Stock,Active,1343052,2022-05-01,2717 DEVINE STREET,COLUMBIA,United States,29205,SC,csternenberg@rfsemail.com,Foreign,2020-05-01,SC,SC,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,2021-11-10 00:08:40.2000000,,,,,2020-05-01,"RESOURCE FINANCIAL SERVICES, INC.",United States,,,,,,,,,,,,,,,,
"ENSORCELLED CREATIONS, LLC",LLC,Dissolved,1343053,2022-03-31,23 ABBEY ROAD,EAST HAMPTON,United States,06424,CT,CINDY.AGNELLO@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Other Direct Selling Establishments (454390),,2021-11-10 00:08:40.2000000,,,,2021-08-23T00:00:00.000,,,,,,,,,,,,,,,,,,,
FINAL 500 LLC,LLC,Active,1343055,2022-03-31,1010 ATLANTIC STREET,BRIDGEPORT,United States,06604,CT,bkeuch@wintechracing.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Sporting and Recreational Goods and Supplies Merchant Wholesalers (423910),423910.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
INCHWORM LLC,LLC,Active,1343056,2021-03-31,399 STANWICH ROAD,GREENWICH,United States,06830,CT,KAWRIGHT6701@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
KHRONOS BEAUTY LLC,LLC,Active,1343057,2021-03-31,250 WESTPORT AVE.,NORWALK,United States,06851,CT,KHRONOSBEAUTY@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
BASEBALL DEVELOPMENT LLC,LLC,Active,1343058,2021-03-31,1223 TOWN RIDGE,MIDDLETOWN,United States,06457,CT,RORYDERWIN@LIVE.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",711320.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
LIFE GUARD ENTERTAINMENT LLC,LLC,Active,1343059,2021-03-31,108 CLIFF ST.,SHELTON,United States,06484,CT,PROMISEBX@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
DAGOODCHEF & COMPANY LLC,LLC,Active,1343061,2022-03-31,737 S QUAKER LANE,WEST HARTFORD,United States,06110,CT,RICARDOMCDONALD63@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
HARAGUCHI FREEMONT LLC,LLC,Active,1343062,2022-03-31,56 GISELLA RD,TRUMBULL,United States,06611,CT,Jennharaguchi@gmail.com,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
BENTZY II LLC,LLC,Active,1343063,2022-03-31,399 WHALLEY AVE SUITE 103,NEW HAVEN,United States,06511,CT,leibi@mandymanagement.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
CMA ENGINEERS INCORPORATED,Stock,Active,1343064,2022-07-20,35 BOW STREET,PORTSMOUTH,United States,03801,NH,cmusselman@cmaengineers.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Environmental Consulting Services (541620),541620.0,2021-11-10 00:08:40.7800000,,,3062.0,,,,,,,,,,,,,,,,,,gary.scappini@wolterskluwer.com,,
"WETHERSFIELD YOUTH FOOTBALL AND CHEERLEADING, INC.",Non-Stock,Active,1343065,2022-05-01,590 WOLCOTT HILL ROAD,WETHERSFIELD,United States,06109,CT,CSIFNAKIS@HOTMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
TERRANOVA CONSULTING LLC,LLC,Active,1343066,2022-03-31,52 COBBLESTONE WAY,WINDSOR,United States,06095,CT,Jodyterranova@hotmail.com,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
"ASCENT, LLC",LLC,Active,1343067,2022-03-31,2350 BALL DRIVE,SAINT LOUIS,United States,63146,MO,project.coordinator@ascentcorp.com,Foreign,2020-05-01,MO,MO,False,False,False,False,False,Engineering Services (541330),,2021-11-10 00:08:40.7800000,,,,,2020-05-18,"ASCENT, LLC",United States,"2350 BALL DRIVE, SAINT LOUIS, MO, 63146, United States",2350 BALL DRIVE,SAINT LOUIS,MO,63146,United States,"2350 BALL DRIVE, SAINT LOUIS, MO, 63146, United States",2350 BALL DRIVE,SAINT LOUIS,MO,63146,United States,,,,
"BEAR MT BOSTON, LLC",LLC,Active,1343068,2022-03-31,130 SOUTH MAIN ST. SUITE 207,THOMASTON,United States,06787,CT,jdoyle@bearmountainhc.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
U.S.A CONSTRUCTION LLC,LLC,Active,1343069,2022-03-31,180 ROSETTE ST,NEW HAVEN,United States,06519,CT,buildright07@gmail.com,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
BUSINESS & HEALTHCARE LLC,LLC,Active,1343070,2022-03-31,44 N PLAINS INDUSTRIAL RD,WALLINGFORD,United States,06492,CT,EVERETT@ABAPC.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:08:40.7800000,,,,,,,,,,,,,,,,,,,,,,,
RIGHT2HOME LLC,LLC,Active,1343071,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
ALVES ANDRADE CONSTRUCTION LLC,LLC,Active,1343072,2021-03-31,72 TOWN HILL AVE APT A,DANBURY,United States,06810,CT,RMINSURANCE@SBCGLOBAL.NET,Domestic,2020-05-01,CT,Connecticut,False,False,True,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:40.7800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
SAN MIGUEL KRDL CO,Non-Stock,Active,1343073,2021-07-16,566 WEST 162 STREET 3 COLBY CT,NEW HAVEN,United States,06515,CT,ECAPELLAN326@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,True,False,True,False,False,Professional Organizations (813920),813920.0,2021-11-10 00:08:40.8100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
"DRH INNOVATIVE CAPITAL MANAGEMENT, LLC",LLC,Active,1343074,2022-03-31,12 DEVONSHIRE DRIVE,DANBURY,United States,06811,CT,drholl@yahoo.com,Domestic,2020-05-01,CT,Connecticut,True,False,False,False,False,Miscellaneous Financial Investment Activities (523999),523999.0,2021-11-10 00:08:40.8100000,,,,,,,,,,,,,,,,,,,,,,,
"MEDARDO REALTY, LLC",LLC,Active,1343078,2021-03-31,11 WEST ROAD,BETHLEHEM,United States,06751,CT,MARMENN@EARTHLINK.NET,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:40.8100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
MAGIC TOOL LLC,LLC,Active,1343079,2021-03-31,533 GARFIELD AVENUE,BRIDGEPORT,United States,06606,CT,JANAEB1221@GMAIL.COM,Domestic,2020-05-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:40.8100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,
