name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,category_survey_email_address,total_authorized_shares,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_address,reason_for_administrative,date_of_organization_meeting,billing_unit
CASA DE LOPEZ LLC,LLC,Active,1340759,2021-03-31,,143 N MAIN STREET,ANSONIA,United States,06401,CT,MALDONADOSBC@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
"BRPH ARCHITECTS ENGINEERS, INC.",Stock,Active,1340761,2022-04-01,2020-04-01,5700 N HARBOR CITY BLVD. SUITE 400,MELBOURNE,United States,32940,FL,Compliancemail@cscinfo.com,"BRPH ARCHITECTS ENGINEERS, INC.",Foreign,United States,2020-04-01,FL,FL,False,False,False,False,False,Architectural Services (541310),813920.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
KENDRICK PAINTING LLC,LLC,Active,1340762,2021-03-31,,50 HILLSIDE AVE,CHESHIRE,United States,06410,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
"T. DAVIDOW CONSULTING, LLC",LLC,Active,1340763,2022-03-31,,111 HUCKLEBERRY HILL ROAD,WILTON,United States,06897,CT,tony@tdavidowconsulting.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
39-41 ARGYLE LLC,LLC,Active,1340764,2022-03-31,,81 DORAL LANE,SOUTHINGTON,United States,06489,CT,mbarmore@cox.net,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
EMPERIOR ESSENTIALS LLC,LLC,Active,1340765,2021-03-31,,6 LAURA JANE LANE,GRISWOLD,United States,06351,CT,BRENDONDOYLE43@YAHOO.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Clothing Stores (448190),448190.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
EWARO'S PAINTING LLC,LLC,Active,1340766,2022-03-31,,671 BEECHWOOD AVE APT2,BRIDGEPORT,United States,06605,CT,documents@lasamericastax.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
C SULLIVAN SCIENCE LLC,LLC,Active,1340767,2021-03-31,,211 BRANDY HILL ROAD,VERNON,United States,06066,CT,CARA.ESU@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:35.7000000,,,Annual report past due,,,,,,,,,,,,,,,,,
JENNY CONSULTING LLC,LLC,Active,1340768,2022-03-31,,645 REEF RD,FAIRFIELD,United States,06824,CT,JENNYBERKEY1@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Business Support Services (561499),561499.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
THE CORDIDO GROUP LLC,LLC,Active,1340769,2022-03-31,,142 TEMPLE STREET SUITE 101,NEW HAVEN,United States,06510,CT,rcordido@thecordidogroup.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,True,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
BEYOND BOOKKEEPING & ACCOUNTING LLC,LLC,Active,1340770,2022-03-31,,26 PILGRIM LANE,MANCHESTER,United States,06040,CT,filings@corpnet.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Accounting Services (541219),,2021-11-10 00:08:35.7000000,,,,,,,,,,,,,,,,,,,,
BRANDT ELECTRICAL SERVICES LLC,LLC,Active,1340771,2021-03-31,,390 STAFFORD AVE,BRISTOL,United States,06010,CT,BIGBRANDT@SBCGLOBAL.NET,,Domestic,,2020-04-01,CT,Connecticut,False,True,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
ZAHRA BUILDING & MANAGEMENT LLC,LLC,Active,1340772,2021-03-31,,62 BLOOMER ROAD,RIDGEFIELD,United States,06877,CT,JOEZAHRA1950@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
HEWES MEDIA GROUP LLC,LLC,Active,1340773,2021-03-31,,237 BRICK TOP ROAD,WINDHAM,United States,06280,CT,HEWESMG@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,True,False,False,Communication Equipment Repair and Maintenance (811213),811213.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
FREEDOM PRIMARY CARE LLC,LLC,Active,1340774,2022-03-31,,45 RUSSELL STREET,NEW BRITAIN,United States,06052,CT,drjoy@freedomprimarycare.com,,Domestic,,2020-04-01,CT,Connecticut,True,True,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
"ARTBINGES, LLC",LLC,Active,1340775,2021-03-31,,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,NE@NORTHWESTREGISTEREDAGENT.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
SABES OPERATING LLC,LLC,Active,1340776,2021-03-31,,177 WEST PUTNAM AVE,GREENWICH,United States,06831,CT,HESS@SABESCAPITAL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
"SKYLINE CONSULTING, LLC BRANFORD",LLC,Active,1340777,2022-03-31,,24 MARKS COURT,BRANFORD,United States,06405,CT,skylineconsultingllc@outlook.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Engineering Services (541330),541330.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
EDWIN DELIVERY AND CLEANING SERVICES LLC,LLC,Active,1340778,2021-03-31,,419 TALCOTTVILLE RD,VERNON ROCKVILLE,United States,06066,CT,MONASPIKE@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,True,False,False,All Other Business Support Services (561499),561499.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
ROLDAO SERVICES LLC,LLC,Active,1340779,2021-03-31,,60 NEW HAMPSHIRE DR,NEW BRITAIN,United States,06052,CT,MONASPIKE@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,True,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
DARIAS INVESTMENTS LLC,LLC,Active,1340780,2021-03-31,,13 RAVEN CREST DR,BETHEL,United States,06801,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
LEETE ENTERPRISES LLC,LLC,Active,1340782,2021-03-31,,93 WOODVALE ROAD,WEST HAVEN,United States,06516,CT,ROBLIBERTI@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
ALWAYS A LADY CREATIONS LLC,LLC,Active,1340784,2022-03-31,,231 JUDWIN AVE,NEW HAVEN,United States,06515,CT,alwaysaladycreations@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,True,False,False,Clothing Accessories Stores (448150),448150.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
"EMS, LLC",LLC,Active,1340785,2022-03-31,,15 STRICKLAND ROAD,COS COB,United States,06807,CT,CLS-CTARMSevidence@wolterskluwer.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
"Exact Carpentry, LLC",LLC,Active,1340786,2021-03-31,,67 OAK STREET,MANCHESTER,United States,06040,CT,SHOCKNAWE10@ICLOUD.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:35.7300000,,,Annual report past due,,,,,,,,,,,,,,,,,
SUPPLIERS LLC,LLC,Dissolved,1340787,2022-03-31,,430 Meloy Rd,West Haven,United States,06516-2138,CT,info@rekaby1040.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),423990.0,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,2021-08-31T00:00:00.000,,,,
BIZ START SMART CONSULTING LLC,LLC,Active,1340788,2022-03-31,,7 CROZIER COURT,OXFORD,United States,06478,CT,nmickens.work@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,True,False,False,Other Management Consulting Services (541618),,2021-11-10 00:08:35.7300000,,,,,,,,,,,,,,,,,,,,
DANCAMERA STUDIO LLC,LLC,Active,1340789,2022-03-31,,153 SUNRISE HILL CIRCLE,ORANGE,United States,06477,CT,dan@dancamera.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Specialized Design Services (541490),541490.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
FAIRMONT 345 LLC,LLC,Active,1340790,2021-03-31,,7 OXFORD RD,FARMINGTON,United States,06032,CT,DANMCCLUTCHY@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"JOHNSON, MARCOU, ISAACS & NIX, LLC",LLC,Active,1340791,2022-03-31,2019-01-01,27 CITY SQUARE SUITE 1,HOSCHTON,United States,30548,GA,gwen@jmin-iplaw.com,"JOHNSON, MARCOU, ISAACS & NIX, LLC",Foreign,United States,2020-04-01,GA,GA,False,False,False,False,False,Offices of Lawyers (541110),541110.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
"MAYA WILL LAW, LLC",LLC,Active,1340792,2021-03-31,,26 MAGELLAN DRIVE,MILFORD,United States,06460,CT,MAYAWILLLAW@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Offices of Lawyers (541110),541110.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
RESIDUAL DESICANT LLC,LLC,Active,1340794,2022-03-31,,8 SOJO RD,BROOKFIELD,United States,06804,CT,residualdesicant@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
"ACTIVE SPORT SURFACES, LLC",LLC,Active,1340795,2021-03-31,,ONE ENTERPRISE DRIVE SUITE 320,SHELTON,United States,06484,CT,ROB@THEMICHAUDGROUP.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"MED INFORMATIX, INC.",Stock,Active,1340796,2021-04-01,2016-01-01,"5777 W. CENTURY BLVD., SUITE 1700",LOS ANGELES,United States,90045,CA,DOCUMENTS@INCORP.COM,"MED INFORMATIX, INC.",Foreign,United States,2020-04-01,CA,CA,False,False,False,False,False,,,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"HARVEY & HOROWITZ REALTY, LLC",LLC,Active,1340797,2021-03-31,,1813 SILAS DEANE HIGHWAY,ROCKY HILL,United States,06067,CT,DHCPA@HHCPAS.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"KLD 376, LLC",LLC,Active,1340798,2022-03-31,,37 BALANCE ROCK ROAD #6,SEYMOUR,United States,06483,CT,brandee.401kplan@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
XYLLUN LLC,LLC,Active,1340799,2022-03-31,,53 PALMER AVENUE UNIT A,JEWETT CITY,United States,06351,CT,xyllunllc@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
SILVERMINE PAINTING CORP.,Stock,Active,1340801,2022-04-02,,9B APRIL LANE,NORWALK,United States,06850,CT,silverminepainting@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:08:35.7800000,,200.0,,,,,,,,,,,,,,,,,,
TYTONBROOK LLC,LLC,Active,1340802,2022-03-31,,117 JONATHAN TRAIL,GLASTONBURY,United States,06033,CT,jjarvis@carouselindustries.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
"TAKE NOTICE PRODUCTIONS, LLC",LLC,Active,1340803,2021-03-31,,3480 MAIN ST,BRIDGEPORT,United States,06606,CT,TAKENOTICEPRODUCTIONS@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"MODEM LOVE, LLC",LLC,Active,1340804,2021-03-31,,31 GRANDVIEW TERRACE,NORTH HAVEN CT,United States,06511,CT,ERICA.PUSTARI@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:35.7800000,,,Annual report past due,,,,,,,,,,,,,,,,,
"ALL IN HANDYMAN, LLC",LLC,Active,1340805,2022-03-31,,190 PONDVEIW LANE,BRISTOL,United States,06010,CT,ALLINHANDYMAN01@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
WINSLOW EDUCATION GROUP LLC,LLC,Active,1340806,2022-03-31,,1062 PONUS RIDGE ROAD,NEW CANAAN,United States,06840,CT,mdolan@winslowedgroup.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:08:35.7800000,,,,,,,,,,,,,,,,,,,,
A.M. BAGEL LLC,LLC,Active,1340808,2021-03-31,,111 NEW HAVEN AVENUE,DERBY,United States,06418,CT,AMBAGEL203@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Snack and Nonalcoholic Beverage Bars (722515),722515.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
REABILITY LLC,LLC,Active,1340809,2022-03-31,,210 UPPER STATE ST.,NORTH HAVEN,United States,06473,CT,chris.duni@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,True,True,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,
GRILLED LLC,LLC,Active,1340810,2021-03-31,,139 S. MAIN ST.,COLCHESTER,United States,06415,CT,GRILLEDCT@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
ALLEN-FAITH & KNS HEALTHY PRODUCTS LIMITED LIABILITY COMPANY,LLC,Active,1340811,2022-03-31,,23 RIVERMEAD BLVD.,EAST HARTFORD,United States,06118,CT,keithstauch@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Vending Machine Operators (454210),454210.0,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,
IDEAL TEAM VENTURES LLC,LLC,Active,1340812,2021-03-31,,"200 GLASTONBURY BLVD., SUITE 102",GLASTONBURY,United States,06033,CT,INFO@IDEALTEAMVENTURES.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
INDUSTRY CORPORATE FINANCE LLC,LLC,Active,1340813,2022-03-31,,200 LITCHFIELD ROAD,NORFOLK,United States,06058,CT,dalton@industrycf.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Investment Banking and Securities Dealing (523110),523110.0,2021-11-10 00:08:36.2300000,,,,,,,,,,,,,,,,,,,,
FLOATWING HVL LLC,LLC,Active,1340814,2021-03-31,,8 CASINO ROAD,GROTON,United States,06340,CT,DNQMCCORMACK@YAHOO.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
BALTIC PORTER WORKS LLC,LLC,Active,1340815,2022-03-31,2020-04-01,240 SE 5TH STREET,DUNDEE,United States,97115,OR,balticporter@scoutandcellar.com,TEXAS,Foreign,United States,2020-04-01,TX,TX,False,False,False,False,False,Wineries (312130),312130.0,2021-11-10 00:08:36.2300000,,,,"4531 SIMONTON RD, FARMERS BRANCH, TX, 75244, United States",4531 SIMONTON RD,FARMERS BRANCH,TX,75244,United States,"4531 SIMONTON RD, FARMERS BRANCH, TX, 75244, United States",4531 SIMONTON RD,FARMERS BRANCH,TX,75244,United States,,,,,
KITTGURU.COM LLC,LLC,Active,1340816,2021-03-31,,22 GRAND ST,GREENWICH,United States,06830,CT,JAYKITTRIC60@KITTGURU.COM,,Domestic,,2020-04-01,CT,Connecticut,False,True,True,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
GLOBADON LLC,LLC,Active,1340817,2021-03-31,,108 FULTON STREET,NEW HAVEN,United States,06513,CT,GLOBADON123@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.2300000,,,Annual report past due,,,,,,,,,,,,,,,,,
BLUWAY LLC,LLC,Active,1340820,2021-03-31,,86 SPRING  ST APT BSMT,MERIDEN,United States,06451,CT,BLUWAYSALON@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),492110.0,2021-11-10 00:08:36.2466667,,,Annual report past due,,,,,,,,,,,,,,,,,
FIRST SECURITY SOLUTION LLC,LLC,Active,1340821,2022-03-31,,8 PEQUOT TRAIL,SHELTON,United States,06484,CT,debicki@sbcglobal.net,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:08:36.2466667,,,,,,,,,,,,,,,,,,,,
WINDPAK LLC,LLC,Active,1340822,2022-03-31,,15 JARED CT,SOUTH WINDSOR,United States,06074,CT,burhan.carpenter@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:08:36.2466667,,,,,,,,,,,,,,,,,,,,
ORCHARD VIEW KENNEL LLC,LLC,Active,1340825,2022-03-31,,70 WOODSIDE RD,GUILFORD,United States,06437,CT,orchardviewkennel@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Pet Care (except Veterinary) Services (812910),812910.0,2021-11-10 00:08:36.2800000,,,,,,,,,,,,,,,,,,,,
TRUSTING READERS LLC,LLC,Active,1340826,2022-03-31,,7 THOMAS ROAD,WESTPORT,United States,06880,CT,trustingreaders@gmail.com,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:08:36.2800000,,,,,,,,,,,,,,,,,,,,
"BRIDGES.ORG, INC.",Non-Stock,Active,1340827,2021-04-02,,1000 LAFAYETTE BLVD STE 1120,BRIDGEPORT,United States,06604,CT,FAIRFIELDEQUITYS@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,False,False,False,False,False,Other Community Housing Services (624229),624229.0,2021-11-10 00:08:36.2800000,,,Annual report past due,,,,,,,,,,,,,,,,,
STATE FILINGS LLC,LLC,Active,1340828,2021-03-31,2020-03-27,340 S LEMON AVE #3631,WALNUT,United States,91789,CA,CONTACT@STATEFILINGS.IN,STATE FILINGS LLC,Foreign,United States,2020-04-01,WY,WY,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:08:36.2800000,,,Annual report past due,"1910 THOMES AVE, CHEYENNE, WY, 82001, United States",1910 THOMES AVE,CHEYENNE,WY,82001,United States,"1910 THOMES AVE, CHEYENNE, WY, 82001, United States",1910 THOMES AVE,CHEYENNE,WY,82001,United States,,No information provided,,,
RUSH MEADOW ADVISORS LLC,LLC,Active,1340832,2021-03-31,,249 STRICKLAND STREET,GLASTONBURY,United States,06033,CT,CYNTHIA.MEI.TUCKER@GMAIL.COM,,Domestic,,2020-04-01,CT,Connecticut,True,False,False,False,False,Portfolio Management (523920),523920.0,2021-11-10 00:08:36.2800000,,,Annual report past due,,,,,,,,,,,,,,,,,
