name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,reason_for_administrative,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
"KRISTA A. WINTERS, PLLC",LLC,Active,1334926,2021-03-31,3 SYLVAN ROAD  SOUTH,WESTPORT,United States,06880,CT,KRISTA_LEVY@HOTMAIL.COM,Domestic,2020-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:08:36.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
EMPIRE PROPERTIES LLC,LLC,Active,1334927,2022-03-31,136 HEATHER GLEN LN,MYSTIC,United States,06355,CT,Kaknuijt@gmail.com,Domestic,2020-02-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:08:36.9500000,,,,,,,,,,,,,,,,,,,,,,
TOWER LANE LLC,LLC,Active,1336091,2022-03-31,52 WOODSIDE DRIVE,GREENWICH,United States,06830,CT,slaversa@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),,2021-11-10 00:10:35.4500000,,,,,,,,,,,,,,,,,,,,,,
CLASSIC MOWING LLC,LLC,Active,1336335,2022-03-31,2 HEARTHSTONE TERRACE,NEW MILFORD,United States,06776,CT,classicmowingllc@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),,2021-11-10 00:10:37.4500000,,,,,,,,,,,,,,,,,,,,,,
"ENGINEERS-NORTHWEST, INC., P.S.",Stock,Active,1336592,2022-02-03,"9725 THIRD AVE NE, SUITE 207",SEATTLE,United States,98115,WA,tomw@engineersnw.com,Foreign,2020-02-03,WA,WA,False,False,False,False,False,Engineering Services (541330),,2021-11-10 00:10:36.1200000,,,2020-02-03,"ENGINEERS-NORTHWEST, INC., P.S.",United States,,,,,,,,,,,,,,,,,
"MADG CONSULTING, LLC",LLC,Active,1336597,2022-03-31,77 CHATHAM HILL ROAD,SOUTH GLASTONBURY,United States,06073,CT,megangrindle@gmail.com,Domestic,2020-02-03,CT,Connecticut,True,False,False,False,False,Other Management Consulting Services (541618),,2021-11-10 00:10:36.1200000,,,,,,,,,,,,,,,,,,,,,,
54 PEACOCK DRIVE LLC,LLC,Active,1336609,2022-03-31,1399 OLD COLCHESTER RD,OAKDALE,United States,06370,CT,CRAIGLUMBRA@YMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:10:36.1533333,,,,,,,,,,,,,,,,,,,,,,
651 SOUTH ELM ST LLC,LLC,Active,1336611,2022-03-31,1399 OLD COLCHESTER RD,OAKDALE,United States,06370,CT,CRAIGLUMBRA@YMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:10:36.1533333,,,,,,,,,,,,,,,,,,,,,,
"MILFORD PRIDE, LLC",LLC,Active,1336616,2022-03-31,7 BREAKNECK COURT,MILFORD,United States,06460,CT,milfordctpride@gmail.com,Domestic,2020-02-03,CT,Connecticut,True,False,False,False,False,Civic and Social Organizations (813410),,2021-11-10 00:10:36.1533333,,,,,,,,,,,,,,,,,,,,,,
"BEAUTIFUL LIFE ADULT DAYCARE, LLC",LLC,Active,1336620,2021-03-31,240 NAUGATUCK AVENUE,MILFORD,,06460,CT,KANEVSKYMARK@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:36.1533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,
MOTHERLAND BEAUTY LLC,LLC,Active,1336644,2021-03-31,899 DIXWELL AVENUE,HAMDEN,,06514,CT,MOTHERLANDMK@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:35.5266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
ANDEAN PEAK SERVICES LLC,LLC,Active,1336645,2021-03-31,206 HIGH RIDGE RD,STAMFORD,,06905,CT,AALIFEANSTYLE@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:35.5266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SKYGEL INVESTMENTS LLC,LLC,Active,1336648,2021-03-31,439 PIEDMONT ST,WATERBURY,,06706,CT,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:35.5266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
LANDENS MARKET LLC,LLC,Active,1336658,2021-03-31,3 TOWN BEACH ROAD,OLD SAYBROOK,,06475,CT,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:35.5266667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
HANSGARD EXPRESS LLC,LLC,Active,1336659,2022-03-31,49 SHORT ST APT A-7,NEW BRITAIN,United States,06051,CT,HANSGARDEXPRESS@YAHOO.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,2021-11-10 00:10:35.5266667,,,,,,,,,,,,,,,,,,,,,,
LEE PERSONAL ASSISTANCE LLC,LLC,Active,1336665,2021-03-31,23 BLACKBERRY DR. EAST,STAMFORD,,06903,CT,MLEV1063@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:34.4200000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"NESTE US, INC.",Stock,Active,1336666,2022-02-03,3040 POST OAK BLVD SUITE 1700,HOUSTON,United States,77056,TX,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals) (424720),,2021-11-10 00:08:34.4200000,,,2020-02-24,"NESTE US, INC.",United States,,,,,,,,,,,,,,,,,
COLLIBRA INC.,Stock,Active,1336670,2022-02-03,"61 BROADWAY, SUITE 3100",NEW YORK,United States,10006,NY,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Software Publishers (511210),,2021-11-10 00:08:34.4200000,,,2019-05-31,COLLIBRA INC.,United States,,,,,,,,,,,,,,,,,
"GREYLOCK DIGITAL MEDIA, INC.",Stock,Active,1336673,2020-05-03,No information provided,,,,,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:34.4200000,First report past due,,,,,Failure to file First Report,1000.0,,,,,,,,,,,,,,,
"LICHENSTEIN CONSULTING, LLC",LLC,Active,1336687,2021-03-31,88 GREENBRIER DRIVE,GUILFORD,,06437,CT,HLICHENS@COMCAST.NET,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:34.9966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,
BUSINESS WORKERS OF AMERICA INC.,Non-Stock,Active,1336724,2022-02-03,2951 MARINA BAY DRIVE STE 130-643,LEAGUE CITY,United States,77573,TX,info.mikemcvay@gmail.com,Foreign,2020-02-03,DC,DC,False,False,False,False,False,Professional Organizations (813920),,2021-11-10 00:08:35.0733333,,,2020-02-01,BUSINESS WORKERS OF AMERICA,,,,,,,,,,,,,,,,,,
ALVAREZ HOME IMPROVEMENT LLC,LLC,Active,1336730,2022-03-31,92 WINFIELD STREET,NORWALK,United States,06855,CT,Alvarezhomeimprovementllc@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,True,False,False,Residential Remodelers (236118),,2021-11-10 00:08:35.0733333,,,,,,,,,,,,,,,,,,,,,,
"MBOCAL, INC.",Stock,Active,1336850,2022-02-03,970 RESERVE DR #201,ROSEVILLE,United States,95678,CA,tosborne@usefs.com,Foreign,2020-02-03,CA,CA,False,False,False,False,False,All Other Business Support Services (561499),,2021-11-10 00:08:36.3233333,,,2020-02-03,"MBOCAL, INC.",United States,,,,,,,,,,,,,,,,,
"NOATUM LOGISTICS USA, LLC",LLC,Active,1336852,2022-03-31,11501 OUTLOOK STREET SUITE 500,OVERLAND PARK,United States,66211,KS,tasha.kohls@noatumlogistics.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Freight Transportation Arrangement (488510),,2021-11-10 00:08:36.3233333,,,2020-01-01,"NOATUM LOGISTICS USA, LLC",United States,,,,,,,,,,,,,,,,,
BLAU FAMILY HOLDINGS I LLC,LLC,Active,1334836,2021-03-31,12 CENTER STREET,WESTPORT,,06880,CT,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
PERALTA SERVICES LLC,LLC,Active,1334837,2021-03-31,38 SAW MILL RD APT 8,WEST HAVEN,,06516,CT,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
SHAV'S STUDIO INC.,Non-Stock,Active,1334838,2020-05-03,No information provided,,,,,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4800000,First report past due,,,,,Failure to file First Report,,,,,,,,,,,,,,,,
MINAYA'S CLEANING LLC,LLC,Active,1334839,2021-03-31,66 DOUGLAS ST.,HARTFORD,United States,06114,CT,CRISTMINAYA1@HOTMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,True,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
"BD CAPITAL MANAGER, LLC",LLC,Active,1334851,2021-03-31,67 MOUNTAIN BLVD STE 201,WARREN,,07059,NJ,,Foreign,2020-02-03,NJ,NJ,False,False,False,False,False,,,2021-11-10 00:08:36.3566667,Annual report past due,,2020-02-03,"BD CAPITAL MANAGER, LLC",,,,"67 MOUNTAIN BLVD STE 201, WARREN, NJ, 07059,",67 MOUNTAIN BLVD STE 201,WARREN,NJ,07059,"67 MOUNTAIN BLVD STE 201, WARREN, NJ, 07059,",67 MOUNTAIN BLVD STE 201,WARREN,NJ,07059,,,,,
"VERONICA'S INSURANCE FRANCHISE, LLC",LLC,Active,1334859,2021-03-31,290 W ORANGE SHOW RD STE 101,SAN BERNARDINO,,92408,CA,INFO@VERONICASFRANCHISE.COM,Foreign,2020-02-03,DE,DE,False,False,False,False,False,,,2021-11-10 00:08:36.3566667,Annual report past due,,2020-02-01,"VERONICA'S INSURANCE FRANCHISE, LLC",,,,"3500 S DUPONT HWY, DOVER, DE, 19901,",3500 S DUPONT HWY,DOVER,DE,19901,"3500 S DUPONT HWY, DOVER, DE, 19901,",3500 S DUPONT HWY,DOVER,DE,19901,,,,,
FAS HOMES LLC,LLC,Active,1334862,2022-03-31,47 BENTON ST,HARTFORD,United States,06114,CT,FASHOMESLLC@MAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.3566667,,,,,,,,,,,,,,,,,,,,,,
"DREAMS TO REALITY REAL ESTATE INVESTORS, LLC",LLC,Active,1334871,2022-03-31,186 HOLLISTER DRIVE,EAST HARTFORD,United States,06118,CT,investors7812@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:36.3566667,,,,,,,,,,,,,,,,,,,,,,
"382-394 GRAND AVENUE, LLC",LLC,Active,1334872,2022-03-31,"C/O FAIR HAVEN COMMUNITY HEALTH CLINIC, 374 GRAND AVENUE",NEW HAVEN,United States,06513,CT,governmentrelations@fhchc.org,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:08:36.3566667,,,,,,,,,,,,,,,,,,,,,,
SURE1MOVERS LLC,LLC,Active,1334895,2021-03-31,69 MONTROSE ST,HARTFORD,United States,06106,CT,SURE1MOVERSLLC@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",484110.0,2021-11-10 00:08:36.8700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
PV HOME IMPROVEMENT LLC,LLC,Active,1334896,2022-03-31,7 FRANCIS RD,DANBURY,United States,06810,CT,pvlima25@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),238350.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
CLEAN SWEPT REMOVAL LLC,LLC,Active,1334897,2021-03-31,67 MAPLE STREET,MILFORD,United States,06460,CT,ZP.CLEANSWEPT@GMAIL.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:08:36.8700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
HEIGH-HO PRODUCTIONS LLC,LLC,Active,1334898,2022-03-31,500 SOUTH BUENA VISTA STREET,BURBANK,United States,91521,CA,Compliancemail@cscinfo.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Motion Picture and Video Production (512110),,2021-11-10 00:08:36.8700000,,,2019-03-01,HEIGH-HO PRODUCTIONS LLC,United States,,,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,United States,,,
"MYORTHOS CT, LLC",LLC,Active,1334899,2022-03-31,50 WESTON STREET,HARTFORD,United States,06120,CT,alex.pirrotta@myorthos.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Offices of Dentists (621210),,2021-11-10 00:08:36.8700000,,,2019-12-13,"MYORTHOS CT, LLC",United States,,,,,,,,,,,,,,,,,
"MYORTHOS MANAGEMENT, LLC",LLC,Active,1334900,2022-03-31,50 WESTON STREET,HARTFORD,United States,06120,CT,alex.pirrotta@myorthos.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Offices of Dentists (621210),,2021-11-10 00:08:36.8700000,,,2019-12-13,"MYORTHOS MANAGEMENT, LLC",United States,,,,,,,,,,,,,,,,,
"COINBASE CREDIT, INC.",Stock,Active,1334901,2022-02-03,430 CALIFORNIA STREET,SAN FRANCISCO,United States,94104,CA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Consumer Lending (522291),,2021-11-10 00:08:36.8700000,,,2020-02-03,"COINBASE CREDIT, INC.",United States,,,,,,,,,,,,,,,,,
"FOCUS FAMILY EYECARE, LLC",LLC,Active,1334902,2022-03-31,75 FRESHWATER BLVD COSTCO OPTICAL,ENFIELD,United States,06082,CT,drsuebee@gmail.com,Domestic,2020-02-03,CT,Connecticut,True,False,False,False,False,Offices of Optometrists (621320),,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
TRYBE CAPITAL GP LLC,LLC,Active,1334903,2022-03-31,44 NORTH STANWICH RD,GREENWICH,United States,06831,CT,Compliancemail@cscinfo.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Portfolio Management (523920),,2021-11-10 00:08:36.8700000,,,2020-01-15,TRYBE CAPITAL GP LLC,United States,,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,United States,,,
TRYBE CAPITAL HOLDINGS LLC,LLC,Active,1334904,2022-03-31,44 NORTH STANWICH RD,GREENWICH,United States,06831,CT,Compliancemail@cscinfo.com,Foreign,2020-02-03,DE,DE,False,False,False,False,False,Offices of Other Holding Companies (551112),,2021-11-10 00:08:36.8700000,,,2020-01-15,TRYBE CAPITAL HOLDINGS LLC,United States,,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,United States,,,
VALTAIR CONSTRUCTION LLC,LLC,Active,1334905,2021-03-31,17 WILDMAN ST,DANBURY,,06810,CT,ELIZABETHMOOTS@YAHOO.COM,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.8700000,Annual report past due,,,,,,,,,,,,,,,,,,,,,
263 BOSTON POST LLC,LLC,Active,1334906,2022-03-31,47 CURRIER WAY,CHESHIRE,United States,06410,CT,sharadjain01@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),0.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,
D & B REAL ESTATE ASSOCIATES LLC,LLC,Active,1334911,2022-03-31,664 SHARON TPKE,GOSHEN,United States,06756,CT,dbrealestateassocllc@gmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),0.0,2021-11-10 00:08:36.9033333,,,,,,,,,,,,,,,,,,,,,,
CONNECTICUT CREMATION SUPPLY INC.,Stock,Active,1334913,2020-05-03,No information provided,,,,,,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:08:36.9033333,First report past due,,,,,Failure to file First Report,10000.0,,,,,,,,,,,,,,,
SWEATYYETTI LLC,LLC,Active,1334929,2022-03-31,27 ELAINE COURT,PROSPECT,United States,06712,CT,truckerg9@hotmail.com,Domestic,2020-02-03,CT,Connecticut,False,False,False,False,False,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),423990.0,2021-11-10 00:08:36.9500000,,,,,,,,,,,,,,,,,,,,,,
"EXTREME SIGNS & APPAREL, LLC",LLC,Active,1334930,2022-03-31,325 NY 52,CARMEL,United States,10512,NY,w.beal@padgettsouthsalem.com,Foreign,2020-02-03,NY,NY,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:08:36.9500000,,,2020-02-03,"EXTREME SIGNS & APPAREL, LLC",United States,,,"325 NY 52, CARMEL, NY, 10512, United States",325 NY 52,CARMEL,NY,10512,"325 NY 52, CARMEL, NY, 10512, United States",325 NY 52,CARMEL,NY,10512,United States,United States,,,
