name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address,mailing_jurisdiction_3,office_jurisdiction_3
"EASTERN CONNECTICUT FLEA MARKET, LLC",LLC,Active,1331539,2021-03-31,43 CONNECTICUT MILLS AVENUE,KILLINGLY,United States,06239,CT,FEMI@STARLIGHTCONSTRUCTION.COM,Domestic,2020-01-01,CT,Connecticut,False,False,True,False,False,All Other Home Furnishings Stores (442299),442299.0,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"TENACITY MANAGEMENT, INC.",Stock,Active,1331540,2022-01-03,963 HOPMEADOW STREET,SIMSBURY,United States,06070,CT,junk4king@gmail.com,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Investment Advice (523930),523930.0,2021-11-10 00:08:39.4800000,,,,,,,,,,,,,,,,,20000.0,,,,,,,,
HHH WHOLESALE INC,Stock,Active,1331541,2020-03-31,No information provided,,,,,AANDHTOBACCO@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,True,False,False,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),423990.0,2021-11-10 00:08:39.4800000,First report past due,,,,,,,,,,,,,,,,1000.0,,Failure to file First Report,,,,,,
ON THE GO DENTAL GROUP PLLC,LLC,Active,1331557,2022-03-31,55 RIVER ST,NEW CANAAN,United States,06840,CT,onthegodentalgroup@gmail.com,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,Offices of Dentists (621210),621210.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,,,,
LAND CANVAS PLLC,LLC,Active,1331559,2022-03-31,205 RIVER ROAD,MADISON,United States,06443-3442,CT,INFO@LANDCANVASLA.COM,Domestic,2020-01-01,CT,Connecticut,True,False,False,False,False,Landscape Architectural Services (541320),541320.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,,,,
"MIDDLESEX CARDIOLOGY ASSOCIATES, PLLC",LLC,Active,1331563,2022-03-31,420 SAYBROOK ROAD,MIDDLETOWN,United States,06457,CT,stephen.franklin@hhchealth.org,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,2021-11-10 00:08:36.8700000,,,,,,,,,,,,,,,,,,,,,,,,,
GYRE TECHNOLOGIES INC.,Non-Stock,Active,1331575,2021-01-01,155 VALLEY SHORE DR,GUILFORD,United States,06437,CT,INFO@GYRETECHNOLOGIES.COM,Foreign,2020-01-01,NY,NY,False,False,False,False,False,Other Computer Related Services (541519),541519.0,2021-11-10 00:08:36.9200000,Annual report past due,2020-01-01,GYRE TECHNOLOGIES INC.,United States,,,,,,,,,,,,,,,,,,,,,
"SIMPLE SITTERS, LLC",LLC,Active,1331593,2021-03-31,560 NORTH JOHNSON LANE,STRATFORD,United States,06614,CT,SIMPLESITTERSDIRECT@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:36.9500000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
VYGONICE GLOBAL SOLUTIONS INC,Non-Stock,Active,1331616,2022-01-03,26 CAHOON ST,NORWICH,United States,06360,CT,pomoedo@vygoniceglobalsolutions.com,Domestic,2020-01-01,CT,Connecticut,True,False,True,False,False,Computer Systems Design Services (541512),541512.0,2021-11-10 00:08:36.9966667,,,,,,,,,,,,,,,,,,,,,,,,,
AMKS CONSTRUCTION LLC,LLC,Active,1331710,2021-03-31,26 EZRA SILVA LANE,WINDSOR,United States,06095,CT,AMKSCONSTRUCTIONLLC@GMAIL.COM,Domestic,2020-01-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:08:38.3100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"BRENNTAG SPECIALTIES, LLC",LLC,Active,1331859,2022-03-31,1 CRAGWOOD ROAD SUITE 302,SOUTH PLAINFIELD,United States,07080,NJ,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2020-01-01,DE,DE,False,False,False,False,False,Other Chemical and Allied Products Merchant Wholesalers (424690),,2021-11-10 00:08:36.8700000,,2020-01-01,"BRENNTAG SPECIALTIES, LLC",United States,,,,,,,,,,,,,,,,,,,,,
LUX'S BAR & GRILL LLC,LLC,Active,1331407,2021-03-31,455-457 FRANKLIN AVENUE,HARTFORD,United States,06114,CT,LUXSBARANDGRILLLLC@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:08:38.3100000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"LTP CONSULTING, LLC",LLC,Active,1331445,2021-03-31,166 POOL ROAD,NORTH HAVEN,,06473,CT,,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DAS KICKS LLC,LLC,Active,1331454,2021-03-31,173 PRINCE ST,BRIDGEPORT,United States,06610,CT,JOEMELTON100@GAMIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
T&T BRAIDS & LINES LLC,LLC,Active,1331456,2021-03-31,64 MORRIS ST,HARTFORD,United States,06114,CT,ROBERTSONELLSWORTH@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,True,False,False,Barber Shops (812111),812111.0,2021-11-10 00:08:38.3866667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"PREFAB SHELTER INSTALLERS, LLC",LLC,Active,1331462,2021-03-31,130 WINCHESTER AVENUE,NEW HAVEN,United States,06511,CT,PREFAB1SHELTER@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,True,False,False,Commercial and Institutional Building Construction (236220),236220.0,2021-11-10 00:08:38.8733333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"RAE CARE'S GROUP, INC",Stock,Active,1331465,2022-01-24,"3225 MCLEOD DRIVE, SUITE 100",LAS VEGAS,United States,89121,NV,ra@andersonadvisors.com,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,1000.0,,,,,,,,
"JODY A. WILLIAMS, CRNA, P.C.",Stock,Active,1331467,2020-04-01,No information provided,,,,,VGONZALEZ@BLUMB.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8733333,First report past due,,,,,,,,,,,,,,,,200.0,,Failure to file First Report,,,,,,
PRAYER TOKEN CO.,Non-Stock,Active,1331468,2020-04-01,No information provided,,,,,TPL@PRAYERTOKEN.ORG,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Religious Organizations (813110),813110.0,2021-11-10 00:08:38.8733333,First report past due,,,,,,,,,,,,,,,,,,Failure to file First Report,,,,,,
DEZ HOUZE & PROPERTY RENTALS LLC,LLC,Active,1331469,2022-03-31,81 HENDERSON DR,EAST HARTFORD,United States,06108,CT,obsessions7326@att.net,Domestic,2020-01-02,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,,,,,,,,,
"MARCIA PROTO CONSULTING, LLC",LLC,Active,1331470,2022-03-31,51 BAYBERRY DRIVE,WALLINGFORD,United States,06492,CT,marciaprotoconsulting@gmail.com,Domestic,2020-01-02,CT,Connecticut,True,False,False,False,False,Professional and Management Development Training (611430),,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,,,,,,,,,
JUST GIVING COMMUNICATIONS LLC,LLC,Active,1331471,2022-03-31,57 CHARTER OAK AVE #322,HARTFORD,United States,06106,CT,carol@justgivingcomms.com,Domestic,2020-01-02,CT,Connecticut,True,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,,,,,,,,,
CT BROWS AND LASHES ACADEMY LLC,LLC,Active,1331473,2022-03-31,701 WINSTED RD. 701 WINSTED RD.,TORRINGTON,United States,06790,CT,Pimy809@gmail.com,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,,,,,,,,,
HD DESIGN LLC,LLC,Active,1331474,2022-03-31,67-3 NORWICH SALEM RD,LYME,United States,06371,CT,dhamptondowson@gmail.com,Foreign,2020-01-02,NY,NY,False,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:08:38.8733333,,2019-03-04,HD DESIGN LLC,United States,"3170 42ND STREET 3RD FLOOR, ASTORIA, NY, 11103, United States",3170 42ND STREET 3RD FLOOR,ASTORIA,NY,11103,United States,"3170 42ND STREET 3RD FLOOR, ASTORIA, NY, 11103, United States",3170 42ND STREET 3RD FLOOR,ASTORIA,NY,11103,United States,,,,,,,,,
"FAZLI & ASSOCIATES, P.C.",Stock,Active,1331475,2022-01-03,"360 BLOOMFIELD AVENUE, SUITE 301 SUITE 301",WINDSOR,United States,06095,CT,ufazli@fazlilaw.com,Domestic,2020-01-02,CT,Connecticut,False,False,True,False,False,Offices of Lawyers (541110),541110.0,2021-11-10 00:08:38.8733333,,,,,,,,,,,,,,,,,1.0,,,,,,,,
D L B CONSTRUCTION LLC,LLC,Active,1331476,2021-03-31,14 ARCH ST 3,NORWALK,,06850,CT,DALOPEZ9980@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.8733333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
424 CHURCH HILL LLC,LLC,Active,1331488,2022-03-31,546 WHITE PLAINS ROAD,TRUMBULL,United States,06611,CT,jd1370ocean@yahoo.com,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:38.9033333,,,,,,,,,,,,,,,,,,,,,,,,,
BE CHURCH MOVEMENT INC,Non-Stock,Active,1331490,2020-04-01,No information provided,,,,,,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:38.9033333,First report past due,,,,,,,,,,,,,,,,,,Failure to file First Report,,,,,,
"MCBECK TWO, LLC",LLC,Active,1331491,2022-03-31,830 POST ROAD SUITE 202,WESTPORT,United States,06880,CT,sbeck@sonorestaurantgroup.com,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),,2021-11-10 00:08:38.9033333,,,,,,,,,,,,,,,,,,,,,,,,,
"AKAHI ASSOCIATES, LLC",LLC,Active,1331493,2022-03-31,"745 FORT STREET, STE. 327",HONOLULU,United States,96813,HI,ggusman@kili-llc.com,Foreign,2020-01-02,HI,HI,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),,2021-11-10 00:08:38.9033333,,2020-01-01,"AKAHI ASSOCIATES, LLC",United States,"745 FORT STREET, STE. 327, HONOLULU, HI, 96813,","745 FORT STREET, STE. 327",HONOLULU,HI,96813,,"745 FORT STREET, STE. 327, HONOLULU, HI, 96813, United States","745 FORT STREET, STE. 327",HONOLULU,HI,96813,United States,,,,,,,,,
"470 REALTY, LLC",LLC,Active,1331495,2022-03-31,20 KRAMER LANE,WESTON,United States,06883,CT,Gardell@ymail.com,Domestic,2020-01-02,CT,Connecticut,True,False,False,False,False,All Other Consumer Goods Rental (532289),,2021-11-10 00:08:38.9033333,,,,,,,,,,,,,,,,,,,,,,,,,
BRATZZ & BARBZZ BEAUTY LLC,LLC,Active,1331504,2022-03-31,2389 MAIN ST SUITE 100,GLASTONBURY,United States,06033,CT,BRATZZANDBARBZZ@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,True,False,True,False,False,Women's Clothing Stores (448120),446120.0,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,,,,,,,,
"145 WITHERSPOON, LLC",LLC,Active,1331509,2022-03-31,200 PRINCETON SOUTH CORPORATE CENTER SUITE 100,EWING,United States,08628,NJ,ahaines@merceroak.com,Domestic,2020-01-02,NJ,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:08:38.9500000,,,,,,,,,,,,,,,,,,,,,,,,,
MARKO INC.,Stock,Active,1331523,2021-01-02,129 THUNDER HILL DRIVE,STAMFORD,,06902,CT,MARK@BROKENSHED.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4500000,Annual report past due,,,,,,,,,,,,,,,,200.0,,,,,,,,
"WKMB, LLC",LLC,Dissolved,1331524,2021-03-31,38 SHELTER ROCK RD.,DANBURY,,06810,CT,KAPTEINWILLIAM@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,2021-04-14T00:00:00.000,,,,,,,
"KCCB REALTY, LLC",LLC,Active,1331529,2022-03-31,27 MINE HILL ROAD,ROXBURY,United States,06783,CT,kathryn.c.bassett@gmail.com,Domestic,2020-01-02,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:08:39.4500000,,,,,,,,,,,,,,,,,,,,,,,,,
"AKAHI INGENESIS PARTNERS, LLC",LLC,Active,1331530,2022-03-31,10231 KOTZEBUE ST.,SAN ANTONIO,United States,78217,TX,ggusman@kili-llc.com,Foreign,2020-01-02,TX,TX,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),,2021-11-10 00:08:39.4500000,,2020-01-01,"AKAHI INGENESIS PARTNERS, LLC",United States,"10231 KOTZEBUE ST., SAN ANTONIO, TX, 78217,",10231 KOTZEBUE ST.,SAN ANTONIO,TX,78217,,"10231 KOTZEBUE ST., SAN ANTONIO, TX, 78217, United States",10231 KOTZEBUE ST.,SAN ANTONIO,TX,78217,United States,,,,,,,,,
"CT CUSTOM CARPENTRY, LLC",LLC,Active,1331542,2021-03-31,NONE,MOOSUP,United States,,CT,KOKOBALLS860@AOL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
DIGITAL EBOOKS LLC,LLC,Active,1331543,2021-03-31,121 SUNRISE HILL RD,NORWALK,United States,06851,CT,LEONARDO.MONTERO@GMAIL.COM,Domestic,2020-01-02,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:08:39.4800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
GOOD'S GOODZ LLC,LLC,Active,1331544,2022-03-31,36 HILL ST,WATERBURY,United States,06704,CT,goodgame203@icloud.com,Domestic,2020-01-02,CT,Connecticut,False,False,True,False,False,Book Stores (451211),451211.0,2021-11-10 00:08:39.4966667,,,,,,,,,,,,,,,,,,,,,,,,,
