name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,reason_for_administrative,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_international_address
TIPS TO TOES CORP,Stock,Active,Annual report past due,1357177,2021-09-01,350 EAST MAIN STREET - SUITE 332,ANSONIA,,06401,CT,tipstotoesct@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Nail Salons (812113),812113.0,2021-11-10 00:12:45.9633333,,,,10000.0,,,,,,,,,,,,,,,,,,
1995 BOSTON AVENUE LLC,LLC,Active,,1357178,2022-03-31,189 PLATTSVILLE ROAD,TRUMBULL,United States,06611,CT,victoria@russorizio.com,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,2021-11-10 00:12:45.9633333,,,,,,,,,,,,,,,,,,,,,,
"NEW CLASS, INC.",Stock,Active,,1357180,2022-09-01,447 Broadway?2nd FL #282,New York,United States,10013,NY,BRIAN@GETSCHOOLHOUSE.COM,Foreign,2020-09-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:12:45.9633333,2020-08-31,"NEW CLASS, INC.",,,,,,,,,,,,,,,,,,,,
FARMAKEIO OUTSOURCING LLC,LLC,Active,,1357182,2022-03-31,920 S KIMBALL AVE STE 100,SOUTHLAKE,United States,76092,TX,FILINGMANAGER@CAPITOLSERVICES.COM,Foreign,2020-09-01,TX,TX,False,False,False,False,False,Pharmaceutical Preparation Manufacturing (325412),325412.0,2021-11-10 00:12:35.5100000,2020-09-01,FARMAKEIO OUTSOURCING LLC,United States,,,,,,,,,,,,,,,,,,,
P&Z ASSOCIATES LLC,LLC,Active,Annual report past due,1357184,2021-03-31,26 NORTHWIND DR,STAMFORD,United States,06903,CT,PZASSOCIATES888@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,True,False,True,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:12:35.5100000,,,,,,,,,,,,,,,,,,,,,,
225 BURWELL ROAD LLC,LLC,Active,Annual report past due,1357185,2021-03-31,99 GARWOOD RD.,TRUMBULL,United States,06611,CT,MACHOMESERVICES@HOTMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:35.5100000,,,,,,,,,,,,,,,,,,,,,,
"ATC HEALTHCARE SERVICES, LLC",LLC,Active,,1357186,2022-03-31,1983 MARCUS AVE SUITE E122,LAKE SUCCESS,United States,11042,NY,professional@harborcompliance.com,Foreign,2020-09-01,GA,GA,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),621999.0,2021-11-10 00:12:35.5100000,2020-08-01,"ATC HEALTHCARE SERVICES, LLC",United States,,"1983 MARCUS AVE SUITE E122, LAKE SUCCESS, NY, 11042, United States",1983 MARCUS AVE SUITE E122,LAKE SUCCESS,NY,11042,United States,"1983 MARCUS AVE SUITE E122, LAKE SUCCESS, NY, 11042, United States",1983 MARCUS AVE SUITE E122,LAKE SUCCESS,NY,11042,United States,,,,,,
SNS PRODUCT LINE LLC,LLC,Active,Annual report past due,1357187,2021-03-31,69 HIGH RIDGE RD.,SOUTH WINDSOR,United States,06074,CT,RIKZAH.SAMIR@SNSPRODUCTLINE.COM,Domestic,2020-09-01,CT,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
LTP GLOBAL CORPORATE SERVICES INC,Stock,Active,First report past due,1357188,2020-11-30,No information provided,,,,,LJP58@AOL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:12:35.5233333,,,,100.0,,,,,,,,,,,,,,,,,,
CRUMBLING FOUNDATION SPECIALISTS LLC,LLC,Active,Annual report past due,1357189,2021-03-31,455 LEVITA RD,LEBANON,United States,06249,CT,RATTARDI@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,"Other Foundation, Structure, and Building Exterior Contractors (238190)",238190.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
BOKA LANDSCAPING LLC,LLC,Active,Annual report past due,1357190,2021-03-31,210 MOFFITT,BRIDGEPORT,United States,06606,CT,BOKALANDSCAPINGLLC@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
IINSURE AGENCY OF NY LLC,LLC,Active,,1357191,2022-03-31,5 ALO COURT,ST. JAMES,United States,11780,NY,dbroitman@gmail.com,Foreign,2020-09-01,NY,NY,False,False,False,False,False,All Other Insurance Related Activities (524298),524298.0,2021-11-10 00:12:35.5233333,2020-08-31,IINSURE AGENCY OF NY LLC,United States,,"5 ALO COURT, ST. JAMES, NY, 11780, United States",5 ALO COURT,ST. JAMES,NY,11780,United States,"5 ALO COURT, ST. JAMES, NY, 11780, United States",5 ALO COURT,ST. JAMES,NY,11780,United States,,,,,,
BOHEMIAN PIZZA AND TACO LLC,LLC,Active,,1357192,2022-03-31,342 BANTAM ROAD,LITCHFIELD,United States,06759,CT,garyccopeland@yahoo.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),722511.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
FIT BY NATURE LLC,LLC,Active,,1357193,2022-03-31,17 GRIEB TRAIL,WALLINGFORD,United States,06492,CT,Mary.cole2016@yahoo.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),611620.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
GROHS ENTERPRISES LLC,LLC,Active,Annual report past due,1357194,2021-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
HARPER PRINT LLC,LLC,Active,Annual report past due,1357195,2021-03-31,4 KENSINGTON DRIVE,EAST LYME,United States,06333,CT,HARPERPRINTLLC@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Apparel Accessories and Other Apparel Manufacturing (315990),315990.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
SOOO SUPREME CATERING & EVENTS LLC,LLC,Active,Annual report past due,1357196,2021-03-31,125 JOHNSON COURT,STRATFORD,United States,06615,CT,GAVINFERNANDO60@YAHOO.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
SAV BRUCE LLC,LLC,Active,Annual report past due,1357197,2021-03-31,242 QUAKER LANE,WEST HARTFORD,United States,06119,CT,TYLER.DOIDGE13@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Other Direct Selling Establishments (454390),454390.0,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
"GARY PEACOCK REAL ESTATE, PLLC",LLC,Active,,1357199,2022-03-31,13 JOHNSON PLACE,NORWICH,United States,06360,CT,garypeacock@bhhsne.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),,2021-11-10 00:12:35.5233333,,,,,,,,,,,,,,,,,,,,,,
19 SCHOOL STREET LLC,LLC,Active,Annual report past due,1357200,2021-03-31,149 SPOONVILLE ROAD,EAST GRANBY,United States,06026,CT,MIKEMALLOY07@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
JMA CONSTRUCTION SERVICES LLC,LLC,Active,Annual report past due,1357201,2021-03-31,112 HAYESTOWN RD,DANBURY,United States,06811,CT,GENERALHELPCT@GMIAL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
CODCO CORP.,Non-Stock,Active,First report past due,1357202,2020-11-30,No information provided,,,,,,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
"RV VACATIONS, LLC",LLC,Active,,1357204,2022-03-31,20 YANKEE DRIVE,BROOKFIELD,United States,06804,CT,charleyd2@gmail.com,Domestic,2020-09-01,CT,Connecticut,True,True,False,False,False,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing (532120)",532120.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
LUQUE REALTY LLC,LLC,Active,,1357205,2022-03-31,34 MENGHI ST.,NEW LONDON,United States,06320,CT,carlos.luque@luquerealty.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
"AMN LEADERSHIP SOLUTIONS, INC.",Stock,Active,,1357206,2022-09-01,12400 HIGH BLUFF DR STE 100,SAN DIEGO,,92130,CA,BUSINESSLICENSES@AMNHEALTHCARE.COM,Foreign,2020-09-01,DE,DE,False,False,False,False,False,Executive Search Services (561312),561312.0,2021-11-10 00:12:36.3066667,2020-09-01,"AMN LEADERSHIP SOLUTIONS, INC.",,,,,,,,,,,,,,,,,,,,
SECOND BID LLC,LLC,Active,Annual report past due,1357207,2021-03-31,29 OLD STONE BRIDGE ROAD,COS COB,United States,06807,CT,INFO@KENNEDYDOYLE.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
MAYAMEEN LLC,LLC,Active,Annual report past due,1357208,2021-03-31,361 BRIDGEPORT AVE,MILFORD,United States,06460,CT,JASSBO@AOL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
"SEAL A DUCT, LLC.",LLC,Active,Annual report past due,1357209,2021-03-31,1111 E. PUTNAM AVENUE SUITE 300,RIVERSIDE,United States,06787,CT,JGIAQUINTO12@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Environmental Consulting Services (541620),541620.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
YAMLAK LLC,LLC,Dissolved,,1357210,2022-03-31,5 HOME TER,EAST HARTFORD,United States,06108,CT,eastern@registeredagentsinc.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing (332215)",,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,2021-05-06T00:00:00.000,,,,,
FLOW STATE LLC,LLC,Dissolved,Ready for dissolution,1357211,2021-03-31,1628 REDESDALE AVE,LOS ANGELES,United States,90026,CT,MILLANASNOW@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,2021-03-10T00:00:00.000,Failure to appoint or maintain an agent for service,,,,
ENA SHARPLES LLC,LLC,Active,Annual report past due,1357212,2021-03-31,281 MOUNTAIN ROAD,NORFOLK,United States,,CT,INFO@KENNEDYDOYLE.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,,0.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
"MAWILL, LLC",LLC,Active,Annual report past due,1357213,2021-03-31,440 PLAIN STREET STE 6,MARSHFIELD,,02050,MA,,Foreign,2020-09-01,MA,MA,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:12:36.3066667,2020-08-31,"MAWILL, LLC",,,"440 PLAIN STREET STE 6, MARSHFIELD, MA, 02050,",440 PLAIN STREET STE 6,MARSHFIELD,MA,02050,,"440 PLAIN STREET STE 6, MARSHFIELD, MA, 02050,",440 PLAIN STREET STE 6,MARSHFIELD,MA,02050,,,,,,,
CENTRAL HOME IMPROVEMENT LLC,LLC,Active,,1357214,2022-03-31,286 ROBBINS RD,KENSINGTON,United States,06037,CT,ashley09demarco@gmail.com,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Residential Remodelers (236118),236118.0,2021-11-10 00:12:36.3066667,,,,,,,,,,,,,,,,,,,,,,
NATIONAL CHIMNEY CLEANERS INC.,Stock,Active,,1357215,2022-09-01,266 RADIO AVE,MILLER PLACE,United States,11764,NY,NATIONALCHIMNEY1@AOL.COM,Foreign,2020-09-01,NY,NY,False,False,False,False,False,Residential Remodelers (236118),,2021-11-10 00:12:36.3066667,2020-10-01,NATIONAL CHIMNEY CLEANERS INC.,United States,,,,,,,,,,,,,,,,,,,
ZIPPY'S CAR WASH INC.,Stock,Active,Annual report past due,1357219,2021-10-23,11 SHARLIN DRIVE,WEST SIMSBURY,United States,06092,CT,ZIPPYSWASH@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Car Washes (811192),811192.0,2021-11-10 00:12:36.9766667,,,,1000.0,,,,,,,,,,,,,,,,,,
"CREATIVE SPEECH LAB, LLC",LLC,Active,,1357220,2022-03-31,98 SKY VIEW CIR,HAMDEN,United States,06514,CT,creativespeechlab@gmail.com,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),519130.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
SALMON BROOK SUDZ LLC,LLC,Active,,1357221,2022-03-31,11 SHARLIN DRIVE,WEST SIMSBURY,United States,06092,CT,zippysautowash@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
"HERDS OF WELLNESS, LLC",LLC,Active,Annual report past due,1357223,2021-03-31,36 ROCKY RIDGE ROAD,EASTON,United States,06612,CT,LYNDSEY.MAHER@LYNDSEYMAHER.COM,Domestic,2020-09-01,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
BISMANPREET LLC,LLC,Active,Annual report past due,1357226,2021-03-31,496 FORST RD,WATERBURY,United States,06705,CT,MANINDERARORA67@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),445120.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
MF PAINTING & CLEANING LLC,LLC,Active,Annual report past due,1357227,2021-03-31,80 SHERIDAN ST APT 3,DANBURY,United States,06810,CT,ENRIQUENAJERA16@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
RB HOME IMPROVEMENT SERVICES INC,Stock,Active,Annual report past due,1357228,2021-09-01,68 NORTH 9TH AVE,MOUNT VERNON,United States,10550,NY,ERICK.SPACE@HOTMAIL.COM,Foreign,2020-09-01,NY,NY,False,False,False,False,False,Finish Carpentry Contractors (238350),238350.0,2021-11-10 00:12:36.9766667,2020-09-01,RB HOME IMPROVEMENT SERVICES INC,United States,,,,,,,,,,,,,,,,,,,
MIMI'S PANINI'S LLC,LLC,Active,Annual report past due,1357229,2021-03-31,46 COLUMBUS AVE,MERIDEN,United States,06451,CT,MIMISPANINISCT@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),722513.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
GRAVA HOLDING LLC,LLC,Active,,1357230,2022-03-31,50 ASHLEY RD,WINDSOR,United States,06095,CT,gregory.vaca@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,True,False,False,New Housing For-Sale Builders (236117),236117.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
SPANISH STUDIES CONNECTICUT LLC,LLC,Active,Annual report past due,1357231,2021-03-31,50 HOWE STREET,MILFORD,,06460,CT,BRANDON@SPANISHSTUDIESCT.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
NB CAPITOL LLC,LLC,Active,Annual report past due,1357232,2021-03-31,847 CLOVERDALE CIR,WETHERSFIELD,United States,06109,CT,NICKBOCCUZZI17@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
"THE BALLISTIC CLINIC, LLC",LLC,Active,,1357233,2022-03-31,"304 WEST MAIN ST., SUITE 2-1007",AVON,United States,06001,CT,theballisticclinic@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
STICKY SITUATIONS FRANCHISING LLC,LLC,Active,Annual report past due,1357234,2021-03-31,27 COOGAN BLVD STE 15D,MYSTIC,United States,06355,CT,INFO@STICKYSITUATIONSHONEY.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,All Other Home Furnishings Stores (442299),442299.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
WOOD AND MATTE BLACK LLC,LLC,Active,Annual report past due,1357235,2021-03-31,924 HIGH PATH RD,WINDSOR,United States,06095,CT,WOODANDMATTEBLACK@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:36.9766667,,,,,,,,,,,,,,,,,,,,,,
24 IRVING LLC,LLC,Active,Annual report past due,1357236,2021-03-31,211 OSBORN AVENUE,NEW HAVEN,United States,06511,CT,ZALMYM18@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:37.6333333,,,,,,,,,,,,,,,,,,,,,,
IRC MULTISERVICES LLC,LLC,Active,,1357237,2022-03-31,539 FRANKLIN ASVENUE,HARTFORD,United States,06114,CT,isabel@multiservicesintl.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Tax Preparation Services (541213),541213.0,2021-11-10 00:12:37.6333333,,,,,,,,,,,,,,,,,,,,,,
MIKE'S TRUCKING LLC,LLC,Active,,1357238,2022-03-31,38 KETTLE CREEK LANE,MONROE,United States,06468,CT,SHARKDVR573431@GMAIL.COM,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",,2021-11-10 00:12:37.6333333,,,,,,,,,,,,,,,,,,,,,,
MOON EMPRESS LLC,LLC,Active,,1357239,2022-03-31,1451 IRANISTAN AVE. 3RD FLOOR,BRIDGEPORT,United States,06605,CT,MoonEmpressshop@gmail.com,Domestic,2020-09-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),446120.0,2021-11-10 00:12:37.6333333,,,,,,,,,,,,,,,,,,,,,,
