name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,dissolution_date,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,total_authorized_shares,date_of_organization_meeting,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address
CIALES LLC,LLC,Active,1353800,2021-03-31,25 FRANKLIN AVE.,HARTFORD,United States,06114,CT,BENJAMINORTIZ1984@GMAIL.COM,Domestic,2020-08-01,CT,Connecticut,True,False,False,False,False,Supermarkets and Other Grocery (except Convenience) Stores (445110),445110.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"THAT LOOK OF EAST LYME, LLC",LLC,Active,1353453,2022-03-31,166 BOSTON POST ROAD,EAST LYME,United States,06333,CT,glennp@acutabovehair.com,Domestic,2020-08-02,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"FLITESCHOOL FAIRFIELD, LLC",LLC,Active,1353454,2022-03-31,53 RHODA AVENUE,FAIRFIELD,United States,06824,CT,fliteschoolfairfield@gmail.com,Domestic,2020-08-02,CT,Connecticut,False,False,False,False,False,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",,2021-11-10 00:12:42.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"GP PROPERTY MANAGEMENT, LLC",LLC,Active,1353456,2022-03-31,166 BOSTON POST ROAD,EAST LYME,United States,06333,CT,glenn@acutabovehair.com,Domestic,2020-08-02,CT,Connecticut,True,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:42.6966667,,,,,,,,,,,,,,,,,,,,,,,,,
PRESTIGE HOOKAH'S LLC,LLC,Active,1353464,2021-03-31,160 PRICE ST.,BRIDGEPORT,,06610,CT,,Domestic,2020-08-02,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
THE STATELY BEAUTY LLC,LLC,Active,1353480,2021-03-31,21 HADLEY STREET,BRIDGEPORT,United States,06610,CT,THESTATELYBEAUTY@GMAIL.COM,Domestic,2020-08-02,CT,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),812199.0,2021-11-10 00:12:43.3533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
FIFTY STAR ENTERPRISE LLC,LLC,Active,1353458,2021-03-31,617 WETHERSFIELD AVE,HARTFORD,United States,06114,CT,MANINDERARORA67@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:42.6966667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"ARCH PAINTING, INC.",Stock,Active,1353460,2022-08-03,"1 PRESIDENTIAL WAY, STE 109",WOBURN,United States,01801,MA,RICH@ARCHPAINTING.COM,Foreign,2020-08-03,MA,MA,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:42.7133333,,,,2019-01-01,"ARCH PAINTING, INC.",United States,,,,,,,,,,,,,,,,,,,
"HIGHLANDER REALTY, LLC",LLC,Active,1353461,2022-03-31,10 LOWER CHURCH HILL ROAD,WASHINGTON DEPOT,United States,06794,CT,ed@availablespaces.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),531210.0,2021-11-10 00:12:42.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
APRIL DREAMS LLC,LLC,Active,1353466,2022-03-31,140 CAPTAIN THOMAS BLVD UNIT 402,WEST HAVEN,United States,06516,CT,acdeanna@gmail.com,Domestic,2020-08-03,CT,Connecticut,True,False,True,False,False,Graphic Design Services (541430),541430.0,2021-11-10 00:12:42.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
DJ LEWIS PROPERTIES LLC,LLC,Active,1353467,2021-03-31,232 PROVIDENCE NEW LONDON TURNPIKE,NORTH STONINGTON,United States,06359,CT,LEWISDAVE95@YAHOO.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
ROCO MANUFACTURING LLC,LLC,Active,1353468,2022-03-31,172 LAZY LN UNIT 6,SOUTHINGTON,United States,06489,CT,ROMAN@ROCOMFG.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Machine Shops (332710),332710.0,2021-11-10 00:12:42.7133333,,,,,,,,,,,,,,,,,,,,,,,,,
"WORKWELL ENTERPRISES,LLC",LLC,Active,1353469,2022-03-31,"230 COMMERCE, SUITE 100",IRVINE,United States,92602,CA,accounting@cdtsolutions.com,Foreign,2020-08-03,CA,CA,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),621999.0,2021-11-10 00:12:42.7133333,,,,2020-08-10,"WORKWELL ENTERPRISES,LLC",United States,"230 COMMERCE, SUITE 100, IRVINE, CA, 92602, United States","230 COMMERCE, SUITE 100",IRVINE,CA,92602,United States,"230 COMMERCE, SUITE 100, IRVINE, CA, 92602, United States","230 COMMERCE, SUITE 100",IRVINE,CA,92602,United States,,,,,,,
HAIR BY STEVIE LLC,LLC,Active,1353470,2021-03-31,17 JOHN SMITH DR,WEST HARTFORD,United States,06107,CT,HAIRBYSTEVIEF@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),812112.0,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
RICHARD KOTZ ARCHITECTURE LLC,LLC,Active,1353471,2021-03-31,328 PEMBERWICK ROAD APT 8,GREENWICH,United States,06831,CT,RICHARD@RICHARDKOTZARCHITECT.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Architectural Services (541310),541310.0,2021-11-10 00:12:42.7133333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
CLEANING NATION LLC,LLC,Active,1353473,2021-03-31,49 ORCHARD DR APT A,UNCASVILLE,United States,06382,CT,CLEANINGNATION@INSCLIENTS.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:43.3533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
B & E LAWNCARE LLC,LLC,Active,1353474,2022-03-31,28 OLDE HALL ROAD,HEBRON,United States,06248,CT,BEHARVILLLAWNCARE@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
NOLRAM L.L.C.,LLC,Active,1353475,2022-03-31,678 WINDSOR AVENUE APT C,WINDSOR,United States,06095,CT,nolramllc@hotmail.com,Domestic,2020-08-03,CT,Connecticut,False,True,True,True,False,Shoe Stores (448210),448210.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
JUNK IN THE TRUNK LLC,LLC,Active,1353484,2022-03-31,102 GREAT OAK ROAD,NORTHFORD,United States,06472,CT,DOTAXES@SBCGLOBAL.NET,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Civic and Social Organizations (813410),813410.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
"DUOLINGO, INC.",Stock,Active,1353487,2022-08-03,5900 PENN AVENUE,PITTSBURGH,United States,15206,PA,cls-ctarmsevidence@wolterskluwer.com,Foreign,2020-08-03,DE,DE,False,False,False,False,False,Other Computer Related Services (541519),,2021-11-10 00:12:43.3533333,,,,2020-08-03,"DUOLINGO, INC.",,,,,,,,,,,,,,,,,,,,
GREENEARTH LANDSCAPES LLC,LLC,Active,1353488,2022-03-31,143 SIMPSON LANE,OAKDALE,United States,06370,CT,greenearthlandscapesllc@gmail.com,Domestic,2020-08-03,CT,Connecticut,True,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
SWEET RING FARM LLC,LLC,Active,1353489,2022-03-31,51 JEREMIAH ROAD,SANDY HOOK,United States,06482,CT,AUTUMNKASAN@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Crop Farming (111998),111998.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
INCEPTION SAFETY TRAINING LLC,LLC,Active,1353490,2022-03-31,48 HIGHLAND AVE,WINDSOR,United States,06095,CT,INCEPTION.SAFETY.TRAINING@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:12:43.3533333,,,,,,,,,,,,,,,,,,,,,,,,,
"AMAZING ACHIEVEMENTS OCCUPATIONAL THERAPY, PLLC",LLC,Active,1353491,2021-03-31,174 B MORGAN RD,CANTON,United States,06019,CT,JENNIFERHPOT@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:12:43.3533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"TEO'S PAINTING SERVICES, LLC",LLC,Active,1353492,2021-03-31,2 GARDEN SQ,FAIRFIELD,United States,06825,CT,DOCS@CELEBRAIGROUP.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),238320.0,2021-11-10 00:12:43.3533333,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"ALESTIN, LLC",LLC,Active,1353497,2022-03-31,20 DAMATO DRIVE,OAKDALE,United States,06370,CT,pmvargas777@gmail.com,Domestic,2020-08-03,CT,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
PLM SERVICES LLC,LLC,Active,1353498,2022-03-31,40 MILL HILL AVE 2ND FLOOR,BRIDGEPORT,United States,06610,CT,plmiddletonjr@gmail.com,Domestic,2020-08-03,CT,Connecticut,False,False,True,False,False,Janitorial Services (561720),561720.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
VEGA FILMS & PRODUCTIONS LLC,LLC,Dissolved,1353499,2021-03-31,10 WALL ST APT 1,MIDDLETOWN,United States,06457,CT,VEGAFILMSPRODUCTIONS@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Motion Picture and Video Production (512110),512110.0,2021-11-10 00:12:43.9800000,,2021-04-15T00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,
BARN 1941 LLC,LLC,Active,1353500,2022-03-31,36 CARDINAL WAY,SOUTH WINDSOR,United States,06074,CT,pam@donbrooksassoc.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",445310.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
"ELECTRICAL SERVICES OF FAIRFIELD COUNTY, LLC",LLC,Active,1353501,2021-03-31,84 CANDEE RD,NAUGATUCK,United States,06770,CT,TBETKOSKIGC@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
"PTMOM, LLC",LLC,Active,1353502,2021-03-31,624 HOPE ST UNIT A,STAMFORD,United States,06907,CT,CONTACTUS@MARKGROSSCPA.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
MEDXWASTE-NY LLC,LLC,Active,1353503,2022-03-31,81 Farwell Street,West Haven,United States,06516,CT,sean@medxwaste.com,Foreign,2020-08-03,NY,NY,False,False,False,False,False,Other Waste Collection (562119),562119.0,2021-11-10 00:12:43.9800000,,,,2020-08-03,MEDXWASTE-NY LLC,United States,"1014 GRAND BLVD, DEER PARK, NY, 11729, United States",1014 GRAND BLVD,DEER PARK,NY,11729,United States,"1014 GRAND BLVD, DEER PARK, NY, 11729, United States",1014 GRAND BLVD,DEER PARK,NY,11729,United States,,,,,,,
OBSIDIAN CAPITAL GROUP LLC.,LLC,Active,1353504,2021-03-31,232 PARK AVENUE,WINDSOR,United States,06095,CT,OBSIDIANCAPITALGROUPLLC@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
GO ON LIVING LLC,LLC,Active,1353505,2021-03-31,74 ROUTE 39 NORTH,SHERMAN,United States,06784,CT,GO.ONLIVINGLLC@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
MERAKI - JMCT13 LLC,LLP,Active,1353506,2022-08-03,492 ENFIELD ST,ENFIELD,United States,06082,CT,HCKYMN5@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
PENNANT PRESS LLC,LLC,Active,1353507,2022-03-31,17 GOODWIVES RIVER RD.,DARIEN,United States,06820,CT,pennantpress@gmail.com,Domestic,2020-08-03,CT,Connecticut,True,False,False,False,False,Book Publishers (511130),511130.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
SKYBUZZ MEDIA LLC,LLC,Active,1353509,2021-03-31,94 POOL RD,NORTH HAVEN,United States,06473,CT,SKYBUZZMEDIA@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,True,False,False,True,False,All Other Personal Services (812990),812990.0,2021-11-10 00:12:43.9800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
SPIFFY ENTERPRISES LLC,LLC,Active,1353510,2022-03-31,20 JACKSON ST,WINDSOR LOCKS,United States,06096,CT,info@spiffyenterprises.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
D&B DIVERSIFIED SERVICES LLC,LLC,Active,1353511,2022-03-31,780 Vernon Street,Manchester,United States,06042,CT,dbdiversifiedservices@gmail.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),561730.0,2021-11-10 00:12:43.9800000,,,,,,,,,,,,,,,,,,,,,,,,,
THE A.M HOUSE LLC,LLC,Active,1353512,2022-03-31,57 ASHLAND PLACE 1ST FLOOR,NEW HAVEN,United States,06513,CT,theamhousellc@outlook.com,Domestic,2020-08-03,CT,Connecticut,True,False,True,False,False,Mobile Food Services (722330),722330.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
COASTAL CHARM LLC,LLC,Active,1353513,2022-03-31,12 E WHARF ROAD,WATERFORD,United States,06385,CT,rachel.g.chaplin@gmail.com,Domestic,2020-08-03,CT,Connecticut,True,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"HILLSIDE C2, LLC",LLC,Active,1353514,2022-03-31,40 BURRITT AVENUE,NORWALK,United States,06854,CT,Lillian.Gurtowski@gmail.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"HEARTLENT GROUP, LLC",LLC,Active,1353515,2022-03-31,171 PAPERMILL LANE,FAIRFIELD,United States,06824,CT,keith@heartlent.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"CURRY WEB SERVICES, LLC",LLC,Active,1353516,2021-03-31,338 FOOTE RD,SOUTH GLASTONBURY,United States,06073,CT,SPENCER@CURRYWEBSERVICES.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),541511.0,2021-11-10 00:12:44.6800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
LONE OAK FARM LLC,LLC,Active,1353517,2021-03-31,227 BATES ROCK ROAD,SOUTHBURY,,06488,CT,YCOSACCHI@GMAIL.COM,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:44.6800000,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,,
MGN PROPERTIES LLC,LLC,Active,1353518,2022-03-31,2389 MAIN STREET SUITE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"FLOWERS BY JIM, LLC",LLC,Active,1353519,2022-03-31,53 GILDERSLEEVE AVENUE,CANTON,United States,06019,CT,normlindroth@charter.net,Domestic,2020-08-03,CT,Connecticut,False,False,False,False,False,Florists (453110),453110.0,2021-11-10 00:12:44.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
