name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,dissolution_date,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
"AZURA ZEN DEN, LLC",LLC,Active,1367982,2021-03-31,,387 SOUTH MAIN ST. UNIT 1,MIDDLETOWN,United States,06457,CT,THERALARISSA@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
TARO GROUP LLC,LLC,Active,1367983,2022-03-31,,222 MAIN ST SUITE 285,FARMINGTON,United States,06032,CT,JIMMYZHENGCPA@YAHOO.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,All Other General Merchandise Stores (452319),452319.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
1055 WASHINGTON BLVD OF STAMFORD HOLDING LLC,LLC,Active,1367984,2022-03-31,,"C/O RPW GROUP, INC. 800 WESTCHESTER AVENUE",RYE BROOK,United States,10573,NY,rweisz@rpwgroup.com,,Domestic,,2020-12-01,NY,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
MONTES HVAC LLC,LLC,Active,1367985,2021-03-31,,312 GREENWICH AVE  APT 1 312 GREENWICH AVE  APT 1,STAMFORD,United States,06902,CT,AMATOS@CHOICESERVICESLLC.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
C'S MANAGEMENT HOLDINGS CORP,Non-Stock,Active,1367986,2022-01-15,,317 WILLOW STREET,WATERBURY,United States,06704,CT,CARLOSESTEVES30@HOTMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
"SPEAKS TO CHARACTER, LLC",LLC,Active,1367987,2022-03-31,,61 RIVERDALE AVE,GREENWICH,United States,06831,CT,SPEAKS.TO.CHARACTER@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Sound Recording Industries (512290),512290.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
CSWC LLC,LLC,Active,1367988,2021-03-31,,332 WILTON ROAD,WESTPORT,United States,06880,CT,KHANALP1@HOTMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
MR QUICK PICK WESTCHESTER COUNTY LLC,LLC,Active,1367989,2021-03-31,,21 BOOTH COURT UNIT B,GREENWICH,United States,06830-6161,CT,MRQUICKPICKWESTCHESTER@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),811198.0,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
AMC GALARZA LLC,LLC,Active,1367990,2021-03-31,,163 FOREST ST 163 NAUGATUCK,NAUGATUCK,United States,06770,CT,ELIZABETHMOOTS@YAHOO.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2466667,,Annual report past due,,,,,,,,,,,,,,,,,,
"ATLAS AUCTIONS, LLC",LLC,Active,1367991,2022-03-31,,10 NOVEMBER TRAIL,WESTON,United States,06883,CT,carrothers1@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
"DJM ADVISORS, LLC",LLC,Active,1367992,2022-03-31,,"101 WASHINGTON BLVD, UNIT 1507",STAMFORD,United States,06902,CT,djmorganct@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
"SOUTHERN DISASTER RECOVERY, LLC",LLC,Active,1367993,2022-03-31,2020-11-25,109 WHITE OAK ROAD,GREENVILLE,United States,29609,SC,teresa@southerndr.com,"SOUTHERN DISASTER RECOVERY, LLC",Foreign,United States,2020-12-01,SC,SC,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:10:38.2466667,,,"109 WHITE OAK ROAD, GREENVILLE, SC, 29609, United States",109 WHITE OAK ROAD,GREENVILLE,SC,29609.0,United States,"109 WHITE OAK ROAD, GREENVILLE, SC, 29609, United States",109 WHITE OAK ROAD,GREENVILLE,SC,29609.0,United States,,,,,,
PERK INVESTMENTS LLC,LLC,Active,1367994,2022-03-31,2020-12-01,25 EAST SPRING VALLEY AVENUE STE 280,MAYWOOD,United States,07607,NJ,lisad@andoverproperties.com,PERK INVESTMENTS LLC,Foreign,United States,2020-12-01,PA,PA,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2466667,,,,,,,,,,,,,,,,,,,,
"OLLIARA, LLC",LLC,Active,1367995,2021-03-31,,1566 HARTFORD TURNPIKE,NORTH HAVEN,United States,06473,CT,ADMIN@OLLIARA.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,True,False,False,Software Publishers (511210),511210.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
FREEDOM CONSULTING LLC,LLC,Active,1367996,2022-03-31,,5 Brenner Ln,Norwalk,United States,06851-1401,CT,EVERETT@ABAPC.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
BVT HOLDINGS LLC,LLC,Active,1367997,2022-03-31,,390 WHALLEY,NEW HAVEN,United States,06511,CT,tzipvail@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
GORO CAPITAL LLC,LLC,Active,1367998,2022-03-31,,390 WHALLEY AVE,NEW HAVEN,United States,06511,CT,tzipvail@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
"PROMONTORY AVIATION SOLUTIONS, LLC",LLC,Active,1367999,2022-03-31,,65 DEER RUN,AVON,United States,06001,CT,kolsen4746@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
CELEBRITY CAREERS LLC,LLC,Active,1368000,2022-03-31,,1295 EAST MAIN STREET,MERIDEN,United States,06450,CT,michaeldnurse174@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,True,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
MONET PANGEA LLC,LLC,Active,1368001,2022-03-31,,432 FRANKLIN AVE,STRATFORD,United States,06614,CT,shimeramonet@yahoo.com,,Domestic,,2020-12-01,CT,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
STREET KINGS LLC,LLC,Active,1368002,2021-03-31,,65 MOUNTFORD ST,HARTFORD,United States,06114,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
"DERMATOLOGY INSTITUTE & WELLNESS CENTER, LLC",LLC,Active,1368003,2021-03-31,,1 WINSLOW ROAD,WESTON,United States,06883,CT,DERMINSTITUTEWELLNESSCENTER@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
VECTOR PROPERTIES LLC,LLC,Active,1368004,2022-03-31,,"576 ELM ST, SECOND FLOOR",WINDSOR LOCKS,United States,06096,CT,Joe@vectortax.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
"210 BRADLEY STREET, LLC",LLC,Active,1368005,2022-03-31,,39 BURTON AVENUE,WOODMERE,United States,11598,NY,george@aginmanagement.com,,Domestic,,2020-12-01,NY,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
RAPJAC INVESTMENTS LLC,LLC,Active,1368006,2022-03-31,,61 HIGH RIDGE AVENUE,RIDGEFIELD,United States,06877,CT,pjacullo@comcast.net,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
MOISES REMODELING SERVICES LLC,LLC,Active,1368007,2021-03-31,,10 MERRIMAC ST APT C,DANBURY,United States,06810,CT,MOISESORDONEZ92@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),238350.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
"AWP HOME CARE, LLC",LLC,Active,1368008,2021-03-31,,641 PENFIELD ROAD,FAIRFIELD,United States,06824,CT,JYEUNG425@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Individual and Family Services (624190),624190.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
ATTRAVERSIAMO LLC,LLC,Active,1368009,2021-03-31,,230 EAST MAIN STREET,BRANFORD,United States,,CT,INFO@SABANSKA.COM,,Domestic,,2020-12-01,CT,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
"CASA FAMILIA II, LLC",LLC,Active,1368010,2022-03-31,,148 SYLVAN AVENUE,NEW HAVEN,United States,06511,CT,ADMIN@CASAOTONALINC.ORG,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,egrivera1@casaotonalinc.org,,,,
NAHAL AYUN LLC,LLC,Active,1368011,2021-03-31,,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
WOODLAND UA LLC,LLC,Active,1368012,2021-03-31,,2 DOVER ST 4,NORWALK,United States,06850,CT,MYKYOLEG@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
NAHAL KZIV LLC,LLC,Active,1368013,2021-03-31,,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
NAHAL BETZET LLC,LLC,Active,1368014,2021-03-31,,101 WHITNEY AVE SUITE 6B,NEW HAVEN,United States,06510,CT,DANIELLE@OCEANNH.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
190SWD LLC,LLC,Active,1368015,2022-03-31,,647 CLINTON AVE.,BRIDGEPORT,United States,06605,CT,enz647@aol.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
"ROCKET INDUSTRIAL, INC.",Stock,Active,1368016,2021-12-01,2020-12-01,200 WASHINGTON STREET SUITE 220,WAUSAU,United States,54403-6141,WI,TLEFFEL@ROCKETINDUSTRIAL.COM,"ROCKET INDUSTRIAL, INC.",Foreign,United States,2020-12-01,WI,WI,False,False,False,False,False,Industrial Supplies Merchant Wholesalers (423840),423840.0,2021-11-10 00:10:38.2633333,,Annual report due,,,,,,,,,,,,,,,,,,
MENDY LLC,LLC,Active,1368017,2021-03-31,,91 SHELTON AVE,NEW HAVEN,United States,06511,CT,MENDYATIA2001@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
SHAYEL LLC,LLC,Active,1368018,2021-03-31,,91 SHELTON AVE,NEW HAVEN,United States,06511,CT,SHAYELHAY087@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
ADVANCED MISSION ASSURANCE LLC LLC,LLC,Active,1368019,2021-03-31,,4 FAR HORIZON DRIVE,WALLINGFORD,United States,06492,CT,KING@COLLINS.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
ADAM CAPITAL LLC,LLC,Active,1368020,2022-03-31,,390 WHALLEY AVE,NEW HAVEN,United States,06511,CT,tzipvail@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
15 CHARCOAL HILL LLC,LLC,Active,1368021,2021-03-31,,10 MINUTE MAN HILL,WESTPORT,United States,06880,CT,SHARI.B.LEVY@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
ENTE HOLDINGS LLC,LLC,Active,1368023,2021-03-31,,360 BLOOMFIELD AVENUE SUITE 301,WINDSOR,United States,06095,CT,DOMINICKWR@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
DUARTE CAPITAL LLC,LLC,Active,1368024,2021-03-31,,3 HALE ROAD,ENFIELD,United States,06082-4132,CT,GIULLIANODUARTE@YAHOO.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
CALLIE BIGGS LLC,LLC,Active,1368025,2022-03-31,,14 HILLSIDE RD S,WESTON,United States,06883,CT,hi@calliebiggs.com,,Domestic,,2020-12-01,CT,Connecticut,True,False,False,False,False,Interior Design Services (541410),541410.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
MEJIAS ONLINE MARKETING LLC,LLC,Active,1368026,2022-03-31,,255 EAST MAIN STREET,BRISTOL,United States,06010,CT,rachelis777@hotmail.com,,Domestic,,2020-12-01,CT,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
TESS & JOE TRANSPORTATION LLC,LLC,Active,1368027,2021-03-31,,152 DALTON STREET,WEST HAVEN,United States,06516,CT,JOE.DCOSTA203@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),492110.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
WESTWOOD APARTMENTS OWNER LLC,LLC,Active,1368028,2022-03-31,2020-12-01,333 EARLE OVINGTON BLVD. SUITE 900,UNIONDALE,United States,11553,NY,Shalaundra.Towels@cscglobal.com,WESTWOOD APARTMENTS OWNER LLC,Foreign,United States,2020-12-01,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
155 COURT ST LLC,LLC,Active,1368031,2022-03-31,,141 WINSLOW DRIVE,WEST HAVEN,United States,06516,CT,mjm928@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
BUBBLEHOLIC INC.,Stock,Active,1368032,2021-12-31,,5065 MAIN ST,TRUMBULL,United States,06611,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Snack and Nonalcoholic Beverage Bars (722515),,2021-11-10 00:10:38.2633333,,Annual report due,,,,,,,,,,,,,10000.0,,,,,
A I MANAGEMENT LLC,LLC,Active,1368033,2021-03-31,,382 SWAIN AVE,MERIDEN,United States,06450,CT,JOHANSENW7486@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,True,False,False,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
CT LANDSCAPING & SERVICES LLC,LLC,Active,1368034,2021-03-31,,2 JETLAND PL,BRIDGEPORT,United States,06605,CT,SILVANALOPEZCT@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
RAR AUTO LLC,LLC,Active,1368035,2021-03-31,,174 E MAIN ST,TORRINGTON,United States,06790,CT,RARAUTOLLC@GMAIL.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),441120.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
DANKD LLC,LLC,Active,1368036,2021-03-31,,92 BURROUGHS RD,EASTON,United States,06612,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
JEB ENTERPRISE LLC,LLC,Active,1368037,2022-03-31,,470 PARK AVE,WINDSOR,United States,06095,CT,scoffblackwood@gmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
LIVE LUX GROUP LIMITED LIABILITY COMPANY,LLC,Active,1368038,2021-03-31,,306 FIELDSTONE LANE,LEDYARD,United States,06339,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
MENTOREMAINTENANCE LLC,LLC,Active,1368039,2021-03-31,,7 STAFFORDSHIRE COMMONS DR,WALLINGFORD,United States,06492,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
"THE KACE COMPANY, LLC",LLC,Active,1368040,2022-03-31,2021-01-01,44620 GUILFORD DRIVE SUITE 150,ASHBURN,,20147,VA,MARQUEZK@MVMINC.COM,"THE KACE COMPANY, LLC",Foreign,,2020-12-01,VA,VA,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:38.2633333,,,"44620 GUILFORD DRIVE SUITE 150, ASHBURN, VA, 20147,",44620 GUILFORD DRIVE SUITE 150,ASHBURN,VA,20147.0,,"44620 GUILFORD DRIVE SUITE 150, ASHBURN, VA, 20147,",44620 GUILFORD DRIVE SUITE 150,ASHBURN,VA,20147.0,,,,,,,
NAMTAB LLC,LLC,Active,1368041,2022-03-31,,512 MT. VERNON ROAD,PLANTSVILLE,United States,06479,CT,rxgirl96@protonmail.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
AIDE FOR YOU HOME CARE AGENCY LLC,LLC,Active,1368042,2021-03-31,,70 SISSON STREET,EAST HARTFORD,United States,06118,CT,AIDEFORYOUHOMECARE@YAHOO.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),624120.0,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
INFORMATION ADVISORY GROUP LLC,LLC,Active,1368043,2022-03-31,,2390 BOSTON POST ROAD,DARIEN,United States,06820,CT,jabreu@vcorpservices.com,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),541512.0,2021-11-10 00:10:38.2633333,,,,,,,,,,,,,,,,,,,,
LOPEZ PROPERTY MANAGEMENT EXPERTS LLC,LLC,Active,1368044,2021-03-31,,95 LINCOLN ST,HARTFORD,United States,06106,CT,EFILE1234@INCFILE.COM,,Domestic,,2020-12-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:38.2633333,,Annual report past due,,,,,,,,,,,,,,,,,,
