name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,billing_unit,reason_for_administrative,category_survey_email_address
L2U DESIGNS INC.,Stock,Active,1380132,2022-03-15,25 FELIX LN,NORWALK,United States,06850,CT,ORDERS@L2UDESIGNS.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",2021-11-10 00:05:55.4200000,,200.0,,,,,,,,,,,,,,,,,,,,
GALLATIN POINT CAPITAL PARTNERS PARALLEL-B II LIMITED PARTNERSHIP,Limited Partnership,Active,1380049,2022-03-01,1209 ORANGE STREET,WILMINGTON,,19801,DE,JCHANG@GALLATINPOINT.COM,Foreign,2021-03-01,DE,DE,False,False,False,False,False,,2021-11-10 00:06:09.4533333,,,2021-03-01,GALLATIN POINT CAPITAL PARTNERS PARALLEL-B II LIMITED PARTNERSHIP,,,,,,,,,,,,,,,,,,
ZIPDRUG INC.,Stock,Active,1380133,2022-03-01,220 VIRGINIA AVENUE,INDIANAPOLIS,United States,46204,IN,JUDY.BELLAMY-WOODFORD@ANTHEM.COM,Foreign,2021-03-01,DE,DE,False,False,False,False,False,Pharmacies and Drug Stores (446110),2021-11-10 00:06:09.4200000,,,2021-03-01,ZIPDRUG INC.,United States,,,,,,,,,,,,,,,,,
"C AND C PROFESSIONAL SERVICES, LLC",LLC,Active,1380048,2022-03-31,92 TOMS ROAD,STAMFORD,,06906,CT,CESAR-28-CALDERON@HOTMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:12.4833333,,,,,,,,,,,,,,,,,,,,,,
ELIZABETH CALDERON LMFT LLC,LLC,Active,1380179,2022-03-31,263 LINNMOORE ST,HARTFORD,United States,06106,CT,ELIZABETHCALDERONLMFT@THERAPYEMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",2021-11-10 00:06:11.2666667,,,,,,,,,,,,,,,,,,,,,,
MEDICAREINSURANCE.COM LLC,LLC,Active,1380087,2022-03-31,844 WILLIAMS LANE,PORT ORANGE,United States,32127,FL,DINO@MEDICAREINSURANCE.COM,Foreign,2021-03-01,FL,FL,False,False,False,False,False,Direct Health and Medical Insurance Carriers (524114),2021-11-10 00:06:14.0000000,,,2020-11-25,MEDICAREINSURANCE.COM LLC,United States,,,,,,,,,,,,,,,,,
US LOGISTICS LLC,LLC,Active,1380180,2022-03-31,58 STAFFORD AVE,NEWINGTON,United States,06111,CT,PKOLDRAS@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Couriers and Express Delivery Services (492110),2021-11-10 00:06:07.4066667,,,,,,,,,,,,,,,,,,,,,,
CONCRETE STRUCTURES INC,Stock,Active,1380050,2022-03-01,960 JOHNSON AVE,RONKONKOMA,United States,11779,NY,DEBRA@CONCRETESTRUCTURES.INFO,Foreign,2021-03-01,NY,NY,False,False,False,False,False,Masonry Contractors (238140),2021-11-10 00:06:12.4233333,,,2021-03-15,CONCRETE STRUCTURES INC,United States,,,,,,,,,,,,,,,,,
AMV LANDSCAPING LLC,LLC,Active,1380267,2022-03-31,60 MAIN ST.,EAST HAMPTON,,06424,CT,,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:14.6400000,,,,,,,,,,,,,,,,,,,,,,
DAYDREAM DRIPS LLC,LLC,Active,1380475,2022-03-31,26 PRESTON RD,WINDSOR LOCKS,United States,06096,CT,DAYDREAMDRIPS@OUTLOOK.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:06:04.3433333,,,,,,,,,,,,,,,,,,,,,,
BNM LLC,LLC,Active,1380223,2022-03-31,34 CLIFTON ST 2,NEW HAVEN,United States,06513,CT,JANNELLI.RODRIGUEZ1301@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Other Clothing Stores (448190),2021-11-10 00:06:07.4366667,,,,,,,,,,,,,,,,,,,,,,
EDGAR  ANTONIO RIVERA LLC,LLC,Active,1380208,2022-03-31,251 W MAIN ST,NORWALK,United States,06902,CT,WENDY@DURANGOAGENCY.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:06:13.8900000,,,,,,,,,,,,,,,,,,,,,,
JAGZ PERFORMANCE LLC,LLC,Active,1380039,2022-03-31,32B NOD PLACE,CLINTON,,06413,CT,XAVIERJAGROSSE@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:10.7200000,,,,,,,,,,,,,,,,,,,,,,
AVESI PARTNERS LLC,LLC,Active,1380035,2022-03-31,93 INDIAN HEAD ROAD,RIVERSIDE,,06878,CT,,Foreign,2021-03-01,DE,DE,False,False,False,False,False,,2021-11-10 00:06:15.2500000,,,2021-02-16,AVESI PARTNERS,,,,,,,,,,,,,,,,,,
CHRISTINE DREHER LLC,LLC,Active,1380206,2022-03-31,127 ALSACE STREET,BRIDGEPORT,United States,06604,CT,CHRISTINEDREHERLLC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Beauty Salons (812112),2021-11-10 00:06:10.0933333,,,,,,,,,,,,,,,,,,,,,,
HONEY I'M HOME LLC,LLC,Active,1380224,2022-03-31,26 CORPORATE RIDGE,HAMDEN,United States,06514,CT,HONEYIMHOMERES@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:12.4366667,,,,,,,,,,,,,,,,,,,,,,
"SPARK THERMIONICS, INC.",Stock,Active,1380036,2022-03-01,1540 62ND STREET,EMERYVILLE,,94608-2014,CA,INFO@SPARKTHERMIONICS.COM,Foreign,2021-03-01,DE,DE,False,False,False,False,False,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology) (541715)",2021-11-10 00:06:03.5000000,,,2021-01-01,"SPARK THERMIONICS, INC.",,,,,,,,,,,,,,,,,,
WAVE LENGTH ENTERTAINMENT LLC,LLC,Active,1380207,2022-03-31,"41 BROOKRIDGE DRIVE,",EXETER,United States,02822,RI,CHELSEAVALE@YMAIL.COM,Foreign,2021-03-01,RI,RI,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:13.2333333,,,2021-03-08,WAVE LENGTH ENTERTAINMENT LLC,United States,"41 BROOKRIDGE DRIVE,, EXETER, RI, 02822, United States","41 BROOKRIDGE DRIVE,",EXETER,RI,02822,United States,"41 BROOKRIDGE DRIVE,, EXETER, RI, 02822, United States","41 BROOKRIDGE DRIVE,",EXETER,RI,02822,United States,,,,,
43 JOHN STREET LLC,LLC,Active,1380205,2022-03-31,52 WINSTED NORFOLK ROAD NUMBER 52 AT THE POST,COLEBROOK,United States,06021,CT,JENNIFER.CATTO@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:13.9833333,,,,,,,,,,,,,,,,,,,,,,
POLITI CARPENTRY LLC,LLC,Active,1380719,2022-03-31,545 SPORT HILL ROAD,EASTON,United States,06612,CT,POLITICARPENTRYLLC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:12.4533333,,,,,,,,,,,,,,,,,,,,,,
ACCELERATED DIESEL TECH DEALER SERVICES LLC,LLC,Active,1380204,2022-03-31,182 KELSEY STREET,NEWINGTON,United States,06111,CT,ACCELERATEDDIESELCT@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Used Car Dealers (441120),2021-11-10 00:06:14.5933333,,,,,,,,,,,,,,,,,,,,,,
335 EAST LLC,LLC,Active,1380056,2022-03-31,17 SAINT ANDREWS LANE,MILFORD,United States,06461,CT,TITLESERVICESOFMILFORD@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:27.3533333,,,,,,,,,,,,,,,,,,,,,,
CREATIVE HEALTH LLC,LLC,Active,1380144,2022-03-31,7 LINDEN LNE,AVON,United States,06001,CT,WENDY.BALDAUF@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),2021-11-10 00:06:28.7733333,,,,,,,,,,,,,,,,,,,,,,
CHRIS GOUVEIA GOURMET LLC,LLC,Active,1380242,2022-03-31,116 SHEEPHILL RD,RIVERSIDE,United States,06878,CT,FSAGENCYNY@OUTLOOK.COM,Foreign,2021-03-01,USA,USA,False,False,False,False,False,"Cafeterias, Grill Buffets, and Buffets (722514)",2021-11-10 00:06:19.0500000,,,2021-03-01,CHRIS GOUVEIA GOURMET LLC,United States,"17 W LINCOLN AVE, MOUNT VERNON, NY, 10550, United States",17 W LINCOLN AVE,MOUNT VERNON,NY,10550,United States,"17 W LINCOLN AVE, MOUNT VERNON, NY, 10550, United States",17 W LINCOLN AVE,MOUNT VERNON,NY,10550,United States,,,,,
"REZOD, LLC",LLC,Active,1380054,2022-03-31,777 HARRISON DR,COLUMBUS,United States,43204,OH,REZODINVOICES@REZOD.COM,Domestic,2021-03-01,OH,Connecticut,True,False,False,False,False,Commercial and Institutional Building Construction (236220),2021-11-10 00:06:29.9466667,,,,,,,,,,,,,,,,,,,,,,
CIRCUIT 360 VP LLC,LLC,Active,1380269,2022-03-31,345 BUCKLAND HILLS DR APT 15232,MANCHESTER,United States,06042,CT,CIRCUIT360VP@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,Motion Picture and Video Production (512110),2021-11-10 00:06:27.3200000,,,,,,,,,,,,,,,,,,,,,,
GOLD KEY GROUP LLC,LLC,Active,1380243,2022-03-31,142 MAIN STEET,DANIELSON,United States,06239,CT,GOLDKEYCT@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:06:28.0866667,,,,,,,,,,,,,,,,,,,,,,
CLOUDLESS PRODUCTIONS LLC,LLC,Active,1380225,2022-03-31,"41 BROOKRIDGE DRIVE,",EXETER,United States,02822,RI,DAVIDGERE@ROCKETMAIL.COM,Foreign,2021-03-01,RI,RI,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:27.2900000,,,2021-03-08,CLOUDLESS PRODUCTIONS LLC,United States,"41 BROOKRIDGE DRIVE,, EXETER, RI, 02822, United States","41 BROOKRIDGE DRIVE,",EXETER,RI,02822,United States,"41 BROOKRIDGE DRIVE,, EXETER, RI, 02822, United States","41 BROOKRIDGE DRIVE,",EXETER,RI,02822,United States,,,,,
BIZZY BEE BOXES LLC,LLC,Active,1380193,2022-03-31,741 DEEP RIVER ROAD,COLCHESTER,United States,06415,CT,BIZZYBEEBOXESLLC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",2021-11-10 00:06:16.0633333,,,,,,,,,,,,,,,,,,,,,,
"ROUTE 9A RENTALS, LLC",LLC,Active,1380092,2022-03-31,62 JACOBY ROAD,HIGGANUM,United States,06441,CT,JRUMMEL62@COMCAST.NET,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:06:24.2400000,,,,,,,,,,,,,,,,,,,,,,
DESTINY TOWING LLC,LLC,Active,1380090,2022-03-31,974 GRAND STREET,BRIDGEPORT,United States,06604,CT,MARVINGRAY051@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Motor Vehicle Towing (488410),2021-11-10 00:06:22.0966667,,,,,,,,,,,,,,,,,,,,,,
VERSATILE TRUCKING LLC,LLC,Active,1380241,2022-03-31,"300 COLD SPRING RD., APT C411",ROCKY HILL,,06067,CT,,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:20.5500000,,,,,,,,,,,,,,,,,,,,,,
CNJ LOGISTICS SOLUTIONS LLC,LLC,Dissolved,1380240,2022-03-31,40 DAVENPORT STREET,NEW BRITAIN,United States,06051,CT,CNJLOGISTICSOLUTIONS@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:06:26.6333333,2021-03-05T00:00:00.000,,,,,,,,,,,,,,,,,,,,,
ALLITERATE ANIMALS BREWING COMPANY LLC,LLC,Active,1380089,2022-03-31,306 MONTICELLO DR,BRANFORD,United States,06405,CT,ALLITERATEANIMALBC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,True,False,True,False,Beer and Ale Merchant Wholesalers (424810),2021-11-10 00:06:19.7533333,,,,,,,,,,,,,,,,,,,,,,
"20 WAMPUS LANE, LLC",LLC,Active,1380055,2022-03-31,56 ZURKO FARM ROAD,MILFORD,United States,06461,CT,IGIBAZURKA@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:23.4866667,,,,,,,,,,,,,,,,,,,,,,
NEW ENGLAND WHOLESALE LLC,LLC,Active,1380093,2022-03-31,520 WASHINGTON AVE,NORTH HAVEN,United States,06473,CT,NEWENGLANDWHOLESALE2021@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,Wholesale Trade Agents and Brokers (425120),2021-11-10 00:06:26.6166667,,,,,,,,,,,,,,,,,,,,,,
STACKIN-THAT-PAPER LLC,LLC,Active,1380191,2022-03-31,116 SHELTON AVE 1ST FLR,NEW HAVEN,United States,06513,CT,LDONNIE365@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Clothing Accessories Stores (448150),2021-11-10 00:06:16.6400000,,,,,,,,,,,,,,,,,,,,,,
IT TAKES A VILLAGE LEARNING CENTER LIMITED LIABILITY COMPANY,LLC,Active,1380142,2022-03-31,69 MORRIS AVE,WEST HAVEN,United States,06516,CT,ITAVLEARNINGCENTER20@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Educational Support Services (611710),2021-11-10 00:06:22.1300000,,,,,,,,,,,,,,,,,,,,,,
"141 COURTYARD LANE, LLC",LLC,Active,1380091,2022-03-31,4 CONSTITUTION RD.,LEXINGTON,United States,02421,MA,FILINGS@VCORPSERVICES.COM,Domestic,2021-03-01,MA,Connecticut,False,False,False,False,False,,2021-11-10 00:06:22.0666667,,,,,,,,,,,,,,,,,,,,,,
CALVARY CONSULTANTS LLC,LLC,Active,1380141,2022-03-31,25 CRESTVIEW LN.,DANBURY,United States,06810,CT,MRJOEPITTMAN@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:22.8000000,,,,,,,,,,,,,,,,,,,,,,
IRRI CARE LLC,LLC,Active,1380088,2022-03-31,5 RIPPOWAM RD,STAMFORD,United States,06902,CT,IRRICARELLC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Water Supply and Irrigation Systems (221310),2021-11-10 00:06:22.0800000,,,,,,,,,,,,,,,,,,,,,,
CAMPFIRE PUBLISHING LLC,LLC,Active,1380189,2022-03-31,172 ETHAN DR,WINDSOR,United States,06095,CT,JLOURO@CAMPFIRETECHNOLOGY.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Book Publishers (511130),2021-11-10 00:06:27.9933333,,,,,,,,,,,,,,,,,,,,,,
J & S CARRIERS LLC,LLC,Active,1380244,2022-03-31,52 DORAN ST,WATERBURY CT,United States,06704,CT,JS.TRUCKINGLLC3020@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Local (484110)",2021-11-10 00:04:14.1833333,,,,,,,,,,,,,,,,,,,,,,
VICTUS COFFEE LLC,LLC,Active,1380063,2022-03-31,320 PARK ROAD,WEST HARTFORD,United States,06119,CT,JRENE@VICTUSCOFFEE.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,Limited-Service Restaurants (722513),2021-11-10 00:04:04.0400000,,,,,,,,,,,,,,,,,,,,,,
"JAMES E. DE SALVO, INC.",Stock,Active,1380251,2022-03-01,577 NORTH MAIN ST,BREWSTER,United States,10509,NY,JEDSTUDIOS@GMAIL.COM,Foreign,2021-03-01,NY,NY,False,False,False,False,False,Custom Architectural Woodwork and Millwork Manufacturing (337212),2021-11-10 00:04:04.0400000,,,2021-03-01,"JAMES E. DE SALVO, INC.",United States,,,,,,,,,,,,,,,,,
HANDYMAN CONSTRUCTION LLC,LLC,Active,1380143,2022-03-31,3 JAMES PLACE,WATERBURY,United States,06708,CT,JUNIORBROOKS84@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:09.6200000,,,,,,,,,,,,,,,,,,,,,,
"WELLTRESS LIVING COMPANY, LLC",LLC,Active,1380019,2022-03-31,658 VALLEY ROAD,NEW CANAAN,United States,06840,CT,TTURNERLOCKHART@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:04:07.6333333,,,,,,,,,,,,,,,,,,,,,,
HONORDEALZ LLC,LLC,Active,1380105,2022-03-31,300 TRESSER BLVD APT 5E,STAMFORD,United States,06901,CT,EFILE1234@INCFILE.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:04:15.4666667,,,,,,,,,,,,,,,,,,,,,,
"JOHN J. HUNT CONSTRUCTION CONSULTING, LLC",LLC,Active,1380628,2022-03-31,10 JEREMIAH RD,SANDY HOOK,United States,06482,CT,JJHUNTCC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),2021-11-10 00:04:08.2300000,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND LANE PARTNERS LLC,LLC,Active,1380228,2022-03-31,27 PERRYRIDGE ROAD,GREENWIICH,United States,06830,CT,FERNANDO.GENTIL.JR@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:04:05.4300000,,,,,,,,,,,,,,,,,,,,,,
SAND & SHORE LLC,LLC,Active,1380065,2022-03-31,77 PROSPECT ST 111,STAMFORD,United States,06901,CT,SANDNSHORE1@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,Other Clothing Stores (448190),2021-11-10 00:04:07.5266667,,,,,,,,,,,,,,,,,,,,,,
ALLEN FAMILY ENTERPRISES LLC,LLC,Active,1380145,2022-03-31,386 SOUTH STREET,ROXBURY,United States,06783,CT,D-ALLEN81@HOTMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Used Household and Office Goods Moving (484210),2021-11-10 00:04:09.6033333,,,,,,,,,,,,,,,,,,,,,,
FRUITOPIAZ SAVERZ EXOTICS LLC,LLC,Active,1380250,2022-03-31,122 WESTPHAL ST.,WEST HARTFORD,,06110,CT,,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:09.6033333,,,,,,,,,,,,,,,,,,,,,,
CNC WATCHDOG SYSTEMS LLC,LLC,Active,1380163,2022-03-31,163 KINNEY ST,TORRINGTON,United States,06790-5034,CT,JJ43@AOL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Electrical Equipment and Component Manufacturing (335999),2021-11-10 00:04:13.6066667,,,,,,,,,,,,,,,,,,,,,,
CATM GROUP LLC,LLC,Active,1380194,2022-03-31,70 MEADOWLARK LANE,STRATFORD,United States,06614,CT,DARNELLBLANDING@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,False,False,True,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:04:10.2433333,,,,,,,,,,,,,,,,,,,,,,
BLACK DOG TRADING LLC,LLC,Active,1380190,2022-03-31,23 FLORENCE DRIVE,TOLLAND,United States,06084,CT,DCPIAZZA9@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Securities and Commodity Exchanges (523210),2021-11-10 00:04:11.6066667,,,,,,,,,,,,,,,,,,,,,,
EVERYTHING PRETTY CO LLC,LLC,Active,1381763,2022-03-31,178 TEMPLE ST UNIT #5,NEW HAVEN,,06510-2621,CT,SABRINAVERDINER@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),2021-11-10 00:04:08.9466667,,,,,,,,,,,,,,,,,,,,,,
F.A LAWN SERVICES LLC,LLC,Active,1380101,2022-03-31,47 OLIVE ST,DANBURY,United States,06810,CT,CHIVITOATRE@YAHOO.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:04:10.2133333,,,,,,,,,,,,,,,,,,,,,,
LOVELY DAYCARE LLC,LLC,Active,1380192,2022-03-31,15 ANN STREET,EAST HARTFORD,United States,06108,CT,LOVELYDAYCARELLC@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,Child Day Care Services (624410),2021-11-10 00:04:04.0266667,,,,,,,,,,,,,,,,,,,,,,
PURIFY POOLS LLC,LLC,Active,1380165,2022-03-31,102 OLD TURNPIKE RD.,SOUTHINGTON,,06489,CT,PURIFYPOOLS@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:10.1800000,,,,,,,,,,,,,,,,,,,,,,
"BODE CELLMARK FORENSICS, INC.",Stock,Active,1380062,2022-03-01,"10430 FURNACE ROAD, SUITE 107",LORTON,United States,22079-9875,VA,CONTRACTS@BODETECH.COM,Foreign,2021-03-01,DE,DE,False,False,False,False,False,Testing Laboratories (541380),2021-11-10 00:04:17.0133333,,,2016-05-27,"BODE CELLMARK FORENSICS, INC.",United States,,,,,,,,,,,,,,,,,
SJC PROPERTIES LLC,LLC,Active,1380170,2022-03-31,1245 FARMINGTON AVE #1072,WEST HARTFORD,United States,06107,CT,SJCPROPERTIESLLC1@GMAIL.COM,Domestic,2021-03-01,CT,Connecticut,True,False,True,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:04:08.1666667,,,,,,,,,,,,,,,,,,,,,,
