name,business_type,status,accountnumber,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,annual_report_due_date,country_formation,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,total_authorized_shares,sub_status,mailing_international_address,dissolution_date,mail_jurisdiction,record_address,records_address_street,records_address_state,records_address_zip_code,records_address_country,records_address_city
Robinson Loyalty Freight LLC,LLC,Active,2335863,,2 Thompson Rd,10d,Manchester,United States,06040,CT,robinsonloyaltyfreight@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:39.3100000,2022-03-31,United States,dominique860@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shakespeare & Company, LLC",LLC,Active,2335857,,23 Sound Breeze Ave,,Groton,United States,06340-8846,CT,gotzshakespeare@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,Educational Support Services (611710),2021-11-10 00:06:39.3100000,2022-03-31,United States,emjct@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Twisted Top Cupcake�s LLC,LLC,Active,2335862,,20 Wedgewood Dr,Apt G,Bloomfield,United States,06002-1944,CT,aricascakes@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,Commercial Bakeries (311812),2021-11-10 00:06:39.8100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.B. Maldonado Cooking LLC,LLC,Active,2335880,,139 Crestview Drive,,Bridgeport,United States,06606,CT,abm9304@yahoo.es,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,Mobile Food Services (722330),2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SHANAYA PACKAGE STORE, LLC",LLC,Active,2335886,,320 BOSTON POST ROAD,,GUILFORD,United States,06437,CT,patelyogeshb@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,"Beer, Wine, and Liquor Stores (445310)",2021-11-10 00:06:39.3266667,2022-03-31,United States,kathy@bszllaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cobblestone Restaurant, LLC",LLC,Active,2335887,,236 North Elm Street,,Torrington,United States,06790,CT,tiffland1@optimum.net,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Full-Service Restaurants (722511),2021-11-10 00:06:39.3266667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ehika LLC,LLC,Active,2335888,,430 New Park Ave,Ste 102-133,West Hartford,United States,06110-1142,CT,bharath.m.417@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Computer Systems Design Services (541512),2021-11-10 00:06:39.2966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"475 HAMILTON AVE, LLC",LLC,Active,2335890,,320 BOSTON POST ROAD,,GUILFORD,United States,06437,CT,patelyogeshb@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:06:39.3100000,2022-03-31,United States,kathy@bszllaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Lane Condos LLC,LLC,Active,2335899,,162 Columbia Blvd,,Waterbury,United States,06710-1707,CT,alejandrosoriano@hotmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:39.3100000,2022-03-31,United States,alejandrosoriano@hotmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Triple-B Media, LLC",LLC,Active,2335903,,288 Highland Ave,Suite 1,Cheshire,United States,06410,CT,md@tripleb.tv,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",2021-11-10 00:06:39.3100000,2022-03-31,United States,md@tripleb.tv,,,,,,,,,,,,,,,,,,,,,,,,,,
MANTEL DENTAL LAB LLC,LLC,Active,2335918,,225 Fillow St,,Norwalk,United States,06850-2706,CT,expert5@taxproman.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:39.2966667,2022-03-31,United States,expert5@taxproman.com,,,,,,,,,,,,,,,,,,,,,,,,,,
JM CONTRACTING & CUSTOM CARPENTRY CORP.,Stock,Active,2335922,2021-09-02,45 Columbus pl,15,Stamford,United States,06907,CT,jm@jmcontractingcorp.com,JM CONTRACTING & CUSTOM CARPENTRY CORP.,Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,New Single-Family Housing Construction (except For-Sale Builders) (236115),2021-11-10 00:06:39.2966667,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEST TAX & ACCOUNTING SERVICES INC,Stock,Active,2335911,,298 MAIN ST,,NEW BRITAIN,United States,06051,CT,besttaxservice298@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Accounting Services (541219),2021-11-10 00:06:39.3266667,2022-09-02,United States,,,,,,,,,,,,,,,,2021-09-01,1000.0,,,,,,,,,,
One Day Roofing LLC,LLC,Active,2335915,2021-09-01,7108 Beaumont Pl,,Hanover,United States,21076-2116,MD,licensing@onedayroofing.com,One Day Roofing LLC,Foreign,2021-09-01,DELAWARE,DELAWARE,False,False,False,False,False,Roofing Contractors (238160),2021-11-10 00:06:39.3100000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOW AND ZEN LLC,LLC,Active,2335924,,220 Albany Tpke,BLDG 9,Canton,United States,06019,CT,nickmazzucco@zenrestaurantgroup.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2021-11-10 00:06:39.2966667,2022-03-31,United States,nickmazzucco@zenrestaurantgroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Helix Leisure USA, Inc",Stock,Active,2335927,2021-09-01,2015 McKenzie Dr,Suite 106,Carrollton,United States,75006,TX,hpatterson@jha-cpa.com,"Helix Leisure USA, Inc",Foreign,2021-09-01,TEXAS,TEXAS,False,False,False,False,False,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),2021-11-10 00:06:39.8266667,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7-9 Pearl Street LLC,LLC,Active,2335939,,10 Butternut Dr,,Unionville,United States,06085-1546,CT,dvgkmanagement@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:39.8266667,2022-03-31,United States,dvagnini@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
IZURIETA COMPANY LLC,LLC,Active,2335941,,75 WILLOW RD,,EAST HAVEN,United States,06512,CT,wendy@durangoagency.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-11-10 00:06:39.8266667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ST CLASS STAFFING LLC,LLC,Active,2335961,2021-09-01,1293 N State St,,Orem,United States,84057-2670,UT,location@thepremierpride.com,1ST CLASS STAFFING LLC,Foreign,2021-09-01,ARIZONA,ARIZONA,False,False,False,False,False,,2021-11-10 00:06:39.8266667,2022-03-31,,,"3800 N Central Ave, Suite 460, Phoenix, AZ, 85012-1992, United States",3800 N Central Ave,Suite 460,Phoenix,AZ,85012-1992,United States,"3800 N Central Ave, Suite 460, Phoenix, AZ, 85012-1992, United States",3800 N Central Ave,Suite 460,Phoenix,AZ,85012-1992,United States,,,,,,,,,,,,
85-87 Dunne Avenue LLC,LLC,Active,2335952,,10 Butternut Dr,,Unionville,United States,06085-1546,CT,dvgkmanagement@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:39.2966667,2022-03-31,United States,dvagnini@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"GFV Mega, LLC",LLC,Active,2335959,,15 Cheryl Drive,Suite D,Canton,United States,06019,CT,gfvjiujitsu@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),2021-11-10 00:06:39.2966667,2022-03-31,United States,alex@aetonlaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"Drive Holdings, LLC",LLC,Active,2336011,,29 S Main St,Ste B4,West Hartford,United States,06107,CT,matterdmann@kw.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:06:39.8266667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1 QUICK AND EASY LLC,LLC,Active,2335975,,239 Boston Post Rd,,Waterford,United States,06385,CT,munir.g.dalal@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Gasoline Stations with Convenience Stores (447110),2021-11-10 00:06:39.8266667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dylan Consulting, LLC",LLC,Active,2336003,2021-09-01,15290 N. 78th Way B202,,Scottsdale,United States,85260,AZ,govdocs@corpcreations.com,"Dylan Consulting, LLC",Foreign,2021-09-01,ARIZONA,ARIZONA,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:06:39.3100000,2022-03-31,,,"15290 N. 78th Way B202, Scottsdale, AZ, 85260, United States",15290 N. 78th Way B202,,Scottsdale,AZ,85260,United States,"15290 N. 78th Way B202, Scottsdale, AZ, 85260, United States",15290 N. 78th Way B202,,Scottsdale,AZ,85260,United States,,,,,,,,,,,,
STUDIO DURANT CORP.,Stock,Active,2336004,,,,,,,,gillian@gillianjacquest.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Interior Design Services (541410),2021-11-10 00:06:39.3100000,2021-11-30,United States,,,,,,,,,,,,,,,,,100.0,First report due,,,,,,,,,
"Evolution Environmental Asset Management, Limited Liability Partnership",LLP,Active,2336008,,2 Greenwich Office Park (West),Suite 300,Greenwich,United States,06831,CT,info@eeam.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Financial Vehicles (525990),2021-11-10 00:06:39.3100000,2022-09-01,United States,dsanchez@eeam.com,,,,,,,,,,,,,,,,,,,,,,,,,,
PEDRO LATA LLC,LLC,Active,2335994,,27 Garnet Rd,,Roxbury,United States,06783-2034,CT,karenvallejos@live.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Adhesive Manufacturing (325520),2021-11-10 00:06:39.2966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wasi Corp.,Stock,Active,2336013,,21 Fuller St,,New London,United States,06320-3609,CT,vpaucar@insclients.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:39.3100000,2022-09-01,United States,,,,,,,,,,,,,,,,2021-09-01,2000.0,,,,,,,,,,
A1 MART LLC,LLC,Active,2336005,,1242 MAIN ST,,WILLIMANTIC,United States,06226,CT,munir.g.dalal@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Convenience Stores (445120),2021-11-10 00:06:39.8266667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anueday cleanup LLC,LLC,Active,2336017,,51 Tulip Dr,,Meriden,United States,06450-7323,CT,styrese711@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Waste Collection (562119),2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHRISTIAN GEOVANNY PLASENCIA NUGRA LLC,LLC,Active,2336032,,94 LIBERTY ST.,1 FL,DANBURY,United States,06810,CT,estevezkatiusca@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R&R North Branford Associates, LLC",LLC,Active,2336037,,"373 Highland Avenue, Suite 201",,Somerville,United States,02144,MA,digirolamolegal@verizon.net,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:39.3100000,2022-03-31,United States,ijack@haflaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon Allen LLC,LLC,Active,2336023,,138 North St,,Milford,United States,06460,CT,jonallenllc@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:39.3100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Things Clean LLC,LLC,Active,2336026,,383 Columbus Ave,,Meriden,United States,06451-5340,CT,atcleanllc@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Services to Buildings and Dwellings (561790),2021-11-10 00:06:39.8100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nova Bus (US) Inc.,Stock,Active,2336027,2021-10-01,260 Banker Rd,,Plattsburgh,United States,12901-7310,NY,novabus@allynintl.com,Nova Bus (US) Inc.,Foreign,2021-09-01,DELAWARE,DELAWARE,False,False,False,False,False,Motor Vehicle Body Manufacturing (336211),2021-11-10 00:06:39.3100000,2022-09-01,,,,,,,,,,,,,,,,,,,,"1000 Industriel Blvd Saint-Eustache, Quebec J7R 5A5",,,,,,,,
stateline delivery services llc,LLC,Active,2336036,,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:39.8100000,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
772 EAST MAIN LLC,LLC,Rejected,2336045,2021-09-01,329 Quaker Rd,,Chappaqua,United States,10514-2614,NY,mtp749@gmail.com,772 EAST MAIN LLC,Foreign,2021-09-01,NEW YORK,NEW YORK,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:39.8100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289 Wahackme LLC,LLC,Active,2336050,,97 Dans Highway,,New Canaan,United States,06840,CT,judy@gardinerlarsonhomes.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:06:39.3100000,2022-03-31,United States,rachel@innovativecpagroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,
But First Coffee Blog LLC,LLC,Active,2336077,,62 Railroad Ave,,Madison,United States,06443-3123,CT,butfirstcoffeeblog@gmail.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:06:39.3100000,2022-03-31,United States,butfirstcoffeeblog@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"AVY, LLC",LLC,Active,2336052,,264 Quarry Rd,Unit A,Milford,United States,06460-8506,CT,malikgaurav47@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:39.3100000,2022-03-31,United States,chris@cpappaslaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
"WELCOME NEW BEGINNINGS, LLC",LLC,Active,2336063,,102 BROOKLINE AVE.,,BLOOMFIELD,UNITED STATES,06002,CT,shirrelljackson@comcast.net,,Domestic,2021-09-01,,Connecticut,False,False,False,False,False,531390,2021-11-10 00:06:39.8100000,2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Church Street PM, LLC",LLC,Active,2336065,,264 Quarry Rd,Unit A,Milford,United States,06460-8506,CT,malikgaurav47@yahoo.com,,Domestic,2021-09-01,Connecticut,Connecticut,False,False,False,False,False,,2021-11-10 00:06:39.8100000,2022-03-31,United States,chris@cpappaslaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,
All Who Wander LLC,LLC,Active,2336069,,5D Gorham Ave,,Westport,United States,06880-2532,CT,ashleyl@vwti.com,,Domestic,2021-09-01,Connecticut,Connecticut,True,False,False,False,False,Travel Agencies (561510),2021-11-10 00:06:39.2966667,2022-03-31,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,
