name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,total_authorized_shares,dissolution_date,billing_unit,category_survey_email_address,reason_for_administrative,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
APEX CLEARING CORPORATION,Stock,Active,1394084,2022-06-01,350 N. ST. PAUL STREET STE. 1300,DALLAS,,75201,TX,LEGAL@PEAK6.COM,Foreign,2021-06-01,NY,NY,False,False,False,False,False,2021-11-10 00:06:16.6100000,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",2021-05-14,APEX CLEARING CORPORATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TO Z MANAGEMENT LLC,LLC,Active,1394489,2022-03-31,967 BROAD STREET,MERIDEN,United States,06450,CT,ETOZMANAGEMENT@YAHOO.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:26.7100000,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIX HOME HANDYMAN LLC,LLC,Active,1394417,2022-03-31,4 CANDLEWOOD SHORE,NEW MILFORD,United States,06776,CT,FZ@FIXHOMEHANDYMAN.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.0966667,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LONGVIEW PARTNERS LLC,LLC,Active,1394176,2022-03-31,42 LONGVIEW RD,MONROE,United States,06468,CT,EFILE1234@INCFILE.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.3833333,All Other Insurance Related Activities (524298),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANS WIRELESS LLC,LLC,Active,1394419,2022-03-31,250 ALBANY AVE,HARTFORD,United States,06120,CT,MANINDERARORA67@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:26.6333333,Electronics Stores (443142),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALIERO'S LLC,LLC,Active,1394611,2022-03-31,25 ADAMS AVE,MILFORD,,06460,CT,FALIEROGOODS@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.9633333,All Other Specialty Food Stores (445299),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BILODEAU WELLS AND COMPANY, PC",Stock,Active,1394175,2022-06-01,20 MAIN ST,ESSEX JCT,United States,05452,VT,BWALKER@BWC-CPAS.COM,Foreign,2021-06-01,VT,VT,False,False,False,False,False,2021-11-10 00:06:25.9466667,Offices of Certified Public Accountants (541211),2021-06-01,"BILODEAU WELLS AND COMPANY, PC",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDS TRUCKING LLC,LLC,Active,1394418,2022-03-31,42 WADE AVE,BLOOMFIELD,United States,06002,CT,PRESTONEDDIELEWIS@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:26.6333333,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AL-NOUR, LLC",LLC,Active,1394397,2022-03-31,26 BIBBINS AVENUE,FAIRFIELD,United States,06432,CT,SHUJAATMALICK@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:19.0666667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"AE PROPERTY SOLUTIONS, LLC",LLC,Active,1394137,2022-03-31,35 E MAIN ST STE 154,AVON,United States,06001,CT,AEPROPERTYSOLUTIONSCT@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:30.0100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NEXT CHAPTER, LLC",LLC,Active,1394085,2022-03-31,32 MILL BROOK RD,STAMFORD,,06902,CT,FAISAL.HOQUE@SHADOKA.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:21.2066667,Professional and Management Development Training (611430),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ SOLUTIONS CONSULTANTS LLC,LLC,Active,1394177,2022-03-31,107 WARNER AVE,MIDDLETOWN,United States,06457,CT,NJSCONSULTANTS@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:27.3700000,Computer Systems Design Services (541512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BRANFORD HOUSE, LLC",LLC,Active,1394361,2022-03-31,8 FOXHILL LANE,STONY BROOK,United States,11790,NY,RMB138@CASE.EDU,Domestic,2021-06-01,NY,Connecticut,False,False,False,False,False,2021-11-10 00:06:22.1433333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEAVER STREET PARTNERS LLC,LLC,Active,1394415,2022-03-31,1744 57TH ST,BROOKLYN,United States,11204,NY,HYSTAXFIRM@GMAIL.COM,Foreign,2021-06-01,NY,NY,False,False,False,False,False,2021-11-10 00:06:20.6133333,Other Activities Related to Real Estate (531390),2021-06-01,BEAVER STREET PARTNERS LLC,United States,"1744 57TH ST, BROOKLYN, NY, 11204, United States",1744 57TH ST,BROOKLYN,NY,11204,United States,"1744 57TH ST, BROOKLYN, NY, 11204, United States",1744 57TH ST,BROOKLYN,NY,11204,United States,,,,,,,,,,,,,,,,
KESSLER INDUSTRIES WORLDWIDE LLC,LLC,Active,1394416,2022-03-31,64 HANSEN AVENUE,BRIDGEPORT,United States,06605-2501,CT,BRIANK2@ME.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.7366667,"General Freight Trucking, Local (484110)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KIND AND CUSTOM LLC,LLC,Active,1394170,2022-03-31,20 VASALIE RD,SOMERS,United States,06071,CT,KINDANDCUSTOM@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:22.8300000,All Other Miscellaneous Textile Product Mills (314999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARIANNA'S CLEANING SERVICE, LLC",LLC,Active,1394607,2022-03-31,20 BUNKER HILL RD,GUILFORD,,06437-1651,CT,ARIANNASCLEANINGSERVICESLLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:28.6800000,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIG D'S PAVING LLC,LLC,Active,1394102,2022-03-31,631 MIDDLETOWN AVENUE APT 3,NEW HAVEN,United States,06513,CT,BIGDSPAVING@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:13.5433333,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE CONSUMMATE CONCEIRGE, LLC",LLC,Active,1394398,2022-03-31,296 ROSS HILL ROAD,LISBON,United States,06351,CT,JENNIFER@JVGMEETINGS.COM,Domestic,2021-06-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:11.5266667,Travel Agencies (561510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOORING HITCH II LLC,LLC,Active,1394362,2022-03-31,310 SOUTH AVE,NEW CANAAN,United States,06840,CT,NICK@MOORINGHITCH.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:09.6200000,Other Financial Vehicles (525990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIXWELL SMOKERS LLC,LLC,Active,1394139,2022-03-31,1461 DIXWELL AVE,HAMDEN,United States,06514,CT,MANINDERARORA67@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.7766667,Tobacco Stores (453991),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GE SERVICES LLC,LLC,Active,1394103,2022-03-31,38 SOUTH WHITNEY AP 5,HARTFORD,United States,06106,CT,USACONNECTION2010@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.2133333,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICHAEL MOTISE-PACIER PLLC,LLC,Active,1394637,2022-03-31,272 YERRY HILL ROAD,WOODSTOCK,United States,12498,NY,NPMSMC@OUTLOOK.COM,Domestic,2021-06-01,NY,Connecticut,False,False,False,False,False,2021-11-10 00:04:06.9300000,"Offices of Physicians, Mental Health Specialists (621112)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C & M AUTO GROUP, LLC",LLC,Active,1394101,2022-03-31,29 BOULTER RD,WETHERSFIELD,United States,06109,CT,eric.capella22@gmail.com,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:16.2166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555 EQUITIES LLC,LLC,Active,1394391,2022-03-31,619 EASTERN PARKWAY,BROOKLYN,United States,11213,NY,OFFICE@UPREALTYNY.COM,Domestic,2021-06-01,NY,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.8400000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BENTZ REALTY LLC,LLC,Active,1395229,2022-03-31,55 POND MILL ROAD,PLANTSVILLE,,06479,CT,TRACEYBTZ@AOL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:05.5566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NATURE BOY ENTERPRISES, INC.",Stock,Active,1394363,2022-06-01,171 CLERMONT AVENUE APT. 6G,BROOKLYN,United States,11205,NY,STATREP@OGNCYGLOBAL.COM,Foreign,2021-06-01,NY,NY,False,False,False,False,False,2021-11-10 00:04:06.8700000,,2021-06-01,"NATURE BOY ENTERPRISES, INC.",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DB LIBERTY TRUCKING INC,B Corp,Active,1394360,2022-08-30,53 Greenwich Ave,Stamford,United States,06902-5077,CT,ERICD@POWERGRP.NET,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:08.9300000,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",,,,,,,,,,,,,,,,,2021-08-27,200.0,,,,,,,,,,,,,
"CROSSOVER PROPERTY MANAGEMENT AND INVESTMENT, LLC",LLC,Active,1394124,2022-03-31,334 TUNXIS ROAD,WEST HARTFORD,United States,06107,CT,ADE.CROSSOVER27@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:27.6066667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTG LLC,LLC,Active,1394420,2022-03-31,211 LATHROP ROAD,PLAINFIELD,United States,06374-2015,CT,SHAWNFREEMAN1816@ICLOUD.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:19.0133333,Other Warehousing and Storage (493190),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ED AND SON, LLC",LLC,Active,1394402,2022-03-31,167 W CEDAR ST. APT 12,NORWALK,United States,06854,CT,ANACMA12@YAHOO.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.2500000,Masonry Contractors (238140),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C & H TRANSACTION LLC,LLC,Active,1394434,2022-03-31,356 WETHERSFIELD AVE,HARTFORD,United States,06114,CT,NITROGENTV1200@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:23.6866667,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KARL T MOORE LLC,LLC,Active,1394392,2022-03-31,5 MISTY LANE,MONROE,United States,06468,CT,KARLFONZA@AOL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:21.0300000,"Photography Studios, Portrait (541921)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JART BUSINESS LLC,LLC,Active,1394147,2022-03-31,546 HILL STREET,BRISTOL,United States,06010,CT,JARTBUSINESSLLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.2500000,Travel Agencies (561510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DARCARS OF ROCKVILLE, INC.",Stock,Active,1394624,2022-06-01,7550 WISCONSIN AVE 6TH FLOOR,BETHESDA,,20814,MD,GBEALL@MHLAWYERS.COM,Foreign,2021-06-01,MD,MD,False,False,False,False,False,2021-11-10 00:04:26.3433333,New Car Dealers (441110),2021-04-21,"DARCARS OF ROCKVILLE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAGICALTRAVELS LLC,LLC,Active,1394435,2022-03-31,5 PINE RIVER ROAD,NORTH HAVEN,United States,06473,CT,MAGICALTRAVELSLLC4@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:22.9200000,Travel Agencies (561510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267 LAKESIDE RD LLC,LLC,Active,1395899,2022-03-31,40 LITCHFIELD HOLLOW,LITCHFIELD,,06759,CT,FA.NILSEN1@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.9366667,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NORTH BAY INDUSTRIES, LLC",LLC,Active,1394438,2022-03-31,32 BANTAM LAKE HEIGHTS,MORRIS,United States,06763,CT,MATT@NORTHBAYGROUPCT.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.9833333,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREATIVE PARTIES ON THE GO LLC,LLC,Active,1394401,2022-03-31,71 MIDDLE ROAD,BROAD BROOK,United States,06016,CT,DONFARM71@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.9666667,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSITA CONSTRUCTION LLC,LLC,Active,1394436,2022-03-31,108 OCEAN AV,NEW LONDON,United States,06320,CT,ROSITACONSTRUCTIONLLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:17.6866667,Roofing Contractors (238160),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VETERINARY REVISION PLLC,LLC,Active,1394125,2022-03-31,470 OAKWOOD AVE,WEST HARTFORD,United States,06110,CT,KLT.DVM@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:25.0133333,Veterinary Services (541940),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"35-37 LOWNDS DRIVE, LLC",LLC,Active,1394407,2022-03-31,287 MARY WEBB ROAD,WINDSOR LOCKS,United States,06096,CT,ATOMASIK22@YAHOO.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:23.6700000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NATURALAWN & OUTDOORS, LLC",LLC,Active,1394406,2022-03-31,"1150 FIRST AVE, STE 511",KING OF PRUSSIA,United States,19406,PA,INFO@CORPORATEDIRECT.COM,Domestic,2021-06-01,PA,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.2500000,Home and Garden Equipment Repair and Maintenance (811411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALCON CLAIMS SERVICES LLC,LLC,Active,1394148,2022-03-31,23 DALE DRIVE,SUMMIT,United States,07901,NJ,BETTY.LANDI@FALCONRISKSERVICES.COM,Foreign,2021-06-01,DE,DE,False,False,False,False,False,2021-11-10 00:04:18.3900000,Claims Adjusting (524291),2021-06-01,FALCON CLAIMS SERVICES LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,,,,,,,,,,,
"GENERAL MANAGEMENT, LLC",LLC,Active,1394150,2022-03-31,200 ROOSEVELT DRIVE,DERBY,United States,06418,CT,BEN@IDA-INTL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:26.9033333,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLORY HOMECARE LLC,LLC,Active,1394153,2022-03-31,52 COLUMBUS CIR.,EAST HARTFORD,United States,06109,CT,GLORYHOMECARELLC@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:39.5933333,Home Health Care Services (621610),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL KIDS MATTER LLC,LLC,Active,1394403,2022-03-31,332 WIKLUND AVE.,STRATFORD,United States,06614,CT,TAHJ7101@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:40.2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POOCH PIZAZZ GROOMING LLC,LLC,Active,1394883,2022-03-31,204 MAIN STREET,ANSONIA,,06401,CT,POOCHPIZAZZGROOMING@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.2033333,Pet Care (except Veterinary) Services (812910),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISA GENIS LARA LLC,LLC,Active,1394404,2022-03-31,58 EAST AVE APT 1 BSM,STAMFORD,United States,06902,CT,LISSETTE_TRRS@YAHOO.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:30.4833333,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS LABRADORS LLC,LLC,Active,1394167,2022-03-31,128 TODD HILL RD,BETHLEHEM,United States,06751-1021,CT,JESSICAMARIEBRUEN@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:37.6566667,Support Activities for Animal Production (115210),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALIC INVESTMENT HOLDING LLC,LLC,Active,1394162,2022-03-31,654 MAIN AVE #1010,NORWALK,United States,06851,CT,EFILE1234@INCFILE.COM,Domestic,2021-06-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:34.4700000,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.F & SONS TRANSPORT LLC,LLC,Active,1394136,2022-03-31,31 BRAGG ST,EAST HARTFORD,United States,06108,CT,CFIGUEROA2885@GMAIL.COM,Domestic,2021-06-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:35.0466667,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
