name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,sub_status,date_of_organization_meeting,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,billing_unit,mailing_international_address,mailing_address,category_survey_email_address
"THE WRIGHTERS CHOICE, LLC",LLC,Active,1385610,2022-03-31,5A HOLBY COURT,NEW HAVEN,United States,06515,CT,ONLY1TONI4U@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:02.0933333,,,,,,,,,,,,,,,,,,,,,,,,
"ASPIRATIONS & ACHIEVEMENTS, LLC",LLC,Active,1385609,2022-03-31,211 CRYSTAL AVE BASEMENT,NEW LONDON,United States,06320,CT,WILDCOWBOYCLOTHING@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:05:55.3600000,,,,,,,,,,,,,,,,,,,,,,,,
ABOUT FACE PHOTOGRAPHY LLC,LLC,Active,1385705,2022-03-31,11 MERRIMAN LN,WALLINGFORD,United States,06492,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:15.3300000,"Photography Studios, Portrait (541921)",,,,,,,,,,,,,,,,,,,,,,,
M&G WHOLESALE & DISTRIBUTOR LLC,LLC,Dissolved,1385706,2022-03-31,300 OLD COLONY DRIVE,WATERTOWN,United States,06795,CT,PMANCINI10@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:06:15.2200000,Other Construction Material Merchant Wholesalers (423390),,,2021-09-17T00:00:00.000,,,,,,,,,,,,,,,,,,,,
"MOBILE CARDIAC IMAGING, INC.",Stock,Active,1385549,2022-04-01,2 TRANS AM PLAZA DR. STE 420,OAKBROOK TERRACE,United States,60181,IL,MWHITE@CARDIACSCAN.ORG,Foreign,2021-04-01,DE,DE,False,False,False,False,False,2021-11-10 00:06:08.1866667,Diagnostic Imaging Centers (621512),,,,2020-12-30,"CARDIAC IMAGING, INC.",United States,,,,,,,,,,,,,,,,,
YG TECHNOLOGIES LLC,LLC,Active,1385548,2022-03-31,22 BAYVIEW AVENUE,STONINGTON,United States,06378,CT,FLACKBRANDON@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:08.1233333,"Data Processing, Hosting, and Related Services (518210)",,,,,,,,,,,,,,,,,,,,,,,
CT PAINTING & BATHS LLC,LLC,Active,1385850,2022-03-31,37 EDGAR ST,EAST HAVEN,United States,06512,CT,CTPAINTBATH@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:09.3900000,,,,,,,,,,,,,,,,,,,,,,,,
"WARREN 159B, LLC",LLC,Active,1385642,2022-03-31,159 NORTH SHORE RD.,WARREN,United States,06754,CT,MROGER@AVELINOLAW.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:08.1700000,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,,,,,
"A.H. CROHN LAW, LLC",LLC,Active,1385547,2022-03-31,177 W. PUTNAM AVENUE,GREENWICH,United States,06830,CT,ASHLEY.CROHN@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:06:14.0166667,Offices of Lawyers (541110),,,,,,,,,,,,,,,,,,,,,,,
DRM SOLUTIONS LLC,LLC,Active,1385687,2022-03-31,500 POST ROAD EAST,WESTPORT,United States,06880,CT,DENNIS@DRM.SOLUTIONS,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:04.9066667,,,,,,,,,,,,,,,,,,,,,,,,
BLUE IKON LLC,LLC,Active,1385576,2022-03-31,11 MANOR WAY,POUGHKEEPISE,United States,12603,NY,BLUEIKONLLC@GMAIL.COM,Foreign,2021-04-01,NY,NY,False,False,False,False,False,2021-11-10 00:06:04.9066667,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,2021-04-15,BLUE IKON LLC,United States,"11 MANOR WAY, POUGHKEEPISE, NY, 12603, United States",11 MANOR WAY,POUGHKEEPISE,NY,12603,United States,"11 MANOR WAY, POUGHKEEPISE, NY, 12603, United States",11 MANOR WAY,POUGHKEEPISE,NY,12603,United States,,,,,
CLASSIC & SPECIALTY CAR CONSULTING LLC,LLC,Active,1385679,2022-03-31,202 GARRIGUS COURT,WOLCOTT,United States,06716,CT,BMWVETTE@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:13.9533333,Marketing Consulting Services (541613),,,,,,,,,,,,,,,,,,,,,,,
"METHUEN BROADWAY CROSSING, LLC",LLC,Active,1385575,2022-03-31,8 STURGES ROAD,NEWTOWN,United States,06470,CT,LOUIS@SPROVIERO.NET,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:04.2666667,,,,,,,,,,,,,,,,,,,,,,,,
VLR LANDSCAPING LLC,LLC,Active,1385530,2022-03-31,116 RICHMOND HILL AVE APT 1,STAMFORD,United States,06902,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:15.2666667,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,
ADR LANDSCAPING L.L.C.,LLC,Active,1385573,2022-03-31,112 BURR ST,EAST HAVEN,United States,06512,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:15.2666667,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,
LIF INDUSTRIES LLC,LLC,Active,1385672,2022-03-31,5 HARBOR PARK DRIVE,PORT WASHINGTON,United States,11050,NY,TGILLEN@LIFI.NET,Foreign,2021-04-01,NY,NY,False,False,False,False,False,2021-11-10 00:06:10.7333333,All Other Miscellaneous Fabricated Metal Product Manufacturing (332999),,,,2021-04-01,LIF INDUSTRIES LLC,United States,"5 HARBOR PARK DRIVE, PORT WASHINGTON, NY, 11050, United States",5 HARBOR PARK DRIVE,PORT WASHINGTON,NY,11050,United States,"5 HARBOR PARK DRIVE, PORT WASHINGTON, NY, 11050, United States",5 HARBOR PARK DRIVE,PORT WASHINGTON,NY,11050,United States,,,,,
23 PERRY LLC,LLC,Active,1385852,2022-03-31,23 PERRY STREET,STAMFORD,United States,06902,CT,RADEK@ECESTAMFORD.NET,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:05.5000000,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,
"ANANDAYOGA-20, LLC",LLC,Active,1385680,2022-03-31,67 STEPHEN TOM ROAD,PORTLAND,United States,06480,CT,ANANDAYOGA.20CT@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:28.0700000,Fitness and Recreational Sports Centers (713940),,,,,,,,,,,,,,,,,,,,,,,
BROWN FOX POENITSCH TAYLOR LLC,LLC,Active,1385639,2022-03-31,W279N2865 ROCKY POINT RD,PEWAUKEE,,53072,WI,DOCUMENTS@INCORP.COM,Domestic,2021-04-01,WI,Connecticut,False,False,False,False,False,2021-11-10 00:06:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,
"SOF-XII NOVA DC HOLDINGS, LIMITED PARTNERSHIP",Limited Partnership,Active,1385654,2022-04-01,591 WEST PUTNAM AVENUE,GREENWICH,,06830,CT,,Foreign,2021-04-01,DE,DE,False,False,False,False,False,2021-11-10 00:06:17.2366667,,,,,2021-04-01,"SOF-XII NOVA DC HOLDINGS, LIMITED PARTNERSHIP",,,,,,,,,,,,,,,,,,
A NICE TOUCH AUTO DETAILING LLC,LLC,Active,1385650,2022-03-31,50 UNITED DRIVE SUITE AB,NORTH HAVEN,United States,06473,CT,ANTDETAIL@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.8300000,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",,,,,,,,,,,,,,,,,,,,,,,
THEE JOY OF EVOLUTION LLC,LLC,Active,1385574,2022-03-31,300 PINE ROCK AVE APT A3,HAMDEN,United States,06514,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:16.5300000,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,
"LABOR POSTER COMPLIANCE, LLC",LLC,Active,1385640,2022-03-31,"109 E. 17TH STREET, SUITE 470",CHEYENNE,United States,82001,WY,LINDAB@JPFIRM.COM,Foreign,2021-04-01,WY,WY,False,False,False,False,False,2021-11-10 00:06:15.9833333,Commercial Printing (except Screen and Books) (323111),,,,2021-04-01,"LABOR POSTER COMPLIANCE, LLC",United States,"109 E. 17TH STREET, SUITE 470, CHEYENNE, WY, 82001, United States","109 E. 17TH STREET, SUITE 470",CHEYENNE,WY,82001,United States,"109 E. 17TH STREET, SUITE 470, CHEYENNE, WY, 82001, United States","109 E. 17TH STREET, SUITE 470",CHEYENNE,WY,82001,United States,,,,,
XV PRODUCTIONS LLC,LLC,Active,1385562,2022-03-31,329 THOMASTON RD.,WATERTOWN,United States,06795,CT,BEN@THERUGBYCLUBHOUSE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.7700000,,,,,,,,,,,,,,,,,,,,,,,,
DJ PERFECT LLC,LLC,Active,1385531,2022-03-31,210 HOWARD AVE,NEW HAVEN,United States,06519,CT,DJPERFECT203@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:30.0100000,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,
JOSH TRANSPORT LLC,LLC,Active,1385485,2022-03-31,1415 OLD TOWN ROAD,BRIDGEPORT,United States,06606,CT,JOSHTRANSPORT203@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:17.3133333,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,
"WARAMAUG 159A, LLC",LLC,Active,1385643,2022-03-31,159 NORTH SHORE RD.,WARREN,United States,06754,CT,MROGER@AVELINOLAW.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:16.6400000,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,,,,,
RAMOS ROOFING LLC,LLC,Active,1385641,2022-03-31,57B LIBERTY,DANBURY,United States,06810,CT,ELMER2000RAMOS@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.8000000,Roofing Contractors (238160),,,,,,,,,,,,,,,,,,,,,,,
ALL RISE RECORDS INC.,Stock,Active,1385678,2022-04-01,3175 PALISADES DR.,CORONA,United States,92880,CA,RWATKINS@GOTVAPE.COM,Foreign,2021-04-01,CA,CA,False,False,False,False,False,2021-11-10 00:06:26.0566667,Tobacco and Tobacco Product Merchant Wholesalers (424940),,,,2021-04-01,ALL RISE RECORDS INC.,United States,,,,,,,,,,,,,,,,,
"JSL-13, INC.",Stock,Active,1385539,2022-05-12,26 LARKSPUR ROAD,STAMFORD,United States,06903,CT,JUSTIN@JSLPUBLICRELATIONS.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:16.6266667,Public Relations Agencies (541820),,,,,,,,,,,,,,,,,,,20000.0,,,,
"ANDI MCKINZIE MA,LPC, LLC",LLC,Active,1385671,2022-03-31,17 S. HIGHLAND ST,WEST HARTFORD,United States,06119,CT,ANDREANNAMACK88@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.0666667,Outpatient Mental Health and Substance Abuse Centers (621420),,,,,,,,,,,,,,,,,,,,,,,
"RIVERARMS, LLC",LLC,Active,1385652,2022-03-31,8 TALL PINES DRIVE,OXFORD,United States,06478,CT,CRIVERA920@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.3366667,Sporting Goods Stores (451110),,,,,,,,,,,,,,,,,,,,,,,
"GRAND PRIX REAL ESTATE, LLC",LLC,Active,1385625,2022-03-31,143 MOUNT PLEASANT ROAD,NEWTOWN,United States,06470,CT,ADMIN@GRANDPRIXEQUINE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:28.0866667,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,
HONOR REALTY PARTNERS LLC,LLC,Active,1385487,2022-03-31,16 MOURNING DOVE CIRCLE,NEW HAVEN,United States,06513,CT,JUMAACCT.SOLUTIONS@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:06:19.7833333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
SAFE-N-SOUND TRUCKING L.L.C.,LLC,Active,1385688,2022-03-31,11 WHIPPORWILL DR,SHELTON,United States,06484,CT,EFILE1234@INCFILE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:24.9300000,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,
TAMMY SPECS LLC,LLC,Active,1385651,2022-03-31,44 IMLAY APT C,HARTFORD,United States,06105,CT,TAMMYSPECS1@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:19.0800000,Optical Goods Stores (446130),,,,,,,,,,,,,,,,,,,,,,,
LEXINGTON COMMERCIAL LLC,LLC,Active,1385653,2022-03-31,ONE FINANCIAL PLAZA,HARTFORD,United States,06103,CT,DMACKINNON@LEXINGTONCT.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:23.4566667,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,,,,,
M&G HOME IMPROVEMENTS LLC,LLC,Active,1385655,2022-03-31,180 R MEETING HOUSE HILL RD,DURHAM,United States,06422,CT,EPEREZ@LUCEROMULTISERVICES.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:25.9466667,Framing Contractors (238130),,,,,,,,,,,,,,,,,,,,,,,
"STEAM GREENWICH, INC",Stock,Active,1385681,2022-04-16,374 GREENWICH AVE,GREENWICH,United States,06830,CT,UNION3819@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:21.2233333,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,1000.0,,,,
"NAT?S MOBILE REPAIR, LLC",LLC,Dissolved,1385497,2022-03-31,75 PARK LANE,WOODBRIDGE,United States,06525,CT,NATJM429@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:17.2966667,Consumer Electronics Repair and Maintenance (811211),,,2021-09-07T00:00:00.000,,,,,,,,,,,,,,,,,,,,
K & S BRIGHT SMILES DAYCARE LLC,LLC,Active,1385626,2022-03-31,235 CIRCULAR AVENUE,WATERBURY,United States,06705,CT,KSBRIGHTSMILES@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:06:20.5800000,Educational Support Services (611710),,,,,,,,,,,,,,,,,,,,,,,
SCOPE 7 LLC,LLC,Active,1385501,2022-03-31,9 HAMDEN PARK DRIVE,HAMDEN,United States,06517,CT,ROBERTR@YDROOFING.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:22.1766667,Commercial and Institutional Building Construction (236220),,,,,,,,,,,,,,,,,,,,,,,
"HAMMOND COACHING SERVICES, LLC",LLC,Active,1385627,2022-03-31,96 ROCHFORD AVE,HAMDEN,United States,06514,CT,INFO@MYWHOLEHEARTEDLOVE.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:29.4000000,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,,,,,
BRIDGEPORT HILLS LLC,LLC,Active,1385496,2022-03-31,188 DEFOREST AVENUE,BRIDGEPORT,United States,06607,CT,DERMOTH.MATTISON@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:08.8833333,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
"RAMBLE ON KIDS BURYING HILL, LLC",LLC,Active,1385673,2022-03-31,42 BURYING HILL ROAD,GREENWHICH,United States,06831,CT,A@MILSTEINBROTHERS.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:09.6200000,,,,,,,,,,,,,,,,,,,,,,,,
RC TRAINING LLC,LLC,Active,1385540,2022-03-31,39 TWO MILE ROAD,FARMINGTON,United States,06032,CT,RONACORRIGAN@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:12.8866667,,,,,,,,,,,,,,,,,,,,,,,,
CRL ENTERPRISES LLC,LLC,Active,1385686,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,,CT,EASTERN@REGISTEREDAGENTSINC.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.2466667,,,,,,,,,,,,,,,,,,,,,,,,
A2B TRANSPORTATION LLC,LLC,Active,1385538,2022-03-31,255 CLOVER STREET,STARTFORD,United States,06614,CT,MARBENNETT25@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,True,True,True,False,2021-11-10 00:04:08.1500000,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,
LOOK YOUNG COSMETICS LLC,LLC,Active,1386019,2022-03-31,"1767 SUMMER STREET, 2ND FLOOR",STAMFORD,United States,06905,CT,DRTURCHIANO@AOL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:10.3066667,Offices of Physicians (except Mental Health Specialists) (621111),,,,,,,,,,,,,,,,,,,,,,,
MELOS MAKEOVERS LLC,LLC,Active,1385541,2022-03-31,272 TREMONT STREET,NEW BRITAIN,United States,06051,CT,CARMELOROMANN@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:10.9300000,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,
"CLAUDIUS ROUX, LLC",LLC,Active,1385488,2022-03-31,16A PASCO DRIVE,EAST WINDSOR,United States,06088,CT,EHENON@EACHENTERPRISE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:15.4333333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,
DAZ VARIETY LLC,LLC,Active,1385736,2022-03-31,25 EARLY AVE.,STRATFORD,,06615,CT,,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:11.5600000,,,,,,,,,,,,,,,,,,,,,,,,
MY HOUSATONIC LLC,LLC,Active,1385695,2022-03-31,801 2ND AVENUE STE 404,NEW YORK,United States,10017,NY,MICHAEL@MD2PG.COM,Domestic,2021-04-01,NY,Connecticut,False,False,False,False,False,2021-11-10 00:04:07.6033333,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
SCRUBS & THANGZ LLC,LLC,Active,1385719,2022-03-31,80 CLAUDIA DR APT 362,WEST HAVEN,United States,06516,CT,ALISSABOYD222@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:07.5266667,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,,,,,
FASHION CROCS & ACCESSORIES LLC,LLC,Active,1385716,2022-03-31,60 NEWTON ST,HAMDEN,United States,06514,CT,NEISHAMAYE69@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:06.8700000,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,,,,,
ECC GROUP II A RAD REDEVELOPMENT CORPORATION,Stock,Active,1385709,2022-09-17,360 Orange Street,New Haven,United States,06511,CT,sgodbout@mccarter.com,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:10.9300000,Administration of Housing Programs (925110),,2021-04-01,,,,,,,,,,,,,,,,,10000.0,,,,
AMERICAN METAL WHISKEY LLC,LLC,Active,1385529,2022-03-31,54 DANBURY ROAD SUITE 297,RIDGEFIELD,United States,06877,CT,CGRIMALDI@NORTHAMERICANMOTORCAR.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.9500000,Wine and Distilled Alcoholic Beverage Merchant Wholesalers (424820),,,,,,,,,,,,,,,,,,,,,,,
WESTERN CONNECTICUT TREE EXPERTS LLC,LLC,Active,1385697,2022-03-31,17 OSBORNE HILL RD,SANDY HOOK,United States,06482,CT,HUNTERDOLYAK@WESTERNCTTREE.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:13.5600000,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,
RISING TYKES LLC,LLC,Active,1385500,2022-03-31,661 BROADVIEW TER,HARTFORD,United States,06106,CT,ACEGIO@YAHOO.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:09.4933333,Children's and Infants' Clothing Stores (448130),,,,,,,,,,,,,,,,,,,,,,,
"SOUND MIND WELLNESS, LLC",LLC,Active,1385717,2022-03-31,249 VILLAGE WALK,GUILFORD,United States,06437,CT,SARAH@SARAHCONTILICSW.COM,Domestic,2021-04-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:23.6700000,"Offices of Physicians, Mental Health Specialists (621112)",,,,,,,,,,,,,,,,,,,,,,,
LAYLA'S TREE SERVICE LLC,LLC,Active,1385486,2022-03-31,45 MERRIMACK DRIVE,TRUMBULL,United States,06611,CT,DIANAABIS26@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:23.5766667,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,
E&M BARBER & NAIL TECH LLC,LLC,Active,1385489,2022-03-31,148 JEFFERSON AVE,NEW LONDON,United States,06320,CT,EMBARBER@INSCLIENTS.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:27.6400000,,,,,,,,,,,,,,,,,,,,,,,,
HOLLYWOOD HOOKAHS LLC,LLC,Active,1385490,2022-03-31,1211 MAIN STREET,BRIDGEPORT,United States,,CT,HOLLYWOODHOOKAHSCT@GMAIL.COM,Domestic,2021-04-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:23.6400000,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,,,
