name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,naics_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,mailing_jurisdiction_country,office_in_jurisdiction_country,dissolution_date,sub_status,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
7 EXPRESS LLC,LLC,Active,1376217,2022-03-31,,1206 STORRS ROAD C334,MANSFIELD,United States,06268,CT,BOYBRM@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:03.5000000,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,,,,,,
NEWCO LLC,LLC,Active,1376046,2022-03-31,2021-01-01,13 GOLF VIEW DR.,DORADO,United States,00646,PR,ACCOUNTING@GREENSWORLD.COM,NEWCO LLC,Foreign,United States,2021-02-01,PR,PR,False,False,False,False,False,2021-11-10 00:06:07.4066667,All Other Basic Organic Chemical Manufacturing (325199),"13 GOLF VIEW DR., DORADO, PR, 00646, United States",13 GOLF VIEW DR.,DORADO,PR,00646,"13 GOLF VIEW DR., DORADO, PR, 00646, United States",13 GOLF VIEW DR.,DORADO,PR,00646,United States,United States,,,,,,,
BKKW LLC,LLC,Active,1376215,2022-03-31,,35 HIGH RIDGE ROAD,REDDING,United States,06896,CT,BKKWLLC@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:06:10.1100000,Other Management Consulting Services (541618),,,,,,,,,,,,,,,,,,,
K GLORIA MARKETING LLC,LLC,Active,1376174,2022-03-31,,167 OSBORN RD,NAUGATUCK,United States,06770,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:04.9200000,,,,,,,,,,,,,,,,,,,,
MANIE STORE LLC,LLC,Active,1376175,2022-03-31,,461 N WALNUT ST,WATERBURY,United States,06704,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:10.6266667,,,,,,,,,,,,,,,,,,,,
"LMK ASSOCIATES, LLC",LLC,Active,1377598,2022-03-31,,140 LAKE RIDGE ROAD,SOUTHBURY,,06488,CT,DRMCNEISH@DRMCNEISH.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:19.0333333,Nonresidential Property Managers (531312),,,,,,,,,,,,,,,,,,,
"BRITTANY THARP INTERIORS, LLC",LLC,Active,1376102,2022-03-31,,36 DICK FINN ROAD,NEW FAIRFIELD,United States,06812,CT,THARPB08@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:18.3933333,Industrial Design Services (541420),,,,,,,,,,,,,,,,,,,
THE MRZ GROUP LLC,LLC,Active,1376152,2022-03-31,,315 RIGGS ST. BUILDING B - UNIT 6,OXFORD,United States,06478,CT,SCOTTJBRENNAN1@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:16.5466667,Insurance Agencies and Brokerages (524210),,,,,,,,,,,,,,,,,,,
M.B BEAUTY SUPPLIES LLC,LLC,Active,1376150,2022-03-31,,28 MORGAN ST,MERIDEN,United States,06451,CT,ALICIABRITO.FB@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:27.3066667,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",,,,,,,,,,,,,,,,,,,
"H+F PROJECTS, LLC",LLC,Active,1376204,2022-03-31,,1184 PEQUOT TRAIL,STONINGTON,United States,06378,CT,CFONDULAS@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:23.4266667,Other Services Related to Advertising (541890),,,,,,,,,,,,,,,,,,,
"NUTMEG WINES & SPIRITS, LLC",LLC,Active,1376050,2022-03-31,,51 BRUNSWICK AVENUE,WEST HARTFORD,United States,06107,CT,RLINDBLAD5604@COMCAST.NET,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:18.3300000,Wholesale Trade Agents and Brokers (425120),,,,,,,,,,,,,,,,,,,
BLUE SEA  BOIL LLC,LLC,Active,1376901,2022-03-31,,106 NASH LANE,"BRIDGEPORT, CT",United States,06605,CT,BLUESEABOIL@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:24.9466667,Caterers (722320),,,,,,,,,,,,,,,,,,,
LUSH STAR BOUTIQUE LLC,LLC,Active,1376216,2022-03-31,,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,EASTERN@NORTHWESTREGISTEREDAGENT.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:29.3066667,,,,,,,,,,,,,,,,,,,,
BLUE BROWN & GREEN REALTY LLC,LLC,Active,1376135,2022-03-31,,466 YELLOW BRICK RD,ORANGE,United States,06477,CT,SMG@SEANMICHAELGREEN.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:20.5666667,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,
DIANAS DAYCARE LLC,LLC,Active,1376797,2022-03-31,,18 DOROTHY ST,ENFIELD,United States,06082,CT,DIANASDAYCARECT@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:06:30.0233333,Child Day Care Services (624410),,,,,,,,,,,,,,,,,,,
RAMGO PRODUCTIONS LLC,LLC,Active,1376137,2022-03-31,,"106 ANDERSON AVE, APT. 3",WEST HAVEN,United States,06516,CT,GARIY@RAMGOPRODUCTIONS.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:06:28.6800000,Motion Picture and Video Production (512110),,,,,,,,,,,,,,,,,,,
COP OFF SCREWG LLC,LLC,Dissolved,1376056,2022-03-31,,49 SHERMAN ST,BRISTOL,United States,06010,CT,COSKICKS@YAHOO.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:08.1800000,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,2021-06-22T00:00:00.000,,,,,,
AZEVEDO RISK CONSULTING LLC,LLC,Active,1376213,2022-03-31,,50 COLLINGRIDGE DR,MANCHESTER,United States,06040,CT,AZEVEDAN1@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.8700000,Other Scientific and Technical Consulting Services (541690),,,,,,,,,,,,,,,,,,,
"SIMPLIFIED BUSINESS GROUP, LLC",LLC,Active,1376163,2022-03-31,2021-02-01,595 S RIVERWOODS PKWY STE 400,LOGAN,United States,84321,UT,MAAGARD@NETWASATCH.COM,"SIMPLIFIED BUSINESS GROUP, LLC",Foreign,United States,2021-02-01,UT,UT,False,False,False,False,False,2021-11-10 00:04:04.7133333,Other Activities Related to Real Estate (531390),"595 S RIVERWOODS PKWY STE 400, LOGAN, UT, 84321, United States",595 S RIVERWOODS PKWY STE 400,LOGAN,UT,84321,"595 S RIVERWOODS PKWY STE 400, LOGAN, UT, 84321, United States",595 S RIVERWOODS PKWY STE 400,LOGAN,UT,84321,United States,United States,,,,,,,
TIMELESS PROTECTION AGENCY LLC,LLC,Active,1376205,2022-03-31,,81 DRISCOLL DRIVE,UNCASVILLE,United States,06382,CT,FFLMICHAELD@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.9033333,Investment Advice (523930),,,,,,,,,,,,,,,,,,,
INS-TILE PRO LLC,LLC,Active,1376136,2022-03-31,,6 CROWN ST APT 02,DANBURY,United States,06810,CT,INSTILEPROLLC@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:07.6333333,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,,,,,
"GILLAN CANDLEWORKS, LLC",LLC,Active,1376162,2022-03-31,,15 MAYO AVE,OAKDALE,United States,06370,CT,MADDIESEIGLE@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:06.9300000,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,,,,,,,,,,,,
"SCORPION LAWN CARE, LLC",LLC,Active,1376165,2022-03-31,,6 LANDMARK SQ STE 400,STAMFORD,United States,06901,CT,BOBBY@SCORPIONLAWNCT.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:08.8833333,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,
CLARITY WITHIN LLC,LLC,Active,1376161,2022-03-31,,175 CAPITAL BLVD STE 402,ROCKY HILL,United States,06067,CT,EMILY@CLARITYWITHINLLC.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:03.9633333,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,
"AJB ADVISORS, LLC",LLC,Active,1376195,2022-03-31,,142 HARPSICHORD TURNPIKE,STAMFORD,United States,06903,CT,ALEX.BYALL@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:08.8533333,,,,,,,,,,,,,,,,,,,,
GOLDEN LYNX LTD,Stock,Active,1376164,2021-05-02,,No information provided,,,,,FILING@ACS123.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.9333333,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,First report past due,200.0,,,,
SHARED AUDIENCES LLC,LLC,Active,1376125,2022-03-31,,34 BLUEBERRY HILL RD,WESTON,United States,06683,CT,WILL@SHAREDAUDIENCES.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:07.5733333,Media Buying Agencies (541830),,,,,,,,,,,,,,,,,,,
DANBURY PETROLEUM CORP,Stock,Active,1376018,2022-04-28,,1 LAKE AVENUE,DANBURY,United States,06811,CT,RSPK1-DANBPET@YAHOO.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:12.2766667,Fuel Dealers (454310),,,,,,,,,,,,,,,200.0,,,,
D2 PRODUCTIONS LLC,LLC,Active,1376134,2022-03-31,,208 MEIRLINE AVE,WATERBURY,United States,06705,CT,DRUMMABOY94@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:13.4966667,Musical Groups and Artists (711130),,,,,,,,,,,,,,,,,,,
NEXT LEVEL PHYSICAL THERAPY LLC,LLC,Active,1376124,2022-03-31,,28 MILLSTONE DRIVE,MARLBOROUGH,United States,06447,CT,NXTLEVELPTLLC@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:09.5266667,,,,,,,,,,,,,,,,,,,,
RKPGA GOLF SHOP LLC,LLC,Active,1376023,2022-03-31,,189 FARMS RD,STAMFORD,United States,06903,CT,MATT@HERMANCPA.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:14.8566667,Sporting Goods Stores (451110),,,,,,,,,,,,,,,,,,,
CONNECTICUT INSTITUTE FOR SOCIAL ENTREPRENEURSHIP INC.,Non-Stock,Active,1376123,2021-05-02,,No information provided,,,,,JOHNKADIWAKU@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:25.5766667,Apprenticeship Training (611513),,,,,,,,,,,,,,First report past due,,,,,
1BRIGHTSPOT LLC,LLC,Active,1376035,2022-03-31,,174 ROCKY DUNDEE RD,STAFFORD SPRINGS,United States,06076-3009,CT,ONEBRIGHTSPOT@OUTLOOK.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:28.4200000,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,
INNOVATIVE DESIGN AND ENGINEERING LLC,LLC,Active,1376265,2022-03-31,,180 PONDVIEW LN,BRISTOL,United States,06010,CT,IDANDELLC@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:19.5900000,Engineering Services (541330),,,,,,,,,,,,,,,,,,,
"JUSTIN D. CHUNG DDS, LLC",LLC,Active,1376133,2022-03-31,,483 WEST MIDDLE TPKE. STE 209,MANCHESTER,United States,06040,CT,JUSTIN@CHUNGDDS.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,True,False,False,2021-11-10 00:04:24.9833333,Offices of Dentists (621210),,,,,,,,,,,,,,,,,,,
JM SIMSBURY LLC,LLC,Active,1376325,2022-03-31,,2251 LANDMARK PL,MANASQUAN,United States,08736,NJ,JKAPALKO@JERSEYMIKES.COM,,Domestic,,2021-02-01,NJ,Connecticut,False,False,False,False,False,2021-11-10 00:04:22.2000000,,,,,,,,,,,,,,,,,,,,
KAUFMANN FLOORING LLC,LLC,Active,1376016,2022-03-31,2021-01-18,237 MAIN ST,ANSONIA,United States,06401,CT,FLOORME71464@GMAIL.COM,KAUFMANN FLOORING LLC,Foreign,United States,2021-02-01,USA,USA,False,False,False,False,False,2021-11-10 00:04:28.3266667,Flooring Contractors (238330),,,,,,,,,,,,,,,,,,,
"E-NAIL SALON & SPA, LLC",LLC,Active,1376020,2022-03-31,,79 VAN ORMAN STREET,OAKVILLE,United States,06779,CT,ELONA.DINOLLARI@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:18.4200000,Nail Salons (812113),,,,,,,,,,,,,,,,,,,
DG PARKERSBURG LLC,LLC,Active,1376132,2022-03-31,,254 PROSPECT AVENUE,HARTFORD,United States,06106,CT,DAZIA228@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:23.0000000,Nonresidential Property Managers (531312),,,,,,,,,,,,,,,,,,,
"STEFANI CATENZARO, APRN, PLLC",LLC,Active,1377592,2022-03-31,,8 RYAN COURT,CROMWELL,,06416-1111,CT,,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:21.5133333,,,,,,,,,,,,,,,,,,,,
"LAWRENCE TAVERN DEVELOPMENT, LLC",LLC,Active,1376263,2022-03-31,,55 HARMONY STREET,BRIDGEPORT,United States,06606,CT,MFORD6697@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:25.5766667,Offices of Other Holding Companies (551112),,,,,,,,,,,,,,,,,,,
KHAN & SONS ENTERPRISE LLC,LLC,Active,1376033,2022-03-31,,45 ROBERTS STREET,SEYMOUR,United States,06483,CT,USMANKH46@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:27.6866667,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,
MAID IN NEW ENGLAND LLC,LLC,Active,1376021,2022-03-31,,62 THAMES HEIGHT LANE,GROTON,United States,06340,CT,MAIDINNEWENGLAND@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:19.0300000,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,
FLASH FUNDING LLC,LLC,Active,1376022,2022-03-31,2021-02-01,4000 HOLLYWOOD BLVD SUITE 555,S HOLLYWOOD,United States,33021,FL,GREGG@DYNAMICCAP.COM,FLASH FUNDING LLC,Foreign,United States,2021-02-01,FL,FL,False,False,False,False,False,2021-11-10 00:04:26.2800000,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)","4000 HOLLYWOOD BLVD SUITE 555, S HOLLYWOOD, FL, 33021, United States",4000 HOLLYWOOD BLVD SUITE 555,S HOLLYWOOD,FL,33021,"4000 HOLLYWOOD BLVD SUITE 555, S HOLLYWOOD, FL, 33021, United States",4000 HOLLYWOOD BLVD SUITE 555,S HOLLYWOOD,FL,33021,United States,United States,,,,,,,
MOLLY MIA PHOTOGRAPHY & FILM LLC,LLC,Active,1376034,2022-03-31,,207 SUMMIT STREET,WILLIMANTIC,United States,06226,CT,MOLLYMIAPHOTOGRAPHY@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:29.7333333,"Photography Studios, Portrait (541921)",,,,,,,,,,,,,,,,,,,
DULCEFASHION LLC,LLC,Active,1376015,2022-03-31,,134 PINE ST,NEW HAVEN,United States,06513,CT,MININADULCE@MSN.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:23.6866667,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),,,,,,,,,,,,,,,,,,,
REBELLION BARBER CO .LLC,LLC,Active,1376017,2022-03-31,,333 NORTH MAIN ST SUITE 9,WEST HARTFORD,United States,06117,CT,REBELLIONBARBERCO@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:20.2333333,Barber Shops (812111),,,,,,,,,,,,,,,,,,,
Z3 CREATIONS LLC,LLC,Active,1376264,2022-03-31,,102 PIPER ROAD,HAMDEN,United States,06514,CT,Z3CREATIONS@YAHOO.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:20.9666667,Commercial Screen Printing (323113),,,,,,,,,,,,,,,,,,,
VORONA PROPERTY LLC,LLC,Active,1376171,2022-03-31,,99 CRAIGEMORE CIR,AVON,United States,06001,CT,VORONABUSINESS@YAHOO.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:36.3600000,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,
Zion Five LLC,LLC,Active,1376019,2022-03-31,,10 STEPHEN COURT,NORTH HAVEN,United States,06473,CT,INFO.ZIONDESIGNSCO@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.1566667,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,
SUNLIT SERVICES LLC,LLC,Active,1376108,2022-03-31,,553 W Center Street Ext,Southington,United States,06489-2140,CT,DACRUZ.ACCSERV@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:38.2500000,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,
ONE SOURCE REMODELING CO LLC,LLC,Active,1376170,2022-03-31,,237 KENNETH ST,EAST HAVEN,United States,06512,CT,INFO@ONESOURCEREMODELINGCO.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:32.6566667,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,
ROAD TO LUXURY LLC,LLC,Active,1376179,2022-03-31,,175 Capital Blvd Suite 402,Rocky Hill,United States,06067,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:32.6566667,,,,,,,,,,,,,,,,,,,,
"M&M PACKING, MOVING & REMOVAL, LLC",LLC,Active,1376180,2022-03-31,,123 MONTAUK DRIVE,STAMFORD,United States,06902,CT,MARQUESMANNIN@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,True,False,False,2021-11-10 00:04:33.7966667,,,,,,,,,,,,,,,,,,,,
THREE SISTERS PROPERTIES LLC,LLC,Active,1376616,2022-03-31,,21 WATERVILLE ROAD,AVON,United States,06001,CT,OFFICE@BLUEFOXENT.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:35.1233333,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,
IVVAGOLUMA LLC,LLC,Active,1377434,2022-03-31,,589 CAMPBELL AVE. #82,WEST HAVEN,,06516,CT,IVVAGOLUMA@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:37.0466667,,,,,,,,,,,,,,,,,,,,
LSA CARPENTRY LLC,LLC,Active,1376039,2022-03-31,,12 SCUPPO RD APT 16F 9,DANBURY,United States,06810,CT,GENERALHELPCT@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:42.1566667,Finish Carpentry Contractors (238350),,,,,,,,,,,,,,,,,,,
ALL-STARS REAL STATE RENTAL AND LEASING,LLC,Active,1376166,2022-03-31,,51 BROOK ST 6A,NAUGATUCK,United States,06770,CT,JESUSPR24@YAHOO.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:36.3600000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,
CONNECTICUT HUSTLE FAMILY LLC,LLC,Active,1376177,2022-03-31,,275 PALISADE AVE APT 4,BRIDGEPORT,United States,06610,CT,EFILE1234@INCFILE.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:31.2033333,,,,,,,,,,,,,,,,,,,,
IDEAL PAINTING LLC,LLC,Active,1376107,2022-03-31,,50 COALPIT HILL ROAD 3,DANBURY,United States,06810,CT,IDEALPAINTINGCT@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:32.6400000,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,
JOE ABATE CHARITABLE FOUNDATION INC,Non-Stock,Active,1376181,2021-05-02,,No information provided,,,,,,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:40.9366667,Child and Youth Services (624110),,,,,,,,,,,,,,First report past due,,,,,
ISCHIA ISOLA LLC,LLC,Active,1376167,2022-03-31,,680 E MAIN ST #580,STAMFORD,United States,,CT,ISCHIAISOLALLC@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,False,False,False,False,False,2021-11-10 00:04:41.5800000,,,,,,,,,,,,,,,,,,,,
THE TYLER REALTY GROUP LLC,LLC,Active,1376182,2022-03-31,,993 HILL STREET,BRISTOL,United States,06010,CT,BILLSELLSCT@GMAIL.COM,,Domestic,,2021-02-01,CT,Connecticut,True,False,False,False,False,2021-11-10 00:04:31.2166667,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,
