name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,category_survey_email_address,naics_code,create_dt,billing_unit,began_transacting_in_ct,business_name_in_state_country,sub_status,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,total_authorized_shares,mail_jurisdiction,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mailing_international_address,records_address_unit
Splash CC Management LLC,LLC,Active,2355638,2022-03-31,472 Wheelers Farms Rd,Milford,United States,06461-9109,CT,jford@splashcarwashes.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,jford@splashcarwashes.com,Car Washes (811192),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reilly Inspections, LLC",LLC,Active,2355644,2022-03-31,218 State Street,New Haven,United States,06510,CT,j@reillyinspections.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Building Inspection Services (541350),2021-11-10 00:06:47.6566667,4S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DMC Investment Group LLC,LLC,Active,2355647,2022-03-31,369 Village St,Northford,United States,06472-1303,CT,andrewcooney17@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,fulfillment@zenbusiness.com,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Coastal Cabinetry Design, LLC",LLC,Active,2355655,2022-03-31,1693 Boston Post Road,Darien,United States,06820,CT,alexpoon3288@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Finish Carpentry Contractors (238350),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KBM CONSTRUCTION LLC,LLC,Active,2355665,2022-03-31,137 Spruce St,Stamford,United States,06902-4849,CT,kmcgregor@kbmconstructionllc.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,Commercial and Institutional Building Construction (236220),2021-11-10 00:06:47.0766667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllStar Multi-Service LLC,LLC,Active,2355667,2022-03-31,21 Great Plain Rd,Danbury,United States,06811-3922,CT,allstarmultiservice.do@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Masonry Contractors (238140),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oasis Medical LLC,LLC,Active,2355676,2022-03-31,1 Technology Dr,Tolland,United States,06084-3902,CT,rgherri@oasismedicalllc.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers (423450)",2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assorted Thoughts LLC,LLC,Active,2355677,2022-03-31,10 Sherwood Trce,Gales Ferry,United States,06335-1337,CT,assortedthoughtsco@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Other Clothing Stores (448190),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver Oak 90 Welles Rd LLC,LLC,Active,2355904,2022-03-31,90 Welles Rd,Mystic,United States,06355-1228,CT,legalassistant@kkandd.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Caterers (722320),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EARLS MANAGEMENT LLC,LLC,Active,2355926,2022-03-31,6 MCKENNA DR,MIDDLETOWN,United States,06457,CT,efile1234@incfile.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,"Corporate, Subsidiary, and Regional Managing Offices (551114)",2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HJZ ENTERPRISES LLC,LLC,Active,2355684,2022-03-31,15 Brookhedge Rd,Trumbull,United States,06611-3212,CT,hjz1@msn.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,erin@servico.com,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Coast Behavioral Health LLC,LLC,Active,2355697,2022-03-31,222 Beaver Hill Rd,North Windham,United States,06256-1236,CT,eastcoastbhllc@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,True,False,False,False,,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I AND R SOLUTIONS LLC,LLC,Active,2355711,2022-03-31,905 River View Lane,Norwich,United States,06360,CT,iandrsolutionsllc@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,fulfillment+formations@zenbusiness.com,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"THE COMPASSIONATE PRISM, LLC",LLC,Active,2355705,2022-03-31,389 CHARCOAL AVENUE,MIDDLEBURY,USA,06762,CT,tmaknis@gmail.com,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,621399,2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A�oreanaVeganCaf� LLC,LLC,Active,2355712,2022-03-31,32 Castlewood Dr,Monroe,United States,06468-5207,CT,acoreanavegancafe@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Baked Goods Stores (445291),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cascade Crack Repair LLC,LLC,Active,2355716,2022-03-31,703 Long Hill Ave.,Shelton,United States,06484,CT,cascadecrackrepair@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,All Other Specialty Trade Contractors (238990),2021-11-10 00:06:47.0766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"GREEN WAY LANDSCAPING, LLC",LLC,Active,2355721,2022-03-31,56 Manor Rd,Ridgefield,United States,06877-4908,CT,sasamg@me.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Landscaping Services (561730),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cruz Consulting Solutions LLC,LLC,Active,2355727,2022-03-31,820 Plattsville Rd.,Trumbull,United States,06611,CT,jenccruz@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barking Cow Investments LLC,LLC,Active,2355734,2022-03-31,4 Heritage Dr.,Stonington,United States,06378,CT,mmattox@barkingcowinvestments.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,"Corporate, Subsidiary, and Regional Managing Offices (551114)",2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASHINGTON STREET DERBY LLC,LLC,Active,2355730,2022-03-31,"1023 WASHINGTON STREET, APT. 1",HOBOKEN,USA,07030,NJ,,Foreign,USA,2021-10-01,,DELAWARE,False,False,False,False,False,,531130,2021-11-10 00:06:47.6400000,,2021-10-01,WASHINGTON STREET DERBY LLC,,,,,,,,"1023 WASHINGTON STREET APT. 1, HOBOKEN, NJ, 07030,",1023 WASHINGTON STREET APT. 1,HOBOKEN,NJ,07030,,,,,,,,,,,,,,,
AuthenticBoutiqueUSA L.L.P.,LLP,Active,2355738,2022-10-01,72 Arch St,Naugatuck,United States,06770-4355,CT,authenticboutiqueusa@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,,2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Empire Home Renovations LLC,LLC,Active,2355744,2022-03-31,885 N Main ST,Waterbury,United States,06704,CT,empirehrenovations@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,True,False,False,,Residential Remodelers (236118),2021-11-10 00:06:47.0766667,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Clean LLC,LLC,Active,2355748,2022-03-31,45 Pheasant Run,Oakdale,United States,06370-1677,CT,joshuatcameron@hotmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Carpet and Upholstery Cleaning Services (561740),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developmental Center for Learning Incorporated,Non-Stock,Active,2355751,2022-10-01,,,,,,amykorte@developandlearn.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,,2021-11-10 00:06:47.6566667,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
Parent Support Network of RI Inc.,Non-Stock,Active,2355772,2022-10-01,,,,,,r.meriwether@psnri.org,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,True,True,True,True,,,2021-11-10 00:06:47.6566667,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
"MARCHESE PROPERTIES, LLC",LLC,Active,2355785,2022-03-31,58 JUDITH DRIVE,DANBURY,USA,06810,CT,christophermarchese@aol.com,Domestic,,2021-10-01,,Connecticut,False,False,False,False,False,,531190,2021-11-10 00:06:47.0600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29 Bellevue Street LLC,LLC,Active,2355773,2022-03-31,9330 219th St,Queens Village,United States,11428-1853,NY,shahabkhan1@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,ben@potoklaw.com,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R&R Property Pros LLC,LLC,Active,2355789,2022-03-31,20 Grandview Ave,Watertown,United States,06795,CT,ferraro.paul.s@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,dalbanese@mootslaw.com,Landscaping Services (561730),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sirois Holdings LLC,LLC,Active,2355791,2022-03-31,8 Elaine Dr,Broad Brook,United States,06016-9743,CT,siroisholdingsllc@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Nonresidential Property Managers (531312),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Trumbull TRACK, Inc.",Non-Stock,Active,2355799,2022-10-01,,,,,,trumbullbmx@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,jeremyparkins@gmail.com,,2021-11-10 00:06:47.1100000,,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,
The CT RoadRunners LLC,LLC,Active,2355803,2022-03-31,187 Newton Rd,Woodbridge,United States,06525-1243,CT,thectroadrunners@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,amymorilla@mandmlawct.com,"Promoters of Performing Arts, Sports, and Similar Events with Facilities (711310)",2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A & P HOLDING USA LLC,LLC,Active,2355821,2022-03-31,1006  BROADHOLLOW RD,FARMINGDALE,United States,11735,NY,pavit27@gmail.com,Foreign,,2021-10-01,NEW YORK,NEW YORK,False,False,False,False,False,,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),2021-11-10 00:06:47.6233333,,2021-10-01,A & P HOLDING USA LLC,,"1006  BROADHOLLOW RD, FARMINGDALE, NY, 11735, United States",1006  BROADHOLLOW RD,FARMINGDALE,NY,11735,United States,"1006  BROADHOLLOW RD, FARMINGDALE, NY, 11735, United States",1006  BROADHOLLOW RD,FARMINGDALE,NY,11735,United States,,,,,,,,,,,,,,
NFP Real Estate LLC,LLC,Active,2355828,2022-03-31,14555 Juneau Blvd,Elm Grove,United States,53122-1667,WI,tjn@mtfn.com,Foreign,,2021-10-01,WISCONSIN,WISCONSIN,False,False,False,False,False,,Other Activities Related to Real Estate (531390),2021-11-10 00:06:47.0933333,,2021-10-01,NFP Real Estate LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thames River Fencing Club, Inc",Non-Stock,Active,2355831,2022-10-06,41 E Society Rd,Niantic,United States,06357,CT,thamesriverfencingclub@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Sports and Recreation Instruction (611620),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,2021-07-22,,,,,,,,,,,
Southport Motors LLC,LLC,Active,2355881,2022-03-31,421 Sasco Hill Rd,Fairfield,United States,06824-5649,CT,toddesse@me.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,toddesse@me.com,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skye Office & Immigration Services LLC,LLC,Active,2355830,2022-03-31,500 Park Ave,Bridgeport,United States,06604-5858,CT,skyeofficeservices@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:47.6566667,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F & S Outdoor Solutions, LLC",LLC,Active,2355834,2022-03-31,6 Rimmondale Street,Seymour,United States,06483,CT,rossmlodato@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,jlodato@wpholdingsgroup.com,Landscaping Services (561730),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BARCUTS INC,Stock,Active,2355836,2022-10-01,1320 Fulton Ave,Bronx,United States,10456-2405,NY,barcutsinc@gmail.com,Foreign,,2021-10-01,NEW YORK,NEW YORK,False,False,False,False,False,,,2021-11-10 00:06:47.0600000,E3,2022-03-01,BARCUTS INC,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Car & Truck Accessories DBA LINE-X OF Hartford Limited Liability Company,LLC,Active,2355856,2022-03-31,192 Ledyard St,Hartford,United States,06114-2006,CT,sales@automotiveinnovationsllc.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Motor Vehicle Supplies and New Parts Merchant Wholesalers (423120),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prime Trust, LLC",LLC,Active,2355858,2022-03-31,330 S. Rampart Blvd.,Las Vegas,United States,89145,NV,legal@primetrust.com,Foreign,,2021-10-01,NEVADA,NEVADA,False,False,False,False,False,,"Trust, Fiduciary, and Custody Activities (523991)",2021-11-10 00:06:47.1100000,Suite 260,2021-10-01,"Prime Trust, LLC",,"1835 VILLAGE CENTER CIRCLE, LAS VEGAS, NV, 89134, United States",1835 VILLAGE CENTER CIRCLE,LAS VEGAS,NV,89134,United States,"1835 VILLAGE CENTER CIRCLE, LAS VEGAS, NV, 89134, United States",1835 VILLAGE CENTER CIRCLE,LAS VEGAS,NV,89134,United States,,,,,,,,,,,,,,
Savannah Marie Photography Limited Liability Company,LLC,Active,2355854,2022-03-31,72 Evergreen Xing,New Hartford,United States,06057,CT,smphotographyct@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Commercial Photography (541922),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Consult Encompass, LLC",LLC,Active,2355859,2022-03-31,21 Pondview Lane,West Suffield,United States,06093,CT,bmichaud@trustencompass.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,dlibera@baconwilson.com,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Off The Rails Brewing Co. LLC,LLC,Active,2355869,2022-03-31,86 Main St,stafford,United States,06076,CT,3j@offtherailsbrewingco.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Drinking Places (Alcoholic Beverages) (722410),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI06360 LLC,LLC,Active,2355870,2022-03-31,3202 Bellwick Chase Lane,Porter,United States,77365,TX,joshmiller0788@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Activities Companion for Seniors LLC,LLC,Active,2355877,2022-03-31,876 Lower Ln,Berlin,United States,06037-3638,CT,nancygwozdz@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,ngwozdz@att.net,All Other Amusement and Recreation Industries (713990),2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glen Eagle Dr. LLC,LLC,Active,2355894,2022-03-31,106 Wildcat Rd,Burlington,United States,06013-2429,CT,slarson@snet.net,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invown Funding Portal LLC,LLC,Active,2355920,2022-03-31,33 Dixwell Ave,New Haven,United States,06511-3403,CT,jezzi@lexnovalaw.com,Foreign,,2021-10-01,DELAWARE,DELAWARE,False,False,False,False,False,,,2021-11-10 00:06:47.0600000,Suite 330,2021-10-04,Invown Funding Portal LLC,,"19 Kris Ct, Newark, DE, 19702-6843, United States",19 Kris Ct,Newark,DE,19702-6843,United States,"19 Kris Ct, Newark, DE, 19702-6843, United States",19 Kris Ct,Newark,DE,19702-6843,United States,,,,,,,,,,,,,,
Levi's Studio LLC,LLC,Active,2355912,2022-03-31,40 Rentschler St,East Hartford,United States,06118-2335,CT,atlevys@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,atlevys@gmail.com,"Photography Studios, Portrait (541921)",2021-11-10 00:06:47.6233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Painting and Maintenance LLC,LLC,Active,2355902,2022-03-31,11 Paul Revere Rd,Groton,United States,06340-6349,CT,leite044llc@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Painting and Wall Covering Contractors (238320),2021-11-10 00:06:47.0600000,Apt 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJFM2.0 LLC,LLC,Active,2355933,2022-03-31,878 HIGHLAND AVE,WATERBURY,United States,06708,CT,efile1234@incfile.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Musical Groups and Artists (711130),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEW CREATIVE LLC,LLC,Active,2355922,2022-03-31,101 Peck Ln,Watertown,United States,06795-6615,CT,teri@sewcreativellc.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,False,False,False,tessmart53@gmail.com,,2021-11-10 00:06:47.0933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM Strategies & Logistics LLC,LLC,Active,2355928,2022-03-31,44 Lismore Ln,Greenwich,United States,06831-3760,CT,vgonzalez@blumb.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,vgonzalez@blumb.com,,2021-11-10 00:06:47.6566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American refacing and custom cabinets llc,LLC,Active,2355935,2022-03-31,1 Mitchell Dr,Manchester,United States,06042-2394,CT,americanrefacing@yahoo.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,,Wood Kitchen Cabinet and Countertop Manufacturing (337110),2021-11-10 00:06:47.1100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASIEDU AND SONS LLC,LLC,Active,2355939,2022-03-31,29 CLUNE CT,EAST HARTFORD,United States,06108,CT,efile1234@incfile.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,efile1235@incfile.com,Automobile and Other Motor Vehicle Merchant Wholesalers (423110),2021-11-10 00:06:47.6100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oak and Bark, LLC",LLC,Active,2355943,2022-03-31,880 Pacific St,Stamford,United States,06902,CT,caroline.jmurphy9@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,False,False,False,False,False,erin.joyce@hklaw.com,Pet and Pet Supplies Stores (453910),2021-11-10 00:06:47.6566667,Apt. 1704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEONY SPA INC,Stock,Active,2355963,2022-10-06,557F Boston Post Rd,Orange,United States,06477-3331,CT,guilesxiangyu6762@gmail.com,Domestic,United States,2021-10-01,Connecticut,Connecticut,True,False,True,False,False,,All Other Personal Services (812990),2021-11-10 00:06:47.6400000,,,,,,,,,,,,,,,,,,,2021-10-01,200.0,,,,,,,,,,
