name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,citizenship,country_formation,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,business_email_address,formation_place,sub_status,total_authorized_shares,billing_unit,began_transacting_in_ct,business_name_in_state_country,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,record_address,records_address_street,records_address_unit,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address
Sycamore LLC,LLC,Active,2374394,2022-03-31,22 Edith Lane,Wilton,United States,06897,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-12-13 00:06:31.7233333,kmirota@hotmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J & J Distributors, LLC",LLC,Dissolved,2374406,2022-03-31,363 Fairlawn Drive,Torrington,United States,06790,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:06:31.7233333,makollc@optonline.net,Connecticut,,,,,,lpavanel@dlugokeckilaw.com,,,,,,,,,,,,,2021-11-02T00:00:00.000,,,,,,,,,,,
orlando painting llc,LLC,Active,2374397,2022-03-31,1373 Iranistan Ave,Bridgeport,United States,06605-1010,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-12-13 00:06:31.7233333,taxcenterct@gmail.com,Connecticut,,,,,,taxcenterct@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
"85 Bywater Lane, LLC",LLC,Active,2374413,2022-03-31,85 Bywater Lane,Bridgeport,United States,06605,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,,2021-12-13 00:06:31.7233333,twinhullboats@aol.com,Connecticut,,,,,,coharajr@sbcglobal.net,,,,,,,,,,,,,,,,,,,,,,,,
Alpine Veritas Corp.,Stock,Active,2374423,2022-01-30,,,,,,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Other Computer Related Services (541519),2021-12-13 00:06:31.7233333,raphael@tkbcorp.com,Connecticut,First report due,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 Towers LLC,LLC,Active,2374400,2022-03-31,16 Partridge Hollow Road,Gales Ferry,United States,06335-1930,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Engineering Services (541330),2021-12-13 00:06:31.7233333,glenngartner@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Woodland Management, LLC",LLC,Active,2374404,2022-03-31,147 Woodland Rd.,New Canaan,United States,06840,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-12-13 00:06:31.7233333,acannon@rlulaw.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STAR PROPERTIES & MAINTENANCE LLC,LLC,Active,2374408,2022-03-31,5 WALL ST,WALLINGFORD,United States,06492,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-12-13 00:06:31.7233333,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
ASAEL PAINTING LLC,LLC,Active,2374432,2022-03-31,202 Clinton Ave,New Haven,United States,06513-3144,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2021-12-13 00:06:31.7100000,taxcenterct@gmail.com,Connecticut,,,,,,taxcenterct@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Autumn Henry Inc,Stock,Active,2374421,2022-01-30,,,,,,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Beauty Salons (812112),2021-12-13 00:06:31.7233333,filing@acs123.com,Connecticut,First report due,200.0,,,,filing@acs123.com,,,,,,,,,,,,,,,,,,,,,,,,
EQUIPOISE GAMES LLC,LLC,Active,2374428,2022-03-31,19 CLEVELAND TER,NORWALK,United States,06854,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),2021-12-13 00:06:31.7233333,efile1234@incfile.com,Connecticut,,,,,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
MSCB88 LLC,LLC,Active,2374425,2022-03-31,88 Main Street South,Southbury,United States,06488,CT,Domestic,United States,2021-11-01,Connecticut,True,False,False,False,False,Full-Service Restaurants (722511),2021-12-13 00:06:31.7233333,kmcmahon0801@gmail.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Asset Management LLC,LLC,Active,2374449,2022-03-31,1378 Main St,Glastonbury,United States,06033,CT,Domestic,United States,2021-11-01,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-12-13 00:06:31.7233333,mfortin@computermanagement.com,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
