name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,date_of_organization_meeting,sub_status,dissolution_date,total_authorized_shares,billing_unit,reason_for_administrative,mailing_address,category_survey_email_address,office_jurisdiction_3
THE EMERGENCE PLAN LLC,LLC,Active,1390114,2022-03-31,34 DURANT ST.,MANCHESTER,United States,06040,CT,THEEMERGENCEPLAN@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,True,False,True,False,False,Other Individual and Family Services (624190),2021-11-10 00:04:44.9066667,,,,,,,,,,,,,,,,,,,,,,,,
STUDIO ASSOCIATES LLC,LLC,Active,1390118,2022-03-31,21 BROCK STREET UNIT A-2,"NORTH HAVEN, CT",United States,06475,CT,ALANTUCHMANN@ME.COM,Domestic,2021-05-01,CT,Connecticut,False,False,True,False,False,All Other Business Support Services (561499),2021-11-10 00:04:46.3900000,,,,,,,,,,,,,,,,,,,,,,,,
J C JEEP AUTO CLUB LLC,LLC,Active,1390117,2022-03-31,584 SUCCESS AVE,STRATFORD,United States,06614,CT,SOTOALBERT1950@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Sports Teams and Clubs (711211),2021-11-10 00:04:51.0000000,,,,,,,,,,,,,,,,,,,,,,,,
"NEW LEAF COUNSELING & WELLNESS, LLC",LLC,Active,1390286,2022-03-31,638 PROSPECT AVE.,HARTFORD,United States,06105,CT,NEWLEAFCOUNSELINGANDWELLNESS@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2021-11-10 00:04:58.8400000,,,,,,,,,,,,,,,,,,,,,,,,
BERACA CLEANER LLC,LLC,Active,1390104,2022-03-31,26 HIBISCUS ST,FAIRFIELD,United States,06825,CT,WENDY@DURANGOAGENCY.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:03:28.7100000,,,,,,,,,,,,,,,,,,,,,,,,
RAOGC LLC,LLC,Active,1390102,2022-03-31,6 SPRUCEWOOD LANE,WESTPORT,United States,06880,CT,ARAO@RAOGC.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),2021-11-10 00:03:17.3000000,,,,,,,,,,,,,,,,,,,,,,,,
EMEJIA FINANCIAL SERVICES LLC,LLC,Active,1390105,2022-03-31,4 LORRAINE ST,BRIDGEPORT,United States,06604,CT,WENDY@DURANGOAGENCY.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:03:26.7233333,,,,,,,,,,,,,,,,,,,,,,,,
AF211 CARPET CLEANING LLC,LLC,Active,1390103,2022-03-31,140 BOND ST,NEW BRITAIN,United States,,CT,FAIRABDUL@YAHOO.COM,Domestic,2021-05-01,CT,Connecticut,False,False,True,False,False,Carpet and Upholstery Cleaning Services (561740),2021-11-10 00:03:21.5533333,,,,,,,,,,,,,,,,,,,,,,,,
SMB TOOLS LLC,LLC,Active,1390110,2022-03-31,24 A HILLSIDE TERRACE,WHITE PLAINS,United States,10601,NY,SMBTOOLSLLC@GMAIL.COM,Foreign,2021-05-01,NY,NY,False,False,False,False,False,Other Direct Selling Establishments (454390),2021-11-10 00:03:31.2866667,2021-05-05,SMB TOOLS LLC,United States,"24 A HILLSIDE TERRACE, WHITE PLAINS, NY, 10601, United States",24 A HILLSIDE TERRACE,WHITE PLAINS,NY,10601,United States,"24 A HILLSIDE TERRACE, WHITE PLAINS, NY, 10601, United States",24 A HILLSIDE TERRACE,WHITE PLAINS,NY,10601,United States,,,,,,,,,
TAILWIND FINANCIAL PLANNING LLC,LLC,Active,1390111,2022-03-31,34B LIBRARY RD,MIDDLEBURY,United States,06762,CT,TWFINANCIALPLAN@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,True,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:03:30.7233333,,,,,,,,,,,,,,,,,,,,,,,,
S & H EXPRESS LLC,LLC,Active,1390112,2022-03-31,271 LINNMOORE STREET,HARTFORD,United States,06106,CT,SAMIRHODZIC1983@GMAIL.COM,Domestic,2021-05-01,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:03:48.7566667,,,,,,,,,,,,,,,,,,,,,,,,
ABOVE AVERAGE HOME CARE LLC,LLC,Active,1390213,2022-03-31,95 GORHAM AVE,HAMDEN,United States,06514,CT,ABOVEAVERAGEHOMECARE@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:06:02.1400000,,,,,,,,,,,,,,,,,,,,,,,,
A & S LOGISTICS LLC,LLC,Active,1390146,2022-03-31,32C BENEDICT AVE,DANBURY,,06810,CT,VASSELLATEKEL@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:56.2166667,,,,,,,,,,,,,,,,,,,,,,,,
"GLOW WELLNESS AND MEDISPA, LLC",LLC,Active,1390216,2022-03-31,"195 FEDERAL ROAD, SUITE 107",BROOKFIELD,United States,06804,CT,GLOWBROOKFIELD@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,True,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:05:54.7633333,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN AVENUE INTERIORS LLC,LLC,Active,1390147,2022-03-31,406 STRATFIELD RD,FAIRFIELD,,06825,CT,,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:02.7500000,,,,,,,,,,,,,,,,,,,,,,,,
"CREATIVE CONSTRUCTION, LLC",LLC,Active,1390365,2022-03-31,115 SQUANTUCK ROAD APT. C,SEYMOUR,United States,06483,CT,DAVIDDIMENNS@ICLOUD.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2021-11-10 00:05:55.4200000,,,,,,,,,,,,,,,,,,,,,,,,
ACE PLUMBING SERVICES LLC,LLC,Active,1390364,2022-03-31,"35 VALLEY RD, APT 1",COS COB,United States,06801,CT,ABELCARRENO1973@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2021-11-10 00:05:57.3600000,,,,,,,,,,,,,,,,,,,,,,,,
EVOLUTION REALTY LLC,LLC,Active,1390215,2022-03-31,160 PARK STREET 3,WEST HAVEN,United States,06516,CT,ANDREWALKERREALESTATE@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:06:02.0600000,,,,,,,,,,,,,,,,,,,,,,,,
"WOODWAY HEIGHTS ASSOCIATION, INC.",Non-Stock,Active,1390164,2022-08-30,77 MIDLAND AVENUE,STAMFORD,USA,06906,CT,,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",2021-11-10 00:05:50.8233333,,,,,,,,,,,,,,,,2021-08-12,,,,,,,,
EVE HAMMER LLC,LLC,Active,1390162,2022-03-31,1477 TORRINGFORD ST,TORRINGTON,,06790,CT,,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2021-11-10 00:05:51.5433333,,,,,,,,,,,,,,,,,,,,,,,,
CENTER STREET PARKING LLC,LLC,Active,1390214,2022-03-31,244 WHITE BIRCH DRIVE,WATERBURY,United States,06708,CT,CANDICE@GRAZIANOLAWCT.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Parking Lots and Garages (812930),2021-11-10 00:05:54.7800000,,,,,,,,,,,,,,,,,,,,,,,,
"SOAPSTONE ESTATES CONDOMINIUM ASSOCIATION, INC.",Non-Stock,Active,1388414,2021-08-01,No information provided,,,,,tomcarenzo@cox.net,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:59.5300000,,,,,,,,,,,,,,,,,First report past due,,,,,,,
"COOPER HOLDINGS, LLC",LLC,Dissolved,1390136,2022-03-31,7 BIRCH STREET,LEDYARD,United States,06339,CT,KENNYFRATUS@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:01.5466667,,,,,,,,,,,,,,,,,,2021-05-03T00:00:00.000,,,,,,
FBZM LLC,LLC,Active,1390139,2022-03-31,118 CHURCH HILL CHASE,MERIDEN,United States,06450,CT,BHINDE.FAYYAZ@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:05:58.8733333,,,,,,,,,,,,,,,,,,,,,,,,
"THE REV. DR. MARTIN L. KING JR. HERITAGE FOUNDATION OF BRANFORD, INC.",Non-Stock,Active,1391851,2022-08-01,31 Rogers Street,Branford,United States,06405,CT,mlkhc2020@gmail.com,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Human Rights Organizations (813311),2021-11-10 00:05:53.5766667,,,,,,,,,,,,,,,,2021-07-06,Annual report due,,,,,,,
ASYLUM HOLDINGS LLC,LLC,Active,1390161,2022-03-31,10 NORTH MAIN STREET SUITE 303,WEST HARTFORD,United States,06107,CT,CPECK.CTNPA@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:05:54.7333333,,,,,,,,,,,,,,,,,,,,,,,,
CRESTWOOD LAND LLC,LLC,Active,1390148,2022-03-31,77 MIDLAND AVENUE,STAMFORD,,06906,CT,BRENDAN_BRADY1@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:00.9200000,,,,,,,,,,,,,,,,,,,,,,,,
EAST COAST DENT REMOVAL LLC,LLC,Active,1390483,2022-03-31,75 ADAMS ST NUM B,STRATFORD,United States,06615,CT,EASTCOASTDENTREMOVAL@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Automotive Parts and Accessories Stores (441310),2021-11-10 00:06:05.5633333,,,,,,,,,,,,,,,,,,,,,,,,
LUXE LINGERIE LLC,LLC,Active,1390140,2022-03-31,26 N SHEFFIELD ST.,HAMDEN,United States,06517,CT,LUXELINGERIE@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:06:07.4533333,,,,,,,,,,,,,,,,,,,,,,,,
VSL ENTERPRISES L.L.C.,LLC,Active,1390138,2022-03-31,"590 15TH STREET, SOUTH APT. 401",ARLINGTON,United States,22202,VA,VIONDETTE@GMAIL.COM,Domestic,2021-05-03,VA,Connecticut,False,False,False,False,False,,2021-11-10 00:06:03.5300000,,,,,,,,,,,,,,,,,,,,,,,,
LZUR INC,Stock,Active,1390366,2022-05-04,11 SENGA ROAD,NORWALK,United States,06854,CT,KSZSHS@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,True,False,True,False,False,Toilet Preparation Manufacturing (325620),2021-11-10 00:06:07.4066667,,,,,,,,,,,,,,,,,,,100.0,,,,,
"SCHWAEBER & CO, P.C.",Stock,Active,1390137,2022-05-18,137 RIVERVIEW CIRCLE,FAIRFIELD,United States,06824,CT,WAYNE@THREECPAS.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:04.9833333,,,,,,,,,,,,,,,,,,,100.0,,,,,
"PLAINFIELD VOLUNTEER FIRE COMPANY #1, INC.",Non-Stock,Active,1391967,2022-05-03,620 NORWICH ROAD,PLAINFIELD,,06374,CT,r594r595lt@gmail.com,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Fire Protection (922160),2021-11-10 00:06:04.9833333,,,,,,,,,,,,,,,,,,,,,,,,
SINGH SPINE LLC,LLC,Active,1390189,2022-03-31,185 W. PINES DR.,SOUTHINGTON,United States,06489,CT,HSINGH2014@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,Offices of Physicians (except Mental Health Specialists) (621111),2021-11-10 00:06:13.9700000,,,,,,,,,,,,,,,,,,,,,,,,
AMVAC CHEMICAL CORPORATION,Stock,Active,1390190,2022-05-03,"4695 MACARTHUR COURT, STE 1200",NEWPORT BEACH,,92660,CA,LUCYC@AMVAC.COM,Foreign,2021-05-03,CA,CA,False,False,False,False,False,,2021-11-10 00:06:05.5300000,2021-05-03,AMVAC CHEMICAL CORPORATION,,,,,,,,,,,,,,,,,,,,,,
SHL US LLC,LLC,Active,1390163,2022-03-31,111 WASHINGTON AVENUE S SUITE 500,MINNEAPOLIS,,55401,MN,,Foreign,2021-05-03,DE,DE,False,False,False,False,False,,2021-11-10 00:06:05.4366667,2021-05-03,SHL US LLC,,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,,,,,,,,,,
M&M Services LLC,LLC,Active,1390347,2022-03-31,222 Bridgeport Ave,Milford,United States,06460-4115,CT,MMREMOVALSRVC@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Waste Management Services (562998),2021-11-10 00:06:04.9700000,,,,,,,,,,,,,,,,,,,,,,,,
6 NUTRITION LLC,LLC,Active,1390267,2022-03-31,862 FARMINGTON AVE,BRISTOL,,06010,CT,ROB@MYPLATINUMADVANCE.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Food (Health) Supplement Stores (446191),2021-11-10 00:06:16.0000000,,,,,,,,,,,,,,,,,,,,,,,,
"YRC ALUMNI ASSOCIATION, INC.",Non-Stock,Active,1391823,2022-05-03,5005 THIRD AVE. S.,SEATTLE,,98134,WA,JAMIEP@MCKINSTRY.COM,Foreign,2021-05-03,WA,WA,False,False,False,False,False,Civic and Social Organizations (813410),2021-11-10 00:06:27.3200000,2021-05-01,YRC ALUMNI ASSOCIATION,,,,,,,,,,,,,,,,,,,,,,
AB DESIGN & MEDIA LLC,LLC,Active,1390344,2022-03-31,93 LOUISIANA AVE,BRIDGEPORT,United States,06610,CT,CBISHOP@ABDZNS.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,Graphic Design Services (541430),2021-11-10 00:06:24.8533333,,,,,,,,,,,,,,,,,,,,,,,,
ALICJA DELI LLC,LLC,Active,1390265,2022-03-31,786 ENFIELD STREET SUITE 1,ENFIELD,United States,06082,CT,MAREK.GUSCIORA@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Limited-Service Restaurants (722513),2021-11-10 00:06:25.9133333,,,,,,,,,,,,,,,,,,,,,,,,
TRANSFARMAG LLC,LLC,Active,1390266,2022-03-31,17 LAKE PL APT 3,NEW HAVEN,United States,06511,CT,MANNYRUTINEL@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:16.0000000,,,,,,,,,,,,,,,,,,,,,,,,
"308 HIGH STREET, LLC",LLC,Active,1390229,2022-03-31,39 SHERIDAN STREET,DANBURY,United States,06810,CT,LIOMAC@HOTMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:26.6033333,,,,,,,,,,,,,,,,,,,,,,,,
EAST MAIN PROPERTY LLC.,LLC,Active,1390346,2022-03-31,224 HIDDEN POND DR,WATERTOWN,United States,06795,CT,CKTRUCKING@ATT.NET,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:19.7233333,,,,,,,,,,,,,,,,,,,,,,,,
"YOUNG & SONS, LLC",LLC,Active,1390230,2022-03-31,712 RIVER ROAD,SHELTON,United States,06484,CT,KCY1985@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:06:16.0633333,,,,,,,,,,,,,,,,,,,,,,,,
ROOM 72 LLC,LLC,Active,1390122,2022-03-31,11B MAPLE ST,ANSONIA,United States,06401,CT,ROOMSEVENTYTWO@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,True,False,False,False,False,Drinking Places (Alcoholic Beverages) (722410),2021-11-10 00:06:29.3700000,,,,,,,,,,,,,,,,,,,,,,,,
600 SILVER HILL LN LLC,LLC,Active,1390345,2022-03-31,21 CARROLL ST.,STAMFORD,United States,06907,CT,JOENLOVI@HOTMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:06:16.6266667,,,,,,,,,,,,,,,,,,,,,,,,
BURWELL TRANSPORT LLC,LLC,Active,1390227,2022-03-31,19 WILLIAM ST,HAMDEN,United States,06514,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2021-11-10 00:06:24.9300000,,,,,,,,,,,,,,,,,,,,,,,,
"VIVIAN HARDISON ENTERPRISES, INC.",Stock,Active,1392001,2022-05-03,731 MAIN STREET,MONROE,,06468,CT,VIVIAN@VIVIANHARDISON.COM,Foreign,2021-05-03,NY,NY,False,False,False,False,False,Business Associations (813910),2021-11-10 00:06:16.5166667,1997-02-18,"VIVIAN HARDISON ENTERPRISES, INC.",,,,,,,,,,,,,,,,,,,,,,
"RICHARD LECHTENBERG, MD, P.C.",Stock,Active,1392004,2022-05-03,731 MAIN STREET,MONROE,,06468,CT,RICHARDLECHTENBERG@HOTMAIL.COM,Foreign,2021-05-03,NY,NY,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2021-11-10 00:06:26.6333333,1999-10-14,"RICHARD LECHTENBERG, MD, P.C.",,,,,,,,,,,,,,,,,,,,,,
TRANSCAPE LAWNCARE LLC,LLC,Active,1390228,2022-03-31,23 WOODDUCK FARMS RD,WINDSOR,United States,06095,CT,EFILE1234@INCFILE.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:06:20.5666667,,,,,,,,,,,,,,,,,,,,,,,,
BONITA EN SU PRESENCIA LLC,LLC,Active,1390226,2022-03-31,16 TYLER ST,NEW HAVEN,United States,06519-5533,CT,MIMA721@ATT.NET,Domestic,2021-05-03,CT,Connecticut,True,False,True,False,False,Women's Clothing Stores (448120),2021-11-10 00:04:17.0133333,,,,,,,,,,,,,,,,,,,,,,,,
"CUNEXUS SOLUTIONS, INC.",Stock,Active,1392011,2022-05-03,50 OLD COURTHOUSE SQUARE SUITE 300,SANTA ROSA,,95404,CA,CORPORATEREGULATORYREPORTING@CUNAMUTUAL.COM,Foreign,2021-05-03,DE,DE,False,False,False,False,False,,2021-11-10 00:04:12.2466667,2021-05-03,"CUNEXUS SOLUTIONS, INC.",,,,,,,,,,,,,,,,,,,,,,
"CT REAL ESTATE, LLC",LLC,Active,1390544,2022-03-31,18 HIGH RIDGE RD,CROMWELL,United States,06416,CT,JO11192@AOL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:04:14.2300000,,,,,,,,,,,,,,,,,,,,,,,,
"CURVATURE TECHNOLOGIES, LLC",LLC,Active,1390174,2022-03-31,5910 LANDERBROOK DRIVE,CLEVELAND,,44124,OH,,Foreign,2021-05-03,MA,MA,False,False,False,False,False,,2021-11-10 00:04:06.9000000,2021-05-03,"CURVATURE TECHNOLOGIES, LLC",,,,,,,,,,,,,,,,,,,,,,
"DOCTRAX ENTERPRISE SYSTEMS, LLC",LLC,Active,1390135,2022-03-31,36 MARLIN ROAD,NEWTOWN,United States,06470,CT,RDOYLE0213@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:03.9933333,,,,,,,,,,,,,,,,,,,,,,,,
FREDDY D MASONRY & CONSTRUCTION LLC,LLC,Active,1390131,2022-03-31,62 VIRGIL ST 3FL,STAMFORD,,06902,CT,DIEGOCC982079@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:06.8700000,,,,,,,,,,,,,,,,,,,,,,,,
"ASC MANAGEMENT SERVICES, LLC",LLC,Active,1390133,2022-03-31,2408 WHITNEY AVENUE,HAMDEN,United States,06518,CT,GELIA@CT-ORTHO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:08.2133333,,,,,,,,,,,,,,,,,,,,,,,,
STERLING BRICK LLC,LLC,Active,1390248,2022-03-31,35 COLLINS AVE UNIT 312,SPRING VALLEY,United States,10977,NY,MOSHEGROSSBARD1@GMAIL.COM,Domestic,2021-05-03,NY,Connecticut,False,False,False,False,False,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works) (533110),2021-11-10 00:04:08.1500000,,,,,,,,,,,,,,,,,,,,,,,,
DOUJEE PUPPS L.L.C.,LLC,Active,1390155,2022-03-31,189 HIGHTOP CIRCLE WEST,HAMDEN,United States,06514,CT,DOUJEEPUPPSLLC@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:12.8866667,,,,,,,,,,,,,,,,,,,,,,,,
SELDEN HOME SERVICES LLC,LLC,Active,1390355,2022-03-31,184 FAIR OAK DRIVE,FAIRFIELD,United States,06824,CT,JKSELDEN@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:12.9800000,,,,,,,,,,,,,,,,,,,,,,,,
"OROBICA PHE AMERICAN, CORP.",Stock,Active,1391746,2022-05-03,235 GOOLSBY BLVD,DEERFIELD BEACH,,33442-3001,FL,ADM@OROBICABRASIL.COM.BR,Foreign,2021-05-03,FL,FL,False,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",2021-11-10 00:04:12.9333333,2020-02-13,"OROBICA PHE AMERICAN, CORP.",,,,,,,,,,,,,,,,,,,,,,
"JMZ DRYWALL, LLC",LLC,Active,1390175,2022-03-31,96 S WHITTLES AVE,WALLINGFORD,United States,06492,CT,JMZDRYWALL2021@GMAIL.COM,Domestic,2021-05-03,CT,Connecticut,False,False,True,False,False,Drywall and Insulation Contractors (238310),2021-11-10 00:04:16.1533333,,,,,,,,,,,,,,,,,,,,,,,,
THE BEAUTY BANK LLC,LLC,Active,1390154,2022-03-31,51 EARLE ST. FL 3,HARTFORD,United States,06120,CT,COPELANDKYONA@YAHOO.COM,Domestic,2021-05-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:04:08.1500000,,,,,,,,,,,,,,,,,,,,,,,,
