name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billingcountry,reason_for_administrative,total_authorized_shares,sub_status,category_survey_email_address,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,naics_sub_code,dissolution_date,billing_unit,date_of_organization_meeting
SOLUTIONS THROUGH TECHNOLOGY FOR TODAY LLC,LLC,Active,1317019,2020-03-31,38 CHAMBERLAIN COURT,CHESHIRE,06410,CT,KHMORGAN1762@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9600000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"706 BEDFORD STREET, LLC",LLC,Active,1317020,2020-03-31,706 BEDFORD STREET,STAMFORD,06901,CT,Z.BENYUS@MSN.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9600000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
WILD BILL'S BBQ LLC,LLC,Active,1317021,2021-03-31,505 WOLCOTT STREET,WATERBURY,06705,CT,KELLERWILLIAM99@YAHOO.COM,Domestic,2019-08-01,CT,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2021-11-10 00:12:32.9600000,United States,,,Annual report past due,,,,,,,,,,,,,,,,,722511.0,,,
"AHG MANAGEMENT, LLC",LLC,Active,1317022,2022-03-31,9430 RESEARCH BLVD BLDG 4 STE 120,AUSTIN,78759,TX,Compliancemail@cscinfo.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:12:32.9600000,United States,,,,,2019-06-01,"AHG MANAGEMENT, LLC",United States,"251 LITTLE FALLS DR, WILIMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILIMINGTON,DE,19808,United States,"251 LITTLE FALLS DR, WILIMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILIMINGTON,DE,19808.0,United States,531110.0,,,
"CONSERVATIVE CLOTHING OUTLET, LLC",LLC,Active,1317023,2020-03-31,298 S MERIDEN RD,CHESHIRE,06410,CT,CONSERVATIVECLOTHINGOUTLET@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9600000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"UNITY RD TRUMBULL, LLC",LLC,Active,1317024,2022-03-31,111 BOOTH HILL RD,TRUMBULL,06611,CT,mmihaly9834@charter.net,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2021-11-10 00:12:32.9600000,United States,,,,,,,,,,,,,,,,,,,,531311.0,,,
GOOD VIBES LLC,LLC,Active,1317027,2020-03-31,480 MAIN STREET,WILLIMANTIC,06226,CT,TIJJANIAHMED65@AOL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9600000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
"ICC NTA, LLC",LLC,Active,1317033,2022-03-31,305 N OAKLAND AVE,NAPPANEE,46550,IL,Compliancemail@cscinfo.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Professional Organizations (813920),2021-11-10 00:12:32.9933333,United States,,,,,2019-08-01,"ICC NTA, LLC",United States,,,,,,,,,,,,,813920.0,,,
"INVICTUS SERVICES, LLC",LLC,Active,1317036,2021-03-31,31 MOSHIER STREET #A,GREENWICH,06831,CT,LAWRENCE.MCDERMOTT@MARCUMLLP.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),2021-11-10 00:12:32.9933333,United States,,,Annual report past due,,,,,,,,,,,,,,,,,541690.0,,,
"LOSTOCCO BROTHERS DANBURY, LLC",LLC,Active,1317039,2022-03-31,90 FEDERAL ROAD,DANBURY,06810,CT,gpmsales@comcast.net,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:12:32.9933333,United States,,,,,,,,,,,,,,,,,,,,531120.0,,,
EAR PROFESSIONALS INTERNATIONAL CORPORATION,Stock,Active,1317042,2022-08-01,11000 OPTUM CIRCLE MN102-0200,EDEN PRAIRIE,55344,MN,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Direct Health and Medical Insurance Carriers (524114),2021-11-10 00:12:32.9933333,United States,,,,,2019-07-08,EAR PROFESSIONALS INTERNATIONAL CORPORATION,United States,,,,,,,,,,,,,524114.0,,,
SQUOOSHI FAMILY INC.,Stock,Active,1317048,2021-08-01,No information provided,,,,,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:32.9933333,,,200.0,First report past due,,,,,,,,,,,,,,,,,,,,
REVIBE LLC,LLC,Active,1317060,2020-03-31,64 SHUTTLEMEADOW ROAD,PLAINVILLE,06062,CT,,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.0400000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
FANG LLC,LLC,Active,1317074,2020-03-31,225 MAIN STREET,EAST WINDSOR,06088,CT,FANGBIKERGEAR@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.0700000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
ROHALY INDUSTRIAL DESIGNS LLC,LLC,Active,1317077,2022-03-31,382 PATTERSON AVE.,STRATFORD,06614,CT,paulrohaly@sbcglobal.net,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Drafting Services (541340),2021-11-10 00:12:33.0700000,United States,,,,,,,,,,,,,,,,,,,,541340.0,,,
NANCY JARA NJ LLC,LLC,Active,1317079,2020-03-31,89 WALNUT TRAIL,DANBURY,06811,CT,ELIZABETHMOOTS@YAHOO.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.0700000,,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
LEADING EDGE WATER SPORTS LLC,LLC,Active,1317084,2020-03-31,94 NURSERY RD.,RIDGEFIELD,06877,CT,DSANDILANDS@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.0866667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SHANE GREGOIRE LLC,LLC,Dissolved,1317085,2022-03-31,20 DEER HILL RD.,REDDING,06896,CT,shane@rocketpoweredsound.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Human Resources Consulting Services (541612),2021-11-10 00:12:33.0866667,United States,,,,,,,,,,,,,,,,,,,,541612.0,2021-04-28T00:00:00.000,,
"PREMIER 200 NORTH MAIN REALTY, LLC",LLC,Active,1317086,2022-03-31,205 NORTH MAIN STREET,BRANFORD,06405,CT,ralvine@premiersubaru.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:12:33.0866667,United States,,,,,,,,,,,,,,,,,,,,,,,
HURLEY WOODWORKING LLC,LLC,Active,1317088,2020-03-31,68 JEREMIAH RD.,SANDY HOOK,06482,CT,HURLEYWOODWORKINGLLC@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.0866667,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
CT ROOFS RENOVATIONS LLC,LLC,Active,1317091,2020-03-31,1127 KORFITSEN RD.,NEW MILFORD,07646,CT,GHOFF1960@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6333333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
185 KINGS STREET LLC,LLC,Active,1317098,2021-03-31,91 DOGWOOD LN.,STAMFORD,06903,CT,dimitra.skroubelos@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:12:33.6333333,United States,,,Annual report past due,,,,,,,,,,,,,,,,,531110.0,,,
CATALYST MEDICAL TECHNOLOGIES LLC,LLC,Active,1317101,2020-03-31,49 MIDLAND ROAD,TRUMBULL,06611,CT,MEDTECHMARKETER@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6333333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
MPC GROCERY LLC,LLC,Dissolved,1317102,2021-03-31,87 LIBERTY ST,DANBURY,06810,CT,marcioparreira02@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Food Service Contractors (722310),2021-11-10 00:12:33.6333333,United States,,,,,,,,,,,,,,,,,,,,722310.0,2021-01-26T00:00:00.000,,
"WAMP SERVICES, LLC",LLC,Active,1317104,2022-03-31,154 CANNON RD,WILTON,06897,CT,twamp23@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:12:33.6333333,United States,,,,,,,,,,,,,,,,,,,,541611.0,,,
NASCIMENTO AUTO SERVICES LLC,LLC,Dissolved,1317105,2022-03-31,126 TRIANGLE ST,DANBURY,06810,CT,NASCIMENTOAUTOSERVICE@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,All Other Automotive Repair and Maintenance (811198),2021-11-10 00:12:33.6333333,United States,,,,,,,,,,,,,,,,,,,,,2021-09-30T00:00:00.000,B8,
AMRITA GLOBAL GROUP INC,Stock,Active,1317106,2021-08-01,No information provided,,,,FILING@ACS123.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6333333,,,200.0,First report past due,,,,,,,,,,,,,,,,,,,,
"PARKER AND WEST ENGINEERING, PLLC",LLC,Withdrawn,1317108,2022-03-31,1425 PARKER ST.,BRONX,10462,NY,parkerwesteng@gmail.com,Foreign,2019-08-01,NY,NY,False,False,False,False,False,Engineering Services (541330),2021-11-10 00:12:33.6333333,United States,,,,,2019-08-02,"PARKER AND WEST ENGINEERING, PLLC",United States,"1425 PARKER ST., BRONX, NY, 10462, United States",1425 PARKER ST.,BRONX,NY,10462,United States,"1425 PARKER ST., BRONX, NY, 10462, United States",1425 PARKER ST.,BRONX,NY,10462.0,United States,541330.0,,,
"SPRING ROCK CONSULTING, LLC",LLC,Active,1317110,2022-03-31,54 SPRING ROCK RD,BRANFORD,06405,CT,JGRATHWOL@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Other General Government Support (921190),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,921190.0,,,
HAYLEZ LLC,LLC,Active,1317111,2022-03-31,10 DEER RUN,EAST HADDAM,06423,CT,hayley@haylez.com,Domestic,2019-08-01,CT,Connecticut,True,False,False,False,False,Women's Clothing Stores (448120),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,,,,
"WINSTED PHOENIX NEWS, INC.",Non-Stock,Dissolved,1317112,2021-08-01,448 MAIN ST.,WINSTED,06098,CT,treasurer@winstedphoenix.org,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Newspaper Publishers (511110),2021-11-10 00:12:33.6633333,United States,,,Annual report past due,,,,,,,,,,,,,,,,,511110.0,2021-09-09T00:00:00.000,,
GALIBIER LLC,LLC,Active,1317114,2022-03-31,230 BUSHY HILL ROAD,SIMSBURY,06070,CT,arthurmulhern44@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,531190.0,,,
SALTY DAWG CONSTRUCTION LLC,LLC,Active,1317115,2020-03-31,17 W DAYTON HILL RD,WALLINGFORD,06492-5307,CT,SALTY.DAWGCONST@GFMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6633333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
ANGELITO CARPENTRY LLC,LLC,Active,1317116,2020-03-31,87 LEXINGTON AVE,NORWALK,06854,CT,ANGELCARPENTRY@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6633333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
BRAINSTORM US INC.,Stock,Active,1317117,2022-08-01,"54 WEST 40TH STREET, SUITE 816",NEW YORK,10018,NY,rosell@richandbander.com,Foreign,2019-08-01,DE,DE,False,False,False,False,False,Custom Computer Programming Services (541511),2021-11-10 00:12:33.6633333,United States,,,,rosell@richandbander.com,2019-08-01,BRAINSTORM US INC.,United States,,,,,,,,,,,,,541511.0,,,
CORONA & SON MASONRY LLC,LLC,Active,1317118,2020-03-31,11 BERKELEY STREET APT. 1,NORWALK,06851,CT,CARLOSANDSON11@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6633333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
RELIABLE TUNING LLC,LLC,Active,1317119,2022-03-31,137 DANBURY ROAD #293,NEW MILFORD,06776,CT,martin@reliabletuning.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,454110.0,,,
ROCHE CONSTRUCTION CONSULTING LLC,LLC,Active,1317120,2022-03-31,"C/O GERALD D ROCHE 42 CHESTNUT ST, UNIT 2",BETHEL,06801,CT,sshenko.rcc@gmail.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,813990.0,,,
PINS AND NEEDLES ENTERPRISES LLC,LLC,Active,1317121,2022-03-31,110 MEADOWBROOK ROAD,SOUTHBURY,06488,CT,jmitchell@hopenn.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,531120.0,,,
"PROFESSIONAL BASEBALL ACADEMY, LLC",LLC,Active,1317123,2020-03-31,4 MAIN STREET,NEW MILFORD,06776,CT,BGRANATA23@GMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6633333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
SAMANTA ELEGANT FASHION LLC,LLC,Active,1317125,2020-03-31,24 LOWE ST,NORWALK,06854,CT,HELENMIRANDA@HOTMAIL.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.6633333,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
STARVOX CAPITAL LLC,LLC,Active,1317126,2022-03-31,45 CLIFFMOUNT DRIVE,BLOOMFIELD,06002,CT,jkrause@starvoxcapital.com,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Mortgage and Nonmortgage Loan Brokers (522310),2021-11-10 00:12:33.6633333,United States,,,,,,,,,,,,,,,,,,,,,,,
"ARTEL PROPERTIES, LLC",LLC,Active,1317127,2020-03-31,"300 S. SANTA FE AVE., APT. 658",GLENDALE,91206,CA,EVHALYN@HOTMAIL.COM,Foreign,2019-08-01,CA,CA,False,False,False,False,False,,2021-11-10 00:12:33.6633333,,Failure to file Annual Report,,Ready for dissolution,,2019-08-01,"ARTEL PROPERTIES, LLC",,"300 S. SANTA FE AVE., APT. 658, GLENDALE, CA, 06905,","300 S. SANTA FE AVE., APT. 658",GLENDALE,CA,06905,,"1500 BEDFORD STREET, APT. 204, STAMFORD, CT, 06905,","1500 BEDFORD STREET, APT. 204",STAMFORD,CT,6905.0,,,,,
TWIN BROTHER CORP.,Stock,Active,1317128,2021-06-05,83 WEST ROAD,ELLINGTON,06029,CT,HGONDAL@GONDALCORP.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Convenience Stores (445120),2021-11-10 00:12:33.6633333,United States,,20000.0,Annual report past due,,,,,,,,,,,,,,,,,445120.0,,,
JB MIA BELLO NAILS LLC,LLC,Active,1317129,2020-03-31,2855 FAIRFIELD AVE,BRIDGEPORT,06605,CT,RUTE@ATLANTISTAXLLC.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:33.7100000,United States,Failure to file Annual Report,,Ready for dissolution,,,,,,,,,,,,,,,,,,,,
U ENVI LLC,LLC,Active,1317130,2021-03-31,84 HUNTING RIDGE RD,GREENWICH,06831,CT,uenvi.nyc@gmail.com,Domestic,2019-08-01,CT,Connecticut,True,False,True,False,False,Other Specialized Design Services (541490),2021-11-10 00:12:33.7100000,United States,,,Annual report past due,,,,,,,,,,,,,,,,,541490.0,,,
CRANE RESULTS COACHING L.L.C.,LLC,Active,1317132,2022-03-31,45 DICK FINN ROAD,NEW FAIRFIELD,06812,CT,EFILE1234@INCFILE.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),2021-11-10 00:12:33.7100000,United States,,,,,,,,,,,,,,,,,,,,812990.0,,,
ZOLD LLC,LLC,Active,1317133,2021-03-31,8 GRAYS FARM RD,WESTON,06883,CT,EFILE1234@INCFILE.COM,Domestic,2019-08-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:12:33.7100000,United States,,,Annual report past due,,,,,,,,,,,,,,,,,812990.0,,,
