name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,dissolution_date,mailing_address,date_of_organization_meeting,mailing_international_address
"JAMES HILLHOUSE C/O 1988 SCHOLARSHIP FUND, INC.",Non-Stock,Active,,1326232,2022-02-25,130 FOURTH STREET,HAMDEN,06514,CT,jameshillhouse88@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:33.3700000,United States,Educational Support Services (611710),611710.0,,,,,,,,,,,,,,,,,,,,,,
13 FIGS LLC,LLC,Active,,1326234,2022-03-31,2804 MILL POND DR,SOUTH WINDSOR,06074,CT,debscozz@aol.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,True,False,,2021-11-10 00:10:33.3700000,United States,Soap and Other Detergent Manufacturing (325611),325611.0,,,,,,,,,,,,,,,,,,,,,,
DC HOMES LLC,LLC,Active,Ready for dissolution,1326236,2020-03-31,717 BRONSON RD,SOUTHPORT,06890,CT,JASSBO@AOL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.3700000,United States,,,,,,,,,,,,,,,,,,,,,,,,
ABLE INC CONNECTICUT,Stock,Active,First report past due,1326237,2021-11-01,No information provided,,,,MIKE@AANDA2.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.3700000,,,,,100.0,,,,,,,,,,,,,,,,,,,,
IMMORTAL OPULENCE LLC,LLC,Active,Ready for dissolution,1326238,2020-03-31,26 MARSH ST.,WETHERSFIELD,06109,CT,FANELLI157@YAHOO.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4033333,United States,,,,,,,,,,,,,,,,,,,,,,,,
TMES LLC,LLC,Active,,1326239,2022-03-31,193 JOFFRE AVE.,STAMFORD,06905,CT,tmmsfrd@yahoo.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Residential Remodelers (236118),236118.0,,,,,,,,,,,,,,,,,,,,,,
MALLINSON TRANSPORTATION LLC,LLC,Active,,1326240,2022-03-31,41 VILLAGE LANE,BETHANY,06524,CT,beth@bandbtrans.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Interurban and Rural Bus Transportation (485210),485210.0,,,,,,,,,,,,,,,,,,,,,,
"FULL HOUSE, LLC",LLC,Active,Ready for dissolution,1326241,2020-03-31,25 S 19TH ST FL 2,PHILADELPHIA,19103,PA,EFILE1234@INCFILE.COM,Domestic,2019-11-01,PA,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4033333,United States,,,,,,,,,,,,,,,,,,,,,,,,
REHAB ARMORY LLC,LLC,Active,Ready for dissolution,1326243,2020-03-31,132 BAILEY RD,ROCKY HILL,06067,CT,EFILE1234@INCFILE.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4033333,United States,,,,,,,,,,,,,,,,,,,,,,,,
CENTRAL ADMIN LLC,LLC,Active,Annual report past due,1326244,2021-03-31,115 PANTHORN TRAIL,SOUTHINGTON,06489,CT,mike.boissonneault@centraladmin.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,,,,,,,,,,,,,,,,,,,,,
"IT'S A GRIND, LLC",LLC,Active,,1326245,2022-03-31,137 FAR MILL STREET,SHELTON,06484,CT,itsagrind2019@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Limited-Service Restaurants (722513),722513.0,,,,,,,,,,,,,,,,,,,,,,
MLT CLEANING SERVICES LLC,LLC,Active,,1326246,2022-03-31,1585 CENTRAL PARK AVE PO BOX 580,YONKERS,10710,NY,msasllc14@gmail.com,Domestic,2019-11-01,NY,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,,,,,,,,,,
VETERAN SOAPS & CANDLES LLC,LLC,Active,Ready for dissolution,1326248,2020-03-31,200 FOREST RIDGE,WATERBURY,06708,CT,BABAR413@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4033333,,,,,,,,,,,,,,,,,,,,,,,,,
MALIKET PARADIGM SALES LLC,LLC,Active,,1326249,2022-03-31,162 BEAR HILL ROAD,BETANY,06524,CT,compliance@myllc.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",446120.0,,,,,,,,,,,,,,,,,,,,,,
NEVER TRUMPER LLC,LLC,Active,,1326250,2022-03-31,243 TRESSER BLVD 17TH FL,STAMFORD,06901,CT,cliftoninvestmentsllc@gmail.com,Foreign,2019-11-01,FL,FL,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,2019-11-09,CLIFTON INVESTMENTS LLC,United States,"CT CORPORATION SYSTEM 1200 SOUTH PINE ISLAND ROAD, PLANTATION, FL, 33324, United States",CT CORPORATION SYSTEM 1200 SOUTH PINE ISLAND ROAD,PLANTATION,FL,33324,United States,"CT CORPORATION SYSTEM 1200 SOUTH PINE ISLAND ROAD, PLANTATION, FL, 33324, United States",CT CORPORATION SYSTEM 1200 SOUTH PINE ISLAND ROAD,PLANTATION,FL,33324,United States,,,,,
"URGENT CARE OF BRISTOL, LLC",LLC,Active,,1326252,2022-03-31,31 OLD ROUTE 7,BROOKFIELD,06804,CT,nferdinand@p1uc.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Nonresidential Property Managers (531312),531312.0,,,,,,,,,,,,,,,,,,,,,,
BILLIONAILS & SPA 88 INC.,Stock,Active,,1326253,2022-11-01,389 BRIDGEPORT AVE SUITE 108,SHELTON,06484,CT,cst010101@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,Nail Salons (812113),812113.0,,1000.0,,,,,,,,,,,,,,,,,,,,
"LEETES ISLAND WOODWORKS, LLC",LLC,Active,,1326254,2022-03-31,135 LEETES ISL. RD,GUILFORD,06437,CT,mackall@mac.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4033333,United States,All Other Miscellaneous Wood Product Manufacturing (321999),321999.0,,,,,,,,,,,,,,,,,,,,,,
MEAL52 LLC,LLC,Active,Annual report past due,1326255,2021-03-31,554 WHALLEY AVENUE,NEW HAVEN,06511,CT,meal52eatery@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:33.4200000,United States,Limited-Service Restaurants (722513),722513.0,,,,,,,,,,,,,,,,,,,,,,
KISMET PROPERTIES LLC,LLC,Active,Ready for dissolution,1326257,2020-03-31,210 OLD FARMS ROAD,SIMSBURY,06070,CT,AMYESCHUSTER@AOL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4200000,United States,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH HAND LLC,LLC,Active,Ready for dissolution,1326258,2020-03-31,719 KING ST,BRISTOL,06010,CT,ANCFLOORING@YAHOO.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4333333,United States,,,,,,,,,,,,,,,,,,,,,,,,
"PEACE OF MIND MEDICAL CARE, LLC",LLC,Active,,1326259,2022-03-31,191 ALBANY TPKE SUITE 101,CANTON,06019,CT,drbevcarolan@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4333333,United States,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,,,,,,,,,,,,,,,,,,,,,,
DESERT DREAMS LLC,LLC,Active,Annual report past due,1326260,2021-03-31,2 SACHEM ROAD,BRANFORD,06450,CT,SVLOCK@STUDIOVLOCK.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4333333,United States,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,,,,
JRA HOME IMPROVEMENT LLC,LLC,Active,Ready for dissolution,1326261,2020-03-31,38 BOUTON ST APT 3,NORWALK,06854,CT,SERVIEXPRESS2008@HOTMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4333333,United States,,,,,,,,,,,,,,,,,,,,,,,,
CORE PEDIATRICS PLLC,LLC,Active,Ready for dissolution,1326264,2020-03-31,45 CEDAR GATE RD,DARIEN,06820,CT,EFILE1234@INCFILE.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4500000,United States,,,,,,,,,,,,,,,,,,,,,,,,
KVB CONSTRUCTION LLC,LLC,Active,,1326267,2022-03-31,38 MAIN ST,WINDSOR LOCKS,06096,CT,rich@kvbllcct.com,Domestic,2019-11-01,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:33.4500000,United States,Drywall and Insulation Contractors (238310),238310.0,,,,,,,,,,,,,,,,,,,,,,
"WATKINS EXPRESS, LLC",LLC,Active,,1326268,2022-03-31,118 LEDGECREST AVE,NEW BRITAIN,06051,CT,Watkinsexpressllc@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4500000,United States,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,
SOON (STAMP OUT OPPRESSION NOW!) INC.,Non-Stock,Active,Annual report past due,1326269,2020-11-01,335 MILL ROCK ROAD,HAMDEN,06517,CT,Isa@isamujahid.com,Domestic,2019-11-01,CT,Connecticut,False,True,True,False,False,,2021-11-10 00:10:33.4500000,United States,,,,,,,,,,,,,,,,,,,,,,,,
TELAMONIUS VENTURES LLC,LLC,Active,,1326270,2022-03-31,95 LEROY AVE,DARIEN,06820,CT,matt@telamonius.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4500000,United States,Other Management Consulting Services (541618),541618.0,,,,,,,,,,,,,,,,,,,,,,
SIONE S DESIGN LLC,LLC,Active,,1326272,2022-03-31,5 SOUTH WHITNEY ST,HARTFORD,06105,CT,olmoreira@hotmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4500000,United States,Nail Salons (812113),812113.0,,,,,,,,,,,,,,,,,,,,,,
NYM CORP LLC,LLC,Active,Annual report past due,1326277,2021-03-31,283 BRONX AVENUE,BRIDGEPORT,06606,CT,nicholasmcpherson22@yahoo.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Other Clothing Stores (448190),448190.0,,,,,,,,,,,,,,,,,,,,,,
PHYSIATRY CAELI PLLC,LLC,Active,,1326278,2022-03-31,9 COLONY RD,WESTPORT,06880,CT,physiatry.caeli@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:33.4800000,United States,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,,,,,,,,,,,,,,,,,,,,,,
SPARK CYCLEWORKS LLC,LLC,Active,,1326279,2022-03-31,"67 N. BRANFORD RD., UNIT 5",BRANFORD,06405,CT,info@sparkcycleworks.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Sporting Goods Stores (451110),451110.0,,,,,,,,,,,,,,,,,,,,,,
POSITIVE CHANGE THERAPY PLLC,LLC,Active,,1326280,2022-03-31,325 S. Main St,CHESHIRE,06410,CT,jbyerstherapy@gmail.com,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,Suite 1,,,,
VORON EXPRESS LLC,LLC,Active,,1326281,2022-03-31,2 FAIRMONT PL APT. 3,SHELTON,06484,CT,voronexpress@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Freight Transportation Arrangement (488510),488510.0,,,,,,,,,,,,,,,,,,,,,,
"N. MORI, LLC",LLC,Active,Ready for dissolution,1326282,2020-03-31,456 CAMPFIELD AVENUE,HARTFORD,06114,CT,DAHIANAAPONTELAW@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4800000,United States,,,,,,,,,,,,,,,,,,,,,,,,
"PLAZA EQUITIES, LLC",LLC,Active,Ready for dissolution,1326283,2020-03-31,595 STEWART AVENUE #550,GARDEN CITY,11530,NY,PLAZAEQUITIES@GMAIL.COM,Foreign,2019-11-01,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4800000,United States,,,,,2019-04-19,"PLAZA EQUITIES, LLC",United States,"595 STEWART AVENUE #550, GARDEN CITY, NY, 11530, United States",595 STEWART AVENUE #550,GARDEN CITY,NY,11530,United States,"595 STEWART AVENUE #550, GARDEN CITY, NY, 11530, United States",595 STEWART AVENUE #550,GARDEN CITY,NY,11530,United States,,,,,
"SERRAVIEW AMERICA, INC.",Stock,Active,,1326285,2022-11-01,2 WALL STREET SUITE 1050,NEW YORK,10005,NY,CLS-CTARMSevidence@wolterskluwer.Com,Foreign,2019-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Other Activities Related to Real Estate (531390),531390.0,,,2019-11-01,"SERRAVIEW AMERICA, INC.",United States,,,,,,,,,,,,,,,,,
FREELY BOLD LLC,LLC,Active,Annual report past due,1326288,2021-03-31,32 BIGELOW STREET,MANCHESTER,06040,CT,freelybold@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Business Associations (813910),813910.0,,,,,,,,,,,,,,,,,,,,,,
G&G RESTORATION LLC,LLC,Active,Ready for dissolution,1326290,2020-03-31,16 EMMA ST,SEYMOUR,06483,CT,OXILMAIL@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4800000,United States,,,,,,,,,,,,,,,,,,,,,,,,
SVBM LLC,LLC,Active,,1326291,2022-03-31,15 VALLEY RD,SOUTHBOROUGH,01772,MA,svbmllc@gmail.com,Domestic,2019-11-01,MA,Connecticut,True,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,,,
P SQUARED PROPERTIES LLC,LLC,Active,Annual report past due,1326292,2021-03-31,48 POINT LOOKOUT,MILFORD,06460,CT,psheact@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,,,
ANR TRUCKING LLC,LLC,Active,Annual report past due,1326293,2021-03-31,1432 CORBIN AVENUE,NEW BRITAIN,06053,CT,riveraarquipo@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:33.4800000,United States,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,,,,,,,,,,,,,,
PAUL PANOS LLC,LLC,Active,Ready for dissolution,1326294,2020-03-31,48 BROOKVIEW RD.,WINDSOR,06095,CT,PAULJPANOS@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:33.4800000,United States,,,,,,,,,,,,,,,,,,,,,,,,
IVR RESIDENTIAL MORTGAGE ACQUISITION LLC,LLC,Withdrawn,,1326295,2022-03-31,1555 PEACHTREE ST NE SUITE 1800,ATLANTA,30309,GA,margaret.harden@invesco.com,Foreign,2019-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Miscellaneous Financial Investment Activities (523999),523999.0,,,2020-01-01,IVR RESIDENTIAL MORTGAGE ACQUISITION LLC,United States,"1209 ORANGE ST., WILMINGTON, DE, 19801, United States",1209 ORANGE ST.,WILMINGTON,DE,19801,United States,"1209 ORANGE ST., WILMINGTON, DE, 19801, United States",1209 ORANGE ST.,WILMINGTON,DE,19801,United States,,,,,
CLOUD MIGRATION LLC,LLC,Active,Annual report past due,1326296,2021-03-31,57 WEST HILL ROAD,STAMFORD,06902,CT,ct-reports@statefilings.in,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,All Other Information Services (519190),519190.0,,,,,,,,,,,,,,,,,,,,,,
PLANTSVILLE VILLAGE PIZZA LLC,LLC,Active,,1326297,2022-03-31,991 S MAIN ST  UNIT 3,PLANTSVILLE,06479,CT,booksbyjoe37@aol.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Full-Service Restaurants (722511),,,,,,,,,,,,,,,,,,,,,,,
"STRADEFY BIOSCIENCES, INC.",Stock,Active,,1326298,2022-11-01,"33 WHITNEY AVENUE, SECOND FLOOR",NEW HAVEN,06510,CT,brian@elmvc.com,Foreign,2019-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Research and Development in Nanotechnology (541713),,morriceroadllc@gmail.com,,2019-11-01,"STRADEFY BIOSCIENCES, INC.",United States,,,,,,,,,,,,,,,,,
"UTILITY LOGISTICS GROUP, INC.",Stock,Dissolved,Annual report past due,1326299,2021-11-01,95 GATES RD,LEBANON,06249,CT,jeredweber@yahoo.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Residential Property Managers (531311),531311.0,,1500.0,,,,,,,,,,,,,,,,,2021-10-25T00:00:00.000,,,
RIT 160 SERVICES LLC,LLC,Active,Ready for dissolution,1326300,2020-03-31,83 LAKE AVE APT 1,DANBURY,06810,CT,BRTAX18@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0733333,United States,,,,,,,,,,,,,,,,,,,,,,,,
BUZZWORTHY LLC,LLC,Active,Ready for dissolution,1326301,2020-03-31,81 LIVINGSTON STREET,NEW HAVEN,06511,CT,DOTAXES@SBCGLOBAL.NET,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.0733333,United States,,,,,,,,,,,,,,,,,,,,,,,,
WESTCHESTER SIGNING SERVICES INC,Stock,Active,Annual report past due,1326302,2020-11-01,500 W.PUTNAM AVE SUITE #400,GREENWICH,06830,CT,IDESTA@WSSIMOBILE.COM,Foreign,2019-11-01,NY,NY,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,,,,,2019-11-01,WESTCHESTER SIGNING SERVICES INC,United States,,,,,,,,,,,,,,,,,
ACB INSTALLATIONS LLC,LLC,Active,,1326303,2022-03-31,585 WINTHROP RD,DEEP RIVER,06417,CT,adam.brestelli@gmail.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Other Building Finishing Contractors (238390),238390.0,,,,,,,,,,,,,,,,,,,,,,
XANDY LLC,LLC,Active,,1326304,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,eastern@northwestregisteredagent.com,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Marketing Research and Public Opinion Polling (541910),541910.0,,,,,,,,,,,,,,,,,,,,,,
"C L N CONSULTING, LLC",LLC,Active,Annual report past due,1326305,2021-03-31,35 HEATHER HEIGHTS,MERIDEN,06450,CT,CHARISSALYNNE0143@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,,,,,,,,,,,,,,,,,,,,,
IDEAL MART LLC,LLC,Active,Annual report past due,1326306,2021-03-31,555 MIDDLE TURNPIKE WEST,MANCHESTER,06040,CT,TASKFINANCIAL1@GMAIL.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Gasoline Stations with Convenience Stores (447110),447110.0,,,,,,,,,,,,,,,,,,,,,,
"FORSYTH MEZZ OWNER, LIMITED PARTNERSHIP",Limited Partnership,Active,,1326309,2022-11-01,591 WEST PUTNAM AVE,GREENWICH,06830,CT,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:34.0733333,United States,Offices of Real Estate Agents and Brokers (531210),531210.0,,,2019-10-31,"FORSYTH MEZZ OWNER, LIMITED PARTNERSHIP",United States,,,,,,,"591 WEST PUTNAM AVENUE, GREENWICH, CT, 06830, United States",591 WEST PUTNAM AVENUE,GREENWICH,CT,06830,United States,,,,,
CUSTOM CLIMATE SOLUTIONS INCORPORATED,Stock,Active,First report past due,1326310,2021-11-01,No information provided,,,,,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.0733333,,,,,25.0,,,,,,,,,,,,,,,,,,,,
MATSYA LLC,LLC,Active,Ready for dissolution,1326316,2020-03-31,2889 SOLLIE RD 112,MOBILE,36695,AL,KEYUR0007@YAHOO.COM,Domestic,2019-11-01,AL,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:34.1066667,United States,,,,,,,,,,,,,,,,,,,,,,,,
THE TRUSTED OPINION PROJECT CORPORATION,Non-Stock,Active,Annual report past due,1326317,2021-11-01,33 DIXWELL AVENUE,NEW HAVEN,06511,CT,chandra@trustedopinion.org,Domestic,2019-11-01,CT,Connecticut,True,False,False,True,False,,2021-11-10 00:10:34.1066667,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,,,,,,,,,,,,,,,,,,,,,
KEY PAINTING LLC,LLC,Active,Ready for dissolution,1326318,2020-03-31,156 ROOSVELT STREET UNIT A2,HARTFORD,06114,CT,EDJANSINAJ@WINDOWSLIVE.COM,Domestic,2019-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.1066667,United States,,,,,,,,,,,,,,,,,,,,,,,,
