name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,dissolution_date,billing_unit,mailing_jurisdiction_country,office_in_jurisdiction_country,date_of_organization_meeting,category_survey_email_address
QUANTFLO LLC,LLC,Dissolved,,1320093,2020-03-31,2518 WHITNEY AVE APT 2,HAMDEN,United States,06518,CT,DREWORTONE@GMAIL.COM,Domestic,2019-09-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:05:19.2666667,,,,,,,,,,,,,,,,,2020-01-03T00:00:00.000,,,,,
DAVID FERRARI PRODUCTIONS LLC,LLC,Active,Annual report past due,1319943,2021-03-31,2 ARMONK STREET SUITE 1011,GREENWICH,United States,06830,CT,info@davidferrariproductions.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8100000,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",711410.0,,,,,,,,,,,,,,,,,,,,
GRAB N GOES LLC,LLC,Active,Ready for dissolution,1319946,2020-03-31,544 DEMING ROAD,BERLIN,,06037,CT,BIPINCHANGELA@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:28.8100000,,,,,,,,,,,,,,,,,,,,,,
LOVE LIFE NOW COACHING LLC,LLC,Active,,1319948,2022-03-31,9 DOVE LANE,MIDDLETOWN,United States,06457,CT,lovelifenowct@gmail.com,Domestic,2019-09-03,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:28.8100000,Other Personal Care Services (812199),812199.0,,,,,,,,,,,,,,,,,,,,
RL DUN NCM LLC,LLC,Active,,1319949,2022-03-31,2 ENTERPRISE DRIVE SUITE 406,SHELTON,United States,06484,CT,ewilson@goldmangruderwoods.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8100000,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,
"317 ROPE FERRY RD., LLC",LLC,Active,,1319953,2022-03-31,6 WEST AVENUE,EAST HAMPTON,United States,06424,CT,ASESCONN@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8100000,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,
"ARX WIRELESS OPERATING, LLC",LLC,Active,Ready for dissolution,1319955,2020-03-31,110 WASHINGTON AVE,NORTH HAVEN,,06473,CT,,Foreign,2019-09-03,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:28.8100000,,,,2019-08-30,"ARX WIRELESS OPERATING, LLC",,,,,,,,,,,,,,,,,
"G58 CAPITAL, LLC",LLC,Active,,1319956,2022-03-31,36 OAK KNOLL ROAD,RIDGEFIELD,United States,06877,CT,Stangalanski@g58capital.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8100000,All Other Insurance Related Activities (524298),541618.0,,,,,,,,,,,,,,,,,,,,
HOVER INC.,Stock,Active,,1319957,2022-09-03,225 Bush St,San Francisco,United States,94104-4215,CA,brendan.crimmins@hover.to,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:28.8100000,Software Publishers (511210),511210.0,,2019-08-29,HOVER INC.,,,,,,,,,,,United States,,Floor 7,,,,
"BEVERLY DEVELOPMENT, LLC",LLC,Active,,1319958,2022-03-31,1375 KINGS HIGHWAY 4TH FLOOR,FAIRFIELD,United States,06824,CT,mkeeney@abbeyroadadvisors.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8100000,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
JUNITO AUTO TRANSPORT LLC,LLC,Active,Ready for dissolution,1319959,2020-03-31,2 COLUMBUS CIRCLE APT. A2,EAST HARTFORD,,06108,CT,JUNITODIAZ@ICLOUD.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:28.8566667,,,,,,,,,,,,,,,,,,,,,,
SOHAIL NASEEM 1 FINANCIAL SERVICE LLC,LLC,Active,Ready for dissolution,1319960,2020-03-31,54 STEELE RD,ENFIELD,,06082,CT,TARIQSAEED16@HOTMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:28.8566667,,,,,,,,,,,,,,,,,,,,,,
"MATT ESEPPI, LLC",LLC,Active,Ready for dissolution,1319961,2020-03-31,164 HI VIEW ROAD,RIVERTON,,06065,CT,MESEPPI@HOTMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:28.8566667,,,,,,,,,,,,,,,,,,,,,,
"RESTORE RX, INC.",Stock,Active,,1319962,2022-09-03,195 THEATER DR,DUNCANSVILLE,United States,16635,PA,Compliancemail@cscinfo.com,Foreign,2019-09-03,TN,TN,False,False,False,False,False,,2021-11-10 00:10:28.8566667,Pharmacies and Drug Stores (446110),446110.0,,2019-09-03,"RESTORE RX, INC.",,,,,,,,,,,United States,,,,,,
"NESCO SPECIALTY RENTALS, LLC",LLC,Active,,1319963,2022-03-31,6714 POINTE INVERNESS WAY SUITE 220,FORT WAYNE,United States,46804,IN,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2019-09-03,IN,IN,False,False,False,False,False,,2021-11-10 00:10:28.8566667,Other Commercial and Industrial Machinery and Equipment Rental and Leasing (532490),532490.0,,2019-09-01,"NESCO, LLC","6714 POINTE INVERNESS WAY SUITE 220, FORT WAYNE, IN, 46804, United States",6714 POINTE INVERNESS WAY SUITE 220,FORT WAYNE,IN,46804,"6714 POINTE INVERNESS WAY SUITE 220, FORT WAYNE, IN, 46804, United States",6714 POINTE INVERNESS WAY SUITE 220,FORT WAYNE,IN,46804,United States,,,United States,United States,,
LO GREENWICH OFFICE LLC,LLC,Active,,1319966,2022-03-31,2000 MCKINNEY AVE STE 1000,DALLAS,United States,75201,TX,MELLIS@LPC.COM,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:28.8566667,Other Activities Related to Real Estate (531390),531390.0,,2019-09-03,LO GREENWICH OFFICE LLC,"1209 ORANGE STREET, WILMINGTON, DE, 19801,",1209 ORANGE STREET,WILMINGTON,DE,19801,"1209 ORANGE STREET, WILMINGTON, DE, 19801, United States",1209 ORANGE STREET,WILMINGTON,DE,19801,United States,,,,United States,,
"CENTENNIAL CONTRACTORS ENTERPRISES, INC.",Stock,Active,,1319970,2022-09-03,"11111 SUNSET HILLS ROAD, SUITE 350",RESTON,United States,20190,VA,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-09-03,VA,VA,False,False,False,False,False,,2021-11-10 00:10:28.8566667,Industrial Building Construction (236210),236210.0,,2019-08-26,"CENTENNIAL CONTRACTORS ENTERPRISES, INC.",,,,,,,,,,,United States,,,,,,
KMG CONSULTING INC.,Stock,Active,First report past due,1319972,2021-09-03,No information provided,,,,,,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:28.8566667,,,2000.0,,,,,,,,,,,,,,,,,,,
"PROGRESSIVE AUTOMOTIVE SYSTEMS, LLC",LLC,Active,,1319977,2022-03-31,4300 TBC WAY,PALM BEACH GARDENS,United States,33410,FL,Compliancemail@cscinfo.com,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:28.8566667,Other Scientific and Technical Consulting Services (541690),541690.0,,2019-08-14,"PROGRESSIVE AUTOMOTIVE SYSTEMS, LLC","251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,,,United States,United States,,
"MIDAS REALTY, LLC",LLC,Active,,1319982,2022-03-31,4300 TBC WAY,PALM BEACH GARDENS,United States,33410,FL,Compliancemail@cscinfo.com,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:26.2000000,Other Activities Related to Real Estate (531390),531390.0,,2019-08-13,"MIDAS REALTY, LLC","251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,United States,United States,,
"MIDAS PROPERTY, LLC",LLC,Active,,1319986,2022-03-31,4300 TBC WAY,PALM BEACH GARDENS,United States,33410,FL,Compliancemail@cscinfo.com,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:26.2000000,Business Associations (813910),813910.0,,2019-08-13,"MIDAS PROPERTY, LLC","251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,,,United States,United States,,
HIRSCH SECURITY CONSULTANTS LLC,LLC,Active,Ready for dissolution,1320016,2020-03-31,49 DANDY DRIVE,COS COB,,06807,CT,KHIRSCH81@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.2466667,,,,,,,,,,,,,,,,,,,,,,
"ARX WIRELESS INFRASTRUCTURE, LLC",LLC,Active,Ready for dissolution,1320035,2020-03-31,110 WASHINGTON AVE,NORTH HAVEN,,06473,CT,,Foreign,2019-09-03,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.8400000,,,,2019-08-30,"ARX WIRELESS INFRASTRUCTURE, LLC",,,,,,,,,,,,,,,,,
"ARX WIRELESS MANAGEMENT, LLC",LLC,Active,Ready for dissolution,1320046,2020-03-31,110 WASHINGTON AVE,NORTH HAVEN,,06473,CT,,Foreign,2019-09-03,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.8400000,,,,2019-08-30,"ARX WIRELESS MANAGEMENT, LLC",,,,,,,,,,,,,,,,,
"ARX WIRELESS, LLC",LLC,Active,Annual report past due,1320050,2021-03-31,110 WASHINGTON AVE,NORTH HAVEN,United States,06473,CT,mbarnes@arxwireless.com,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:26.8400000,Lessors of Other Real Estate Property (531190),,,2019-08-30,"ARX WIRELESS, LLC",,,,,,,,,,,United States,,,,,,
LIND PUBLISHING AND MEDIA LLC,LLC,Active,,1320059,2022-03-31,10 MAIN STREET #304,BERLIN,United States,06037,CT,lindpublishingandmediallc@gmail.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:26.8700000,Book Publishers (511130),511130.0,,,,,,,,,,,,,,,,,,,,
"GLASTONBURY GLEN HOMEOWNERS ASSOCIATION, INC.",Non-Stock,Active,Annual report past due,1320061,2020-09-03,110 BROOK STREET,TORRINGTON,United States,06790,CT,Greg.Ugalde@gmail.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.8700000,,,,,,,,,,,,,,,,,,,,,,
"EML ENTERPRISES, LLC",LLC,Active,Ready for dissolution,1320072,2020-03-31,31 BLUEBERRY LANE,WOODBURY,United States,,CT,SLUPO6@YAHOO.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:26.8700000,,,,,,,,,,,,,,,,,,,,,,
CAROL WOOD APPRAISALS LLC,LLC,Active,,1320108,2022-03-31,10 JOHN TODD WAY,REDDING,United States,06896,CT,CWOODAPPRAISALS@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5266667,Lessors of Other Real Estate Property (531190),531190.0,,,,,,,,,,,,,,,,,,,,
"TREE OF LIFE TRADING GROUP, LLC",LLC,Active,,1320109,2022-03-31,6 CHURCH LANE,WESTON,United States,06883,CT,Marilyn.Perniciaro@gmail.com,Domestic,2019-09-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5266667,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,,
209 SIR REALTY. LLC,LLC,Active,,1320110,2022-03-31,908 SOUTH MERIDEN RD.,CHESHIRE,United States,06410,CT,crybicki@neis1.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5266667,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
"IRE PROPERTIES, LLC",LLC,Dissolved,,1320112,2020-03-31,68 COUNTRY CLUB RD.,BOLTON,United States,06043,CT,JOANEMORAN@HOTMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5266667,,,,,,,,,,,,,,,,,2020-12-18T00:00:00.000,,,,,
HELPY CLEAN US LLC,LLC,Active,Ready for dissolution,1320114,2020-03-31,61 OSBORNE ST,DANBURY,United States,06810,CT,ING.FINANZAS.PABLO.SPSP@OUTLOOK.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5733333,,,,,,,,,,,,,,,,,,,,,,
40 QUIRK LLC,LLC,Active,,1320115,2022-03-31,95 HIDDEN POND DR,WATERTOWN,United States,06795,CT,mmmchugh50@gmail.com,Domestic,2019-09-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:27.5733333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),812910.0,,,,,,,,,,,,,,,,,,,,
COMMUNITY OF THE DEAF INC,Non-Stock,Active,,1320116,2022-09-07,212 Lincolndale Dr,Waterbury,United States,06704-1142,CT,LEONIDJOHNSON1@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5733333,Human Rights Organizations (813311),,,,,,,,,,,,,,,,,,,,2019-09-03,
SWAN LAKE LLC,LLC,Active,Ready for dissolution,1320118,2020-03-31,37 HIGHLAND AVE,REDDING,United States,06896,CT,UCWHITTEN@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5733333,,,,,,,,,,,,,,,,,,,,,,
17 PARKERT LLC,LLC,Active,,1320121,2022-03-31,17 PARKER TERRACE EXT,GLASTONBURY,United States,06033,CT,rob@teleworksct.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5733333,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,
CAMILLE OLIVER LLC,LLC,Active,,1320122,2022-03-31,67 NEWFIELD DRIVE,STAMFORD,United States,06905,CT,info@camilleoliver.com,Domestic,2019-09-03,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:27.5733333,Electronic Shopping and Mail-Order Houses (454110),454110.0,,,,,,,,,,,,,,,,,,,,
PRIATKA CONSULTING LLC,LLC,Active,,1320123,2022-03-31,"26 HIGH STREET, APT A",GREENWICH,United States,06830,CT,jpriatka@gmail.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,True,False,,2021-11-10 00:10:27.5733333,Investment Banking and Securities Dealing (523110),523110.0,,,,,,,,,,,,,,,,,,,,
JM NORTHEAST LLC,LLC,Active,,1320124,2022-03-31,1259 EAST PUTNAM AVENUE,RIVERSIDE,United States,06878,CT,JROONEY@JERSEYMIKES.COM,Foreign,2019-09-03,DE,DE,False,False,False,False,False,,2021-11-10 00:10:27.5733333,Limited-Service Restaurants (722513),722513.0,,2019-10-16,JM NORTHEAST LLC,"2251 LANDMARK PLACE, MANASQUAN, NJ, 08736, United States",2251 LANDMARK PLACE,MANASQUAN,NJ,08736,"2251 LANDMARK PLACE, MANASQUAN, NJ, 08736, United States",2251 LANDMARK PLACE,MANASQUAN,NJ,08736,United States,,,United States,United States,,
MANAGING HEALTH AND WELLNESS OF NEW LONDON LLC,LLC,Active,,1320125,2022-03-31,170 FLANDERS RD UNIT D-7,EAST LYME,United States,06357,CT,moose0977@yahoo.com,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:27.5733333,All Other Health and Personal Care Stores (446199),446199.0,,,,,,,,,,,,,,,,,,,,
"HOME MAINTENANCE AND OUTDOOR SERVICES, LLC",LLC,Active,Ready for dissolution,1320126,2020-03-31,32 STEVENS ST,DANBURY,United States,06810,CT,HUGOPESANTEZ@GMAIL.COM,Domestic,2019-09-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:27.5733333,,,,,,,,,,,,,,,,,,,,,,
