name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,total_authorized_shares,mailing_jurisdiction_country,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_international_address
"FEELINGS & HEALINGS, LLC",LLC,Dissolved,,1323040,2022-03-31,235 MIDDLE HADDAM ROAD,MIDDLE HADDAM,06456,CT,kristinef9211@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7166667,,United States,,,,,,,,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,2021-07-12T00:00:00.000,,,,,,
"RCN CAPITAL 2, LLC",LLC,Active,,1323055,2022-03-31,75 GERBER ROAD EAST,SOUTH WINDSOR,06074,CT,mgunter@rcncapital.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7166667,,United States,,,,,,,,Real Estate Credit (522292),522292.0,,,,,,,,,,,,,
GUAC LIFE LLC,LLC,Active,Ready for dissolution,1323056,2020-03-31,43 PURNELL PLACE,MANCHESTER,06404,CT,DAVENERIN@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7466667,,United States,,,,,,,,,,,,,,,,,,,,,,
KMC AVIATORS LLC,LLC,Active,,1323057,2022-03-31,492 SPIELMAN HWY,BURLINGTON,06013,CT,markcrow@comcast.net,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7466667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
KING'S WIRELESS LLC,LLC,Active,Ready for dissolution,1323060,2020-03-31,653 MAPLE AVE,HARTFORD,06114,CT,KINGSWIRELESSLLC@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7466667,,United States,,,,,,,,,,,,,,,,,,,,,,
TIOGA MARKETING LLC,LLC,Dissolved,,1323061,2022-03-31,55 Post Rd W,Westport,06880-4235,CT,afox@southportmidstream.com,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.7466667,,United States,,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,2021-07-28T00:00:00.000,,,,,,
"MTS GROUP, LLC",LLC,Active,,1323062,2022-03-31,12 SHEILA CT,PITTSBURGH,15227,PA,jkenney@mtsgrp.net,Foreign,2019-10-01,PA,PA,False,False,False,False,False,,2021-11-10 00:10:34.7466667,2019-10-01,United States,"MTS GROUP, LLC",United States,"12 SHEILA CT, PITTSBURGH, PA, 15227,",12 SHEILA CT,PITTSBURGH,PA,15227,Offices of Real Estate Appraisers (531320),531320.0,"12 SHEILA CT, PITTSBURGH, PA, 15227, United States",12 SHEILA CT,PITTSBURGH,PA,15227,United States,,,,,,,
"PARTNERS FOR A HEALTHIER CONNECTICUT, INC.",Non-Stock,Active,,1323065,2022-10-01,175 SCOTT SWAMP ROAD,FARMINGTON,06032,CT,mmeador@connecticare.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7466667,,United States,,,,,,,,Voluntary Health Organizations (813212),813212.0,,,,,,,,,,,,,
"FOX & OYSTER COMPANY, LLC",LLC,Active,Annual report past due,1323069,2021-03-31,576 PARK AVE,WINDSOR,06095,CT,markcronjr@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7466667,,United States,,,,,,,,Women's Clothing Stores (448120),448120.0,,,,,,,,,,,,,
"SAINT JOHN PLACE, LLC",LLC,Active,Annual report past due,1323073,2021-03-31,280 TOKENEKE ROAD,DARIEN,06820,CT,peterberry2010@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7466667,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
"INTERNATIONAL LEADERSHIP TRANSFORMATION INSTITUTE, INC.",Non-Stock,Active,,1323075,2022-10-01,513 WINTHROP AVENUE,NEW HAVEN,06511,CT,mgmt.ilti@gmail.com,Domestic,2019-10-01,CT,Connecticut,True,True,True,True,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,All Other Miscellaneous Schools and Instruction (611699),611699.0,,,,,,,,,,,,,
J AND M ROOFING LLC,LLC,Active,Ready for dissolution,1323078,2020-03-31,75 UNION STREET,VERNON,06066,CT,MANDMROOFING1@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7933333,,United States,,,,,,,,,,,,,,,,,,,,,,
BC PROPERTY MAINTENANCE LLC,LLC,Active,Ready for dissolution,1323079,2020-03-31,69 WILSONVILLE RD.,NORTH GROSVENORDALE,06255,CT,BCPROPERTYMAIN@HOTMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7933333,,United States,,,,,,,,,,,,,,,,,,,,,,
DRAINS UNLIMITED INC.,Stock,Active,Annual report past due,1323081,2022-02-17,"110 POST RD DARIEN, CT",MONROE,06820,CT,ANIKA@DRAINS-UNLIMITED.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,Plumbing Fixture Fitting and Trim Manufacturing (332913),,,,,,,,,1000.0,,,,,
JOSE BARAHONA LLC,LLC,Active,Ready for dissolution,1323082,2020-03-31,542 NORMAN ST,BRIDGEPORT,06605,CT,KARENVALLEJOS@LIVE.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7933333,,United States,,,,,,,,,,,,,,,,,,,,,,
"CROSSCOUNTRY MORTGAGE, LLC",LLC,Active,,1323083,2022-03-31,6850 MILLER,BRECKSVILLE,44141,OH,CLS-CTARMSEVIDENCE@WOLTERSKLUWER.COM,Foreign,2019-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:34.7933333,2019-10-01,United States,"CROSSCOUNTRY MORTGAGE, LLC",United States,NONE,NONE,,,,Mortgage and Nonmortgage Loan Brokers (522310),522310.0,NONE,NONE,,,,,,,,,,,
JAK'S LANDSCAPING LLC,LLC,Active,Ready for dissolution,1323084,2020-03-31,129 A WESTVILLE AVE APT 1,DANBURY,06810,CT,SENECA.BUSINESS@YAHOO.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7933333,,United States,,,,,,,,,,,,,,,,,,,,,,
"HALO FIRE PROTECTION, LLC",LLC,Active,Annual report past due,1323086,2021-03-31,42 OLD BETHEL ROAD,NEWTOWN,06470,CT,halofireprotection@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,True,False,True,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",238220.0,,,,,,,,,,,,,
B&D MASTER AUTO REPAIR LLC,LLC,Active,Annual report past due,1323087,2021-03-31,436 BROAD STREET,BRISTOL,06010,CT,BDMASTERAUTO3@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,General Automotive Repair (811111),811111.0,,,,,,,,,,,,,
TEI ENTERPRISES LLC,LLC,Active,,1323088,2022-03-31,1106 MERIDEN RD.,WATERBURY,06705,CT,Teienterprises19@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",484121.0,,,,,,,,,,,,,
"141 PROPERTIES, LLC",LLC,Active,Annual report past due,1323089,2021-03-31,141 CONGAMOND RD,SOUTHWICK,01077,MA,mark@hamlethomesllc.com,Foreign,2019-10-01,MA,MA,False,False,False,False,False,,2021-11-10 00:10:34.7933333,2019-10-01,United States,"141 PROPERTIES, LLC",United States,"141 CONGAMOND RD, SOUTHWICK, MA, 01077, United States",141 CONGAMOND RD,SOUTHWICK,MA,01077,New Housing For-Sale Builders (236117),236117.0,"141 CONGAMOND RD, SOUTHWICK, MA, 01077, United States",141 CONGAMOND RD,SOUTHWICK,MA,01077,United States,,,United States,,,,
CRASH BANDZ LLC,LLC,Active,Ready for dissolution,1323092,2020-03-31,"222 BRADLEY AVE., APT. 6-4B",WATERBURY,06708,CT,SOLOMONCARTER993@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:34.7933333,,United States,,,,,,,,,,,,,,,,,,,,,,
"BUTTO CONSULTING SERVICES, LLC",LLC,Active,,1323093,2022-03-31,"243 STEELE ROAD, #213",WEST HARTFORD,06117,CT,danielle.butto@gmail.com,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:34.7933333,,United States,,,,,,,,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,,,,,,,,,,,,,
"VAPE CITY HANOVER, INC.",Stock,Active,Annual report past due,1323094,2020-10-01,60 MORSE AVE,ATTLEBORO,02703,MA,VAPECITYCONNECTICUT@GMAIL.COM,Foreign,2019-10-01,MA,MA,False,False,False,False,False,,2021-11-10 00:10:34.7933333,2019-10-01,United States,"VAPE CITY HANOVER, INC.",United States,,,,,,,,,,,,,,,,,,,,
COMMERCIAL DAYLIGHT SOLUTIONS LLC,LLC,Active,Ready for dissolution,1323095,2020-03-31,29 VERA STREET,WEST HARTFORD,06119,CT,BRANDENHHI@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
COLES BUILDERS LLC,LLC,Active,Ready for dissolution,1323096,2020-03-31,238 SANDY BEACH RD,ELLINGTON,06029,CT,COLESJ3041@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
"774 SOUTH AVE, LLC",LLC,Active,,1323098,2022-03-31,35 PEMBROKE DRIVE,STAMFORD,06903,CT,kfeiner@chloepro.com,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
T AND W DRYWALL LLC,LLC,Active,Ready for dissolution,1323099,2020-03-31,"229 MARION ST, APT 3",BRIDGEPORT,06606,CT,MARCELA@MIRANTEAGENCY.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
PAR MILFORD INV II LLC,LLC,Active,,1323100,2022-03-31,"45 KNOLLWOOD ROAD, SUITE 305",ELMSFORD,10523,NY,jlegare@paredim.com,Domestic,2019-10-01,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
THE SHE SHED LLC,LLC,Active,Ready for dissolution,1323101,2020-03-31,2332 RAMBO CT,SANTA CLARA,95054,CA,EFILE1234@INCFILE.COM,Domestic,2019-10-01,CA,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
"11 GREYLEDGE ROAD, LLC",LLC,Active,Ready for dissolution,1323102,2020-03-31,53 BLACKFOOT COURT,GUILFORD,06437,CT,JZULLO@ZULLOANDJACKS.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
DIAMOND INVESTMENT GROUP LLC,LLC,Active,Annual report past due,1323106,2021-03-31,7 WOODLAND AVE UNIT H,BLOOMFIELD,06002,CT,marcusharris997@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,True,True,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
MTB FITNESS LLC,LLC,Active,,1323107,2022-03-31,133 SMEDLEY ROAD,FAIRFIELD,06824,CT,MTBFITNESS1980@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Fitness and Recreational Sports Centers (713940),,,,,,,,,,,,,,
"MYTRADEPROS, LLC",LLC,Active,Ready for dissolution,1323108,2020-03-31,188 COUNTRY LANE,SOUTH GLASTONBURY,06073,CT,JLAPLANTE1234@HOTMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
PAR MILFORD MANAGER LLC,LLC,Active,,1323109,2022-03-31,"45 KNOLLWOOD ROAD, SUITE 305",ELMSFORD,10523,NY,jlegare@paredim.com,Domestic,2019-10-01,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
PALMIERI'S FARM LLC,LLC,Active,,1323110,2022-03-31,550 THOMPSON STREET,EAST HAVEN,06513,CT,cpalmieri@live.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Nursery and Tree Production (111421),111421.0,,,,,,,,,,,,,
SUMMER FINANCIAL GROUP LLC,LLC,Active,,1323111,2022-03-31,48 UNION ST STE 1C,STAMFORD,06906,CT,keithwofsey@gmail.com,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Insurance Agencies and Brokerages (524210),524210.0,,,,,,,,,,,,,
"JOHN AND MARLENE, LLC",LLC,Active,,1323112,2022-03-31,401 KINGS HIGHWAY EAST,FAIRFIELD,06825,CT,JOHNCHAVESJR@SBCGLOBAL.NET,Domestic,2019-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:32.1533333,,United States,,,,,,,,Baked Goods Stores (445291),445291.0,,,,,,,,,,,,,
"VALLONE VENTURES, LLC",LLC,Active,Ready for dissolution,1323113,2020-03-31,9 BOBWHITE DRIVE,WESTPORT,06880,CT,JVALLONE@VALLONEVENTURES.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.1533333,,United States,,,,,,,,,,,,,,,,,,,,,,
"U T Y TRANSPORT, LLC",LLC,Active,Annual report past due,1323114,2021-03-31,953 DIXWELL AVENUE #23,HAMDEN,06514,CT,aperry936@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:32.2000000,,United States,,,,,,,,"General Freight Trucking, Local (484110)",484110.0,,,,,,,,,,,,,
"9A LANPHIERS COVE ROAD, LLC",LLC,Active,Ready for dissolution,1323115,2020-03-31,53 BLACKFOOT COURT,GUILFORD,06437,CT,JZULLO@ZULLOANDJACKS.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.2000000,,United States,,,,,,,,,,,,,,,,,,,,,,
TORO LOCO LLC,LLC,Active,,1323116,2022-03-31,1274 FARMINGTON AVE,FARMINGTON,06032,CT,jason@cha-cpas.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.2000000,,United States,,,,,,,,Full-Service Restaurants (722511),,,,,,,,,,,,,,
"AREC 40, LLC",LLC,Active,,1323117,2022-03-31,2727 N. CENTRAL AVENUE,PHOENIX,85004,AZ,legalnotices@uhaul.com,Foreign,2019-10-01,NV,NV,False,False,False,False,False,,2021-11-10 00:10:32.2000000,2019-10-01,United States,"AREC 40, LLC",United States,"701 S. CARSON STREET STE 200, CARSON CITY, NV, 89701, United States",701 S. CARSON STREET STE 200,CARSON CITY,NV,89701,Lessors of Miniwarehouses and Self-Storage Units (531130),531130.0,"701 S. CARSON STREET SUITE 200 SUITE 200, CARSON CITY, NV, 89701, United States",701 S. CARSON STREET SUITE 200 SUITE 200,CARSON CITY,NV,89701,United States,,,United States,,,,
NORTH HAVEN TOBACCO LLC,LLC,Active,Ready for dissolution,1323118,2020-03-31,77 STATE STREET,NORTH HAVEN,06473,CT,B.ANGELICO@ICLOUD.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.2000000,,United States,,,,,,,,,,,,,,,,,,,,,,
MARIEL ADVISORS LLC,LLC,Active,Ready for dissolution,1323119,2020-03-31,15 E. PUTNAM AVENUE SUITE 363,GREENWICH,06830,CT,HERNANDEZ_JOE@YAHOO.COM,Foreign,2019-10-01,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.2000000,2019-08-12,United States,MARIEL ADVISORS LLC,United States,"1013 CENTRE ROAD, SUITE 403-B, WILMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 403-B",WILMINGTON,DE,19805,,,"1013 CENTRE ROAD, SUITE 203-B, WILIMINGTON, DE, 19805, United States","1013 CENTRE ROAD, SUITE 203-B",WILIMINGTON,DE,19805,United States,,,United States,,,,
TRIPLE R AUTOMOTIVE LLC,LLC,Active,,1323120,2022-03-31,666 EAST MAIN STREET,WATERBURY,06702,CT,triplerauto666@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.2000000,,United States,,,,,,,,All Other Automotive Repair and Maintenance (811198),,,,,,,,,,,,,,
BROAD STREET AUTO SALES & SERVICE LLC,LLC,Active,Annual report past due,1323129,2021-03-31,256 BROAD STREET,MERIDEN,06451,CT,hannah@bennettcocpa.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.2000000,,United States,,,,,,,,All Other Automotive Repair and Maintenance (811198),811198.0,,,,,,,,,,,,,
RJB MANAGEMENT LLC,LLC,Active,Ready for dissolution,1323130,2020-03-31,104 GROVE AVENUE,GROTON,06340,CT,RJBMGT@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.2000000,,United States,,,,,,,,,,,,,,,,,,,,,,
DESCARTES VISUAL COMPLIANCE (USA) LLC,LLC,Active,,1323131,2022-03-31,1 PEACE BRIDGE PLAZA 1ST FLOOR,BUFFALO,14213,NY,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:32.2000000,2019-10-01,,DESCARTES VISUAL COMPLIANCE (USA) LLC,United States,"1 PEACE BRIDGE PLAZA 1ST FLOOR, BUFFALO, NY, 14213, United States",1 PEACE BRIDGE PLAZA 1ST FLOOR,BUFFALO,NY,14213,Other Computer Related Services (541519),541519.0,"1 PEACE BRIDGE PLAZA 1ST FLOOR, BUFFALO, NY, 14213, United States",1 PEACE BRIDGE PLAZA 1ST FLOOR,BUFFALO,NY,14213,United States,,,United States,,,,
JV GENERAL CARPENTRY LLC,LLC,Active,Annual report past due,1323132,2021-03-31,211 GREENWOOD AVE 2-2 UNIT 191,BETHEL,06801,CT,GENERALHELPCT@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,Finish Carpentry Contractors (238350),238350.0,,,,,,,,,,,,,
"KAY PROPERTY, LLC",LLC,Active,,1323133,2022-03-31,76 WOODS EDGE COURT,KENSINGTON,06037,CT,JKJK76@aol.com,Domestic,2019-10-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,
"J&D CONSTRUCTION SERVICES, LLC",LLC,Active,Ready for dissolution,1323134,2020-03-31,232 MILLVILLE AVE,NAUGATUCK,06770,CT,RAPUANODANIEL@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.6833333,,United States,,,,,,,,,,,,,,,,,,,,,,
PRESTON PLACE LLC,LLC,Active,Ready for dissolution,1323137,2020-03-31,74 LIBERTY STREET A,STONINGTON,06379,CT,COZYSTAYS0@GMAIL.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.6833333,,United States,,,,,,,,,,,,,,,,,,,,,,
SUBE LIVERY SERVICES LLC,LLC,Active,Annual report past due,1323139,2021-03-31,342 MAPLE HILL AVENUE,NEWINGTON,06111,CT,crisoul329@gmail.com,Domestic,2019-10-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,
ELK PARTNERS LLC,LLC,Active,,1323140,2022-03-31,663 MAIN ST,WATERTOWN,06795,CT,elkpartners@outlook.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,
"NELSONS REMODELING, LLC",LLC,Active,Ready for dissolution,1323142,2020-03-31,25 HEBRON ST.,HARTFORD,06112,CT,NATASHATAD@YAHOO.COM,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:32.6833333,,United States,,,,,,,,,,,,,,,,,,,,,,
"REAL ESTATE CLOSINGS, LLC",LLC,Active,,1323143,2022-03-31,1 LINDEN PL APT 505 APT 505,HARTFORD,06106,CT,ctweclose@gmail.com,Domestic,2019-10-01,CT,Connecticut,True,True,True,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"CRANKE TRANSPORT, LLC",LLC,Active,Annual report past due,1323145,2021-03-31,396 MERIDEN AVENUE,SOUTHINGTON,06489,CT,crankeman@gmail.com,Domestic,2019-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:32.6833333,,United States,,,,,,,,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,
"CARE CONNECTORS MEDICAL GROUP, INC.",Stock,Active,,1323146,2021-10-01,4695 MACARTHUR CT #1112A,NEWPORT BEACH,92660,CA,nilay.shah@myccmg.com,Foreign,2019-10-01,CA,CA,False,False,False,False,False,,2021-11-10 00:10:32.6833333,2019-10-14,United States,"CARE CONNECTORS MEDICAL GROUP, INC.",United States,,,,,,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,,,,,,,,,,,,,
