name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,naics_sub_code,dissolution_date,category_survey_email_address,total_authorized_shares,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
"E Z TRAVEL, LLC",LLC,Active,,1328961,2022-03-31,179 OLIVER WAY,BLOOMFIELD,United States,06002,CT,ezelman@largaytravel.com,Domestic,2019-12-02,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:37.3400000,,,,,,,,,Travel Agencies (561510),,,,,,,,561510.0,,,,,,,
SMT SHIPPING (USA) LLC,LLC,Active,,1328962,2022-03-31,10 SAUGATUCK AVENUE SUITE 105,WESTPORT,United States,06880,CT,Compliancemail@cscinfo.com,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:37.3400000,2020-01-01,SMT SHIPPING (USA) LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,Marine Cargo Handling (488320),"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,United States,488320.0,,,,,,,
SUBURBAN CONSULTING ENGINEERS INC.,Stock,Active,Annual report due,1328963,2021-12-02,96 US HIGHWAY 206 SUITE 101,FLANDERS,United States,07836,NJ,Alex.herman@cscglobal.com,Foreign,2019-12-02,NJ,NJ,False,False,False,False,False,,2021-11-10 00:10:37.3400000,2020-01-01,"SUBURBAN CONSULTING ENGINEERS, INC.",United States,,,,,,Engineering Services (541330),,,,,,,,541330.0,,,,,,,
"REGENCY : TECHNOLOGIES, LLC",LLC,Withdrawn,,1328964,2021-03-31,4550 DARROW RD.,STOW,United States,44224,OH,joanneweinman@reserve-group.com,Foreign,2019-12-02,OH,OH,False,False,False,False,False,,2021-11-10 00:10:37.3400000,2019-11-01,"RSR PARTNERS, LLC",United States,"4550 DARROW ROAD, STOW, OH, 44224, United States",4550 DARROW ROAD,STOW,OH,44224,All Other Miscellaneous Manufacturing (339999),"4550 DARROW ROAD, STOW, OH, 44224, United States",4550 DARROW ROAD,STOW,OH,44224,United States,United States,339999.0,,,,,,,
VIRTUSTREAM LLC,LLC,Active,,1328965,2022-03-31,176 SOUTH STREET,HOPKINTON,United States,01748,MA,Compliancemail@cscinfo.com,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:37.3400000,2019-11-15,VIRTUSTREAM LLC,United States,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,"Data Processing, Hosting, and Related Services (518210)","251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808,United States,United States,518210.0,,,,,,,
"LPRI 1301 6TH AVENUE, LLC",LLC,Active,Ready for dissolution,1328966,2020-03-31,15 LEWIS STREET,HARTFORD,,06103,CT,PLEVIN@LPRILLC.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3400000,,,,,,,,,,,,,,,,,,,,,,,,
KEVEN TORRENTES GENERAL SERVICES LLC,LLC,Active,Annual report due,1328968,2021-03-31,87 LINRON DRIVE,DANBURY,United States,06810,CT,MULTISERVICE@7STATECT.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,Residential Remodelers (236118),,,,,,,,,,,,,,,
CLEAN PEAK ENERGY LLC,LLC,Active,Ready for dissolution,1328969,2020-03-31,72 WEST HILL CIRCLE,STAMFORD,United States,06902,CT,SOLARPOWERCOMMUNITY@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,,,,,,,,,,,,,,,,
SUNRISE CLEANING SERVICES LLC,LLC,Active,Ready for dissolution,1328971,2020-03-31,1259 NORTH MAIN STREET,WATERBURY,United States,,CT,MARREROFREIGHT.MOVING90@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,,,,,,,,,,,,,,,,
IRISH VISIONS LLC,LLC,Active,,1328972,2022-03-31,124 WATER STREET,STONINGTON,United States,06378,CT,dmasoon@acctsonair.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,711510.0,,,,,,,
GA FINISHING LLC,LLC,Active,,1328973,2022-03-31,7 SANFORD STREET,WOLCOTT,United States,06716,CT,GARYFINISHING@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,True,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,All Other Specialty Trade Contractors (238990),,,,,,,,,,,,,,,
CLEAN CHOICE CONNECTICUT LLC,LLC,Active,Ready for dissolution,1328974,2020-03-31,39 NORTH WATER STREET,GREENWICH,United States,06830,CT,CLAUDIA_ARBELAEZ86@HOTMAIL.COM,Domestic,2019-12-02,CT,Connecticut,True,True,True,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,,,,,,,,,,,,,,,,
INVINCIBLE LLC,LLC,Active,Ready for dissolution,1328975,2020-03-31,88 CLARK HILL RD,PROSPECT,United States,,CT,INFINITEINVINCIBLELLC@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,,,,,,,,,,,,,,,,
OGRP 220 SBA MANAGERS LLC,LLC,Active,,1328976,2022-03-31,101 FLORENCE ROAD,RIVERSIDE,United States,06878,CT,rsaunders@cpp-llc.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
FOZTI TECHNOLOGIES LLC,LLC,Active,Ready for dissolution,1328977,2020-03-31,415 BOSTON POST RD. SUITE 3-538,MILFORD,United States,06460-2578,CT,HELLO@FOZTI.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.3866667,,,,,,,,,,,,,,,,,,,,,,,,
"NANREK DISTRIBUTORS, LLC",LLC,Withdrawn,,1328978,2021-03-31,1177 HIGH RIDGE RD,STAMFORD,United States,06905,CT,STEPHENMCKERNAN101@GMAIL.COM,Foreign,2019-12-02,NV,NV,False,False,False,False,False,,2021-11-10 00:10:37.3866667,2019-12-02,"NANREK DISTRIBUTORS, LLC",United States,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,"General Freight Trucking, Local (484110)","4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147, United States",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,United States,United States,484110.0,,,,,,,
SIMPLE SOLUTIONS CT LLC,LLC,Active,Annual report past due,1328979,2021-03-31,"777 MAIN ST., APT. 1406",HARTFORD,United States,06103,CT,AdrianLayton@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,Custom Computer Programming Services (541511),,,,,,,,,,,,,,,
M&B CLEANING LLC,LLC,Dissolved,,1328980,2020-03-31,101 MERRITT 7 STE 300,NORWALK,United States,06850,CT,BCV@MNBCLEANING.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,All Other Personal Services (812990),,,,,,,,,2021-04-01T00:00:00.000,,,,,,
"GRAPHITE ARCHITECTURE P.C., INC",Stock,Active,Annual report due,1328981,2021-12-02,1809 7TH AVE STE 700,SEATTLE,United States,98101,WA,martin.hill@graphitepc-inc.com,Foreign,2019-12-02,WA,WA,False,False,False,False,False,,2021-11-10 00:10:37.3866667,2019-12-09,"GRAPHITE ARCHITECTURE P.C., INC",United States,,,,,,Architectural Services (541310),,,,,,,,541310.0,,,,,,,
"LIFESTYLE COACHING, LLC",LLC,Active,,1328982,2022-03-31,10 MEAD RIDGE ROAD,RIDGEFIELD,United States,06877,CT,compliance@zenbusiness.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,Offices of All Other Miscellaneous Health Practitioners (621399),,,,,,,,621399.0,,,,,,,
"A WALK IN THE WOODS, LLC",LLC,Active,,1328983,2022-03-31,421 HILL ROAD,HARWINTON,United States,06791,CT,pjones@pacgroupllc.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
"LEVESQUELUXE, LLC",LLC,Active,,1328986,2022-03-31,10 JUSTIN DRIVE,ELLINGTON,United States,06029,CT,cllevesque@comcast.net,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,All Other Health and Personal Care Stores (446199),,,,,,,,,,,,,,,
"GOTCHA, LLC",LLC,Active,,1328987,2022-03-31,1 HARBOR POINT RD. #503,STAMFORD,United States,06902,CT,Rft6984@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.3866667,,,,,,,,,All Other Amusement and Recreation Industries (713990),,,,,,,,713990.0,,,,,,,
CHOOSE YOUR PATH COUNSELING LLC,LLC,Active,,1328988,2022-03-31,92 NORTH SUMMIT STREET,SOUTHINGTON,United States,06489,CT,chooseyourpathcounseling@gmail.com,Domestic,2019-12-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,
BBH HOLDINGS INC.,Stock,Active,First report due,1328990,2021-12-02,No information provided,,,,,,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,35000.0,,,,
PAYGILANT INC,Stock,Active,First report due,1328991,2021-12-02,No information provided,,,,,,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,100.0,,,,
ORDONEZ PAINTING & SERVICES LLC,LLC,Active,Ready for dissolution,1328993,2020-03-31,34 ROSE PARK AVE APT 2,STAMFORD,United States,06902,CT,ETURCIOS@TURCIOSINS.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
IT'S THE BESST LLC,LLC,Active,Annual report past due,1328994,2021-03-31,"1771 POST ROAD EAST, SUITE 317",WESTPORT,United States,06880,CT,bess@besstholdings.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,"Corporate, Subsidiary, and Regional Managing Offices (551114)",,,,,,,,551114.0,,,,,,,
EL CAFECITO DELI. LLC,LLC,Active,Annual report past due,1328995,2021-03-31,20 BARBARA LANE,STRATFORD,United States,06614,CT,ELCAFECITODELI@HOTMAIL.COM,Domestic,2019-12-02,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Limited-Service Restaurants (722513),,,,,,,,722513.0,,,,,,,
RAMOS CATERING & SERVICES LLC,LLC,Active,Ready for dissolution,1328997,2020-03-31,28 LOWE ST APT 3,NORWALK,United States,06854,CT,ETURCIOS@TURCIOSINS.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
LUXURY SELECTIONS LLC,LLC,Active,Ready for dissolution,1328998,2020-03-31,32 DIX ST,HAMDEN,United States,06516-4908,CT,GOODMOOD19802000@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
CODA VISUAL EFFECTS LTD,Stock,Active,Annual report past due,1328999,2020-12-02,114 GAY BOWERS ROAD,FAIRFIELD,United States,06824,CT,PAULAGID6@GMAIL.COM,Foreign,2019-12-02,NY,NY,False,False,False,False,False,,2021-11-10 00:10:37.4333333,2019-12-02,CODA VISUAL EFFECTS LTD,United States,,,,,,,,,,,,,,,,,,,,,
D. R. LIMO LLC,LLC,Active,Ready for dissolution,1329000,2020-03-31,501 ELM STREET,MONROE,United States,06468,CT,DOREL@DRLIMO.NET,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
112 LAUREL COURT LLC,LLC,Active,Ready for dissolution,1329001,2020-03-31,112 LAUREL COURT,PLAINVILLE,United States,06062,CT,JIMJR@MANAFORT.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
"72 MAYWEED ROAD, LLC",LLC,Active,Annual report past due,1329002,2021-03-31,ONE ENTERPRISE DRIVE SUITE 320,SHELTON,United States,06484,CT,rob@michauddevelopment.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,New Housing For-Sale Builders (236117),,,,,,,,236117.0,,,,,,,
VOLARE NETWORK LLC,LLC,Dissolved,,1329003,2021-03-31,290 CRESTWOOD RD,FAIRFIELD,United States,06824,CT,filings@betterlegal.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4333333,,,,,,,,,Software Publishers (511210),,,,,,,,511210.0,2021-01-21T00:00:00.000,,,,,,
METRIX PES LLC,LLC,Active,Ready for dissolution,1329005,2020-03-31,109 FOREST STREET UNIT 13,NEW CANAAN,United States,06840,CT,DC.PESERVICES@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4333333,,,,,,,,,,,,,,,,,,,,,,,,
"52 LDS REALTY, LLC",LLC,Active,,1329007,2022-03-31,52 LAKE DRIVE SOUTH,NEW FAIRFIELD,United States,06812,CT,hyman.jon@gmail.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,531110.0,,,,,,,
"REAL ESTATE ACQUISITION PORTFOLIO, LLC",LLC,Active,,1329008,2022-03-31,35 NUTMEG DRIVE SUITE M275,TRUMBULL,United States,06611,CT,charlie@innovativecpagroup.com,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:37.4666667,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,531390.0,,,,,,,
"EUROFINS DISCOVERX PRODUCTS, LLC",LLC,Active,,1329009,2022-03-31,6 RESEARCH PARK DRIVE,ST. CHARLES,United States,63304,MO,complianceteam@cogencyglobal.com,Foreign,2019-12-02,DE,DE,False,False,False,False,False,,2021-11-10 00:10:37.4666667,2019-11-20,"EUROFINS DISCOVERX PRODUCTS, LLC",United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,Testing Laboratories (541380),"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,United States,541380.0,,,,,,,
RANJHA LLC,LLC,Active,Ready for dissolution,1329010,2020-03-31,129 YANTIC LN,NORWICH,United States,06360,CT,RANJHABALLI@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
790 RIDGE RD LLC,LLC,Active,Ready for dissolution,1329011,2020-03-31,790 RIDGE RD,MIDDLETOWN,United States,06457,CT,JASONLAMMER@GMAIL.COM,Domestic,2019-12-02,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:37.4666667,,,,,,,,,,,,,,,,,,,,,,,,
