name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,sub_status,reason_for_administrative,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,date_of_organization_meeting,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3,category_survey_email_address
"CANOSSA EVENTS NORTH AMERICA, INC.",Stock,Active,1308045,2022-05-01,500 WEST PUTNAM AVENUE SUITE 400,GREENWICH,United States,06830,CT,nferro515@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),713990.0,2021-11-10 00:12:34.3666667,,,200.0,,,,,,,,,,,,,,,,,,,,,
"NAIL SOLUTIONS, LLC",LLC,Dissolved,1308046,2020-03-31,108 WASHINGTON STREET,NORWICH,United States,06360,CT,B.HADLEY2@ATT.NET,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3666667,,Failure to file Annual Report,,,,,,,,,,,,,,,,,2021-07-29T00:00:00.000,,,,,
TAX AND WEALTH ADVISOR LLC,LLC,Active,1308047,2022-03-31,21 MILL HILL CIRCLE,EAST HAVEN,United States,06513,CT,cpat8512@comcast.net,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:34.3666667,,,,,,,,,,,,,,,,,,,,,,,,
ALL WOOD CARPENTRY LLC,LLC,Active,1308048,2020-03-31,24 PINE ST,MERIDEN,United States,06451,CT,TUTIGRE@ME.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.3666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
BT EXPRESS INC,Non-Stock,Active,1308049,2022-07-08,79 Carnegie Ave,Bridgeport,United States,06610-2511,CT,ROBIN_MCK@MSN.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Community Food Services (624210),,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,2020-02-22,,,,
"LUXY TECHNOLOGIES, INC.",Stock,Active,1308050,2022-05-01,30 CONTROLS DRIVE,SHELTON,United States,06484,CT,msarris@luxyride.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,All Other Telecommunications (517919),517919.0,2021-11-10 00:12:34.8066667,,,,2019-04-26,"LUXY TECHNOLOGIES, INC.",United States,,,,,,,,,,,,,,,,,,
CT STUMP GENIE LLC,LLC,Active,1308051,2022-03-31,75 DANIELS RD,EAST HADDAM,United States,06423,CT,ctstumpgenie@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),561730.0,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
DAMOCLES LLC,LLC,Active,1308055,2022-03-31,109 TRESSER BLVD 12B,STAMFORD,United States,06901,CT,Dvergez@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,True,False,False,Other Personal Care Services (812199),,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
DULUTH HOLDINGS INC.,Stock,Active,1308056,2021-05-01,201 EAST FRONT STREET,MOUNT HOREB,United States,53572,WI,SEVANSON@DULUTHTRADING.COM,Foreign,2019-05-01,WI,WI,False,False,False,False,False,Family Clothing Stores (448140),448140.0,2021-11-10 00:12:34.8066667,Annual report past due,,,2019-04-01,DULUTH HOLDINGS INC.,United States,,,,,,,,,,,,,,,,,,
"100 GEORGETOWN ROAD, LLC",LLC,Active,1308057,2020-03-31,60 LITTLE FOX LANE,WILTON,,06897,CT,SAMLAMPERT@ICLOUD.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
ALARON LLC,LLC,Active,1308059,2022-03-31,18725 95TH AVE CT E,PUYALLUP,United States,98375,WA,lkrainh20@aol.com,Domestic,2019-05-01,WA,Connecticut,False,False,True,True,False,Other Marine Fishing (114119),,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
MOVY MEDIA LLC,LLC,Active,1308060,2022-03-31,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,longcevan@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,True,False,False,Marketing Consulting Services (541613),541613.0,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
MUF LLC,LLC,Active,1308061,2022-03-31,272 STATE ST,NORTH HAVEN,United States,06473,CT,UMARFIAZ14@HOTMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,True,False,False,"General Freight Trucking, Local (484110)",,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
"LAUCO PACKAGING, LLC",LLC,Active,1308062,2022-03-31,43 ARTHUR ROAD,NORTH BRANFORD,United States,06471,CT,dlautgr@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Metal Container Manufacturing (332439),,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
"S & G HAULING, LLC",LLC,Active,1308063,2022-03-31,16 SYLVESTER'S WAY,SHELTON,United States,06484,CT,mollysnghauling@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,"Highway, Street, and Bridge Construction (237310)",,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
HANFORD DEVELOPERS LLC,LLC,Active,1308064,2020-03-31,30 NORTHEAST INDUSTRIAL ROAD,BRANFORD,United States,06405,CT,HANFORDDEVELOPERS@PALMERILAW.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8066667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
TWELVE22 PARTNERS LIMITED PARTNERSHIP,Limited Partnership,Active,1308068,2022-04-30,270 GREENWICH AVENUE,GREENWICH,United States,06830,CT,vzimmermann@symbridge.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),,2021-11-10 00:12:34.8066667,,,,2019-05-01,TWELVE22 PARTNERS LP,United States,,,,,,,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,,,
AUTO TAG OF AMERICA LLC,LLC,Active,1308069,2022-03-31,1150 N. ALMA SCHOOL ROAD,MESA,United States,85201,AZ,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,All Other Support Activities for Transportation (488999),488999.0,2021-11-10 00:12:34.8066667,,,,2019-05-15,AUTO TAG OF AMERICA LLC,United States,NONE,NONE,,,,,NONE,NONE,,,,,,,,,,
PEMBERLEY LLC,LLC,Active,1308070,2022-03-31,"IVEY, BARNUM & O'MARA, LLC 170 MASON STREET",GREENWICH,United States,06830,CT,jport@ibolaw.com,Domestic,2019-05-01,CT,Connecticut,True,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
"6 OAKRIDGE, LLC",LLC,Active,1308071,2022-03-31,80 SANFORD STREET,HAMDEN,United States,06514,CT,mpaulsen@porobond.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),531110.0,2021-11-10 00:12:34.8066667,,,,,,,,,,,,,,,,,,,,,,,,
NORTHERN LITHO VI LLC,LLC,Active,1308072,2022-03-31,9010 STRADA STELL CT 103,NAPLES,United States,34109,FL,andrea@northernlitho.com,Foreign,2019-05-01,DE,DE,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),621999.0,2021-11-10 00:12:34.8366667,,,,2019-05-01,NORTHERN LITHO VI LLC,United States,,,,,,,,,,,,,,,,,,
"XLT MANAGEMENT SERVICES, INC.",Stock,Active,1308073,2022-05-01,6909 E. GREENWAY PARKWAY,SCOTTSDALE,United States,85254,AZ,VPL@LoVerdeLaw.com,Foreign,2019-05-01,IL,IL,False,False,False,False,False,Payroll Services (541214),541214.0,2021-11-10 00:12:34.8366667,,,,2019-06-01,"XLT MANAGEMENT SERVICES, INC.",United States,,,,,,,,,,,,,,,,,,
CIGAR BREAK CREDIT LLC,LLC,Active,1308074,2022-03-31,1108 E Main St,Richmond,United States,23219,VA,annualreports@cscglobal.com,Foreign,2019-05-01,VA,VA,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),,2021-11-10 00:12:34.8366667,,Failure to file Annual Report,,2019-05-01,CIGAR BREAK CREDIT LLC,,"1108 East Main St., Suite 200, Richmond, VA, 23219, United States",1108 East Main St.,Richmond,VA,23219,United States,"1108 East Main St., Suite 200, Richmond, VA, 23219, United States",1108 East Main St.,Richmond,VA,23219,United States,,,Suite 200,Suite 200,Suite 200,
"UNITED BENEFITS CONSULTING, INC.",Stock,Active,1308075,2022-05-01,898 NORTH 1200 WEST STE 100,OREM,United States,84057,UT,payrolltax@zamphr.com,Foreign,2019-05-01,UT,UT,False,False,False,False,False,Professional Employer Organizations (561330),561330.0,2021-11-10 00:12:34.8366667,,,,2019-01-31,"UNITED BENEFITS CONSULTING, INC.",United States,,,,,,,,,,,,,,,,,,
"27 VALLEY FIELD SOUTH, LLC",LLC,Active,1308076,2022-03-31,55 TREADWELL LANE,WESTON,United States,06883,CT,dchase@morrisoncohen.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),,2021-11-10 00:12:34.8366667,,,,,,,,,,,,,,,,,,,,,,,,
"STRONGER ROOTS THERAPY, LLC",LLC,Active,1308077,2022-03-31,54 NEW PRESTON HILL ROAD,NEW PRESTON,United States,06777,CT,jennadowns.otr@gmail.com,Domestic,2019-05-01,CT,Connecticut,True,False,False,False,False,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,2021-11-10 00:12:34.8366667,,,,,,,,,,,,,,,,,,,,,,,,
"FIX-ALL SMALL ENGINE REPAIR, LLC",LLC,Active,1308078,2020-03-31,1372 PECK LANE,CHESHIRE,United States,06410,CT,JIM.PAPANDREA@GMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
PT HAMPTON LLC,LLC,Active,1308079,2020-03-31,5 INDIAN KNOLL,GREENWICH,,06831,CT,PTMONTANO@FIRSTREPUBLIC.COM,Foreign,2019-05-01,NY,NY,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,2019-05-01,PT HAMPTON LLC,,"711 THIRD AVENUE FLOOR 17, NEW YORK, NY, 10017,",711 THIRD AVENUE FLOOR 17,NEW YORK,NY,10017,,"711 THIRD AVENUE FLOOR 17, NEW YORK, NY, 10017,",711 THIRD AVENUE FLOOR 17,NEW YORK,NY,10017,,,,,,,
UPSCALE HOLDING GROUP LLC,LLC,Active,1308080,2020-03-31,159 MANOR AVE 3413,WATERBURY,United States,06705,CT,INFO@UPSCALEHOLINGGROUP.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"VANTAGE TECHNOLOGY CONSULTING GROUP, LLC",LLC,Active,1308081,2022-03-31,201 CONTINENTAL BOULEVARD SUITE 120,EL SEGUNDO,United States,90245,CA,tracey.vanputten@vantagetcg.com,Foreign,2019-05-01,CA,CA,False,False,False,False,False,All Other Specialty Trade Contractors (238990),238990.0,2021-11-10 00:12:34.8366667,,,,2019-07-01,"VANTAGE TECHNOLOGY CONSULTING GROUP, LLC",United States,"201 CONTINENTAL BOULEVARD SUITE 120, EL SEGUNDO, CA, 90245, United States",201 CONTINENTAL BOULEVARD SUITE 120,EL SEGUNDO,CA,90245,United States,"201 CONTINENTAL BOULEVARD SUITE 120, EL SEGUNDO, CA, 90245, United States",201 CONTINENTAL BOULEVARD SUITE 120,EL SEGUNDO,CA,90245,United States,,,,,,
"HARRINGTON MARINE SERVICES, LLC",LLC,Active,1308082,2022-03-31,152 DOVER LANE,CAROLINA,United States,02812,RI,harringtonmarineservices@gmail.com,Foreign,2019-05-01,RI,RI,False,False,False,False,False,Boat Dealers (441222),441222.0,2021-11-10 00:12:34.8366667,,,,2019-05-02,"HARRINGTON MARINE SERVICES, LLC",United States,"152 DOVER LANE, CAROLINA, RI, 02812, United States",152 DOVER LANE,CAROLINA,RI,02812,United States,"152 DOVER LANE, CAROLINA, RI, 02812, United States",152 DOVER LANE,CAROLINA,RI,02812,United States,,,,,,
BUILD LOVE LLC,LLC,Active,1308083,2020-03-31,7265 W 66TH AVE,ARVADA,United States,80003,CO,BUILDLOVE@BUILDLOVE.COM,Foreign,2019-05-01,CO,CO,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,2019-05-01,BUILD LOVE LLC,United States,"7265 W 66TH AVE, ARVADA, CO, 80003, United States",7265 W 66TH AVE,ARVADA,CO,80003,United States,"7265 W 66TH AVE, ARVADA, CO, 80003, United States",7265 W 66TH AVE,ARVADA,CO,80003,United States,,,,,,
HANFORD COMMONS LLC,LLC,Active,1308084,2020-03-31,30 NORTHEAST INDUSTRIAL ROAD,BRANFORD,United States,06405,CT,HANFORDCOMMONS@PALMERILAW.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
"WHOLESOME HEALING, LLC",LLC,Active,1308085,2021-03-31,56 BOULEVARD ROAD,NORTH WINDHAM,United States,06256,CT,slb.burnham@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Other Personal Care Services (812199),,2021-11-10 00:12:34.8366667,Annual report past due,,,,,,,,,,,,,,,,,,,,,,,
"SAINT GRAE, LLC",LLC,Dissolved,1308086,2021-03-31,19 BANK STREET,NEW CANAAN,United States,06840,CT,CARENFORBES@GMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),454110.0,2021-11-10 00:12:34.8366667,,,,,,,,,,,,,,,,,,,2020-12-24T00:00:00.000,,,,,
H & M SEAMLESS GUTTERS LLC,LLC,Active,1308087,2020-03-31,13 PATCH ST,DANBURY,United States,06810,CT,YES@AIA-DANBURY.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:34.8366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
KRINGEN ANALYTICS LLC,LLC,Dissolved,1308089,2021-03-31,131 RUSSETT DR.,GUILFORD,United States,06437,CT,kringen.analytics@gmail.com,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2021-11-10 00:12:34.8366667,,,,,,,,,,,,,,,,,,,2020-12-31T00:00:00.000,,,,,
"UNIVOIP, INC",Stock,Active,1308090,2022-05-01,830 PARKVIEW DR. N.,EL SEGUNDO,United States,90245,CA,Billing@univoip.com,Foreign,2019-05-01,CA,CA,False,False,False,False,False,Telecommunications Resellers (517911),517911.0,2021-11-10 00:12:34.8366667,,,,2019-05-01,"UNIVOIP, INC",United States,,,,,,,,,,,,,,,,,,
"ALEJANDRO HOME IMPROVEMENT, LLC",LLC,Active,1308091,2020-03-31,13 MAPLE AVENUE,WETHERSFIELD,,06082,CT,ALEXOLIVAREZ82@YAHOO.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.2900000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
ANP LLC,LLC,Active,1308093,2020-03-31,170 MAIN ST SUITE-4,MIDDLETOWN,United States,06457,CT,SABINGURUNG91@HOTMAIL.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.2900000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
DIFIORE'S OF ELLINGTON LLC,LLC,Active,1308094,2020-03-31,287 SOMERS RD,ELLINGTON,United States,06029-1958,CT,DONDIFIORE@DIFIOREPASTA.COM,Domestic,2019-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:12:32.2900000,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,
