"EndorsementNumber","EndIssueDate","EndExpireDate","EndCity","EndCountry","EndLine1","EndLine2","EndState","EndZipOut","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZipOut","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZipOut"
2,1/3/2023,12/31/2024,"Glennallen","UNITED STATES","Mile 111 Richardson Highway","PO Box 364","AK","99588+0364",17656,"TAZLINA RIVER TRADING POST","Active",,1/3/2023,12/31/2024,"Glennallen","UNITED STATES","Mile 111 Richardson Highway","PO Box 364","AK","99588","GLENNALLEN","UNITED STATES","PO BOX 364",,"AK","99588-0364"
1,12/19/2018,12/31/2024,"ANCHORAGE","UNITED STATES","1132 E 74TH AVENUE #101",,"AK","99518",18266,"VEND ALASKA -- ANCHORAGE","Active",,12/15/2022,12/31/2024,"CHUGIAK","UNITED STATES","1132 EAST 74TH Ave","9078621257","AK","99567","ANCHORAGE","UNITED STATES","1132 EAST 74TH Ave",,"AK","99518"
1,11/4/2005,12/31/2006,"DENALI","UNITED STATES","MILE 231.1 GPH",,"AK","99755",18866,"DENALI GRIZZLY BEAR","Active",,10/2/2021,12/31/2023,"DENALI PARK","UNITED STATES","MILE 231.1 GPH",,"AK","99755","FAIRBANKS","UNITED STATES","968 SENATE LOOP",,"AK","99712"
2,10/10/2017,12/31/2023,"DENALI","UNITED STATES","MILE 231.1 GPH",,"AK","99755",18866,"DENALI GRIZZLY BEAR","Active",,10/2/2021,12/31/2023,"DENALI PARK","UNITED STATES","MILE 231.1 GPH",,"AK","99755","FAIRBANKS","UNITED STATES","968 SENATE LOOP",,"AK","99712"
1,8/19/2005,12/31/2008,"ANCHORAGE","UNITED STATES","1467 MULDOON RD",,"AK","99504",19050,"AMERICAN LEGION MULDOON #29","Active",,10/8/2022,12/31/2024,"ANCHORAGE","UNITED STATES","1467 MULDOON ROAD",,"AK","99504","ANCHORAGE","UNITED STATES","1467 MULDOON ROAD",,"AK","99504"
1,10/12/2010,12/31/2012,"ANCHORAGE","UNITED STATES","264 MULDOON RD",,"AK","99504",19710,"CABIN TAVERN, INC","Active",,10/4/2022,12/31/2024,"Anchorage","UNITED STATES","12921 Midori Dr","9073455570","AK","99516","ANCHORAGE","UNITED STATES","264 MULDOON RD",,"AK","99504-1502"
1,10/10/2016,12/31/2024,"HAINES","UNITED STATES","190 SECOND AVE N",,"AK","99827",19937,"LYNN CANAL AMERICAN LEGION","Active",,10/14/2022,12/31/2024,"HAINES","UNITED STATES","190 2ND AVENUE",,"AK","99827","HAINES","UNITED STATES","PO BOX 452",,"AK","99827"
1,10/21/2002,12/31/2004,"HAINES","UNITED STATES","987 HAINES HWY.",,"AK","99827",21023,"BIGFOOT AUTO SERVICE, INC.","Active",,10/11/2022,12/31/2024,"Haines","UNITED STATES","987 Haines Highway",,"AK","99827","HAINES","UNITED STATES","PO BOX 150",,"AK","99827"
1,12/13/2017 4:05:42 PM,12/31/2023,"TOK","UNITED STATES","MILE 1314.8 AK HWY",,"AK","99780",23119,"NORTHERN ENERGY CORP","Active",12/20/1999,10/15/2021,12/31/2023,"TOK","UNITED STATES","MILE 1314.8 ALASKA HWY",,"AK","99780-0194","TOK","UNITED STATES","PO BOX 194",,"AK","99780-0194"
1,11/13/2018,12/31/2024,"SOLDOTNA","UNITED STATES","43531 K-BEACH ROAD",,"AK","99669",24321,"SAVE U MORE","Active",3/11/1991,11/30/2020,12/31/2024,"KENT","UNITED STATES","23636 104TH AVE SE",,"WA","98031","SEATTLE","UNITED STATES","PO BOX 58547",,"WA","98138"
3,11/13/2018,12/31/2024,"HOMER","UNITED STATES","3611 GREATLAND",,"AK","99603",24321,"SAVE U MORE","Active",3/11/1991,11/30/2020,12/31/2024,"KENT","UNITED STATES","23636 104TH AVE SE",,"WA","98031","SEATTLE","UNITED STATES","PO BOX 58547",,"WA","98138"
2,11/12/2018 9:33:24 AM,12/31/2021,"DILLINGHAM","UNITED STATES","LFS - DILLINGHAM BOAT HARBOR",,"AK","99576",24735,"LUMMI FISHERIES SUPPLY, INC","Active",,12/21/2021,12/31/2023,"Bellingham","UNITED STATES","2804 Elm St",,"WA","98225-2067","BELLINGHAM","UNITED STATES","851 COHO WAY",,"WA","98225-2067"
3,11/12/2018 9:33:24 AM,12/31/2021,"CORDOVA","UNITED STATES","LFS CORDOVA 302 SEAFOOD LANE",,"AK","99574",24735,"LUMMI FISHERIES SUPPLY, INC","Active",,12/21/2021,12/31/2023,"Bellingham","UNITED STATES","2804 Elm St",,"WA","98225-2067","BELLINGHAM","UNITED STATES","851 COHO WAY",,"WA","98225-2067"
1,11/12/2018 9:33:24 AM,12/31/2021,"NAKNEK","UNITED STATES","NAKNEK MARINE CENTER MP 3 KING SALMON HW",,"AK","99633",24735,"LUMMI FISHERIES SUPPLY, INC","Active",,12/21/2021,12/31/2023,"Bellingham","UNITED STATES","2804 Elm St",,"WA","98225-2067","BELLINGHAM","UNITED STATES","851 COHO WAY",,"WA","98225-2067"
4,11/12/2018 9:33:24 AM,12/31/2021,"DUTCH HARBOR","UNITED STATES","2315 AIRPORT BEACH RD",,"AK","99692",24735,"LUMMI FISHERIES SUPPLY, INC","Active",,12/21/2021,12/31/2023,"Bellingham","UNITED STATES","2804 Elm St",,"WA","98225-2067","BELLINGHAM","UNITED STATES","851 COHO WAY",,"WA","98225-2067"
1,11/19/2010,12/31/2011,"PALMER","UNITED STATES","137 W. ARCTIC AVENUE-PALMER TESORO",,"AK","99645",24752,"FISHERS FUEL, INC","Active",,12/21/2021,12/31/2023,"WASILLA","UNITED STATES","10160 W. PARKS HWY",,"AK","99654","BIG LAKE","UNITED STATES","BOX 520209",,"AK","99652-0209"
2,12/8/2017 10:33:58 AM,12/31/2023,"SUTTON","UNITED STATES","MILE 59.5 GLENN HWY-HILLTOP TESORO",,"AK","99674",24752,"FISHERS FUEL, INC","Active",,12/21/2021,12/31/2023,"WASILLA","UNITED STATES","10160 W. PARKS HWY",,"AK","99654","BIG LAKE","UNITED STATES","BOX 520209",,"AK","99652-0209"
3,12/8/2017 10:33:58 AM,12/31/2023,"HEALY","UNITED STATES","249.5 PARKS HYW - HEALY TESORO",,"AK","99743",24752,"FISHERS FUEL, INC","Active",,12/21/2021,12/31/2023,"WASILLA","UNITED STATES","10160 W. PARKS HWY",,"AK","99654","BIG LAKE","UNITED STATES","BOX 520209",,"AK","99652-0209"
4,7/29/2021,12/31/2023,"WASILLA","UNITED STATES","10160 W PARKS HWY",,"AK","99654",24752,"FISHERS FUEL, INC","Active",,12/21/2021,12/31/2023,"WASILLA","UNITED STATES","10160 W. PARKS HWY",,"AK","99654","BIG LAKE","UNITED STATES","BOX 520209",,"AK","99652-0209"
1,10/17/2016,12/31/2018,"NOME","UNITED STATES","704 SEPPALA DRIVE",,"AK","99762",26318,"BUILDERS INDUSTRIAL SUPPLY, INC.","Active",,12/13/2021,12/31/2023,"NOME","UNITED STATES","704 SEPPALA DRIVE",,"AK","99762","NOME","UNITED STATES","PO BOX 947",,"AK","99762"
2,11/1/2018,12/31/2024,"ANCHORAGE","UNITED STATES","1801 W 48TH AVE",,"AK","99517",26550,"ALASKA NATIVE INDUSTRIES COOPERATIVE ASSOCIATION, INC.","Active",,10/7/2022,12/31/2024,"ANCHORAGE","UNITED STATES","1801 W 48TH AVE",,"AK","99517-1279","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW STE 300",,"WA","98106-1279"
1,10/30/2018 8:00:08 AM,12/31/2020,"SEATTLE","UNITED STATES","4634 E. MARGINAL WAY S STE 200",,"WA","98134",26550,"ALASKA NATIVE INDUSTRIES COOPERATIVE ASSOCIATION, INC.","Active",,10/7/2022,12/31/2024,"ANCHORAGE","UNITED STATES","1801 W 48TH AVE",,"AK","99517-1279","SEATTLE","UNITED STATES","4025 DELRIDGE WAY SW STE 300",,"WA","98106-1279"
1,11/29/2016,12/31/2018,"ANCHORAGE","UNITED STATES","1205 E INT'L AIRPORT RD STE 204",,"AK","99507",28308,"PIERCE CARTWRIGHT CO INC","Active",,12/15/2021,12/31/2023,"ANCHORAGE","UNITED STATES","1205 E. International Airport Rd","Ste. 204","AK","99518","ANCHORAGE","UNITED STATES","1205 E INT'L AIRPORT RD #204",,"AK","99518"
1,1/29/2019 1:05:15 PM,12/31/2020,"ANAKTUVUK PASS","UNITED STATES","1038 ILLINOIS ST",,"AK","99721",28765,"NUNAMIUT CORPORATION","Active",11/22/1999,10/28/2022,12/31/2024,"ANAKTUVUK PASS","UNITED STATES","1038 Summer ST",,"AK","99721","ANAKTUVUK PASS","UNITED STATES","PO BOX 21009",,"AK","99721"
2,5/13/2020,12/31/2024,"ANAKTUVUK PASS","UNITED STATES","1038 SUMMER ST",,"AK","99721",28765,"NUNAMIUT CORPORATION","Active",11/22/1999,10/28/2022,12/31/2024,"ANAKTUVUK PASS","UNITED STATES","1038 Summer ST",,"AK","99721","ANAKTUVUK PASS","UNITED STATES","PO BOX 21009",,"AK","99721"
1,11/20/2017,12/31/2023,"PETERSBURG","UNITED STATES","401 N. NORDIC",,"AK","99833",28960,"THE TRADING UNION, INC","Active",,12/16/2021,12/31/2023,"Petersburg","UNITED STATES","401 N Nordic Dr., Po box 489",,"AK","99833","PETERSBURG","UNITED STATES","PO BOX 489",,"AK","99833-0489"
1,4/10/2008,12/31/2008,"FAIRBANKS","UNITED STATES","4968 CHENA HOT SPRINGS ROAD",,"AK","99712",29418,"TWO RIVERS LODGE, INC","Active",12/20/2001,10/27/2021,12/31/2023,"FAIRBANKS","UNITED STATES","4968 CHENA HOT SPRING RD",,"AK","99712","FAIRBANKS","UNITED STATES","4968 CHENA HOT SPRING RD",,"AK","99712-3501"
1,1/5/2020,12/31/2023,"ANCHORAGE","UNITED STATES","7985 E. 16TH AVENUE",,"AK","99504+2896",30051,"RICHARD C GREGORIN, DDS","Active",,11/14/2021,12/31/2023,"ANCHORAGE","UNITED STATES","7985 E. 16th Avenue","9073335522","AK","99504-2896","ANCHORAGE","UNITED STATES","3821 ROBIN ST",,"AK","99504"
2,11/14/2021,12/31/2023,"ANCHORAGE","UNITED STATES","7985 E. 16th Avenue",,"AK","99504",30051,"RICHARD C GREGORIN, DDS","Active",,11/14/2021,12/31/2023,"ANCHORAGE","UNITED STATES","7985 E. 16th Avenue","9073335522","AK","99504-2896","ANCHORAGE","UNITED STATES","3821 ROBIN ST",,"AK","99504"
1,12/9/2018 11:32:37 AM,12/31/2020,"KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611",31836,"FRATERNAL ORDER OF EAGLES #3525, INC","Active",11/1/1996,12/19/2022,12/31/2023,"KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611","KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611"
2,12/19/2022,12/31/2023,"KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611",31836,"FRATERNAL ORDER OF EAGLES #3525, INC","Active",11/1/1996,12/19/2022,12/31/2023,"KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611","KENAI","UNITED STATES","5765 SPUR HWY",,"AK","99611"
2,12/20/2018 9:54:05 AM,12/31/2022,"CHEFORNAK","UNITED STATES","110 AIRPORT WAY",,"AK","99561",31940,"CHEFARNRMUTE INC","Active",,12/28/2022,12/31/2024,"CHEFORNAK","UNITED STATES","110 AIRPORT WAY",,"AK","99561","CHEFORNAK","UNITED STATES","PO BOX 70",,"AK","99561"
1,1/3/2019 9:46:06 AM,12/31/2024,"BREVIG MISSION","UNITED STATES","MISSION STREET",,"AK","99785",33650,"BREVIG MISSION NATIVE CORPORATION","Active",,12/1/2022,12/31/2024,"Brevig Mission","UNITED STATES","#1 Mission Street",,"AK","99785","BREVIG MISSION","UNITED STATES","PO BOX 85024",,"AK","99785"
3,10/13/2017 3:10:48 PM,12/31/2023,"KIPNUK","UNITED STATES","1/4 MILE W OF HIGH SCHOOL",,"AK","99614",33960,"KUGKAKTLIK, LTD","Active",11/23/1999,10/14/2021,12/31/2023,"KIPNUK","UNITED STATES","1/4 MILE WEST OF HIGH SCHOOL",,"AK","99614","KIPNUK","UNITED STATES","PO BOX 36",,"AK","99614-0036"
1,10/13/2017 3:10:48 PM,12/31/2023,"KIPNUK","UNITED STATES","1/4 MILE N E OF HIGH SCHOOL",,"AK","99614",33960,"KUGKAKTLIK, LTD","Active",11/23/1999,10/14/2021,12/31/2023,"KIPNUK","UNITED STATES","1/4 MILE WEST OF HIGH SCHOOL",,"AK","99614","KIPNUK","UNITED STATES","PO BOX 36",,"AK","99614-0036"
1,1/16/2007,12/31/2008,"JUNEAU","UNITED STATES","11957 GLACIER HWY",,"AK","99821",34053,"FISHERMAN'S BEND","Active",,1/3/2022,12/31/2023,"Auke Bay","UNITED STATES","11957 glacier Hwy",,"AK","99802","AUKE BAY","UNITED STATES","PO BOX 210627",,"AK","99821"
