name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
Tri-State Seymour North Management LLC,LLC,Active,2549460,2023-03-31,21 Elmwood Dr,,Seymour,United States,06483-2440,CT,kmgtroygroup@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:29.1433333,kmgtroygroup@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARBI'S MASONRY LLC,LLC,Active,2549453,2023-03-31,66 PINECREST DRIVE,,WATERBURY,United States,06708,CT,danjelalindraku@hotmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,All Other Specialty Trade Contractors (238990),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papere Software LLC,LLC,Active,2549456,2023-03-31,135 Wilton Rd W,,Ridgefield,United States,06877-5608,CT,paperesoftware@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Custom Computer Programming Services (541511),2022-06-13 00:16:28.5666667,abhay.k.sinha@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Turnpike Wine & Spirits, Inc.",Stock,Active,2549458,2022-07-30,,,,,,,nikul@jamsan.us,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,True,False,False,"Beer, Wine, and Liquor Stores (445310)",2022-06-13 00:16:29.1433333,nikul@jamsan.us,First report due,20000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
BreakthruCounseling LLC,LLC,Active,2549466,2023-03-31,9 Highmeadow Lane,,Meriden,United States,06451,CT,breakthroughcounselingtherapy@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,True,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APEX PROPERTY MANAGEMENT LLC,LLC,Active,2549481,2023-03-31,10 FRANCIS WAY,262,BLOOMFIELD,United States,06002,CT,elizabeth.tress@laskorealestate.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,False,False,False,Residential Property Managers (531311),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephanie�s Candles & Stunnin� Creationz LLC,LLC,Active,2549471,2023-03-31,23 Clifton Ave,,Waterbury,United States,06710-1725,CT,stephaniesingh71@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Toilet Preparation Manufacturing (325620),2022-06-13 00:16:28.5200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mae Creative LLC,LLC,Active,2549473,2023-03-31,702 Pleasant Valley Rd N,214,Groton,United States,06340-2553,CT,madi@maecreative.graphics,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,False,False,False,Graphic Design Services (541430),2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JHO CONSTRUCTION LLC,LLC,Active,2549479,2023-03-31,19 Maple Ridge Rd,,Danbury,United States,06811-4622,CT,ceodaddy@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CoStar Convenience LLC,LLC,Active,2549489,2023-03-31,35 Union St,204,New London,United States,06320,CT,costar.conv@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,True,True,False,True,Vending Machine Operators (454210),2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LyfeIz God Limited Liability Company,LLC,Active,2549511,2023-03-31,676 3RD AVE,APT 3,West Haven,United States,06516,CT,lyfeizgod8@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Men's Clothing Stores (448110),2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moorelash LLC,LLC,Active,2549512,2023-03-31,175 Mill Pond Rd,315,Hamden,United States,06514,CT,moorethanaprfirm@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,True,False,False,,2022-06-13 00:16:28.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arso holdings LLC,LLC,Active,2549519,2023-03-31,239 Glen St,2b,New Britain,United States,06051-3058,CT,arsoholdings@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,True,False,False,,2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connecticut OPCO Holding LLC,LLC,Active,2549528,2023-03-31,710 Long Ridge Rd,,Stamford,United States,06902-1226,CT,iganz@oasishcg.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Nursing Care Facilities (Skilled Nursing Facilities) (623110),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Care Distributors LLC,LLC,Active,2549538,2023-03-31,979 state street,apt 3a,new haven,United States,06511,CT,greatcaredistro@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"J & R Solutions, LLC",LLC,Active,2549540,2023-03-31,35 Spring Hill Ave,,Norwalk,United States,06850,CT,jose24@jrsolutionscr.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Contratistas de pintura y revestimiento de paredes (238320),2022-06-13 00:16:29.1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transportation Highway/Management Company LLC,LLC,Active,2549547,2023-03-31,575 Palisado Ave,,Windsor,United States,06095-2071,CT,thm3c1@aol.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,True,False,False,Freight Transportation Arrangement (488510),2022-06-13 00:16:29.7233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maff-Musa LLC,LLC,Active,2549555,2023-03-31,90 Morris Cove Rd,,New Haven,United States,06512-4017,CT,danielmaffeo05@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-06-13 00:16:29.1433333,danielmaffeo05@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Jay Tech LLC,LLC,Active,2549561,2023-03-31,401 Aspen Glen Dr,,Hamden,United States,06518-3794,CT,bluejaytech1@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2022-06-13 00:16:28.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Booth's Excavating & Outdoor Services LLC,LLC,Active,2549566,2023-03-31,282 White Ave,,Middlebury,United States,06762-2735,CT,chrishhbooth@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Landscaping Services (561730),2022-06-13 00:16:28.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88 SOUTH WHITTLESEY AVE LLC,LLC,Active,2549564,2023-03-31,35 Elm Street,,New Haven,United States,06510,CT,mezick8501@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DriverReady LLC,LLC,Active,2549568,2023-03-31,390 Capitol Ave,414,Hartford,United States,06106,CT,johnclay6@yahoo.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,"Process, Physical Distribution, and Logistics Consulting Services (541614)",2022-06-13 00:16:23.7833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infinity Horizon Solar Solutions L.L.C.,LLC,Active,2549574,2023-03-31,29 Buchanan Road,,Enfield,United States,06082,CT,cslater2293@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Solar Electric Power Generation (221114),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melanger LLC,LLC,Active,2549576,2023-03-31,816 State St,Fl 3,New Haven,United States,06511,CT,melangerllc@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,True,False,True,False,True,Offices of Other Holding Companies (551112),2022-06-13 00:16:29.1433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighter Futures LLC,LLC,Active,2549577,2023-03-31,150 Beverly Rd,,Wethersfield,United States,06109-3304,CT,andrew@brightconsvlt.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:29.7233333,andrew@brightconsvlt.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Better Solution Healthcare LLC,LLC,Active,2549580,2023-03-31,164 Irving St,,Manchester,United States,06042-3037,CT,absolutionsllc22@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,True,False,False,Home Health Care Services (621610),2022-06-13 00:16:29.1433333,jcochy85@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Gutter Guy LLC,LLC,Active,2549588,2023-03-31,35 W End Ave,,New Britain,United States,06052-1220,CT,karlaheinrichs@yahoo.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,False,False,False,Siding Contractors (238170),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocampo Consulting & Development LLC,LLC,Active,2549592,2023-03-31,435 Cypress Road,,Newington,United States,06111,CT,ocampoconsultinganddevelopment@gmail.com,Domestic,United States,2022-05-01,Connecticut,Connecticut,False,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lapine, LLC",LLC,Active,148258,2023-03-31,15 COMMERCE RD,,STAMFORD,United States,06902,CT,NLAPINE@LAPINEINC.COM,Domestic,,2022-05-02,,,False,False,False,False,False,423620,2022-06-13 00:09:52.0766667,,,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Everest Technologies Inc.,Stock,Active,2461601,2023-05-02,1105 Schrock Rd,500,Columbus,United States,43229-1146,OH,government@everesttech.com,Foreign,,2022-05-02,Ohio,Ohio,False,False,False,False,False,Custom Computer Programming Services (541511),2022-06-13 00:07:25.5800000,,,,2022-02-21,Everest Technologies Inc.,,,,,,,,,,,,,,,,,,,,,,,,
"Henderson Companies, Inc.",Stock,Active,2485335,2023-05-02,8345 Lenexa Dr,,Lenexa,United States,66214-1654,KS,business.licensing@hendersonengineers.com,Foreign,,2022-05-02,KANSAS,KANSAS,False,False,False,False,False,Offices of Other Holding Companies (551112),2022-06-13 00:07:30.0633333,,,,2022-05-02,"Henderson Companies, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
Noir Farms LLC,LLC,Active,2527358,2023-03-31,21 Kirkwood Pl,,Caldwell,United States,07006-5108,NJ,danacimera@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:07:36.2400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53-59 School Ground LLC,LLC,Active,2545661,2023-03-31,"c/o ECB Capital Group, 2138 Route 70",,Manchester,United States,08759,NJ,ebreiner@ecbcapgroup.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),2022-06-13 00:16:27.1300000,abreiner@mbnllp.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satori Enterprises LLC,LLC,Active,2545870,2023-03-31,2201 E Lamar Blvd,Suite 275,Arlington,United States,76006,TX,atraweek@prioritypower.com,Foreign,,2022-05-02,DELAWARE,DELAWARE,False,False,False,False,False,Other Management Consulting Services (541618),2022-06-13 00:16:27.7066667,,,,2021-01-29,Satori Enterprises LLC,,,,,,,,,,,,,,,,,,,,,,,,
Main street realty USA LLC,LLC,Active,2547186,2023-03-31,46 Main Street,Suite 188,Monsey,United States,10952,NY,smangmnt@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:28.4400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bexorg, Inc.",Stock,Active,2547644,2023-05-02,63 Cedar Croft drive,,Madison,United States,06443,CT,zvonimir.vrselja@bexorg.com,Foreign,,2022-05-02,DELAWARE,DELAWARE,False,False,False,False,False,Research and Development in Biotechnology (except Nanobiotechnology) (541714),2022-06-13 00:16:28.4566667,,,,2022-05-04,"Bexorg, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"141 Norland, LLC",LLC,Active,2547670,2023-03-31,1644 Mayflower Ave,,Bronx,United States,10461-4818,NY,alex@c21galvez.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:27.7533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's Enriching Hikes LLC,LLC,Active,2548121,2023-03-31,266 Stanwich Rd,,Greenwich,United States,06830-3529,CT,jorgbrunetti@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,All Other Amusement and Recreation Industries (713990),2022-06-13 00:16:27.7700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYLA LOGISTIC LLC,LLC,Active,2548259,2023-03-31,301 High st,,East Hartford,United States,06118,CT,walcito.111@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,True,False,False,,2022-06-13 00:16:28.4733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GOMEZ LLC,LLC,Active,2548380,2023-03-31,811 Baldwin St,,Waterbury,United States,06706-1582,CT,oneoakagency@yahoo.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:28.4900000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dash Courier Services LLC,LLC,Active,2548441,2023-03-31,196 Sherman Ave,,Meriden,United States,06450-3320,CT,biescott5@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,False,False,False,Couriers and Express Delivery Services (492110),2022-06-13 00:16:27.7866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SELECTIVE SITE CONSULTANTS, INC.",Stock,Active,2548853,2023-05-02,7171 W 95th St,,Overland Park,United States,66212,KS,tmiller@ssc.us.com,Foreign,,2022-05-02,KANSAS,KANSAS,False,False,False,False,False,,2022-06-13 00:16:28.4733333,,,,2022-04-28,"SELECTIVE SITE CONSULTANTS, INC.",,,,,,,,,,,,,,,,,,,,,,,,
"FOUR POINTS REALTY, INC.",Stock,Active,2548953,2023-05-02,3061 Eastchester Road,,Bronx,United States,10469,NY,deverbruno7@gmail.com,Foreign,,2022-05-02,NEW YORK,NEW YORK,False,False,False,False,False,,2022-06-13 00:16:28.4733333,,,,2022-05-16,"FOUR POINTS REALTY, INC.",,,,,,,,,,,,,,,,,,,,,,,,
"WOOD PRO 2 INSTALLERS, INC.",Stock,Active,2548966,2023-05-02,3182 Route 9,Suite 201,Cold Spring,United States,10516,NY,ddillon@woodpro2.com,Foreign,,2022-05-02,NEW YORK,NEW YORK,False,False,False,False,False,Commercial and Institutional Building Construction (236220),2022-06-13 00:16:28.4900000,,,,2022-05-06,"WOOD PRO 2 INSTALLERS, INC.",,,,,,,,,,,,,,,,,,,,,,,,
"BharCap Partners, LLC",LLC,Active,2548992,2023-03-31,165 Mason St,,Greenwich,United States,06830-6766,CT,samir@bharcap.com,Foreign,,2022-05-02,DELAWARE,DELAWARE,False,False,False,False,False,Portfolio Management (523920),2022-06-13 00:16:28.4400000,,,,2021-02-15,"BharCap Partners, LLC",,,,,,,,,,,,,,,,,,,,,,,,
"Twenty Henry Street, LLC",LLC,Active,2549068,2023-03-31,590 Sherman Ave,2nd Floor Rear,Hamden,United States,06514-1170,CT,jblackburn@sleepinggianthomes.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-06-13 00:16:28.4566667,zev@sandman.law,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ten 18, Inc",Stock,Active,2549258,2022-07-31,,,,,,,david@stokeraccounting.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,False,False,False,Local Messengers and Local Delivery (492210),2022-06-13 00:16:28.5033333,,First report due,10000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
grd ct llc,LLC,Active,2549563,2023-03-31,5804 Lightpost Dr,,Columbia,United States,65201-2919,MO,jignesh125@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:28.5500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shire Lyon Ads Inc,Stock,Active,2549598,2023-05-11,15 Stonewall Ln,,Branford,United States,06405,CT,shire@shirelyon.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Advertising Material Distribution Services (541870),2022-06-13 00:16:29.1766667,,,100.0,,,2022-05-02,,,,,,,,,,,,,,,,,,,,,,,
Gunter Investments II LLC,LLC,Active,2549605,2023-03-31,113 Euclid St W,,Hartford,United States,06112-1118,CT,jsweinbe@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunter Investments III LLC,LLC,Active,2549606,2023-03-31,113 Euclid St W,,Hartford,United States,06112-1118,CT,jsweinbe@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-06-13 00:16:29.0833333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabled Footsteps LLC,LLC,Active,2549609,2023-03-31,14 Meckauer Cir,,Bethel,United States,06801-1260,CT,fabledfootsteps@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,False,False,False,Other Spectator Sports (711219),2022-06-13 00:16:29.1766667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silver City Automotive LLC,LLC,Active,2549610,2023-03-31,86 Grove St,,New Britain,United States,06053-4119,CT,david.bechta@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Used Car Dealers (441120),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lorna Blair Care LLC,LLC,Active,2549611,2023-03-31,154 Brittany Farms Rd,#E,New Britain,United States,06053-1135,CT,amanblair@yahoo.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,All Other Miscellaneous Ambulatory Health Care Services (621999),2022-06-13 00:07:18.1966667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C&D lakeside LLC,LLC,Active,2549618,2023-03-31,682 Norwich Ave,,Colchester,United States,06415-2117,CT,shafer77c@hotmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-06-13 00:16:29.0500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coachman Express L.L.C.,LLC,Active,2549625,2023-03-31,81 Orchard Hill Ln,,Willimantic,United States,06226-3431,CT,coachmantrucking20@yahoo.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2022-06-13 00:16:29.0666667,allencoachman@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37 Burr Street LLC,LLC,Active,2549638,2023-03-31,37 Burr St,,West Hartford,United States,06107-2505,CT,nick@dsplatingco.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:29.1000000,nicholas.s.dupuis@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Island Cho Caribbean Cuisine LLC,LLC,Active,2549639,2023-03-31,448 Washington Ave,,North Haven,United States,06473-1339,CT,islandcho101@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,True,False,False,Full-Service Restaurants (722511),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T�o Sam home improvement LLC,LLC,Active,2549640,2023-03-31,36 Beacon View Dr,,Fairfield,United States,06825-3703,CT,tiosam160785@yahoo.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image Trucking LLC,LLC,Active,2549649,2023-03-31,4 East Ln.,E,Bloomfield,United States,06002,CT,genesisseven07@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2022-06-13 00:16:29.1300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40 Crest Street #10 LLC,LLC,Active,2549647,2023-03-31,40 Crest St,10,West Haven,United States,06516-2690,CT,jkangus@mac.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,,2022-06-13 00:16:28.5366667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Guilford Housing Authority, INC.",Non-Stock,Active,2549651,2022-07-31,,,,,,,travizza.guilfordha@gmail.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Administration of Housing Programs (925110),2022-06-13 00:16:28.5366667,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,,,
RO CARPENTRY SERVICES LLC,LLC,Active,2549660,2023-03-31,103 liberty st,,danbury,United States,06810,CT,multiservice@7statect.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,False,False,False,False,False,Finish Carpentry Contractors (238350),2022-06-13 00:16:29.0666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thirty Club LLC,LLC,Active,2549666,2023-03-31,97 Proctor St,,Waterbury,United States,06706-1958,CT,icon_00taxing@icloud.com,Domestic,United States,2022-05-02,Connecticut,Connecticut,True,False,True,False,False,,2022-06-13 00:16:29.1133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
