name,business_type,status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_name_in_state_country,citizenship,date_registration,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,business_email_address,naics_code,total_authorized_shares,country_formation,formation_place,category_survey_email_address,billing_unit,sub_status,date_of_organization_meeting,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit,mail_jurisdiction,mailing_international_address
"NHT, Inc.",Stock,Active,2624603,2023-09-01,2022-09-01,10900 Harper Ave,Detroit,United States,48213-3364,MI,"New Haven Transport, Inc.",Foreign,2022-09-01,MICHIGAN,False,False,False,False,False,2022-10-04 00:17:58.3100000,jtaub@pvschemicals.com,Other Support Activities for Road Transportation (488490),,,MICHIGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PAOLA AYORA MD, LLC",LLC,Active,2624605,2023-03-31,,21 Fairfield Avenue,Darien,United States,06820,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3100000,paola.ayora@gmail.com,"Offices of Physicians, Mental Health Specialists (621112)",,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBC LLC,LLC,Active,2624616,2023-03-31,,7 Alling St,Woodbridge,United States,06525-2101,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3166667,capassolandscaping@gmail.com,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,United States,Connecticut,wsherman@npmlaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3 Ridge Place Condominium Association, LLC",LLC,Active,2624613,2023-03-31,,42 Chapel Street,Greenwich,United States,06831,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3166667,frankcarpsr@icloud.com,"All Other Professional, Scientific, and Technical Services (541990)",,United States,Connecticut,jlvlawfirm@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Disciples of the Hearts of Jesus and Mary, Inc.",Non-Stock,Rejected,2624614,,2022-08-01,278 Strawberry Hill Ave,Stamford,United States,06902-2545,CT,Disciples of the Hearts of Jesus and Mary,Foreign,2022-09-01,VIRGINIA,False,False,False,False,False,2022-10-04 00:17:58.3500000,juanespino@dcjm.org,Religious Organizations (813110),,,VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FORGE 41, INC.",Stock,Active,2624618,2023-09-02,,70 S Cady Ln,Central Village,United States,06332-3249,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7666667,dchaplin253@gmail.com,Machine Shops (332710),1000.0,United States,Connecticut,brobbins@wwblaw.com,,,2022-09-01,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Cor Vicente LLC,LLC,Active,2624625,2023-03-31,,87 FRANKLIN ST,NORWICH,United States,06360,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.2933333,wendy@durangoagency.com,Janitorial Services (561720),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disciples of the Hearts of Jesus and Mary Inc,Non-Stock,Active,2624658,2023-09-01,2022-08-01,278 Strawberry Hill Ave,Stamford,United States,06902-2545,CT,Disciples of the Hearts of Jesus and Mary Inc,Foreign,2022-09-01,VIRGINIA,False,False,False,False,False,2022-10-04 00:17:57.8133333,juanespino@dcjm.org,Religious Organizations (813110),,,VIRGINIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rebel Tattoo, PLLC",LLC,Active,2624629,2023-03-31,,16 Howard St,West Haven,United States,06516,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3566667,owen.rebel.tattoo@gmail.com,Other Personal Care Services (812199),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENE SPA LLC,LLC,Active,2624651,2023-03-31,,119 Fairmont Ave,New Haven,United States,06513-4513,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3566667,carmelodiazd180@gmail.com,Nail Salons (812113),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AccuTech Construction Inc,Stock,Rejected,2624636,,2022-09-15,"2258 Apopka Boulevard, Suite 200",Apopka,United States,32703,FL,AccuTech Construction Inc,Foreign,2022-09-01,FLORIDA,False,False,False,False,False,2022-10-04 00:17:58.3400000,invoice@accutech1.com,,,,FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Road Ready Rentals LLC,LLC,Active,2624638,2023-03-31,,16 OAK PL,MANCHESTER,United States,06040,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,wendy@durangoagency.com,All Other Travel Arrangement and Reservation Services (561599),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPOWERING PATHWAYS LLC,LLC,Active,2624642,2023-03-31,,95 SHAILOR HILL RD,COLCHESTER,United States,06415,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8000000,efile1234@incfile.com,Administrative Management and General Management Consulting Services (541611),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
June's Cottage LLC,LLC,Active,2624657,2023-03-31,,124 Douglas Road,Sharon,United States,06069,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8000000,dkramp@me.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUEFORCESOLUTIONS LLC,LLC,Active,2624654,2023-03-31,,680 E MAIN STREET #714,STANFORD,United States,06901,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,efile1234@incfile.com,Marketing Consulting Services (541613),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"JP ONE GROUP, INC.",Stock,Active,2624664,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3166667,yoocpa123@gmail.com,Limited-Service Restaurants (722513),200.0,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
Holver LLC,LLC,Active,2624659,2023-03-31,,2762 Meadowood Dr,Weston,United States,33332-3438,FL,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,germanwalas@globalworldusa.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,ggreene@greenelawpc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMPIRE LOUNGE L.L.C.,LLC,Active,2624663,2023-03-31,,66 N MAIN ST STE 208,BRANFORD,United States,06405,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,efile1234@incfile.com,Drinking Places (Alcoholic Beverages) (722410),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&C ROOFING COMPANY LLC,LLC,Active,2624666,2023-03-31,,205 HENRY AVE,STRATFORD,United States,06614,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:58.3400000,milton_banegas@yahoo.com,Residential Remodelers (236118),,United States,Connecticut,paula.spremulli@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
GK CLEANING SERVICE LLC,LLC,Active,2624668,2023-03-31,,158 Wade St,Bridgeport,United States,06604-1817,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3166667,cleaningservice030@gmail.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reverse the Lines, LLC",LLC,Active,2624674,2023-03-31,,117 Golf Ln,Ridgefield,United States,06877-4818,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3166667,perioct@msn.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385 MAIN L.L.C.,LLC,Active,2624671,2023-03-31,,385 Main St.,West Haven,United States,06516,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,efile1234@incfile.com,Land Subdivision (237210),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
JD Barber House LLC,LLC,Active,2624683,2023-03-31,,19 Fort Hill Rd,Groton,United States,06340-4755,CT,,Domestic,2022-09-01,Connecticut,False,False,True,False,False,2022-10-04 00:17:57.8133333,jherisdiaz@gmail.com,Barber Shops (812111),,United States,Connecticut,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Swabby Custom Home Builders LLC,LLC,Active,2624762,2023-03-31,,33 Highview Dr,Dayville,United States,06241-2209,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,fswabby@gmail.com,New Single-Family Housing Construction (except For-Sale Builders) (236115),,United States,Connecticut,paul@kaplanandbrennan.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sendflex Technology, Inc.",Stock,Active,2624763,2023-09-01,2022-08-02,44 Bearfoot Rd,Northborough,United States,01532-1559,MA,"Sendflex Technology, Inc.",Foreign,2022-09-01,DELAWARE,False,False,False,False,False,2022-10-04 00:17:57.8133333,jerry.porter@sendflex.com,Software Publishers (511210),,,DELAWARE,,Suite 200,,,,,,,,,,,,,,,,,,,,,,,,,,
RAMarkable Yacht Sales LLC,LLC,Active,2624676,2023-03-31,,21 Schwab Ter,Wallingford,United States,06492-1649,CT,,Domestic,2022-09-01,Connecticut,True,False,False,False,False,2022-10-04 00:17:57.7600000,ramarkableyachtsales@gmail.com,"All Other Professional, Scientific, and Technical Services (541990)",,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135 Wilmont Street LLC,LLC,Active,2624678,2023-03-31,,12 Olde Towne Rd,Lynnfield,United States,01940-2545,MA,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7600000,danmccarthy206@gmail.com,Other Activities Related to Real Estate (531390),,United States,Connecticut,sandra@kelseylawct.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hinds Home Improvement LLC,LLC,Active,2624677,2023-03-31,,2389 Main St. STE 100,Glastonbury,United States,06033,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,eastern@northwestregisteredagent.com,Residential Remodelers (236118),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THE SECRET SOCIETY LLC,LLC,Active,2624698,2023-03-31,,13 Lindman St,Manchester,United States,06040,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,efile1234@incfile.com,Tobacco Stores (453991),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lickity Split Early Childhood Educators LLC,LLC,Active,2624713,2023-03-31,,177 Valley St,New Haven,United States,06515-1213,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3400000,lickitysplitece@gmail.com,Employment Placement Agencies (561311),,United States,Connecticut,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
VINTAGEBRANDCLOTHINGLINE LLC,LLC,Active,2624679,2023-03-31,,80 FERRY ST APT 4D,MIDDLETOWN,United States,06457,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3100000,efile1234@incfile.com,Family Clothing Stores (448140),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
MURDZA MELTZ LLC,LLC,Active,2624689,2023-03-31,,365 North Rd,Broad Brook,United States,06016,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3100000,efile1234@incfile.com,Beauty Salons (812112),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
TML SPEECH THERAPY LLC,LLC,Active,2624709,2023-03-31,,399 MAIN AVENUE,NORWALK,United States,06851,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7933333,efile1234@incfile.com,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&M DRYWALL CONSTRUCTION LLC,LLC,Active,2624690,2023-03-31,,12 WHITE AVE,MIDDLEBURY,United States,06762,CT,,Domestic,2022-09-01,Connecticut,True,False,True,False,False,2022-10-04 00:17:58.2933333,maxnmartadrywall@gmail.com,,,United States,Connecticut,maxnmartadrywall@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
MP Bonanno LLC,LLC,Active,2624753,2023-03-31,,366 Sound Beach Ave,Old Greenwich,United States,06870-1929,CT,,Domestic,2022-09-01,Connecticut,True,False,False,False,False,2022-10-04 00:17:58.2833333,mobonanno@gmail.com,Administrative Management and General Management Consulting Services (541611),,United States,Connecticut,gsa.mbonanno@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOPES CONTRACTOR LLC,LLC,Active,2624701,2023-03-31,,2 Stevens Pl,Danbury,United States,06810-5926,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7600000,oneoakagency@yahoo.com,Finish Carpentry Contractors (238350),,United States,Connecticut,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
KNR Holdings LLC,LLC,Active,2624707,2023-03-31,,41A Eagle Rd,Danbury,United States,06810,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7600000,joshv.young@gmail.com,"All Other Professional, Scientific, and Technical Services (541990)",,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHILLZANA LLC,LLC,Active,2624703,2023-03-31,,320 BOSTON POST RD STE 180-194,DARIEN,United States,06820,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.2833333,efile1234@incfile.com,Administrative Management and General Management Consulting Services (541611),,United States,Connecticut,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amazing and Great Deals Inc,Stock,Active,2624711,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,True,False,True,False,False,2022-10-04 00:17:58.3000000,amazingandgreatdealsinc@gmail.com,Electronic Shopping and Mail-Order Houses (454110),100.0,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
West wharf deck & gutter maintenance LLC,LLC,Active,2624712,2023-03-31,,1489 Enfield Street,Enfield,United States,06082,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3000000,redsox4416@yahoo.com,Other Services to Buildings and Dwellings (561790),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pine Birch Reserve, LLC",LLC,Active,2624721,2023-03-31,,"One Liberty Plaza, 23rd Floor",New York,United States,10006,NY,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3566667,raservices@vcorpservices.zendesk.com,,,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Three Chipmunks, LLC",LLC,Active,2624729,2023-03-31,,125 Island Drive,Madison,United States,06443,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.7933333,ickyingrid@gmail.com,,,United States,Connecticut,dkokenos@mzslaw.com,,,,,,,,,,,,,,,,,,,,,,,,,,,
Happy Home Daycare Inc.,Stock,Active,2624731,2022-11-30,,,,,,,,Domestic,2022-09-01,Connecticut,True,False,True,False,False,2022-10-04 00:17:58.2933333,anays@payplusacctsolutions.com,Child Day Care Services (624410),100.0,United States,Connecticut,,,First report due,,,,,,,,,,,,,,,,,,,,,,,,,
"ZRZ OPS, LLC",LLC,Active,2624748,2023-03-31,,23 AMATO DRIVE,SOUTH WINDSOR,United States,06074,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.2933333,9shamoo3@gmail.com,All Other Personal Services (812990),,United States,Connecticut,office@schulmanlaw.net,APARTMENT G,,,,,,,,,,,,,,,,,,,,,,,,,,
NORTH GREENWICH CONGREGATIONAL CHURCH,Religious,Active,2624734,2023-09-01,,,,,,,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.2766667,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECT IMPACT LOGISTICS INC,Stock,Active,2624746,2023-09-01,2022-09-01,30122 FIVE FARMS AVE,WESLEY CHAPEL,United States,33543-6973,FL,DIRECT IMPACT LOGISTICS INC,Foreign,2022-09-01,FLORIDA,False,False,False,False,False,2022-10-04 00:17:58.3566667,ygershengoren@directimpactlogistics.com,"General Freight Trucking, Local (484110)",,,FLORIDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete home energy solutions LLC,LLC,Active,2624767,2023-03-31,,5 Cozy Street,Enfield,United States,06082,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:58.3900000,ryanhall823@aol.com,Drywall and Insulation Contractors (238310),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Never Overpriced Home Improvement and Landscaping LLC,LLC,Active,2624779,2023-03-31,,249 Vauxhall St,New London,United States,06320-3840,CT,,Domestic,2022-09-01,Connecticut,False,False,False,False,False,2022-10-04 00:17:57.8133333,neveroverpricedhomeimprovement@gmail.com,Landscaping Services (561730),,United States,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,
