name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,billing_unit,category_survey_email_address,sub_status,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,date_of_organization_meeting,dissolution_date,mailing_international_address,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
Traders Real Estate 75 LLC,LLC,Active,2413002,2023-03-31,75 Woodward Ave,Waterbury,United States,06705,CT,tobyzibak@aol.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:03.3533333,,jongcohen@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lizz Finneran LLC,LLC,Active,2413011,2023-03-31,74 Hilltop Rd,Oakville,United States,06779,CT,lizzfinneranllc@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,True,Other Accounting Services (541219),2022-02-07 00:07:03.3533333,,lizz.finneran@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-1 DIRTMOVERS TRI-STATE LLC,LLC,Active,2413019,2023-03-31,31 Durant Ave,Bethel,United States,06801-1905,CT,a1dirtmovers@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Site Preparation Contractors (238910),2022-02-07 00:07:03.3533333,,htcdana@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreverbemoore LLC,LLC,Active,2413038,2023-03-31,317 Tunxis Ave,Bloomfield,United States,06002-1211,CT,foreverbemoore@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Other Personal Care Services (812199),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Plumbing LLC,LLC,Active,2413028,2023-03-31,10 Texas Heights Rd,Central Village,United States,06332-3230,CT,centralplumbing111@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Velvet Sun Flower Farm LLC,LLC,Active,2413035,2023-03-31,496 Montauk Ave,New London,United States,06320-4615,CT,velvetsun91@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Floriculture Production (111422),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meehan Construction LLC,LLC,Active,2413036,2023-03-31,27 Riverview Ave,Smithfield,United States,02917,RI,meehanconstructionllc@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kriyam Digital L.L.C.,LLC,Active,2413045,2023-03-31,53 Limekiln Rd,Ridgefield,United States,06877-3416,CT,aruna@kriyam-inc.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Other Services Related to Advertising (541890),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53 Lincoln LLC,LLC,Active,2413049,2023-03-31,467 White Oak Shade Rd,New Canaan,United States,06840-6932,CT,bhasan@ha-ny.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-02-07 00:07:03.3533333,,bhasan@ha-ny.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Higganum Provisions LLC,LLC,Active,2413042,2023-03-31,134 Grapevine Rd,Higgnaum,United States,06441,CT,higganumprovisions@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,,2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP Anesthesia LLC,LLC,Active,2413052,2023-03-31,25 Bethany Farms Rd,Bethany,United States,06524-3379,CT,nathan.pildis@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Offices of All Other Miscellaneous Health Practitioners (621399),2022-02-07 00:07:03.3533333,,nathan.pildis@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Healing Through Hypnosis LLC,LLC,Active,2413070,2023-03-31,28 Richardson Dr,Middlebury,United States,06762-2120,CT,hthypno@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,,2022-02-07 00:07:03.3700000,,hthypno@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRS Global Inc.,Stock,Active,2413075,2022-04-01,,,,,,crsglobalinc@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-02-07 00:07:03.3700000,,crsglobalinc@gmail.com,First report due,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Spath-Bjorklund Associates LLC,LLC,Active,2413057,2023-03-31,227 Stepney Rd,Easton,United States,06612-1213,CT,info@thesbgroup.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Geophysical Surveying and Mapping Services (541360),2022-02-07 00:07:03.3533333,,jason@jedwardsassoc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"9 Lives Soapery, LLC",LLC,Active,2413066,2023-03-31,337 Harland Road,Norwich,United States,06360,CT,9livessoapery@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Soap and Other Detergent Manufacturing (325611),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nothing But Numb3rs Inc.,Stock,Active,2413068,2022-04-01,,,,,,jlaiscellcv@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Tax Preparation Services (541213),2022-02-07 00:07:03.3700000,,,First report due,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accrete Privacy Advisors, PLLC",LLC,Active,2413076,2023-03-31,171 Ingleside Dr,Stamford,United States,06903-1917,CT,averycm03@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),2022-02-07 00:07:03.3700000,,averycm03@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Law Office of Ronald L Bathrick III, LLC",LLC,Active,2413080,2023-03-31,3 Maplecrest Ln,North Haven,United States,06473-1014,CT,ron@bathricklaw.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Lawyers (541110),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andy Lee Photography LLC,LLC,Active,2413091,2023-03-31,8 Cherokee Dr,Brookfield,United States,06804-3114,CT,andyleephoto@outlook.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,"Photography Studios, Portrait (541921)",2022-02-07 00:07:03.3700000,,andyleephoto@outlook.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake Ave LLC,LLC,Active,2413093,2023-03-31,59 Lake Ave,West Haven,United States,06516-4812,CT,ilyaaavdeenkov@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,True,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Green Creation LLC,LLC,Active,2413122,2023-03-31,193 Homestead St,Manchester,United States,06042-3064,CT,missgreencreation@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Clothing Accessories Stores (448150),2022-02-07 00:07:03.3533333,D2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tom Clark LLC,LLC,Active,2413113,2023-03-31,17 Erskine Rd,Stamford,United States,06903-1102,CT,tomclarkllc@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-02-07 00:07:03.3700000,,tpremesoles@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garrow Solutions, LLC",LLC,Active,2413127,2023-03-31,115 Baum Dr,Thomaston,United States,06787-1010,CT,garrowsolutions@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,True,False,False,,2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bundy Brook Farm, Reserve and Watershed LLC",LLC,Active,2413118,2023-03-31,"Dog Lane, at Bundy Lane",Mansfield,United States,06268,CT,mabnyc+foltajt@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Historical Sites (712120),2022-02-07 00:07:03.3533333,,mabnyc+foltajt@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perez Discount Essentials LLC,LLC,Active,2413134,2023-03-31,218,New Haven,United States,06513,CT,perezdiscountessentials@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crowned by Faith L.L.C.,LLC,Active,2413138,2023-03-31,857 Post Rd,Fairfield,United States,06824-6041,CT,crownedbyfaithllc@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,"Cosmetics, Beauty Supplies, and Perfume Stores (446120)",2022-02-07 00:07:03.3700000,Ste 258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dice media group LLC,LLC,Active,2413140,2023-03-31,6B Cotton Hollow Ct,Naugatuck,United States,06770,CT,dicemediagroup.ct@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:03.3533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New England ICF LLC,LLC,Active,2413149,2023-03-31,39 Ball Pond Rd,Danbury,United States,06811-2828,CT,newenglandicf@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,"Other Foundation, Structure, and Building Exterior Contractors (238190)",2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soulstice Brewing Co. LLC,LLC,Active,2413157,2023-03-31,16 Colonial Ln,Wallingford,United States,06492-3053,CT,soulsticekombucha@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Soft Drink Manufacturing (312111),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Cake Stand, LLC",LLC,Active,2413183,2023-03-31,189 Old Maids Ln,South Glastonbury,United States,06073-3008,CT,thecakestandct@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Retail Bakeries (311811),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KESSLER COMPANY LLC,LLC,Active,2413189,2023-03-31,4 Weed Circle,Stamford,United States,06902,CT,samuel.k.berger@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Leigh-Ann Jaggon, LLC",LLC,Active,2413201,2023-03-31,2 Wedgewood Drive,Bloomfield,United States,06002,CT,ljaggonllc@outlook.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,All Other Personal Services (812990),2022-02-07 00:07:03.3700000,APT B6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mountain Water Studios LLC,LLC,Active,2413202,2023-03-31,160 Christian St,Oxford,United States,06478-1221,CT,helloenergyhealing@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Professional and Management Development Training (611430),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J & D LLC,LLC,Active,2413225,2023-03-31,185 Lincoln st,New Britain,United States,06052,CT,dunnrdamion@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,All Other General Merchandise Stores (452319),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver's Tennis LLC,LLC,Active,2413217,2023-03-31,395 Central Ave,New Haven,United States,06515-2207,CT,oc7400@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Sports and Recreation Instruction (611620),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Unlimited Kitchen LLC,LLC,Active,2413232,2023-03-31,24 W. Main Street,Clinton,United States,06413,CT,business@carriebrown.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2022-02-07 00:07:03.3700000,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2handsandoneheart llc,LLC,Active,2413235,2023-03-31,43 Crosby St,East Hartford,United States,06118,CT,2handsandoneheart@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Services for the Elderly and Persons with Disabilities (624120),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WE DELIVERY LLC,LLC,Active,2413247,2023-03-31,15 N Main St,Norwalk,United States,06854-2702,CT,matt@theblindrhino.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Mobile Food Services (722330),2022-02-07 00:07:03.3700000,,theblindrhino@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunastry LLC,LLC,Active,2413255,2023-03-31,268 Greenwood Ave,Bethel,United States,06801,CT,info@lunastry.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,"Gift, Novelty, and Souvenir Stores (453220)",2022-02-07 00:07:03.3700000,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original Georgia Studio LLC,LLC,Active,2413256,2023-03-31,134 Valley Rd.,New Canaan,United States,06840-3810,CT,originalgeorgiashop@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,All Other Miscellaneous Manufacturing (339999),2022-02-07 00:07:03.3866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArtsReality LLC,LLC,Active,2413266,2023-03-31,106 Kensington St,New Haven,United States,06511-4164,CT,artsreality1@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M&R COMPANY LLC,LLC,Active,2413274,2023-03-31,592 Fenn Rd,Newington,United States,06111-1704,CT,rrminchola@hotmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Mensajer�a y servicios de entrega urgente (492110),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FX Wave Trade LLC,LLC,Active,2413277,2023-03-31,97 Maple St,Bridgeport,United States,06608-2145,CT,fxwavetrade@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2022-02-07 00:07:03.3700000,3,jptruong88@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shivonne�s Nail Lounge LLC,LLC,Active,2413279,2023-03-31,96 Arline Dr,Waterbury,United States,06705,CT,shivonnesnaillounge@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Nail Salons (812113),2022-02-07 00:07:03.3700000,,shivonne8wilson29@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fit Academy LLC,LLC,Active,2413291,2023-03-31,620 Norwich New London Tpke,Uncasville,United States,06382-2156,CT,kmahan72@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Fitness and Recreational Sports Centers (713940),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blooms of Lost Acres LLC,LLC,Active,2413293,2023-03-31,4 Appletree Ln,North Granby,United States,06060-1324,CT,bloomsoflostacres@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Nursery and Tree Production (111421),2022-02-07 00:07:03.3700000,,joeg@koveragegroup.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sites By AKG LLC,LLC,Active,2413287,2023-03-31,6 Bear Ridge Dr,Bloomfield,United States,06002-1108,CT,alexakgreen1@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Internet Publishing and Broadcasting and Web Search Portals (519130),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciao Bella Crystals LLC,LLC,Active,2413288,2023-03-31,4 Capalbo Pl,Cos Cob,United States,06807-2158,CT,ciaobellacrystals@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,"Gift, Novelty, and Souvenir Stores (453220)",2022-02-07 00:07:03.3700000,1L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze & Brows Skin Lab LLC,LLC,Active,2413295,2023-03-31,348 E Main St,Clinton,United States,06413-2227,CT,namenta@yahoo.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,False,False,False,Other Personal Care Services (812199),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teresa Kudrenetsky Enterprises LLC,LLC,Active,2413296,2023-03-31,398 Federal Rd,Brookfield,United States,06804-2049,CT,teresa.kudrenetsky.enterprises@gmail.com,Domestic,United States,2022-01-01,Connecticut,Connecticut,True,False,True,False,False,Electronic Shopping and Mail-Order Houses (454110),2022-02-07 00:07:03.3700000,Unit B208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORE THAN QUALITY HOME IMPROVEMENT LLC,LLC,Active,2413298,2023-03-31,47 Prospect Place Ext,East Haven,United States,06512-3742,CT,santiago.llanos2317@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FMC Brookside, LLC",LLC,Active,2413303,2023-03-31,503 Brookside Rd,New Canaan,United States,06840-6924,CT,fmcbrookside@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,True,False,True,False,False,,2022-02-07 00:07:03.3700000,,sreekrishna.vadde@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimm Coatings & Engraving LLC,LLC,Active,2413311,2023-03-31,129 Barnhill Rd,Woodbury,United States,06798,CT,powdermeupct@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers (332812)",2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
King Family LLC,LLC,Active,2413318,2023-03-31,26 Bullet Hill Rd,Danbury,United States,06811-2942,CT,dandisk@protonmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD's Cleaning Service Limited Liability Company,LLC,Active,2413319,2023-03-31,47 Prospect Place Ext,East Haven,United States,06512-3742,CT,clean1723@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,,2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPS2 Realty LLC,LLC,Active,2413348,2023-03-31,2 Sienna Dr,Unionville,United States,06085-1590,CT,gps2.real@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,True,False,False,Other Activities Related to Real Estate (531390),2022-02-07 00:07:03.3700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muva Nature Healing LLC,LLC,Active,2413391,2023-03-31,329 Dekoven Dr,Middletown,United States,06457-2873,CT,muvanaturehealing@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,True,False,True,False,False,All Other Personal Services (812990),2022-02-07 00:07:03.3866667,1R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karbon Kopy LLC,LLC,Active,2413414,2023-03-31,55 Oakland Ter,Hartford,United States,06112-2348,CT,karbonkopyllc@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,True,False,True,False,False,Apparel Accessories and Other Apparel Manufacturing (315990),2022-02-07 00:07:03.3866667,2nd fl,woolford.lynette@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shamrock Cards LLC,LLC,Active,2413419,2023-03-31,777 Peter Rd,Southbury,United States,06488,CT,shamrockcardsct@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,"Hobby, Toy, and Game Stores (451120)",2022-02-07 00:07:03.3866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275 Nancy Drive LLC,LLC,Active,2413430,2023-03-31,275 Nancy Dr,Bridgeport,United States,06604-1013,CT,jim10278@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-02-07 00:07:03.3533333,,jillianboccuzzi@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controlled Mechanicals LLC,LLC,Active,2413439,2023-03-31,641 Wyassup Rd,North Stonington,United States,06359-1140,CT,business@controlledmechanicals.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",2022-02-07 00:07:03.3700000,,bemert4@protonmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maison Van LLC,LLC,Active,2413455,2023-03-31,75 N Park Ave,Easton,United States,06612-1416,CT,jvanvlam@gmail.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-02-07 00:07:03.3866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deluxe Destinations LLC,LLC,Active,2413464,2023-03-31,25 Eagle Ridge Dr,Gales Ferry,United States,06335-1905,CT,ray.deluxedestinations@yahoo.com,Domestic,United States,2022-01-02,Connecticut,Connecticut,False,True,False,False,False,Travel Agencies (561510),2022-02-07 00:07:03.3866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solutions Family Therapy LLC,LLC,Active,2413482,2023-03-31,62 Overlook Ave,New Britain,United States,06053,CT,ruta@solutionsfamilytherapy.net,Domestic,United States,2022-01-02,Connecticut,Connecticut,True,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),2022-02-07 00:07:03.3866667,Unit 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
