name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,country_formation,category_survey_email_address,date_of_organization_meeting,total_authorized_shares,dissolution_date,mailing_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,geo_location,mailing_international_address,records_address_unit
Quality Care Team LLC,LLC,Active,Annual report due,2670991,2023-03-31,,103 Kings Hwy E,,Fairfield,United States,06825-4844,CT,sshokom@qualitycarect.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Home Health Care Services (621610),,,,,,,,United States,,,,,,,,,,,,,,
LUCA POWER WASHING LLC,LLC,Active,Annual report due,2671020,2023-03-31,,18 Irene Ave,,Waterbury,United States,06705-2534,CT,lucapressurewash@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Other Services to Buildings and Dwellings (561790),,,,,,,,United States,,,,,,,,,,,,,,
GoodFella cleaning services LLC,LLC,Active,Annual report due,2671024,2023-03-31,,161 Prospect St,,East Hartford,United States,06108-1652,CT,goodfellacleaningservicesllc@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Janitorial Services (561720),,,,,,,,United States,,,,,,,,,,,,,,
RuffPawsCT LLC,LLC,Active,Annual report due,2671005,2023-03-31,,1371 Boston Post Rd #1002,,Milford,United States,06460-2755,CT,ruffpawsct@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:23.2533333,,,,,,,Pet Care (except Veterinary) Services (812910),,,,,,,,United States,sonia@castelantaxservices.com,,,,,,,,,,,,,
Rick James LLC,LLC,Active,Annual report due,2671007,2023-03-31,,349 Allen Rd Unit 12A,,Torrington,United States,06790-4469,CT,jkrjr25@yahoo.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
TIANNA PROPERTIES  LLC,LLC,Active,Annual report due,2671008,2023-03-31,,196 Boston Post Rd,,Westbrook,United States,06498-1739,CT,giovannilawncare@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:23.2533333,,,,,,,Residential Property Managers (531311),,,,,,,,United States,frsablone@gmail.com,,,,,,,,,,,,,
SAMZAYGI PROPERTIES LLC,LLC,Active,Annual report due,2671011,2023-03-31,,196 Boston Post Rd,,Westbrook,United States,06498-1739,CT,giovannilawncare@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:23.2533333,,,,,,,Nonresidential Property Managers (531312),,,,,,,,United States,frsablone@gmail.com,,,,,,,,,,,,,
Courage To Heal Therapy Services LLC,LLC,Active,Annual report due,2671017,2023-03-31,,262 Oak St.,1st floor,New Britain,United States,06051,CT,sylvias@courageth.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,True,False,False,2023-01-04 00:08:23.2533333,,,,,,,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,United States,,,,,,,,,,,,,,
Meadow Brook Therapy L.L.C.,LLC,Active,Annual report due,2671014,2023-03-31,,29 Prospect Street,,Deep River,United States,06417,CT,meadowbrooktherapyllc@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6366667,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
LT Group LLC,LLC,Active,Annual report due,2671016,2023-03-31,,59 Minerva St,Unit A,Derby,United States,06418-1865,CT,skylineusaswimwear@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.0600000,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,United States,,,,,,,,,,,,,,
Daniel Durazzo LLC,LLC,Active,Annual report due,2671037,2023-03-31,,7 Pinecrest Dr,,Plainville,United States,06062-3252,CT,dndurazzo@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.0600000,,,,,,,Other Personal and Household Goods Repair and Maintenance (811490),,,,,,,,United States,dndurazzo@gmail.com,,,,,,,,,,,,,
OHM Nutrition Ltd. Liability Co.,LLC,Active,Annual report due,2671040,2023-03-31,,415 Boston Post Rd,ste 3,Milford,United States,06460-2578,CT,ohmnutritionllc@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,True,True,True,2023-01-04 00:08:23.9900000,,,,,,,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,United States,,,,,,,,,,,,,,
Automotive Equipment Solutions LLC,LLC,Active,Annual report due,2671051,2023-03-31,,1771 Post Road East,113,Westport,United States,06880,CT,automotiveequipmentsolution@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,Automotive Parts and Accessories Stores (441310),,,,,,,,United States,,,,,,,,,,,,,,
Building Automation electrical services LLC,LLC,Active,Annual report due,2671060,2023-03-31,,119 Saint Francis Woods Rd,,Madison,United States,06443-1758,CT,bamelectricalservices@hotmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,United States,,,,,,,,,,,,,,
Angelo A holdings Corp.,Stock,Active,Annual report due,2671042,2023-12-09,,35 Deer Run,,New Fairfield,United States,06812-3545,CT,agovinoa@aol.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.0600000,,,,,,,"General Freight Trucking, Local (484110)",,,,,,,,United States,onlinefilings@legalzoom.com,2022-12-07,100.0,,,,,,,,,,,
Oberon's Forge Press LLC,LLC,Active,Annual report due,2671045,2023-03-31,,205 John St,,Newington,United States,06111-4330,CT,oberonsforgepress@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,False,False,True,2023-01-04 00:08:22.0600000,,,,,,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,United States,,,,,,,,,,,,,,
"MRI CONTRACT STAFFING, LLC",LLC,Active,Annual report due,2671057,2023-03-31,2022-11-30,"190 CONGRESS PARK DRIVE, SUITE 100",,DELRAY BEACH,UNITED STATES,33445,FL,LORINDA.RITTS@MRINETWORK.COM,"MRI CONTRACT STAFFING, LLC",Foreign,2022-12-01,,OHIO,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,561320,,,,,,,,,,,,,,,,,,,,,,
Moon & Herb Holdings LLC,LLC,Active,Annual report due,2671050,2023-03-31,,280 Shetucket Tpke,,Voluntown,United States,06384-1412,CT,kayakyakr@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,False,True,True,2023-01-04 00:08:22.6366667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
Education Equity Mentorship Company,Non-Stock,Active,Annual report due,2671059,2023-12-15,,229 Branford Rd,310,North Branford,United States,06471-1371,CT,admin@e2mentors.org,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6366667,,,,,,,Exam Preparation and Tutoring (611691),,,,,,,,United States,,2022-12-14,,,,,,,,,,,,
Plainville Chiropractic Inc.,Stock,Active,First report due,2671071,2023-03-01,,,,,,,,plainvillechiropractic@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6366667,,,,,,,Offices of Chiropractors (621310),,,,,,,,United States,timothyouellettedc@gmail.com,,100.0,,,,,,,,,,,
Fleet Equipment Solutions LLC,LLC,Active,Annual report due,2671066,2023-03-31,,1771 Post Rd E,# 113,Westport,United States,06880-5606,CT,fleetequipmentsolutions@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,Wholesale Trade Agents and Brokers (425120),,,,,,,,United States,,,,,,,,,,,,,,
75 Napco Dr LLC,LLC,Dissolved,,2671068,,,552 NW 39th Cir,,Boca Raton,United States,33431-5742,FL,jeff@robertsattorneys.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,United States,,,,2022-12-08T00:00:00.000,,,,,,,,,,
Avtan LLC,LLC,Active,Annual report due,2671080,2023-03-31,,2389 Main St.,STE 100,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
DADDS TRANSPORT LLC,LLC,Rejected,,2671070,,,138 Palm St,,Hartford,United States,06112-1355,CT,marshakerr86@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,"General Freight Trucking, Local (484110)",,,,,,,,United States,,,,,,,,,,,,,,
B&A COLLECTIBLES INC.,Stock,Rejected,,2671084,,2022-12-01,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,B&A COLLECTIBLES INC.,Foreign,2022-12-01,FLORIDA,FLORIDA,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THORN CAPITAL LLC,LLC,Active,Annual report due,2671085,2023-03-31,,626 1ST AVE APT W36G,,NEW YORK,United States,10016,NY,efile1234@incfile.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,Residential Property Managers (531311),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
The Fire Spot L.L.C.,LLC,Active,Annual report due,2671077,2023-03-31,,34 Middletown Avenue,Unit B,North haven,United States,06473,CT,firespot203@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,Other Clothing Stores (448190),,,,,,,,United States,,,,,,,,,,,,,,
Robert�s Painting LLC,LLC,Active,Annual report due,2671103,2023-03-31,,2389 Main St.,STE 100,Glastonbury,United States,06033,CT,eastern@registeredagentsinc.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
"The Wire Guys, LLC",LLC,Active,Annual report due,2671082,2023-03-31,,"175 Atlantic Street, Suite 209",,Stamford,United States,06901,CT,cgalassi111@yahoo.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:18.1000000,,,,,,,Electrical Contractors and Other Wiring Installation Contractors (238210),,,,,,,,United States,sara@wileylegal.com,,,,,,,,,,,,,
"Cayuse Technologies, LLC",LLC,Active,Annual report due,2671126,2023-03-31,2022-12-01,72632 COYOTE RD.,,PENDLETON,United States,97801,OR,compliance@cayusess.com,"Cayuse Technologies, LLC",Foreign,2022-12-01,NEVADA,NEVADA,False,False,False,False,False,2023-01-04 00:08:18.1000000,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,,,,
Marc Anthony DeLorenzo Contracting LLC,LLC,Active,Annual report due,2671091,2023-03-31,,42 Maltbie Rd,,Newtown,United States,06470-2508,CT,marc.delorenzo@yahoo.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,Residential Remodelers (236118),,,,,,,,United States,tomearacpa@yahoo.com,,,,,,,,,,,,,
Chrispec Florals LLC,LLC,Active,Annual report due,2671089,2023-03-31,,3 Navajo Trl Apt 2,,Newtown,United States,06470,CT,qcornelia1yegy3qyu@outlook.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers (424930)",,,,,,,,United States,,,,,,,,,,,,,,
Franklin Retirement LLC,LLC,Active,Annual report due,2671112,2023-03-31,,35 Wooster Ct,A,Bristol,United States,06010-6785,CT,mark@franklinretirement.net,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,Insurance Agencies and Brokerages (524210),,,,,,,,United States,,,,,,,,,,,,,,
RSS INVESTMENTS LLC,LLC,Active,Annual report due,2671095,2023-03-31,,511 HILLSIDE AVE,,HARTFORD,United States,06106,CT,efile1234@incfile.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
Howard Avenue LLC,LLC,Active,Annual report due,2671099,2023-03-31,,107 Whitney Ave,,New Haven,United States,06510-1232,CT,james@farnamgroup.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,
"Dominion Financial Services, LLC",LLC,Active,Annual report due,2671106,2023-03-31,2022-12-01,32 South St,,Baltimore,United States,21202-3214,MD,govdocs@corpcreations.com,"Dominion Financial Services, LLC",Foreign,2022-12-01,MARYLAND,MARYLAND,False,False,False,False,False,2023-01-04 00:08:22.0633333,"32 South St, Baltimore, MD, 21202-3214, United States",32 South St,Baltimore,MD,21202-3214,United States,Real Estate Credit (522292),"32 South St, Baltimore, MD, 21202-3214, United States",32 South St,,Baltimore,MD,21202-3214,United States,,,,,,,,,,,,,,,
Same Energy LLC,LLC,Active,Annual report due,2671158,2023-03-31,,672 Queen St,1044,Southington,United States,06489-1540,CT,sameenergy36@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:22.0633333,,,,,,,Other Specialized Design Services (541490),,,,,,,,United States,,,,,,,,,,,,,,
RSS RENOVATIONS LLC,LLC,Active,Annual report due,2671098,2023-03-31,,511 HILLSIDE AVE,,HARTFORD,United States,06106,CT,efile1234@incfile.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,Commercial and Institutional Building Construction (236220),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
GROOVES62 LLC,LLC,Active,Annual report due,2671100,2023-03-31,,425 NORTON PARKWAY,,NEW HAVEN,United States,06511,CT,efile1234@incfile.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
BLOCK RESIDENCES LLC,LLC,Active,Annual report due,2671110,2023-03-31,,76 WILDEWOOD RUN,,BRISTOL,United States,06010,CT,efile1234@incfile.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,Residential Property Managers (531311),,,,,,,,United States,efile1235@incfile.com,,,,,,,,,,,,,
ARMANDO MARROQUIN PABLO LLC,LLC,Active,Annual report due,2671123,2023-03-31,,19 LINDEN PL,1FL,STAMFORD,United States,06902,CT,armaquin1979@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2533333,,,,,,,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing (327999),,,,,,,,United States,,,,,,,,,,,,,,
La Sorella LLC,LLC,Active,Annual report due,2671135,2023-03-31,,5 Doty Pl,,New Haven,United States,06512-4409,CT,hurley0913@comcast.net,,Domestic,2022-12-01,Connecticut,Connecticut,True,False,False,False,False,2023-01-04 00:08:23.2600000,,,,,,,Beauty Salons (812112),,,,,,,,United States,,,,,,,,,,,,,,
Ken Global Ventures LLC,LLC,Active,Annual report due,2671169,2023-03-31,,47 Avonwood Road,,Avon,United States,06001,CT,llcsupport@primecorporateservices.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.2600000,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,United States,,,,,,,,,,,,,,
Infinity Trucking of New England Corp.,Stock,Active,Annual report due,2671170,2023-12-01,2022-12-26,84 Whitmun Rd,,Longmeadow,United States,01106-2652,MA,infinity.constructcorp@gmail.com,Infinity Trucking of New England Corp.,Foreign,2022-12-01,MASSACHUSETTS,MASSACHUSETTS,False,False,False,False,False,2023-01-04 00:08:23.2600000,,,,,,,Commercial and Institutional Building Construction (236220),,,,,,,,,,,,,,,,,,,,,,
PAS Investment Holdings LLC,LLC,Active,Annual report due,2671116,2023-03-31,,42 Beach Dr,,Darien,United States,06820-5608,CT,per.sekse@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:22.6433333,,,,,,,Miscellaneous Financial Investment Activities (523999),,,,,,,,United States,per.sekse@gmail.com,,,,,,,,,,,,,
Red Rocket Logistics Limited Liability Company,LLC,Active,Annual report due,2671120,2023-03-31,,19 Florence St,,Bridgeport,United States,06607-1539,CT,redrocketllc1@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:23.3566667,,,,,,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,United States,,,,,,,,,,,,,,
Trust1Another Inc.,Non-Stock,Active,First report due,2671134,2023-03-01,,,,,,,,trust1another@hotmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.3566667,,,,,,,,,,,,,,,United States,dynamic_tax@hotmail.com,,,,,,,,,,,,,
CAMPANELLI RODOLAKIS LM ACQUISITION LLC,LLC,Active,Annual report due,2671121,2023-03-31,2022-11-30,ONE CAMPANELLI DRIVE,,BRAINTREE,UNITED STATES,02184,MASSACHUSETTS,,CAMPANELLI RODOLAKIS LM ACQUISITION LLC,Foreign,2022-12-01,,DELAWARE,False,False,False,False,False,2023-01-04 00:08:23.9833333,,,,,,,531390,,,,,,,,,,,,,,,,,,,,,,
Ovanova Solar Corporation,Stock,Active,Annual report due,2671129,2023-12-01,2022-09-12,607 Sawmill Rd,,Cedar Grove,United States,27231-9297,NC,ovanova@ovanova.co,Ovanova Solar Corporation,Foreign,2022-12-01,DELAWARE,DELAWARE,False,False,False,False,False,2023-01-04 00:08:23.9900000,,,,,,,Solar Electric Power Generation (221114),,,,,,,,,,,,,,,,,,,,,,
4-6 Van Buskirk LLC,LLC,Active,Annual report due,2671132,2023-03-31,,1150 Summer St.,Suite 2C,Stamford,United States,06905,CT,mgallegos@seanmlaw.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9966667,,,,,,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,United States,,,,,,,,,,,,,,
Merit Limited Liability Company,LLC,Active,Annual report due,2671139,2023-03-31,,43 Vermont Ave,,Fairfield,United States,06824-5342,CT,merit.usa.llc@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9966667,,,,,,,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,United States,chrysadakis@gmail.com,,,,,,,,,,,,,
JBJ Entertainment LLC,LLC,Active,Annual report due,2671140,2023-03-31,,15 Eastview Ter,,Rocky Hill,United States,06067-2410,CT,imjoelco@gmail.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,True,False,False,2023-01-04 00:08:23.9966667,,,,,,,"Agents and Managers for Artists, Athletes, Entertainers, and Other Public Figures (711410)",,,,,,,,United States,imjoelco@gmail.com,,,,,,,,,,,,,
Interest Inc.,Stock,Active,First report due,2671143,2023-03-01,,,,,,,,interestinc@outlook.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9966667,,,,,,,Administrative Management and General Management Consulting Services (541611),,,,,,,,United States,,,100.0,,,,,,,,,,,
SMART FAST PAY CORP,Stock,Rejected,,2671151,,,,,,,,,rute@atlantistaxllc.com,,Domestic,2022-12-01,Connecticut,Connecticut,False,False,False,False,False,2023-01-04 00:08:23.9133333,,,,,,,"Data Processing, Hosting, and Related Services (518210)",,,,,,,,United States,,,20000.0,,,,,,,,,,,
