name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction_3,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction_3,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,category_survey_email_address,sub_status,total_authorized_shares,date_of_organization_meeting,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,dissolution_date,mail_jurisdiction,mailing_international_address,records_address_unit
"SILK CITY STORAGE, LLC",LLC,Active,2592385,2023-03-31,50 HARRISON STREET,,Manchester,United States,06040,CT,meg@dubaldo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Miniwarehouses and Self-Storage Units (531130),2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,lcouture@jwrb.com,,,,,,,,,,,,,
Clean Home Management LLC,LLC,Active,2592375,2023-03-31,172 Cherry Brook Rd,,Canton,United States,06019-4509,CT,cleanhomemgmt@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,True,False,False,Janitorial Services (561720),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D. DUBALDO & COMPANIES, LLC",LLC,Active,2592377,2023-03-31,16 HARRISON STREET,,MANCHESTER,United States,06040,CT,meg@dubaldo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TRU HOME SERVICES, INC.",Stock,Active,2592382,,902 Clint Moore Rd,146,Boca Raton,United States,33487-2800,FL,info@truhomealarm.com,Foreign,,2022-07-01,FLORIDA,FLORIDA,False,False,False,False,False,Security Systems Services (except Locksmiths) (561621),2022-08-31 00:16:34.9166667,2022-08-01,"TRU HOME SERVICES, INC.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOME SERV LLC,LLC,Rejected,2592383,,22 Sleepy Hollow Dr,,Danbury,United States,06810-5360,CT,alexander342980@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUCIANO ALVES RAMOS LLC,LLC,Active,2592384,2023-03-31,3880 Main St,,Bridgeport,United States,06606-2848,CT,ez2drivecars@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Janitorial Services (561720),2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,ez2drivecars@gmail.com,,,,,,,,,,,,,
The Residence at Berkshire LLC,LLC,Active,2592398,2023-03-31,20 Virginia Drive,,easton,United States,06612,CT,goldcoasthouses@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Land Subdivision (237210),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rushmore Property Associates LLC,LLC,Active,2592415,2023-03-31,860 Rushmore Ave,,Mamaroneck,United States,10543-4526,NY,kearney.tg@gmail.com,Foreign,,2022-07-01,NEW YORK,NEW YORK,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-08-31 00:16:34.8700000,2022-07-01,Rushmore Property Associates LLC,"860 Rushmore Ave, Mamaroneck, NY, 10543-4526, United States",860 Rushmore Ave,,Mamaroneck,NY,10543-4526,United States,"860 Rushmore Ave, Mamaroneck, NY, 10543-4526, United States",860 Rushmore Ave,,Mamaroneck,NY,10543-4526,United States,,,,,,,,,,,,,,
"TMF Realty, LLC",LLC,Active,2592414,2023-03-31,2 Topfield Rd,,Danbury,United States,06811-4416,CT,feeley_75@yahoo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Residential Property Managers (531311),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shiro's Painting LLC,LLC,Active,2592423,2023-03-31,31 Harrison St,,Danbury,United States,06810-8110,CT,shirospainting22@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Painting and Wall Covering Contractors (238320),2022-08-31 00:16:34.3400000,,,,,,,,,,,,,,,,,willy@usedofinancial.com,,,,,,,,,,,,,
102 PLINY STREET LLC,LLC,Active,2592421,2023-03-31,"C/O MY SISTER'S PLACE, INC.  221 MAIN STREET, 4TH FLOOR",,HARTFORD,USA,06106,CT,,Domestic,United States,2022-07-01,,Connecticut,False,False,False,False,False,531110,2022-08-31 00:16:34.8700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KORNER HEDGE HOLDING GROUP LLC,LLC,Active,2592427,2023-03-31,113 Newtown Tpke,,Westport,United States,06880-1013,CT,tamiolakis@icloud.me,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.8700000,,,,,,,,,,,,,,,,,heather@ctlegalgroup.com,,,,,,,,,,,,,
Wiese ADR LLC,LLC,Active,2592429,2023-03-31,240 Lovely St,,Avon,United States,06001-4019,CT,peter.emmett.wiese@outlook.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,"All Other Professional, Scientific, and Technical Services (541990)",2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102 PLINY STREET MM LLC,LLC,Active,2592431,2023-03-31,"C/O MY SISTER'S PLACE, INC.  221 MAIN STREET, 4TH FLOOR",,HARTFORD,USA,06106,CONNECTICUT,,Domestic,United States,2022-07-01,,Connecticut,False,False,False,False,False,531110,2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSG Properties LLC,LLC,Active,2592453,2023-03-31,187 Hawks Nest Cir,,Middletown,United States,06457-7513,CT,briansmoliga@tsg-tec.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,briansmoliga@tsg-tec.com,,,,,,,,,,,,,
Potato Safety and Advisory Board LLC,LLC,Active,2592457,2023-03-31,26 Reed St,,Milford,United States,06460-4721,CT,mikeshaheenphoto@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,True,Other Services Related to Advertising (541890),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,mikeshaheenphoto@gmail.com,,,,,,,,,,,,,
GEM TECHNOLOGIES HOLDINGS INC.,Stock,Active,2592473,,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Foreign,,2022-07-01,DELAWARE,DELAWARE,False,False,False,False,False,,2022-08-31 00:16:34.9933333,2022-07-01,GEM TECHNOLOGIES HOLDINGS INC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101 North Main LLC,LLC,Active,2592475,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Grand LLC,LLC,Active,2592458,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.9466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95 North Main LLC,LLC,Active,2592472,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.9466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROLEAN LLC,LLC,Active,2592478,2023-03-31,99 Valley View Rd,,Glastonbury,United States,06033-3621,CT,proleanllc@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,False,General Rental Centers (532310),2022-08-31 00:16:34.9466667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
READY HEALTH SOLUTIONS LLC,LLC,Active,2592455,2023-03-31,71 STURGEON RIVER RD,,GLASTONBURY,United States,06033,CT,efile1234@incfile.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,efile1235@incfile.com,,,,,,,,,,,,,
Imperator LLC,LLC,Active,2592494,2023-03-31,19 Knollwood Rd,,Milford,United States,06460,CT,justin6097@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Long-Distance, Truckload (484121)",2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M4 Investment Group LLC,LLC,Active,2592484,2023-03-31,11 Fams Dr,,Plainview,United States,11803-6453,NY,jmariolis12@gmail.com,Foreign,,2022-07-01,DELAWARE,DELAWARE,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.9333333,2022-07-01,M4 Investment Group LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B&B IOT LLC,LLC,Active,2592467,2023-03-31,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2022-08-31 00:16:34.9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Soul Wellness LLC. LLC,LLC,Active,2592471,2023-03-31,9 Stanley Ave,,East Haddam,United States,06423-1038,CT,sundai@sunsoulwellness.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Temporary Help Services (561320),2022-08-31 00:16:34.8700000,,,,,,,,,,,,,,,,,sundai@sunsoulwellness.com,,,,,,,,,,,,,
Dear NSA LLC,LLC,Active,2592482,2023-03-31,7 Green Lane,,Norwalk,United States,06850,CT,ajmorsanutto@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,False,False,False,Motion Picture and Video Production (512110),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buddies Dispatchng LLC,LLC,Active,2592499,2023-03-31,29 Birchwood Road,,Windsor,United States,06095,CT,solojones606@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,False,All Other Telecommunications (517919),2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,solojones606@gmail.com,,,,,,,,,,,,,
JCR Cargo LLC,LLC,Active,2592505,2023-03-31,706 George St,,New Haven,United States,06511-5222,CT,cbscargollc@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,All Other Support Services (561990),2022-08-31 00:16:34.9000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bluebird Lane Homeowners Association Inc,Non-Stock,Active,2592506,2022-09-29,,,,,,,gregorylhohman@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Business Associations (813910),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,First report due,,,,,,,,,,,,
DOWN RANGE LLC,LLC,Active,2592516,2023-03-31,24 Meadowview Dr,,Brookfield,United States,06804-1825,CT,downrangellc2022@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,True,False,False,False,All Other Amusement and Recreation Industries (713990),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Iglesia de Cristo Luz en Medio de las Tinieblas Norwich, Inc.",Non-Stock,Active,2592525,2022-09-29,,,,,,,conciliolmt2022@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Religious Organizations (813110),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,conciliolmt2022@gmail.com,First report due,,,,,,,,,,,,
"MASAKALER , LLC",LLC,Active,2592518,2023-03-31,110 WESTON ROAD,,WESTON,United States,06883,CT,filing@acs123.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,filing@acs123.com,,,,,,,,,,,,,
"PRECISION CAPITAL ADVISORS, LLC",LLC,Active,2592520,2023-03-31,2389 Main St. STE 100,,Glastonbury,United States,06033,CT,eastern@northwestregisteredagent.com,Foreign,,2022-07-01,NEW YORK,NEW YORK,False,False,False,False,False,,2022-08-31 00:16:34.9933333,2022-07-01,"PRECISION CAPITAL ADVISORS, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eurogerm KB LLC,LLC,Active,2592522,2023-03-31,2401 W Hassell Road,Suite 1540,Hoffman estates,United States,60169,IL,zhamadi@axeliapartners.com,Foreign,,2022-07-01,DELAWARE,DELAWARE,False,False,False,False,False,All Other Miscellaneous Food Manufacturing (311999),2022-08-31 00:16:34.9800000,2022-07-01,Eurogerm KB LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snipeworks LLC,LLC,Active,2592595,2023-03-31,12104 Maple Tree Ln,,East Lyme,United States,06333-1751,CT,pclark@snipeworx.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,True,False,False,False,Building Inspection Services (541350),2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FM INVESTMENTS & PROJECTS LLC,LLC,Active,2592592,2023-03-31,248 OLIVIA ST,,DERBY,United States,06418,CT,efile1234@incfile.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,efile1235@incfile.com,,,,,,,,,,,,,
"King Street Property Owner, LLC",LLC,Active,2592549,2023-03-31,133 Pearl St,,Boston,United States,02110-2499,MA,ranton@gfipartners.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoofing Moving LLC,LLC,Active,2592553,2023-03-31,23 Seymour street,,Manchester,United States,06042,CT,hoofingmovingllc@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,"General Freight Trucking, Local (484110)",2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,hoofingmovingllc@gmail.com,,,,,,,,,,,,,
"HHC One Medical, LLC",LLC,Active,2592547,2023-03-31,"100 Pearl St., 8th Floor",,Hartford,United States,06103,CT,legal.support@hhchealth.org,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Offices of Physicians (except Mental Health Specialists) (621111),2022-08-31 00:16:34.9466667,,,,,,,,,,,,,,,,,valerie.golebiewski@hhchealth.org,,,,,,,,,,,,,
"Mindful Growth Unlimited, LLC",LLC,Active,2592552,2023-03-31,1178 Farmington Ave,,Berlin,United States,06037-2302,CT,mindfulgrowthunlimited@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,False,False,False,Other Individual and Family Services (624190),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SOFI FLOORING LLC,LLC,Active,2592562,2023-03-31,130 Greene St,,Bristol,United States,06010-6241,CT,sofiaedukaty281426@hotmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Flooring Contractors (238330),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flowers and Decorations by Virna, LLC",LLC,Active,2592564,2023-03-31,330 Granfield Ave,,Bridgeport,United States,06610-2305,CT,virnarodriguez97@yahoo.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,True,False,False,Florists (453110),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,virnarodriguez97@yahoo.com,,,,,,,,,,,,,
"4Labs, Inc.",Stock,Active,2592571,2022-09-29,,,,,,,mjk@adapt-law.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,False,Custom Computer Programming Services (541511),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,mjk@purplemail.me,First report due,20000.0,,,,,,,,,,,
Baby & Co. LLC,LLC,Active,2592574,2023-03-31,27 Wilton Ave,,Norwalk,United States,06851,CT,baby.co.newborn@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Child Day Care Services (624410),2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413 Ridgefield Ave LLC,LLC,Active,2592589,2023-03-31,309 Wildwood Rd,,Stamford,United States,06903-2008,CT,samsilva007@hotmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,signings@relawgrp.com,,,,,,,,,,,,,
"JE Lifetech, Inc.",Stock,Active,2592581,2022-09-29,,,,,,,processing@mycorporation.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,processing@mycorporation.com,First report due,18599.0,,,,,,,,,,,
K & B PRODUCTIONS LLC,LLC,Active,2592588,2023-03-31,17 Fairview Ave Unit D,,Norwalk,United States,06850,CT,efile1234@incfile.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Land Subdivision (237210),2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,efile1235@incfile.com,,,,,,,,,,,,,
Trinity College Basketball Camp/Clinic LLC,LLC,Active,2592606,2023-03-31,Ferris Athletic Center Trinity College 300 Summit st.,,Hartford,United States,06106,CT,james.cosgrove@trincoll.edu,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pro Coding Alliance LLC,LLC,Active,2592584,2023-03-31,11 Shields Road,,Woodstock,United States,06281,CT,staceybottone@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Professional and Management Development Training (611430),2022-08-31 00:16:34.8866667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lacasa, LLC",LLC,Active,2592641,2023-03-31,6 Dennison Lane,,Essex,United States,06426-1368,CT,scibilia@halloransage.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Residential Remodelers (236118),2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Equita Advance, LLC",LLC,Active,2592587,2023-03-31,243 Tresser Blvd,Suite 18,Stanford,United States,06901,CT,equitaadvance@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Miscellaneous Intermediation (523910),2022-08-31 00:16:34.9933333,,,,,,,,,,,,,,,,,salo@svblaw.com,,,,,,,,,,,,,
Levran Holdings Inc.,Stock,Active,2592590,2022-09-29,,,,,,,processing@mycorporation.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,processing@mycorporation.com,First report due,1500.0,,,,,,,,,,,
WELTON 299 LLC,LLC,Active,2592591,2023-03-31,970 Nepperhan Ave,,Yonkers,United States,10703-1740,NY,andy@empirewin-door.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,erin@servico.com,,,,,,,,,,,,,
"Pesarini's Cleaning Services, LLC",LLC,Active,2592597,2023-03-31,56 Beaver Bog Rd,,New Fairfield,United States,06812-2704,CT,fernandapesarini@hotmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,True,False,False,False,False,Janitorial Services (561720),2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Vault Virtual Reality Center LLC,LLC,Active,2592603,2023-03-31,115 main st,,seymour,United States,06483,CT,events@thevaultvirtualreality.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,True,False,False,Amusement Arcades (713120),2022-08-31 00:16:34.3233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haddam Quarter Road Solar, LLC",LLC,Active,2592598,2023-03-31,921 Thrall Ave,,Suffield,United States,06078-2343,CT,info@louthcallanrenewables.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Power and Communication Line and Related Structures Construction (237130),2022-08-31 00:16:34.9633333,,,,,,,,,,,,,,,,,henry@louthcallanrenewables.com,,,,,,,,,,,,,
SIREN COMICS INC.,Stock,Active,2592611,2023-07-05,114 PINNEY STREET,,COLEBROOK,United States,06021,CT,steve@sppfinancial.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,"Book, Periodical, and Newspaper Merchant Wholesalers (424920)",2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,jim@weinbergpc.com,,20000.0,2022-07-01,,,,,,,,,,
BSP Entertainment LLC,LLC,Active,2592612,2023-03-31,29 Beal St.,,Stamford,United States,06902,CT,djbanksct@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,,2022-08-31 00:16:34.9800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bwapini's properties Limited Liability Company,LLC,Active,2592624,2023-03-31,890 Judson Pl,B,Stratford,United States,06615-5933,CT,bwapiniproperties@gmail.com,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2022-08-31 00:16:34.9166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Webb James, LLC",LLC,Active,2592622,2023-03-31,67 Old Sea Lane,,Old Saybrook,United States,06475,CT,webbjamesllc@earthlink.net,Domestic,United States,2022-07-01,Connecticut,Connecticut,False,False,False,False,False,Jewelry and Silverware Manufacturing (339910),2022-08-31 00:16:34.9333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
