name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,country_formation,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,category_survey_email_address,naics_code,geo_location,began_transacting_in_ct,business_name_in_state_country,date_of_organization_meeting,total_authorized_shares,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_3,office_jurisdiction_3,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,records_address_unit
Ethereal Stays LLC,LLC,Active,Annual report due,2639412,2023-03-31,105 Maywood Rd,,Norwalk,United States,06850-4424,CT,etherealstays@outlook.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.1100000,,All Other Traveler Accommodation (721199),,,,,,,,,,,,,,,,,,,,,,,,,,,,
GotIT LLC,LLC,Active,Annual report due,2639419,2023-03-31,154 North St,,Hamden,United States,06514-4932,CT,gotitllc33@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1100000,,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKIA LLC,LLC,Active,Annual report due,2639416,2023-03-31,25 Orchard Ter,Fl3,Naugatuck,United States,06770-3220,CT,mkiatechct@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:09.9900000,,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJoel�s Detailing LLC,LLC,Active,Annual report due,2639425,2023-03-31,356 Wheelers Farms Rd,Building 2 - apt 103,Milford,United States,06461-1971,CT,bjoelsdetailing@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.5933333,lakeww14@outlook.com,Car Washes (811192),,,,,,,,,,,,,,,,,,,,,,,,,,,,
fully trucks LLC,LLC,Active,Annual report due,2639431,2023-03-31,338 Bond St,,Bridgeport,United States,06610-2204,CT,palmertrucksllc@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1033333,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
La Familia Audio L.L.C.,LLC,Active,Annual report due,2639433,2023-03-31,745 S windham rd,,South windham,United States,06266,CT,lafamiliaaudio22@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1100000,,Automotive Parts and Accessories Stores (441310),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnston Family Builders LLC,LLC,Active,Annual report due,2639435,2023-03-31,50 Walnut St,,Middletown,United States,06457-3848,CT,adam@johnston.build,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,True,True,True,False,2022-12-13 00:18:11.1666667,,New Single-Family Housing Construction (except For-Sale Builders) (236115),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Whaling City Coffee LLC,LLC,Active,Annual report due,2639438,2023-03-31,515 Montauk Ave,,New London,United States,06320-4607,CT,whalingcitycoffee515@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,True,False,True,False,2022-12-13 00:18:11.1333333,,Mobile Food Services (722330),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zoro Plumbing, LLC",LLC,Active,Annual report due,2639439,2023-03-31,108 Willis Ave,,Meriden,United States,06450-7741,CT,zoroplumbing@gmail.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:10.6200000,,"Plumbing, Heating, and Air-Conditioning Contractors (238220)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guardian Estate Services LLC,LLC,Active,Annual report due,2639456,2023-03-31,50 Main Street North,,Woodbury,United States,06798,CT,mesjts88@snet.net,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1100000,fedfurn@snet.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RA Auto Appraisals LLC,LLC,Active,Annual report due,2639463,2023-03-31,51 Westview Ter,,Unionville,United States,06085-1459,CT,roburb@msn.com,Domestic,United States,2022-10-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1566667,,All Other Insurance Related Activities (524298),,,,,,,,,,,,,,,,,,,,,,,,,,,,
L�ora LLC,LLC,Active,Annual report due,2636318,2023-03-31,69 Summer Island Rd,,Branford,United States,06405-5025,CT,robert@shoremagct.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:10.5866667,,Periodical Publishers (511120),"{'type': 'Point', 'coordinates': [-72.81506, 41.25136]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
S-Bell Enterprises Limited Liability Company,LLC,Active,Annual report due,2639469,2023-03-31,12 Pine Grove Rd,,Bloomfield,United States,06002-3326,CT,info@s-bellenterprises.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.1566667,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renshaw Financials LLC,LLC,Active,Annual report due,2639475,2023-03-31,272 Old Colchester Rd.,,Quaker Hill,United States,06375,CT,tylerrenshaw56@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1666667,,Securities and Commodity Exchanges (523210),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solomon AI Designs LLC,LLC,Active,Annual report due,2639495,2023-03-31,4 Batchelder Rd,,Windsor,United States,06095,CT,solomonaidesigns@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8200000,,Electronic Shopping and Mail-Order Houses (454110),"{'type': 'Point', 'coordinates': [-72.64026, 41.84245]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Azimuth Therapeutics LLC,LLC,Active,Annual report due,2639496,2023-03-31,494 Newfield Road,494 Newfield Road,Torrington,United States,06790,CT,arthurjamesanderson@icloud.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,True,False,True,False,2022-12-13 00:18:11.8666667,,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.O. Trucking LLC,LLC,Active,Annual report due,2639497,2023-03-31,314 Cedar Street,4A,Newington,United States,06111,CT,omtransportllc@yahoo.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.8666667,,"General Freight Trucking, Long-Distance, Truckload (484121)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lioness Transportation Limited Liability Company,LLC,Active,Annual report due,2639501,2023-03-31,285 Elm St Apt A8,,Windsor Locks,United States,06096-2224,CT,jj.lionesstransportation@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8666667,jj.lionesstransportation@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116 Housatonic Ave LLC,LLC,Active,Annual report due,2639509,2023-03-31,116 Housatonic Ave,,New Milford,United States,06776,CT,devon@lcpools.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.3700000,devon@lcpools.com,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Collinsville Realty, LLC",LLC,Active,Annual report due,2639512,2023-03-31,12 White Fence Hollow,,Burlington,United States,06013,CT,collinsvillerealty@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,,Lessors of Other Real Estate Property (531190),"{'type': 'Point', 'coordinates': [-72.92106, 41.73635]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Barn Capital LLC,LLC,Active,Annual report due,2639517,2023-03-31,96 Portland Ave,,Wilton,United States,06897-4820,CT,zach@blackbarncapital.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.7933333,zachary.plunkett@gmail.com,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Orchard View Homeowner's Association, Inc.",Non-Stock,Active,First report due,2639520,2022-12-31,,,,,,,phkdevelop1@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.1933333,gabe@ghclawfirm.com,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golden G Services Corp,Stock,Active,First report due,2639536,2022-12-31,,,,,,,andrew71164@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8600000,,Administrative Management and General Management Consulting Services (541611),,,,,200.0,,,,,,,,,,,,,,,,,,,,,,,
Senozaw Organics Professional Limited Liability Co.,LLC,Active,Annual report due,2639522,2023-03-31,1023 Old Colony Rd,21,Meriden,United States,06451-6363,CT,senozaw@icloud.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.3700000,wazona@icloud.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV LLC,LLC,Active,Annual report due,2639539,2023-03-31,69 Quintard Ave,,Norwalk,United States,06854-3713,CT,kabuck777@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.8600000,kabuck777@gmail.com,Administrative Management and General Management Consulting Services (541611),"{'type': 'Point', 'coordinates': [-73.41247, 41.08691]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
"From Their Perspective, LLC",LLC,Active,Annual report due,2639542,2023-03-31,8 Whitewood Dr,,Shelton,United States,06484-5026,CT,fromtheirperspective@hotmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8600000,,Pet Care (except Veterinary) Services (812910),,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEST COAST FIXES LLC,LLC,Active,Annual report due,2639547,2023-03-31,43 Rolling Wood Dr,,Stamford,United States,06905-2326,CT,katz3@optonline.net,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4333333,,,"{'type': 'Point', 'coordinates': [-73.54426, 41.09412]}",,,,,,,,,,,,,,,,,,,,,,,,,,,
Sindy Folgar Corporation,Stock,Active,First report due,2639557,2022-12-31,,,,,,,sindyfolgar@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,True,False,False,2022-12-13 00:18:11.2266667,,"Independent Artists, Writers, and Performers (711510)",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Sensory on Wheels LLC,LLC,Active,Annual report due,2639558,2023-03-31,7 Route 37 Ctr,,Sherman,United States,06784-1502,CT,sensoryonwheels@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:13.1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chicos Landscaping LLC,LLC,Active,Annual report due,2639638,2023-03-31,54 Meadow St,,Norwalk,United States,06854,CT,landscapingchico@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.1200000,,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONEWALL NEW LONDON LLC,LLC,Active,Annual report due,2639561,2023-03-31,375 Colman St,,New London,United States,06320-3713,CT,bharatp@aspenfinancials.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4700000,,Residential Property Managers (531311),,,,,,,,,,,,,,,,,,,,,,,,,,,,
STONEWALL FAST FOODS LLC,LLC,Active,Annual report due,2639569,2023-03-31,375 Colman St,,New London,United States,06320-3713,CT,bharatp@aspenfinancials.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2333333,,All Other Specialty Food Stores (445299),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Family Hugs Quilts LLC,LLC,Active,Annual report due,2639573,2023-03-31,68 holcomb hill road,,New Hartford,United States,06057,CT,familyhugs.quilting@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.2333333,familyhugs.quilting@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sheila's Crafty Corner Limited Liability Company,LLC,Active,Annual report due,2639583,2023-03-31,223A Gallows Hill Rd,,Redding,United States,06896-1413,CT,sheilamariejoyce@yahoo.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:12.4700000,,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ally Bea LLC,LLC,Active,Annual report due,2639589,2023-03-31,132 Ratlum Rd,,New Hartford,United States,06057,CT,ally@shopallybea.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:13.1133333,,Women's Clothing Stores (448120),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syzygy Realty Group LLC,LLC,Active,Annual report due,2639591,2023-03-31,16 Chappell St,,Chaplin,United States,06235-2702,CT,syzygyrealtyllc@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8000000,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,,
pointprecision academy LLC,LLC,Active,Annual report due,2639595,2023-03-31,21 Westview St,,Hamden,United States,06514-4523,CT,tmusic1972@yahoo.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:11.8466667,,All Other Miscellaneous Schools and Instruction (611699),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Don't Worry Home Improvement LLC,LLC,Active,Annual report due,2639596,2023-03-31,204 Beechmont Ave,C,Bridgeport,United States,06606,CT,marcio@dwhicontractor.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4500000,,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absolute Renovations LLC,LLC,Active,Annual report due,2639598,2023-03-31,176 Allen St,,Terryville,United States,06786,CT,gordopalmieri61083@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:12.4500000,,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,,
"MIRKI DESIGN CO, LLC",LLC,Active,Annual report due,2639604,2023-03-31,1011 Washington blvd,1001,Stamford,United States,06901,CT,miro@mirkidesign.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.8666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN Innovative Consulting LLC,LLC,Active,Annual report due,2639609,2023-03-31,370 Emmett St,2-1,Bristol,United States,06010,CT,anovotny3@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.8000000,,Office Administrative Services (561110),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brookside Candle Company LLC,LLC,Active,Annual report due,2639623,2023-03-31,720 Burroughs Rd,,Fairfield,United States,06825-3612,CT,brooksidecandlecompany@gmail.com,Domestic,United States,2022-10-02,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:11.2000000,,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),,,,,,,,,,,,,,,,,,,,,,,,,,,,
