name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,citizenship,date_registration,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,total_authorized_shares,create_dt,billing_unit,business_email_address,country_formation,formation_place,state_or_territory_formation,category_survey_email_address,naics_code,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,sub_status,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3,mailing_international_address,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,records_address_unit
Paulina Vilorio LLC,LLC,Active,2573808,2023-03-31,33 Bouton St,Norwalk,United States,06854,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2900000,,lissette_trrs@yahoo.com,United States,Connecticut,Connecticut,lissette_trrs@yahoo.com,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,
JUS Medical Supplies Limited Liability Company,LLC,Active,2573811,2023-03-31,19 Coach Cir,Naugatuck,United States,06770,CT,Domestic,2022-06-01,True,False,True,False,False,,2022-07-06 00:16:30.3200000,Unit 3,jusmedicalsupplies@gmail.com,United States,Connecticut,Connecticut,,All Other Health and Personal Care Stores (446199),,,,,,,,,,,,,,,,,,,,,,,,,,,
"AtBeautyQ, LLC",LLC,Active,2573838,2023-03-31,16B Fox Ln,Greenwich,United States,06830-6884,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,admin@atbeautyq.com,United States,Connecticut,Connecticut,,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincent J. Pezzella Scholarship Fund Inc.,Non-Stock,Active,2573842,2022-08-30,,,,,,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,donnapezzella@yahoo.com,United States,Connecticut,Connecticut,,Other Grantmaking and Giving Services (813219),,,,,,,,,,,,,,,First report due,,,,,,,,,,,,
America Ugreen Limited,Stock,Active,2573847,2023-06-01,108 West 13th St.,Wilmington,United States,19801,DE,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2600000,,govdocs@corpcreations.com,,DELAWARE,DELAWARE,,Electronic Shopping and Mail-Order Houses (454110),2022-06-01,America Ugreen Limited,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Sword Tattoo, LLC",LLC,Active,2573858,2023-03-31,692 Vernon Street,Manchester,United States,06042,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,scottorletzkiy@yahoo.com,United States,Connecticut,Connecticut,,Other Personal Care Services (812199),,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Canavan Group, LLC",LLC,Active,2573868,2023-03-31,15 Birch Street,Westport,United States,06880,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2733333,,travis.canavan@gmail.com,United States,Connecticut,Connecticut,mike@cw.legal,"All Other Professional, Scientific, and Technical Services (541990)",,,,,,,,,,,,,,,,,,,,,,,,,,,
STEAM Toys LLC,LLC,Active,2573874,2023-03-31,3 Lockwood Cir,Westport,United States,06880-1640,CT,Domestic,2022-06-01,False,False,True,False,False,,2022-07-06 00:16:29.6500000,,shah.daim@gmail.com,United States,Connecticut,Connecticut,,Toy and Hobby Goods and Supplies Merchant Wholesalers (423920),,,,,,,,,,,,,,,,,,,,,,,,,,,
Stratedia Digital Limited Liability Company,LLC,Active,2573898,2023-03-31,172 South Shore Ave.,Groton,United States,06340,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6666667,,info@stratedia.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"C. & K. COLLINS CONSTRUCTION COMPANY, INC.",Stock,Active,2573877,2023-06-01,2 Sheffield Rd,Gansevoort,United States,12831-1487,NY,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6666667,,mcollins@ckcollinsinc.com,,NEW YORK,NEW YORK,,Commercial and Institutional Building Construction (236220),2022-06-15,"C. & K. COLLINS CONSTRUCTION COMPANY, INC.",,,,,,,,,,,,,,,,,,,,,,,,,
RICH & FIELD ACCOUNTING LLC,LLC,Rejected,2573886,,15 SCUPPO RD,DANBURY,United States,06811,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,203,admin@andersonaccounting.org,United States,Connecticut,Connecticut,,Offices of Certified Public Accountants (541211),,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresh Look Automotive Detailing LLC,LLC,Active,2573902,2023-03-31,37 Pond Point Ave,Milford,United States,06460-6748,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,aheffernan@znclaw.com,United States,Connecticut,Connecticut,,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"QUANTUM 3 MEDIA, LLC",LLC,Active,2573895,2023-03-31,8530 CLIFF CAMERON DRIVE,CHARLOTTE,USA,28269,NC,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6500000,,laurie.poulos@tranzact.com,USA,,DELAWARE,,541618,2022-06-01,"QUANTUM 3 MEDIA, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
"Top to Bottom, LLC",LLC,Active,2573901,2023-03-31,2440 Broadbridge Ave,Stratford,United States,06614-3844,CT,Domestic,2022-06-01,True,False,False,False,False,,2022-07-06 00:16:30.2733333,,mary_ladylove05@icloud.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARCELA LOPEZ REI LLC,LLC,Active,2573903,2023-03-31,23 HOWARD AVE,NORWALK,United States,06855,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2733333,,eturcios@turciosins.com,United States,Connecticut,Connecticut,marlosturcios@gmail.com,All Other Information Services (519190),,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA HOCKEY INC.,Stock,Active,2573911,2022-08-30,,,,,,Domestic,2022-06-01,False,False,False,False,False,1000.0,2022-07-06 00:16:30.3200000,,aghockeyclub@gmail.com,United States,Connecticut,Connecticut,erin@servico.com,,,,,,,,,,,,,,,,First report due,,,,,,,,,,,,
SAENZ AGUIRRE SERVICES LLC,LLC,Active,2573924,2023-03-31,60 Newtown Rd,Danbury,United States,06810-6257,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.7100000,#118,multiservice@7statect.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMF INCORPORATED LLC,LLC,Active,2573927,2023-03-31,339 Jackson Ave,Stratford,United States,06615,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.7100000,,efile1234@incfile.com,United States,Connecticut,Connecticut,efile1235@incfile.com,Women's Clothing Stores (448120),,,,,,,,,,,,,,,,,,,,,,,,,,,
Sthree Holdings LLC,LLC,Active,2573925,2023-03-31,60 Gillies Rd,Hamden,United States,06517-2113,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,tim@citiatlas.com,United States,Connecticut,Connecticut,tim@citiatlas.com,Offices of Real Estate Agents and Brokers (531210),,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Safe Water LLC,LLC,Active,2573931,2023-03-31,51 Upper Whittemore Rd,Middlebury,United States,06762-2215,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,ccallahan72@gmail.com,United States,Connecticut,Connecticut,ccallahan72@gmail.com,Water Supply and Irrigation Systems (221310),,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Construction Services Inc,Stock,Active,2573928,2023-06-01,120 Highview Ave,Eastchester,United States,10709,NY,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,atlanticconstructionsvcs@hotmail.com,,NEW YORK,NEW YORK,,Residential Remodelers (236118),2022-06-02,Atlantic Construction Services Inc,,,,,,,,,,,,,,,,,,,,,,,,,
ATB LEGAL LLC,LLC,Active,2573939,2023-03-31,53 Webster St,Fairfield,United States,06825,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,efile1234@incfile.com,United States,Connecticut,Connecticut,efile1235@incfile.com,Offices of Lawyers (541110),,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange & Park Place Limited Liability Company,LLC,Active,2573943,2023-03-31,125 Coldbrook Rd,South Glastonbury,United States,06073-2709,CT,Domestic,2022-06-01,False,False,True,False,False,,2022-07-06 00:16:30.3200000,,joejinjika@hotmail.com,United States,Connecticut,Connecticut,joejinjika@hotmail.com,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
MixWithMike LLC,LLC,Active,2573944,2023-03-31,263 Peaceable St,Ridgefield,United States,06877-4813,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,divesteamike@gmail.com,United States,Connecticut,Connecticut,vera@colbyservice.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562 Canoe Hill Road L.L.C.,LLC,Active,2573955,2023-03-31,592 Canoe Hill Road,New Canaan,United States,06840,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6666667,,klydon70@gmail.com,United States,Connecticut,Connecticut,madlyn@ltr-law.com,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
Go2Items Limited Liability Company,LLC,Active,2573975,2023-03-31,82 Chichester Rd,New Canaan,United States,06840-3914,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2900000,,peter@go2items.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RENT2RENEW LLC,LLC,Active,2573976,2023-03-31,6 Finch Run,Avon,United States,06001,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2900000,,efile1234@incfile.com,United States,Connecticut,Connecticut,efile1235@incfile.com,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cala Health, Inc.",Stock,Active,2573961,2023-06-01,1800 Gateway Drive,San Mateo,United States,94404,CA,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2600000,Suite 300,tax+calahealth@apriocloud.com,,DELAWARE,DELAWARE,,All Other Health and Personal Care Stores (446199),2022-06-01,"Cala Health, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,
Addiction Assassins Inc.,Non-Stock,Active,2573962,2023-06-01,12 Fanny St,Shelton,United States,06484-4505,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,tabishop@hotmail.com,United States,Connecticut,Connecticut,,Other Social Advocacy Organizations (813319),,,,,,,,,,,,,,,,2022-06-01,,,,,,,,,,,
161 Main Street Terryville Realty LLC,LLC,Active,2573998,2023-03-31,100 Main Street North,southbury,United States,06488,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,306,blueridge.mgmnt@gmail.com,United States,Connecticut,Connecticut,blueridge.mgmnt@gmail.com,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
KHALIFA PROPERTIES LLC,LLC,Active,2574007,2023-03-31,25 Talcott Rd,West Hartford,United States,06110-1227,CT,Domestic,2022-06-01,False,False,True,False,False,,2022-07-06 00:16:29.6966667,,baraqaaa786@gmail.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"CREATIVEONE WEALTH, LLC",LLC,Rejected,2573982,,2389 Main St. STE 100,Glastonbury,United States,06033,CT,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,eastern@northwestregisteredagent.com,,KANSAS,KANSAS,,Investment Advice (523930),2022-06-01,"CREATIVEONE WEALTH, LLC",,,,,,,,,,,,,,,,,,,,,,,,,
"The TEJ Group, LLC",LLC,Active,2573993,2023-03-31,163 Beach Road,Milford,United States,06460,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,otejuso@gmail.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A to Zee detailing LLC,LLC,Active,2573995,2023-03-31,371 Norton St,New Haven,United States,06511-7115,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,2,zeekessler95@gmail.com,United States,Connecticut,Connecticut,,Car Washes (811192),,,,,,,,,,,,,,,,,,,,,,,,,,,
CTW^ Created To Win L.L.C.,LLC,Rejected,2573992,,118 Hillhouse Rd,Waterbury,United States,06705,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,efile1234@incfile.com,United States,Connecticut,Connecticut,efile1235@incfile.com,Family Clothing Stores (448140),,,,,,,,,,,,,,,,,,,,,,,,,,,
JORDAN'SC PAINTING LLC,LLC,Active,2574004,2023-03-31,9 Lillian St,Stamford,United States,06902-4225,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,jordanscpaintingllc@gmail.com,United States,Connecticut,Connecticut,,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Just One Musket, Inc",Non-Stock,Active,2574009,2022-08-30,,,,,,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,,tomh6238@gmail.com,United States,Connecticut,Connecticut,tomh6238@gmail.com,Political Organizations (813940),,,,,,,,,,,,,,,First report due,,,,,,,,,,,,
Llewdlac Construction and Property Management L.L.C.,LLC,Active,2574015,2023-03-31,317 Aspen Glen Dr,Hamden,United States,06518-3788,CT,Domestic,2022-06-01,True,False,True,False,False,,2022-07-06 00:16:30.2900000,,rcaldwell6140@gmail.com,United States,Connecticut,Connecticut,rhonda.caldwell@urbanconceptsco.org,New Multifamily Housing Construction (except For-Sale Builders) (236116),,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil's Place LLC,LLC,Active,2574016,2023-03-31,131 Newington Ave,New Britain,United States,06051-2116,CT,Domestic,2022-06-01,False,False,True,False,False,,2022-07-06 00:16:30.2900000,,neilsplace131@gmail.com,United States,Connecticut,Connecticut,,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,
JYC PAINTING LLC,LLC,Active,2574018,2023-03-31,46 TOWN HILL AVENUE,DANBURY,United States,06810,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,APT 2,yesenia_orellana@ymail.com,United States,Connecticut,Connecticut,,Painting and Wall Covering Contractors (238320),,,,,,,,,,,,,,,,,,,,,,,,,,,
Castillo Cleaning Service LLC,LLC,Active,2574070,2023-03-31,24 Patsy Williams Way,Hartford,United States,06106-1919,CT,Domestic,2022-06-01,True,False,True,False,False,,2022-07-06 00:16:30.2900000,,castillocleaningservicellc@gmail.com,United States,Connecticut,Connecticut,,Janitorial Services (561720),,,,,,,,,,,,,,,,,,,,,,,,,,,
Pricol1973 LLC,LLC,Active,2574043,2023-03-31,68 Cannon Road,East Hartford,United States,06108,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2900000,,dappadanrosario@gmail.com,United States,Connecticut,Connecticut,,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
Rose Limitless LLC,LLC,Active,2574077,2023-03-31,410 Emmett St,Bristol,United States,06010-8600,CT,Domestic,2022-06-01,False,False,True,False,False,,2022-07-06 00:16:30.2900000,Unit 70,roselimitlessclothing@gmail.com,United States,Connecticut,Connecticut,roselimitlessclothing@gmail.com,Other Clothing Stores (448190),,,,,,,,,,,,,,,,,,,,,,,,,,,
Freedom Learning LLC,LLC,Active,2574050,2023-03-31,1012 Quaddick Town Farm Rd,Thompson,United States,06277-2916,CT,Domestic,2022-06-01,True,False,False,False,False,,2022-07-06 00:16:29.6666667,,daniellemwallace860@gmail.com,United States,Connecticut,Connecticut,daniellemwallace860@gmail.com,Exam Preparation and Tutoring (611691),,,,,,,,,,,,,,,,,,,,,,,,,,,
Flirtatious Flutters L.L.C.,LLC,Active,2574052,2023-03-31,124 Ashcraft Rd,New London,United States,06320,CT,Domestic,2022-06-01,True,False,True,False,True,,2022-07-06 00:16:30.3200000,,flirtatiousflutters@gmail.com,United States,Connecticut,Connecticut,,Beauty Salons (812112),,,,,,,,,,,,,,,,,,,,,,,,,,,
"73 Irving Street, LLC",LLC,Active,2574053,2023-03-31,399 Foster St,South Windsor,United States,06074-2901,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,endremike253@yahoo.com,United States,Connecticut,Connecticut,scott.lingenfelter@mnnlaw.com,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,,,,,
SLG eCommerce LLC,LLC,Active,2574074,2023-03-31,2389 MAIN ST. STE 100,Glastonbury,United States,06033,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,llcsupport@primecorporateservices.com,United States,Connecticut,Connecticut,,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,
ATLAS TECHNOLOGY SOLUTIONS INC.,Stock,Active,2574063,2023-06-01,1 N FRANKLIN ST STE 2600,CHICAGO,USA,60606,IL,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2266667,,,UNITED STATES,,DELAWARE,,541612,2022-05-31,ATLAS TECHNOLOGY SOLUTIONS INC.,,,,,,,,,,,,,,,,,,,,,,,,,
"All Night Long Entertainment, LLC",LLC,Active,2574080,2023-03-31,61 Dann Dr,Stamford,United States,06905-3502,CT,Domestic,2022-06-01,True,False,False,False,False,,2022-07-06 00:16:29.6666667,,rockmypartyentertainment@gmail.com,United States,Connecticut,Connecticut,,"Independent Artists, Writers, and Performers (711510)",,,,,,,,,,,,,,,,,,,,,,,,,,,
RICH FIELDS ACCOUNTING & FINANCE LLC,LLC,Active,2574086,2023-03-31,329 DANBURY RD,NEW MILFORD,United States,06776,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2733333,B,admin@andersonaccounting.org,United States,Connecticut,Connecticut,,Offices of Certified Public Accountants (541211),,,,,,,,,,,,,,,,,,,,,,,,,,,
@bestbudsgrow LLC,LLC,Active,2574093,2023-03-31,44 W Whisconier Rd,Brookfield,United States,06804-3737,CT,Domestic,2022-06-01,True,False,True,False,False,,2022-07-06 00:16:30.2733333,,2bestbudsgrow@gmail.com,United States,Connecticut,Connecticut,,All Other Grain Farming (111199),,,,,,,,,,,,,,,,,,,,,,,,,,,
"WHEREOWARE, INC.",Stock,Active,2574099,2023-06-01,1660 INTERNATIONAL DRIVE STE 600,MCLEAN,USA,22102,VA,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,accountspayable@whereoware.com,USA,,DELAWARE,,541613,2021-01-01,"WHEREOWARE, INC.",,,,,,,,,,,,,,,,,,,,,,,,,
"SIR-31 Ellery, LLC",LLC,Active,2574101,2023-03-31,943 Post Rd E,Westport,United States,06880,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,julieharoun@gmail.com,United States,Connecticut,Connecticut,,New Housing For-Sale Builders (236117),,,,,,,,,,,,,,,,,,,,,,,,,,,
FlyLight Charters LLC,LLC,Active,2574102,2023-03-31,500 Simsbury Rd,Bloomfield,United States,06002-1535,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3200000,,agent@bizfilings.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tryon Real Estate LLC,LLC,Active,2574105,2023-03-31,145 New London Tpke,Glastonbury,United States,06033,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2900000,1123,gabbysoper.realtor@gmail.com,United States,Connecticut,Connecticut,rjsoper72@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archwell Insurance Services, LLC",LLC,Rejected,2574109,,1400 E Newport Center Dr,Deerfield Beach,United States,33442-7737,FL,Foreign,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6666667,102,erik.anderson@archwellsolutions.com,,FLORIDA,FLORIDA,,All Other Insurance Related Activities (524298),2022-07-01,"Archwell Insurance Services, LLC","1400 E Newport Center Dr, 102, Deerfield Beach, FL, 33442-7737, United States",1400 E Newport Center Dr,Deerfield Beach,FL,33442-7737,United States,"1200 S Pine Island Rd, Plantation, FL, 33324-4413, United States",1200 S Pine Island Rd,Plantation,FL,33324-4413,United States,,,102,,,,,,,,,,
Boat Boys LLC,LLC,Active,2574114,2023-03-31,19 Day St,Norwalk,United States,06854-4908,CT,Domestic,2022-06-01,False,False,False,True,False,,2022-07-06 00:16:29.7100000,,george@boatboys.us,United States,Connecticut,Connecticut,gdumbauld@yahoo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CT Esports Academy LLC,LLC,Active,2574117,2023-03-31,785 Old Turnpike Rd,Plantsville,United States,06479-1715,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,admin@ctesportsacademy.com,United States,Connecticut,Connecticut,,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,,,,,,,
"WAP Truck, LLC",LLC,Active,2574128,2023-03-31,57 Pratt St,Hartford,United States,06103-1604,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:29.6800000,Suite 200,gina@place2bect.com,United States,Connecticut,Connecticut,brian@lawsilver.com,Mobile Food Services (722330),,,,,,,,,,,,,,,,,,,,,,,,,,,
BIBA COMPANY Limited Liability Company,LLC,Active,2574138,2023-03-31,29 Sundance Dr,Branford,United States,06405,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.3066667,,thebibacompany@gmail.com,United States,Connecticut,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63 Sheffield Holdings LLC,LLC,Active,2574149,2023-03-31,565 Ellsworth Ave,New Haven,United States,06511-1672,CT,Domestic,2022-06-01,False,False,False,False,False,,2022-07-06 00:16:30.2433333,,mdbatim@gmail.com,United States,Connecticut,Connecticut,,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
