name,business_type,status,sub_status,accountnumber,annual_report_due_date,began_transacting_in_ct,billingstreet,billing_unit,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,business_name_in_state_country,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,create_dt,geo_location,country_formation,naics_code,total_authorized_shares,date_of_organization_meeting,category_survey_email_address,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_3,office_jurisdiction_3,dissolution_date,record_address,records_address_street,records_address_city,records_address_state,records_address_zip_code,records_address_country,mailing_international_address,mail_jurisdiction,records_address_unit
"Care Counseling, PLLC",LLC,Active,Annual report due,2653470,2023-03-31,,98 East Ave,,Norwalk,United States,06851,CT,amy.dorsey512@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:18.4400000,,United States,Architectural Services (541310),,,,,,,,,,,,,,,,,,,,,,,,,,,
The Oscar W. Larson Company,Stock,Active,Annual report due,2653480,2023-11-01,2022-11-01,10100 Dixie Hwy,,Clarkston,United States,48348-2414,MI,sosteam@csilongwood.com,The Oscar W. Larson Company,Foreign,2022-11-01,MICHIGAN,MICHIGAN,False,False,False,False,False,2022-12-13 00:18:20.3400000,,,Commercial and Institutional Building Construction (236220),,,,,,,,,,,,,,,,,,,,,,,,,,,
BROTHER'S 2 HAND CAR WASH LLC,LLC,Active,Annual report due,2654748,2023-03-31,,1267 Fairfield Ave,,Bridgeport,United States,06605-1119,CT,segundoperez1982@hotmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8033333,,United States,Car Washes (811192),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pizzeria Molto, Inc.",Stock,Active,Annual report due,2654757,2023-11-02,,30 Charles St,,Westport,United States,06880-5801,CT,dannycampo4545@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8033333,,United States,Full-Service Restaurants (722511),1000.0,2022-11-01,jtramuta@mtelawfirm.com,,,,,,,,,,,,,,,,,,,,,,,,
Bunny Hollow Farm Properties LLC,LLC,Active,Annual report due,2654758,2023-03-31,,187 Gracey Ave,,Meriden,United States,06451-2213,CT,martinjarv@icloud.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.8033333,"{'type': 'Point', 'coordinates': [-72.79296, 41.5545]}",United States,Other Activities Related to Real Estate (531390),,,attorneyforestgreen@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
PINK BUTTERFLY BAGS AND MORE Limited Liability Company,LLC,Active,Annual report due,2654750,2023-03-31,,225 Anthony St BUILDING 15,209,Bridgeport,United States,06605-2836,CT,carmengonzalez1128.cg@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:21.7600000,,United States,Electronic Shopping and Mail-Order Houses (454110),,,,,,,,,,,,,,,,,,,,,,,,,,,
"ART + 1, INC.",Stock,Active,Annual report due,2654760,2023-11-01,2022-11-01,485 E LINCOLN AVE #608,,MT VERNON,United States,10552,NY,artan@artplus1inc.com,"ART + 1, INC.",Foreign,2022-11-01,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:18:21.7600000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DYNAMIC CELLULAR 37TH STREET, Inc.",Stock,Active,Annual report due,2654754,2023-11-01,2022-11-01,266 W 37th St,,New York,United States,10018-6609,NY,ndarji@darjicpa.com,"DYNAMIC CELLULAR 37TH STREET, INC.",Foreign,2022-11-01,New York,New York,False,False,False,False,False,2022-12-13 00:18:19.6133333,,,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,,,,,,,,,,,,,,,,,,,,
Back East Athletics LLC,LLC,Active,Annual report due,2654759,2023-03-31,,146 Dividend Rd,,Rocky Hill,United States,06067-3741,CT,info@backeastcrossfit.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6133333,,United States,Fitness and Recreational Sports Centers (713940),,,,,,,,,,,,,,,,,,,,,,,,,,,
"MOMENTIST STUDIOS, INC.",Stock,Active,Annual report due,2654733,2023-11-01,,424 W MORRIS RD,,MORRIS,United States,06763,CT,sumeera@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:11.2000000,,United States,Graphic Design Services (541430),1000.0,2022-11-01,orders@usa-corporate.com,,,,,,,,,,,,,,,,,,,,,,,,
"WGC Partners, LLC",LLC,Active,Annual report due,2654744,2023-03-31,,276 Post Rd W,,Westport,United States,06880,CT,scott.rick@comcast.net,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7333333,,United States,Offices of Real Estate Agents and Brokers (531210),,,mail@attorneyodonnell.com,,,,,,,,,,,,,,,,,,,,,,,,
Heather Walton Associated LLC,LLC,Active,Annual report due,2654737,2023-03-31,,45 Coulter St,,Old Saybrook,United States,06475-2351,CT,heatherwaltonassociated@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:13.9000000,,United States,Administrative Management and General Management Consulting Services (541611),,,fulfillment+formations@zenbusiness.com,,,,,,,,,,,,,,,,,,,,,,,,
"Federal Resources Supply Company, LLC",LLC,Active,Annual report due,2654740,2023-03-31,2022-11-01,235G Log Canoe Cir,,Stevensville,United States,21666-2165,MD,tax@federalresources.com,"Federal Resources Supply Company, LLC",Foreign,2022-11-01,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:08:34.4533333,"{'type': 'Point', 'coordinates': [-76.31708, 38.98934]}",,Other Miscellaneous Durable Goods Merchant Wholesalers (423990),,,,"251 Little Falls Dr, Wilmington, DE, 19808-1674, United States",251 Little Falls Dr,Wilmington,DE,19808-1674,United States,"251 Little Falls Dr, Wilmington, DE, 19808-1674, United States",251 Little Falls Dr,Wilmington,DE,19808-1674,United States,,,,,,,,,,,,
On The Mark Marketing LLC,LLC,Active,Annual report due,2654743,2023-03-31,,91 Swendsen Dr,,Monroe,United States,06468-2069,CT,tricia@otmgroupllc.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,True,False,False,False,2022-12-13 00:18:20.3066667,"{'type': 'Point', 'coordinates': [-73.17652, 41.3437]}",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taconic Cutlery LLC,LLC,Active,Annual report due,2654739,2023-03-31,2022-11-01,27 Meeting House Rd,,Pawling,United States,12564-1602,NY,thebestcpa@aol.com,Taconic Cutlery LLC,Foreign,2022-11-01,NEW YORK,NEW YORK,False,False,False,False,False,2022-12-13 00:08:34.4533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Appraisers First Inc.,Stock,Active,Annual report due,2653692,2023-11-01,2023-01-02,199 Broad St,1C,Bloomfield,United States,07003,NJ,info@appraisersfirstamc.com,Appraisers First Inc.,Foreign,2022-11-01,NEW JERSEY,NEW JERSEY,False,False,False,False,False,2022-12-13 00:18:21.1100000,,,Offices of Real Estate Appraisers (531320),,,,,,,,,,,,,,,,,,,,,,,,,,,
FPHL Danbury Hat Tricks Booster Club Company,Non-Stock,Active,Annual report due,2653965,2023-11-04,,35 Hawley Road Ext,,Danbury,United States,06811-4952,CT,lisamstalker@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.0033333,,United States,Civic and Social Organizations (813410),,2022-10-25,,,,,,,,,,,,,,,,,,,,,,,,,
Festival 52 Foundation Inc,Non-Stock,Active,Annual report due,2654108,2023-11-02,,72 Benedict Rd,,Bethel,United States,06801-1117,CT,festival52foundationinc@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:18.3466667,,United States,"Promoters of Performing Arts, Sports, and Similar Events without Facilities (711320)",,2022-10-31,,,,,,,,,,,,,,,,,,,,,,,,,
Three Residences LLC,LLC,Active,Annual report due,2654328,2023-03-31,,2389 Main St,STE 100,Glastonbury,United States,06033-4617,CT,3threeresidences@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.7366667,,United States,Lessors of Other Real Estate Property (531190),,,,,,,,,,,,,,,,,,,,,,,,,,,
We the Children Inc.,Non-Stock,Active,First report due,2654335,2023-01-30,,,,,,,,rachel.morgan6190@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,True,True,False,2022-12-13 00:18:17.7366667,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"HAITIAN-AMERICAN SOCCER VETERANS OF CT, INC",Non-Stock,Active,First report due,2654576,2023-01-30,,,,,,,,hasovecclub@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:19.1066667,,United States,All Other Amusement and Recreation Industries (713990),,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veriforce, LLC",LLC,Active,Annual report due,2654622,2023-03-31,2020-06-01,1575 Sawdust Rd,Suite 600,Spring,United States,77380-3495,TX,vfsalestax@veriforce.com,"Veriforce, LLC",Foreign,2022-11-01,NEW MEXICO,NEW MEXICO,False,False,False,False,False,2022-12-13 00:18:21.0433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Upscale LLC,LLC,Active,Annual report due,2654623,2023-03-31,,1000 Lafayette Blvd,1100,Bridgeport,United States,06604-4725,CT,upscalefacility@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:21.0433333,,United States,Marketing Consulting Services (541613),,,thespecialthc@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
Weston Street LLC,LLC,Active,Annual report due,2654627,2023-03-31,,2 Aarons Way,,East Hampton,United States,06424-2001,CT,rstratoti@msn.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:20.3733333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARSHIPAPP.COM LLC,LLC,Active,Annual report due,2654639,2023-03-31,,8 Melon Ln,,Ridgefield,United States,06877-3329,CT,gcarfreight@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:16.5100000,,United States,"General Freight Trucking, Long-Distance, Less Than Truckload (484122)",,,,,,,,,,,,,,,,,,,,,,,,,,,
Simeon's Hardscapes LLC,LLC,Active,Annual report due,2654643,2023-03-31,,105 Peck Ln,,Bristol,United States,06010-6163,CT,simeonshardscapes@yahoo.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:20.3566667,,United States,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,
Meisterling Construction LLC,LLC,Active,Annual report due,2654648,2023-03-31,,270 Orchard Street,,Rocky Hill,United States,06067,CT,jmeisterling@mac.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:18.4333333,,United States,Site Preparation Contractors (238910),,,,,,,,,,,,,,,,,,,,,,,,,,,
Freight Truckers LLC,LLC,Active,Annual report due,2654651,2023-03-31,,91 Hinman St,,West Haven,United States,06516-1634,CT,freighttruckersllc@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,True,True,False,False,2022-12-13 00:18:18.9866667,,United States,Freight Transportation Arrangement (488510),,,,,,,,,,,,,,,,,,,,,,,,,,,
Xpert Mortgage Services LLC,LLC,Active,Annual report due,2654653,2023-03-31,2022-11-14,400 E Glass Rd,,Ortonville,United States,48462,MI,kristinamarie0803@gmail.com,Xpert Mortgage Services LLC,Foreign,2022-11-01,MICHIGAN,MICHIGAN,False,False,False,False,False,2022-12-13 00:18:18.9933333,,,Mortgage and Nonmortgage Loan Brokers (522310),,,,,,,,,,,,,,,,,,,,,,,,,,,
rice rescue llc,LLC,Active,Annual report due,2654657,2023-03-31,,132 Federal Rd,C,Danbury,United States,06811-4047,CT,chris@mobilerescuetechrepair.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:18.9866667,,United States,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine's Creations LLC,LLC,Active,Annual report due,2654666,2023-03-31,,323 Captain Thomas Blvd,,West Haven,United States,06516-5948,CT,ccflowershop323@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:18.4333333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ursa Securitas LLC,LLC,Active,Annual report due,2654692,2023-03-31,,26 School Street,,Mystic,United States,06355,CT,ursasecuritas@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:18.4333333,,United States,Computer Systems Design Services (541512),,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Ripe Tomato Deli, LLC",LLC,Active,Annual report due,2654667,2023-03-31,,392 Torrington Rd,,Litchfield,United States,06759-2702,CT,susansmith@optonline.net,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.1033333,,United States,Limited-Service Restaurants (722513),,,susansmith@optonline.net,,,,,,,,,,,,,,,,,,,,,,,,
MOXIE Landscaping LLC,LLC,Active,Annual report due,2654672,2023-03-31,,4 Fort Hill Rd,Unit 6,Groton,United States,06340-4762,CT,admin@ctmoxie.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,True,False,False,False,2022-12-13 00:18:21.1033333,,United States,Landscaping Services (561730),,,,,,,,,,,,,,,,,,,,,,,,,,,
MUTINY HQ CORPORATION,Stock,Active,Annual report due,2654673,2023-11-01,2022-11-07,"1359 Minna Street, C",,San Francisco,United States,94103,CA,mutinyhq@agent.middesk.com,MUTINY HQ CORPORATION,Foreign,2022-11-01,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:21.1033333,"{'type': 'Point', 'coordinates': [-122.41914, 37.76735]}",,Custom Computer Programming Services (541511),,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradigm Software LLC,LLC,Active,Annual report due,2654676,2023-03-31,2022-11-01,113 Old Padonia Rd,200,Cockeysville,United States,21030-4927,MD,jackie.barlow@paradigmsoftware.com,Paradigm Software LLC,Foreign,2022-11-01,MARYLAND,MARYLAND,False,False,False,False,False,2022-12-13 00:18:20.3566667,"{'type': 'Point', 'coordinates': [-76.63685, 39.45714]}",,Custom Computer Programming Services (541511),,,,"113 Old Padonia Rd, 200, Cockeysville, MD, 21030-4927, United States",113 Old Padonia Rd,Cockeysville,MD,21030-4927,United States,"113 Old Padonia Rd, 200, Cockeysville, MD, 21030-4927, United States",113 Old Padonia Rd,Cockeysville,MD,21030-4927,United States,200,200,,,,,,,,,,
"Advantage Business Finance, LLC",LLC,Active,Annual report due,2654680,2023-03-31,,221 Tunxis Rd,,West Hartford,United States,06107-3201,CT,advantagebusinessfinance@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,True,False,False,False,2022-12-13 00:18:20.3566667,,United States,Sales Financing (522220),,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyperware Services LLC,LLC,Active,Annual report due,2654686,2023-03-31,,79 Myrtle St,C3,Hartford,United States,06105,CT,hyperware@icloud.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:19.0900000,,United States,Communication Equipment Repair and Maintenance (811213),,,,,,,,,,,,,,,,,,,,,,,,,,,
Instillness Therapy LLC,LLC,Active,Annual report due,2654689,2023-03-31,,7 Hamilton Lane,,Weatogue,United States,06089,CT,instillnesstherapy@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:19.6000000,"{'type': 'Point', 'coordinates': [-72.82199, 41.832770000000004]}",United States,Offices of Mental Health Practitioners (except Physicians) (621330),,,,,,,,,,,,,,,,,,,,,,,,,,,
Transition Forward Co.,Stock,Active,Annual report due,2654695,2023-11-01,2023-01-01,2289 Bedford St,Unit G18,Stamford,United States,06905,CT,benjamin.balmy@gmail.com,Transition Forward Co.,Foreign,2022-11-01,DELAWARE,DELAWARE,False,False,False,False,False,2022-12-13 00:18:19.6000000,,,Other Social Advocacy Organizations (813319),,,,,,,,,,,,,,,,,,,,,,,,,,,
207 Storrs LLC,LLC,Active,Annual report due,2654693,2023-03-31,,207 Storrs Rd,,Mansfield Center,United States,06250-1638,CT,wgy1999@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.2266667,,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),,,info@blondinlaw.com,,,,,,,,,,,,,,,,,,,,,,,,
SUNRISE COMMODITIES LLC,LLC,Active,Annual report due,2654715,2023-03-31,,340 Palisade Ave,C4,Bridgeport,United States,06610-3409,CT,roblambs33@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:20.3566667,"{'type': 'Point', 'coordinates': [-73.16508, 41.19771]}",United States,Offices of Real Estate Agents and Brokers (531210),,,roblambs33@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,
MVP Real Estate Group LLC,LLC,Active,Annual report due,2654719,2023-03-31,,23 South Main Street,,Norwalk,United States,06854,CT,mzheng@mansioncap.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:18.4333333,,United States,Other Activities Related to Real Estate (531390),,,sjohnson@sheprohawkins.com,,,,,,,,,,,,,,,,,,,,,,,,
"Oil Mill Road 36, LLC",LLC,Active,Annual report due,2654725,2023-03-31,,30 Hawks Ridge Drive,,Shelton,United States,06484,CT,kovacproperties@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.7666667,,United States,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,,,,,
ED AUTO BODY WORKS ON WHEELS LLC,LLC,Active,Annual report due,2654729,2023-03-31,,5 BAYVIEW AVE,,NORWALK,United States,06851,CT,edautobodyworksonwheels@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,True,False,False,2022-12-13 00:18:17.7666667,,United States,"Automotive Body, Paint, and Interior Repair and Maintenance (811121)",,,,,,,,,,,,,,,,,,,,,,,,,,,
"PK Blocker, LLC",LLC,Active,Annual report due,2654730,2023-03-31,,125 Booth Hill Rd.,,Shelton,United States,06484,CT,pkelley@alinabal.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:17.7666667,,United States,Miscellaneous Financial Investment Activities (523999),,,,,,,,,,,,,,,,,,,,,,,,,,,
Bell Security Services LLC,LLC,Active,Annual report due,2654764,2023-03-31,,8234 Avalon Gates,,Trumbull,United States,06611-5831,CT,bptg2@aol.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7533333,,United States,Security Guards and Patrol Services (561612),,,business@totallegal.com,,,,,,,,,,,,,,,,,,,,,,,,
Hills Shelton LLC,LLC,Active,Annual report due,2654766,2023-03-31,,202 Leavenworth Rd,B,Shelton,United States,06484-1809,CT,sshuby72@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,False,2022-12-13 00:18:21.7466667,,United States,Snack and Nonalcoholic Beverage Bars (722515),,,,,,,,,,,,,,,,,,,,,,,,,,,
725 CONN GAMES L.L.C.,LLC,Active,Annual report due,2654767,2023-03-31,,1624 BONITA AVE,,LAS VEGAS,United States,89109,NV,efile1234@incfile.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.7466667,,United States,"Independent Artists, Writers, and Performers (711510)",,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
TbarJ LLC,LLC,Active,Annual report due,2654778,2023-03-31,,717 Woodbine Estates Rd,,Gainesville,United States,76240-1813,TX,jones.and.tiffany@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.0266667,,United States,Lessors of Residential Buildings and Dwellings (531110),,,rjones1357@aol.com,,,,,,,,,,,,,,,,,,,,,,,,
"Rhode Island Restoration, Inc.",Stock,Active,Annual report due,2654775,2023-11-01,2022-11-01,1135 Charles Street,,North Providence,United States,02904,RI,eastern@registeredagentsinc.com,"Rhode Island Restoration, Inc.",Foreign,2022-11-01,RHODE ISLAND,RHODE ISLAND,False,False,False,False,False,2022-12-13 00:18:21.6633333,,,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,,,,,,,,
AB Livewell Limited Liability Company,LLC,Active,Annual report due,2654812,2023-03-31,,1212 Main Street,729,Hartford,United States,06103,CT,amanda@ablivewell.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,False,False,True,2022-12-13 00:18:21.6633333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angels Guest Home LLC,LLC,Active,Annual report due,2654820,2023-03-31,,12 Bristol str,,Windsor,United States,06095,CT,carlineb30@aol.com,,Domestic,2022-11-01,Connecticut,Connecticut,True,False,True,True,False,2022-12-13 00:18:21.6633333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIPPFY INC.,Stock,Active,First report due,2654795,2023-01-30,,,,,,,,efile1234@incfile.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.6633333,,United States,Computer Systems Design Services (541512),1500.0,,efile1235@incfile.com,,,,,,,,,,,,,,,,,,,,,,,,
Elevatus Partners LLC,LLC,Active,Annual report due,2654796,2023-03-31,,931 N River Rd.,,Coventry,United States,06238,CT,elevatuspartners@gmail.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.6633333,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spot On Manager LLC,LLC,Active,Annual report due,2654803,2023-03-31,,184 Selleck St,,Stamford,United States,06902-6639,CT,drputter@spotonvet.com,,Domestic,2022-11-01,Connecticut,Connecticut,False,False,False,False,False,2022-12-13 00:18:21.6633333,,United States,Pet Care (except Veterinary) Services (812910),,,ezimoulis@martinllp.net,,,,,,,,,,,,,,,,,,,,,,,,
"EMPOWER PUBLISHING, LLC",LLC,Active,Annual report due,2654783,2023-03-31,,"C/O BERKOWITZ, TRAGER & TRAGER, LLC 8 WRIGHT STREET",,WESTPORT,USA,06880-3100,CT,empowerpublishing1@gmail.com,,Domestic,2022-11-01,,Connecticut,False,False,False,False,False,2022-12-13 00:18:19.6466667,,United States,513130,,,,,,,,,,,,,,,,,,,,,,,,,,,
