name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,sub_status,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,country_formation,naics_sub_code,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,total_authorized_shares,dissolution_date,date_of_organization_meeting,category_survey_email_address,billing_unit,mailing_jurisdiction_3,office_jurisdiction_3
"COTTAGE GROVE ROAD DONUTS, LLC",LLC,Active,1280800,2022-03-31,1 KIRBY ROAD,WALLINGFORD,United States,06416,CT,czafiris@cjzorg.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Baked Goods Stores (445291),2021-11-10 00:08:26.6666667,,,,,,,,,,,,,,,,,,,,,,,,,
"REX - REAL ESTATE EXCHANGE, INC.",Stock,Active,1280801,2022-08-01,3300 N Interstate 35,Austin,United States,78705-1800,TX,monica@folliardcpa.com,Foreign,2018-08-01,DE,DE,False,False,False,False,False,Offices of Real Estate Agents and Brokers (531210),2021-11-10 00:08:26.6666667,,,2018-11-01,"REX - REAL ESTATE EXCHANGE, INC.",United States,531210.0,,,,,,,,,,,,,,,,,,,
FRIENDS WITH CARE LLC.,LLC,Active,1280802,2019-03-31,125 WEST ST STE 8,BRISTOL,,06010,CT,KEISHA.JK.WILLIAMS@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"88 FEDERAL ROAD, LLC",LLC,Active,1280803,2020-03-31,92 FEDERAL ROAD,DANBURY,United States,06810,CT,GEORGE.SALTZ@NESSAUTOCT.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
PARK PLACE CT LLC,LLC,Active,1280804,2022-03-31,34 HEARTHSTONE DR  34 HEARTHSTONE DR,HEBRON,United States,06248,CT,zenihess88@aol.com,Domestic,2018-08-01,CT,Connecticut,True,False,True,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:08:26.6666667,,,,,,531120.0,,,,,,,,,,,,,,,,,,,
"ONE MAN GANG HOME RESTORATION, LLC",LLC,Active,1280806,2019-03-31,"51 SEYMS ST., 1R",HARTFORD,,06120,CT,JORADAVIS64@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"BEER EXCHANGE, LLC",LLC,Active,1280807,2020-03-31,388 ORANGE STREET,NEW HAVEN,United States,06511,CT,LFASANO@FILLAW.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
POST PARTY L.L.C.,LLC,Active,1280808,2019-03-31,61 BOSTON POST ROAD,ORANGE,,06477,CT,RAJDES44@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.6666667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
LUCKOWSKY CONSTRUCTION LLC,LLC,Active,1280809,2021-03-31,44 BEACH HILL RD,TRUMBULL,United States,06611,CT,marekluc@yahoo.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Framing Contractors (238130),2021-11-10 00:08:26.6666667,Annual report past due,,,,,238130.0,,,,,,,,,,,,,,,,,,,
949 BOSTON POST ROAD LLC,LLC,Active,1280811,2022-03-31,949 BOSTON POST RD,WEST HAVEN,United States,06516,CT,JULIASMARKETLLC@YAHOO.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),2021-11-10 00:08:26.6666667,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
JG MADISON LLC,LLC,Active,1280812,2022-03-31,4949 MADISON AVE,TRUMBULL,United States,06611,CT,jg@jgmadison.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Wood Office Furniture Manufacturing (337211),2021-11-10 00:08:26.6666667,,,,,,337211.0,,,,,,,,,,,,,,,,,,,
HAIR BY JESSIE RYAN LLC,LLC,Active,1280813,2022-03-31,662 BUFF CAP RD.,TOLLAND,United States,06084,CT,hairbyjessieryan@gmail.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,True,False,Beauty Salons (812112),2021-11-10 00:08:26.7133333,,,,,,812112.0,,,,,,,,,,,,,,,,,,,
"TKO CONSTRUCTION, LLC",LLC,Active,1280814,2021-03-31,234 LIME KILN ROAD,HOPEWELL JUNCTION,United States,12533,NY,AtorresRS125FPR@outlook.com,Domestic,2018-08-01,NY,Connecticut,False,False,False,False,False,All Other Personal Services (812990),2021-11-10 00:08:26.7133333,Annual report past due,,,,,812990.0,,,,,,,,,,,,,,,,,,,
BELL BROTHERS TRANSPORT LLC,LLC,Active,1280816,2019-03-31,235 MAIN ST APT 6C-2,EAST HARTFORD,,06118,CT,BELLBROSTRANSPORT@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
HS STORE LLC,LLC,Active,1280818,2019-03-31,59 GAFFNEY PLACE,WATERBURY,,06702,CT,HASMIT81@YAHOO.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
RIVSTYX GAMES STUDIO L.L.C.,LLC,Active,1280819,2022-03-31,101 HIGHLAND AVE,STRATFORD,United States,06614,CT,rivstyx@rivstyxgamesstudio.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Software Publishers (511210),2021-11-10 00:08:26.7133333,,,,,,511210.0,,,,,,,,,,,,,,,,,,,
"LAUNDROMAX-1549 BARNUM, LLC",LLC,Active,1280820,2022-03-31,"97-77 QUEENS BLVD., SUITE 620",REGO PARK,United States,11374,NY,ylipis@laundrycapital.com,Domestic,2018-08-01,NY,Connecticut,False,False,False,False,False,Drycleaning and Laundry Services (except Coin-Operated) (812320),2021-11-10 00:08:26.7133333,,,,,,812320.0,,,,,,,,,,,,,,,,,,,
NEVAEHA LANDSCAPING LLC,LLC,Dissolved,1280822,2019-03-31,993 STATE ST,BRIDGEPORT,,06605,CT,JASONRIVERA3112.JR@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,,,,,,,,,,,,,,,,,,,,2021-02-18T00:00:00.000,,,,,
THE GUFFEY AGENCY LLC,LLC,Active,1280823,2020-03-31,258 ROUTE 12 SUITE 3C,GROTON,,06340,CT,RGUFFEY@FARMERSAGENT.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"THERMO KING DE PUERTO RICO, INC.",Stock,Active,1280826,2022-08-01,800-E BEATY STREET,DAVIDSON,United States,28036,NC,Compliancemail@cscinfo.com,Foreign,2018-08-01,DE,DE,False,False,False,False,False,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing (333415),2021-11-10 00:08:26.7133333,,,2017-01-01,"THERMO KING DE PUERTO RICO, INC.",United States,333415.0,,,,,,,,,,,,,,,,,,,
SOUTHPORT HARBOR PROPERTIES LLC,LLC,Active,1280828,2020-03-31,84 OLD ORCHARD PARK,FAIRFIELD,,06824,CT,GERRYBURDO@NEHDS.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
MEDWERX LLC,LLC,Active,1280830,2019-03-31,48 UNION ST STE 1C,STAMFORD,,06906,CT,SUNILNY2@YAHOO.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7133333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"THE DENIM BLONDE, LLC",LLC,Active,1280831,2022-03-31,186 HARRISON PL,ORANGE,United States,06477,CT,carl@thedenimblonde.com,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,Clothing Accessories Stores (448150),2021-11-10 00:08:26.7433333,,,,,,448150.0,,,,,,,,,,,,,,,,,,,
COX CONSTRUCTION LLC,LLC,Active,1280832,2020-03-31,789 RTE 32,NORTH FRANKLIN,United States,06254,CT,COXCONSTRUCTION.sc@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
"MANAGED MARKETS INSIGHT & TECHNOLOGY, LLC",LLC,Active,1280833,2022-03-31,1040 STONY HILL RD. SUITE 300,YARDLEY,United States,19067,PA,Compliancemail@cscinfo.com,Foreign,2018-08-01,DE,DE,False,False,False,False,False,All Other Information Services (519190),2021-11-10 00:08:26.7433333,,,2018-08-01,"MANAGED MARKETS INSIGHT & TECHNOLOGY, LLC",United States,519190.0,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DR., WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR.,WILMINGTON,DE,19808,United States,,,,,,,
"PASCARELLA TAX RESOLUTIONS SERVICES, LLC",LLC,Active,1280834,2022-03-31,48 S BROAD TER,MERIDEN,United States,06450,CT,apascarella@aptaxresolutionservices.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Tax Preparation Services (541213),2021-11-10 00:08:26.7433333,,,,,,541213.0,,,,,,,,,,,,,,,,,,,
"CAROL ONE MANAGEMENT, LLC",LLC,Active,1280836,2022-03-31,3089 BROADBRIDGE AVENUE,STRATFORD,United States,06614,CT,carol@cristini.net,Domestic,2018-08-01,CT,Connecticut,True,False,False,False,False,"Corporate, Subsidiary, and Regional Managing Offices (551114)",2021-11-10 00:08:26.7433333,,,,,,551114.0,,,,,,,,,,,,,,,,,,,
"INTELLIDOM TECH, LLC",LLC,Active,1280837,2019-03-31,701 PINE STREET,MIDDLETOWN,,06457,CT,ROBERTMAZZOTTA@GMAIL.COM,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:26.7433333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,,,
COMMUNITY INSURANCE GROUP LLC,LLC,Active,1280839,2022-03-31,577 N CHURCH STREET,NAUGATUCK,United States,06770,CT,dave@feeneyinsct.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Insurance Agencies and Brokerages (524210),2021-11-10 00:08:26.7433333,,,,,,524210.0,,,,,,,,,,,,,,,,,,,
SBH LLC,LLC,Active,1280841,2022-03-31,433 SOUTH MAIN ST STE 328,WEST HARTFORD,United States,06110,CT,mariann@f8properties.com,Domestic,2018-08-01,CT,Connecticut,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:08:26.7433333,,,,,,523999.0,,,,,,,,,,,,,,,,,,,
