name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billing_unit,billingcountry,business_email_address,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,date_of_organization_meeting
"JACK RYAN HCP, LLC",LLC,Active,Ready for dissolution,1274957,2019-03-31,12 SEAGATE ROAD,DARIEN,06820,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5600000,,,JFRYAN49@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"NEW ENGLAND GRAPHIC SOLUTIONS, LLC",LLC,Active,,1274963,2022-03-31,24 SENATOR DRIVE,CROMWELL,06416,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5900000,,United States,newenglandgraphic.biz@gmail.com,,,,,,,,,,,Graphic Design Services (541430),,,,,,,,,,
"IVYREHAB DANBURY, LLC",LLC,Active,Annual report past due,1274964,2021-03-31,1311 MAMARONECK AVENUE SUITE 140,WHITE PLAINS,10605,NY,Foreign,2018-06-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:23.5900000,,United States,sop@cogencyglobal.com,,2018-05-25,"IVYREHAB DANBURY, LLC",United States,"850 NEW BURTON RD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON RD SUITE 201,DOVER,DE,19904,United States,"Offices of Physical, Occupational and Speech Therapists, and Audiologists (621340)",621340.0,"850 NEW BURTON RD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON RD SUITE 201,DOVER,DE,19904,United States,,,
GREEN HILL CAPITAL II LLC,LLC,Active,Ready for dissolution,1274973,2019-03-31,101 CENTERPOINT RD,MIDDLETOWN,06457,CT,Foreign,2018-06-01,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5900000,,,PHILLIP.RICHARDSON@SUBSTANCIALCAPITAL.COM,,2018-05-30,GREEN HILL CAPITAL II LLC,,"1675 SOUTH STATE ST STE B, DOVER, DE, 19901,",1675 SOUTH STATE ST STE B,DOVER,DE,19901,,,,"1675 SOUTH STATE ST. STE B, DOVER, DE, 19901,",1675 SOUTH STATE ST. STE B,DOVER,DE,19901,,,,
"STAMFORD RESTORE, LLC",LLC,Active,,1274974,2022-03-31,1055 HIGH RIDGE ROAD,STAMFORD,06905,CT,Foreign,2018-06-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:23.5900000,,United States,fsale@restore.com,,2018-06-15,"STAMFORD RESTORE, LLC",United States,"THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST., WILMINGTON, DE, 19801, United States",THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST.,WILMINGTON,DE,19801,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,"THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST., WILMINGTON, DE, 19801, United States",THE CORPORATION TRUST COMPANY CORPORATION TRUST CENTER 1209 ORANGE ST.,WILMINGTON,DE,19801,United States,,,
"FELICITY FARMS, LLC",LLC,Active,,1274975,2022-03-31,1343 MOUNTAIN RD,TORRINGTON,06790,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5900000,,United States,jaraymon@netscape.net,,,,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,
"ZIA TRUST, INC.",Stock,Active,Ready for dissolution,1274998,2019-06-01,6301 INDIAN SCHOOL ROAD NE SUITE 800,ALBUQUERQUE,87110,NM,Foreign,2018-06-01,NM,NM,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,,,,2018-05-10,"ZIA TRUST, INC.",,,,,,,,,,,,,,,,,,
FUSION SOLAR SERVICES LLC,LLC,Active,Ready for dissolution,1274999,2020-03-31,25 BEAVER POND CIRCLE,PARKVILLE,21234,MD,Foreign,2018-06-01,MD,MD,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,,JRICE@FUSIONSOLARSERVICES.COM,,2018-07-02,FUSION SOLAR SERVICES LLC,,"25 BEAVER POND CIRCLE, PARKVILLE, MD, 21234,",25 BEAVER POND CIRCLE,PARKVILLE,MD,21234,,,,"25 BEAVER POND CIRCLE, PARKVILLE, MD, 21234,",25 BEAVER POND CIRCLE,PARKVILLE,MD,21234,,,,
NEX CENTURY TECH LLC,LLC,Active,,1275001,2022-03-31,42 1/2 MOHAWK AVE,DERBY,06418,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,,United States,1tcraig1@gmail.com,,,,,,,,,,,Other Computer Related Services (541519),541519.0,,,,,,,,,
"EL TRIGAL DEL PERU, LLC",LLC,Dissolved,,1275003,2020-03-31,686 MAPLE AVENUE,HARTFORD,06114,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,,,MIGUEL.CORREA@SUNRISETAX.NET,,,,,,,,,,,,,,,,,,,2021-02-20T00:00:00.000,,
"BUGS & BLADES, INC.",Stock,Active,First report past due,1275008,2020-06-01,No information provided,,,,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file First Report,2021-11-10 00:10:24.1366667,,,CZ@BUGSBLADES.COM,10000.0,,,,,,,,,,,,,,,,,,,,
J&R HOME WORKS LLC,LLC,Active,Ready for dissolution,1275012,2019-03-31,601 COLORADO AVE 2ND FL,BRIDGEPORT,06605,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1366667,,United States,RULIMA6653@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"YOUNG HORIZONS DAYCARE, LLC",LLC,Active,,1275013,2022-03-31,120 SAYBROOK ROAD,HIGGANUM,06441,CT,Domestic,2018-06-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.1366667,,United States,younghorizonsdaycare@gmail.com,,,,,,,,,,,Educational Support Services (611710),611710.0,,,,,,,,,
SMITTY'S TRUCKING LLC,LLC,Active,,1275014,2022-03-31,25 IVORY ROAD,BLOOMFIELD,06002,CT,Domestic,2018-06-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:24.1366667,,United States,Smithk375@yahoo.com,,,,,,,,,,,"Specialized Freight (except Used Goods) Trucking, Long-Distance (484230)",484230.0,,,,,,,,,
WAKEFIELD ARMS LLC,LLC,Active,Ready for dissolution,1275015,2019-03-31,55 WALNUT STREET,STRATFORD,06615,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1366667,,,RPAINTER@FDNYENGINE63.COM,,,,,,,,,,,,,,,,,,,,,
"HILLTOP BAYVIEW, LLC",LLC,Active,,1275016,2022-03-31,C/O BRENDAN MCCARTHY  21 HILLSIDE ROAD,WELLESLEY HILLS,02481,MA,Domestic,2018-06-01,MA,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1366667,,United States,elyght@rinshawn.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
"POPPER INDUSTRIES, LLC",LLC,Active,,1275019,2022-03-31,400 WASHINGTON STREET,BRISTOL,06010,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1366667,,United States,seanrcoughlin@gmail.com,,,,,,,,,,,Other Scientific and Technical Consulting Services (541690),541690.0,,,,,,,,,
"ELLY TRUESDELL, LLC",LLC,Active,,1275022,2022-03-31,161A CARROLL ST. APT 3,BROOKLYN,11231,NY,Domestic,2018-06-01,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1366667,,United States,Compliancemail@cscinfo.com,,,,,,,,,,,Other Management Consulting Services (541618),541618.0,,,,,,,,,
SUND TECHNOLOGIES LLC,LLC,Active,Ready for dissolution,1275024,2020-03-31,33 SAVARESE DRIVE,BURLINGTON,06013,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1366667,,United States,AARON@SUNDTECHNOLOGIES.COM,,,,,,,,,,,,,,,,,,,,,
RESILABILITY LLC,LLC,Active,,1275025,2022-03-31,170 BOSTON POST RD 3,MADISON,06443,CT,Domestic,2018-06-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.1366667,,United States,devon@resilability.com,,,,,,,,,,,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,
POSITIVE MALE MENTORS EVERYWHERE LLC,LLC,Active,Ready for dissolution,1275026,2019-03-31,37 WELLESLEY RD,MANCHESTER,06042,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,KNTEMMENSAH@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"REALTY THREE CT, INC.",Stock,Active,Annual report past due,1275028,2021-06-01,276 MAIN STREET,SOUTHINGTON,06489,CT,Domestic,2018-06-01,CT,Connecticut,True,True,False,False,False,,2021-11-10 00:10:24.1666667,,United States,info@realty3ct.com,5000.0,,,,,,,,,,Offices of Real Estate Agents and Brokers (531210),531210.0,,,,,,,,,
JORDAN ROTHMAN DRESSAGE LLC,LLC,Active,Ready for dissolution,1275030,2020-03-31,61 JOHN PAUL LN,COVENTRY,06238,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,United States,JORDANROTHMAN12@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
LAYER ONE TACTICAL LLC,LLC,Active,Annual report past due,1275031,2021-03-31,201 WHEELER RD,MONROE,06468,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,CHRISROBISON2112@GMAIL.COM,,,,,,,,,,,Engineering Services (541330),541330.0,,,,,,,,,
"PJ WINE & LIQUOR, LLC",LLC,Active,Annual report past due,1275032,2021-03-31,176 MAIN STREET,MONROE,06468,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,STACYN1040@AOL.COM,,,,,,,,,,,"Beer, Wine, and Liquor Stores (445310)",445310.0,,,,,,,,,
MIA REALTY LLC,LLC,Active,,1275033,2022-03-31,8 OSPREY LANE,MYSTIC,06355,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,maribethross82@gmail.com,,,,,,,,,,,Other Activities Related to Real Estate (531390),,,,,,,,,,
KINGS BUILDERS LLC,LLC,Active,Ready for dissolution,1275035,2019-03-31,"44 CLIFTON ST, 1FL",WEST HAVEN,06516,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,SAMMY1780@OUTLOOK.COM,,,,,,,,,,,,,,,,,,,,,
"RESOUNDING RESIDENCES, LLC",LLC,Active,Ready for dissolution,1275036,2019-03-31,156 MAIN ST.,NEWINGTON,06111,CT,Foreign,2018-06-01,NV,NV,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,JOHNSONIAN09@GMAIL.COM,,2018-06-08,"RESOUNDING RESIDENCES, LLC",,"156 MAIN ST., NEWINGTON, NV, 06111,",156 MAIN ST.,NEWINGTON,NV,06111,,,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,,,,
A & A CONSTRUCTION AND REMODELING LLC,LLC,Active,Ready for dissolution,1275037,2019-03-31,286 PARK ST,BRIDGEPORT,06608,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,AAROOFINGCORPORATION@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"SOGLAM, LLC",LLC,Active,Ready for dissolution,1275038,2019-03-31,115 POCONO ROAD # 924,BROOKFIELD,06804,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,AMANDA.MARSHALL@HEARTSMART.COM,,,,,,,,,,,,,,,,,,,,,
"NEXT LEVEL HOME SOLUTIONS, LLC",LLC,Active,Ready for dissolution,1275039,2019-03-31,43 CHESTNUT ST,WEST HAVEN,06516,CT,Foreign,2018-06-01,NV,NV,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,AMOTA711@GMAIL.COM,,2018-06-13,"NEXT LEVEL HOME SOLUTIONS, LLC",,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,,,,"4730 S FORT APACHE RD #300, LAS VEGAS, NV, 89147,",4730 S FORT APACHE RD #300,LAS VEGAS,NV,89147,,,,
"KEANE, LLC",LLC,Active,Ready for dissolution,1275040,2019-03-31,199 BITTERSWEET ROAD,FAIRFIELD,06824,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,,EDEL.KEANE@ICLOUD.COM,,,,,,,,,,,,,,,,,,,,,
WINE SCIENCE AND ART LLC,LLC,Active,,1275041,2022-03-31,8 HUNTER ST,OLD GREENWICH,06870,CT,Domestic,2018-06-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,abarazza@mac.com,,,,,,,,,,,Food Service Contractors (722310),722310.0,,,,,,,,,
ROAD TO SUCCESS WEB DESIGN LLC,LLC,Active,,1275042,2022-03-31,711 OLD HARDFORD RD APT A,COLCHESTER,06415,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,kurtmenard@yahoo.com,,,,,,,,,,,Computer Systems Design Services (541512),541512.0,,,,,,,,,
"KOMPLET USA, LLC",LLC,Active,Ready for dissolution,1275043,2020-03-31,4 DUKE PL,NORWALK,06854,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,United States,accounts@interquip.net,,,,,,,,,,,,,,,,,,,,,
LAW OFFICE OF NICHOLAS F. SOCCI LLC,LLC,Active,,1275044,2022-03-31,98 WOODBROOK DR,STAMFORD,06907,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,,United States,socci.cyberslaw@gmail.com,,,,,,,,,,,Offices of Lawyers (541110),541110.0,,,,,,,,,
"INNOVATIVE CONCESSIONS ENTERPRISES, LLC",LLC,Active,,1275046,2022-03-31,1720 CUMBERLAND POINT DR. SUITE 17,MARIETTA,30067,GA,Foreign,2018-06-01,GA,GA,False,False,False,False,False,,2021-11-10 00:10:24.8100000,,United States,lynn@innovativeconcessions.com,,2018-06-01,"INNOVATIVE CONCESSIONS ENTERPRISES, LLC",United States,"130 PROMINENCE POINT PARKWAY SUITE 130-354, CANTON, GA, 30114,",130 PROMINENCE POINT PARKWAY SUITE 130-354,CANTON,GA,30114,,Packaged Frozen Food Merchant Wholesalers (424420),424420.0,"1720 CUMBERLAND POINT DR. SUITE 17, MARIETTA, GA, 30067, United States",1720 CUMBERLAND POINT DR. SUITE 17,MARIETTA,GA,30067,United States,,,
AMTRUST NORTH AMERICA CORP. SVC,B Corp,Active,,1275047,,No information provided,,,,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8100000,,,TFATTER@GMAIL.COM,100.0,,,,,,,,,,,,,,,,,,,,
ADEKOLAMATT LLC,LLC,Active,Ready for dissolution,1275049,2020-03-31,49 WEST ELDERKIN AVE 49 WEST ELDERKIN AVE,GROTON,06340,CT,Domestic,2018-06-01,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,United States,adekola.alagbe@gmail.com,,,,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,
CHESHIRE RESTAURANTS LLC,LLC,Active,,1275050,2022-03-31,187 HIGHLAND AVE  SUBWAY,CHESHIRE,06410,CT,Domestic,2018-06-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:24.8100000,,United States,aamirarif@gmail.com,,,,,,,,,,,Food Service Contractors (722310),,,,,,,,,,
MAIN STREET CHESHIRE RESTAURANTS LLC,LLC,Active,,1275051,2022-03-31,1031 S MAIN ST  SUBWAY,CHESHIRE,06410,CT,Domestic,2018-06-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:24.8100000,,United States,aamirarif@gmail.com,,,,,,,,,,,Full-Service Restaurants (722511),,,,,,,,,,
NORTH HAVEN RESTAURANTS LLC,LLC,Active,,1275052,2022-03-31,75 WASHINGTON AVE  SUBWAY,NORTH HAVEN,06473,CT,Domestic,2018-06-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:24.8100000,,United States,aamirarif@gmail.com,,,,,,,,,,,Full-Service Restaurants (722511),,,,,,,,,,
113 WESTVILLE AVE LLC,LLC,Active,,1275054,2022-03-31,226 WATERMELON HILL RD,MAHOPAC,10541,NY,Domestic,2018-06-01,NY,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8100000,,United States,marisabel.bermudez@gmail.com,,,,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,
WHITE COTTAGE SALON LLC,LLC,Active,Ready for dissolution,1275055,2020-03-31,154 DANBURY ROAD,WILTON,,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,United States,LEALYSS73@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
PITBULL REMODELING LLC,LLC,Active,Ready for dissolution,1275056,2020-03-31,13 EDYER ST,DANIELSON,06239,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,,JIMBUA1@MAIL.COM,,,,,,,,,,,,,,,,,,,,,
HEAD TO TOES DAYCARE LLC,LLC,Active,Ready for dissolution,1275057,2019-03-31,345 HACKMATACK ST,MANCHESTER,06040,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,,HEADTOTOESDAYCARE@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,
"T&M SERVICES, LLC",LLC,Active,,1275059,2022-03-31,93 POST ROAD,DARIEN,06820,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8100000,,United States,tonyabbruzzese49@gmail.com,,,,,,,,,,,Automotive Oil Change and Lubrication Shops (811191),,,,,,,,,,
KEL CLEANING LLC,LLC,Active,Ready for dissolution,1275060,2019-03-31,312 OLIVER RD.,LEBANON,06249,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,,KLINDERSON@CHARTER.NET,,,,,,,,,,,,,,,,,,,,,
DIGITALSOUNDBOARD. LLC,LLC,Dissolved,,1275061,2019-03-31,98 S. WATER STREET,NEW HAVEN,06519,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8100000,,,DAVE@DWMORRISON.COM,,,,,,,,,,,,,,,,,,,2021-02-16T00:00:00.000,,
"TONN'S PYO (PICK YOUR OWN) ORCHARD, LLC",LLC,Active,Ready for dissolution,1275064,2019-03-31,258 PRESTON RD,TERRYVILLE,06786,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,,PETER.TONN@SNET.NET,,,,,,,,,,,,,,,,,,,,,
V LANOU PAVING LLC,LLC,Active,Ready for dissolution,1275065,2019-03-31,29 WATERHOLE ROAD,EAST HAMPTON,06424,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8100000,,,,,,,,,,,,,,,,,,,,,,,,
"NICK CUTRONEO, LLC",LLC,Active,,1275066,2022-03-31,115 Fennbrook Rd,West Hartford,06119-2241,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.8566667,,United States,nickcutroneo@gmail.com,,,,,,,,,,,Musical Groups and Artists (711130),711130.0,,,,,,,,,
"NEW ENGLAND SMART ENERGY ""LLC""",LLC,Active,Ready for dissolution,1275067,2019-03-31,19 CAROL ST,ENFIELD,06082,CT,Domestic,2018-06-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.8566667,,,NEWENGLANDSMARTENERGY@YAHOO.COM,,,,,,,,,,,,,,,,,,,,,
SAM HOME IMPROVEMENT CT LIMITED LIABILITY COMPANY,LLC,Active,Annual report past due,1275069,2021-03-31,3 FAWN MEADOW DR,NAUGATUCK,06770,CT,Domestic,2018-06-01,CT,Connecticut,False,True,False,False,False,,2021-11-10 00:10:24.8566667,,United States,samhomeimprov@gmail.com,,,,,,,,,,,Residential Remodelers (236118),236118.0,,,,,,,,,
NEW ENGLAND RADIO CONSULTANTS LLC,LLC,Active,,1275070,2022-03-31,80 WEETAMOE RD #4 BOX 475,CENTER OSSIPEE,03814,NH,Foreign,2018-06-01,NH,NH,False,False,False,False,False,,2021-11-10 00:10:24.8566667,,United States,paul.zito@snet.net,,2018-06-01,NEW ENGLAND RADIO CONSULTANTS LLC,United States,"80 WEETAMOE RD #4 BOX 475, CENTER OSSIPEE, NH, 03814, United States",80 WEETAMOE RD #4 BOX 475,CENTER OSSIPEE,NH,03814,United States,Other Management Consulting Services (541618),541618.0,"80 WEETAMOE RD #4 BOX 475, CENTER OSSIPEE, NH, 03814, United States",80 WEETAMOE RD #4 BOX 475,CENTER OSSIPEE,NH,03814,United States,,,
