name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,business_email_address,naics_code,naics_sub_code,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,office_jurisdiction_3,date_of_organization_meeting
"EUROFINS EATON ANALYTICAL, LLC",LLC,Active,,1264883,2022-03-31,750 ROYAL OAKS DRIVE SUITE 100,MONROVIA,91016,CA,Foreign,2018-03-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:23.4800000,United States,complianceteam@cogencyglobal.com,Testing Laboratories (541380),541380.0,,2018-03-01,"EUROFINS EATON ANALYTICAL, LLC",United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,,,,,
STOUPNITZKY FAMILY LLC,LLC,Active,Ready for dissolution,1264917,2019-03-31,"40 WEST ELM STREET, UNIT 2-D",GREENWICH,06830,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:23.5733333,,,,,,,,,,,,,,,,,,,,,,,,,
"SUNRISE AT 160 KING, LLC",LLC,Active,,1264941,2022-03-31,211 GARDEN ST,WETHERSFIELD,06109,CT,Domestic,2018-03-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.0600000,United States,steph.cabral@gmail.com,Lessors of Residential Buildings and Dwellings (531110),531311.0,,,,,,,,,,,,,,,,,,,,,
METRO NEW YORK DISTRICT CHURCH OF THE NAZARENE INC.,Non-Stock,Active,Ready for dissolution,1264974,2020-03-01,201 WEST VALLEY STREAM BOULEVARD,VALLEY STREAM,11580,NY,Foreign,2018-03-01,NJ,NJ,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1033333,United States,pastorbruce59@gmail.com,Religious Organizations (813110),813110.0,,2005-11-21,METRO NEW YORK DISTRICT CHURCH OF THE NAZARENE,United States,,,,,,,,,,,,,,,,,
"COUNSELING FOR BUSY PEOPLE, LLC",LLC,Active,,1265175,2022-03-31,181 POST ROAD WEST,WESTPORT,06880,CT,Domestic,2018-03-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:26.1666667,United States,lisa@counselingforbusypeople.com,Other Individual and Family Services (624190),,,,,,,,,,,,,,,,,,,,,,
QUARTUS LLC,LLC,Active,,1265300,2022-03-31,160 BEAR SWAMP RD,EAST HAMPTON,06424,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5900000,United States,ryan.c.kissane@gmail.com,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,
"782 GEAR, LLC",LLC,Active,Annual report past due,1265305,2021-03-31,452 DERBY TURNPIKE,WEST HAVEN,06516,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5900000,United States,businessgrouplaw@gmail.com,"Gift, Novelty, and Souvenir Stores (453220)",453220.0,,,,,,,,,,,,,,,,,,,,,
"IVANTAGE HEALTH ANALYTICS, LLC",LLC,Active,,1265306,2022-03-31,"1234 CHESTNUT ST, STE 301",NEWTON,02464,MA,Foreign,2018-03-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:23.5900000,United States,scolby@ivantagehealth.com,"Data Processing, Hosting, and Related Services (518210)",518210.0,,2018-02-20,"IVANTAGE HEALTH ANALYTICS, LLC",United States,"4 SCAMMAN STREET, STE 19-323, SACO, ME, 04072, United States","4 SCAMMAN STREET, STE 19-323",SACO,ME,04072,United States,"4 SCAMMAN STREET, STE 19-323, SACO, ME, 04072, United States","4 SCAMMAN STREET, STE 19-323",SACO,ME,04072,United States,,,,,
SIMPLE STONE LANDSCAPE & DESIGNS LLC,LLC,Active,Annual report past due,1265307,2021-03-31,#NONE# #NONE#,EAST HARTFORD,06108,CT,Domestic,2018-03-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:23.5900000,United States,edgaelcruz@yahoo.com,Landscaping Services (561730),238140.0,,,,,,,,,,,,,,,,,,,,,
"GIBSON TECHNICAL SERVICES, INC",Stock,Active,,1265308,2022-03-01,230 MOUNTAIN BROOK CT,CANTON,30115,GA,Foreign,2018-03-01,GA,GA,False,False,False,False,False,,2021-11-10 00:10:23.5900000,United States,wbarbash@gts-yes.com,Other Scientific and Technical Consulting Services (541690),541690.0,,2017-12-26,"GIBSON TECHNICAL SERVICES, INC",United States,,,,,,,,,,,,,,,,,
"HOBERMAN LEGAL, LLC",LLC,Active,,1265309,2022-03-31,77 PILGRIM ROAD,WEST HARTFORD,06117,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:23.5900000,United States,matthewhoberman@gmail.com,All Other Legal Services (541199),541199.0,,,,,,,,,,,,,,,,,,,,,
ERN ENTERPRISES LLC,LLC,Active,,1265311,2022-03-31,6 FARMINGVILLE ROAD,RIDGEFIELD,06887,CT,Domestic,2018-03-01,CT,Connecticut,False,False,True,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,United States,ALLESQLAW@GMAIL.COM,All Other Personal Services (812990),,,,,,,,,,,,,,,,,,,,,,
SCOTTISH PLAY LLC,LLC,Active,,1265313,2022-03-31,164 SALMON KILL RD.,LAKEVILLE,06039,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,keith.boing@gmail.com,All Other Amusement and Recreation Industries (713990),713990.0,,,,,,,,,,,,,,,,,,,,,
BORN TO BE WILD LLC,LLC,Active,,1265315,2022-03-31,36 FERN ST.,ROCKY HILL,06067,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,michael.patrick.sanders@gmail.com,All Other Miscellaneous Schools and Instruction (611699),611699.0,,,,,,,,,,,,,,,,,,,,,
DUTCH LION PRODUCTION LLC,LLC,Active,Ready for dissolution,1265316,2020-03-31,145 CONVERSE AVENUE,MERIDEN,06450,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,United States,dutchlionpro@gmail.com,,,,,,,,,,,,,,,,,,,,,,,
TAKING CARE OF HOME HOMECARE SERVICES LLC,LLC,Active,Ready for dissolution,1265318,2019-03-31,96 HOWARD AVE THIRD FLOOR,ANSONIA,06401,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,MCHERY87@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
DANISH SUPERMARKET LLC,LLC,Active,Ready for dissolution,1265319,2019-03-31,49 WILLOW STREET,WATERBURY,06710,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,MALIKDONUTCORP@AOL.COM,,,,,,,,,,,,,,,,,,,,,,,
NYN'S DREAMS LLC,LLC,Active,Ready for dissolution,1265320,2019-03-31,"1 CAMPBELL AVENUE, UNIT 15",WEST HAVEN,06516,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,NAGEEN@NYNSDREAMS.COM,,,,,,,,,,,,,,,,,,,,,,,
10 FLAGLER CAPITAL LLC,LLC,Active,,1265321,2022-03-31,28 SOUND VIEW DRIVE,GREENWICH,06830,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,anash@luzichpartners.com,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,
SULLY'S CRUISIN SNACK BAR LLC,LLC,Active,Ready for dissolution,1265322,2019-03-31,4 WAGONWHEEL RD,EAST LYME,06333,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,SULLYSCRUISIN@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"NEW ENGLAND GOURMET FOODS, LLC",LLC,Active,Ready for dissolution,1265325,2019-03-31,66 SAUNDERS LANE,RIDGEFIELD,06877,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,THGERBER99@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"STRKE 3, LLC",LLC,Active,Ready for dissolution,1265326,2020-03-31,81 SOUNDVIEW AVE,FAIRFIELD,06825,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,United States,MYBOYS-ME@OUTLOOK.COM,,,,,,,,,,,,,,,,,,,,,,,
"JESSICA ORTNER, LLC",LLC,Active,,1265328,2022-03-31,24 RUSSETT ROAD,SANDY HOOK,06482,CT,Domestic,2018-03-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,martin@thetappingsolution.com,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,,,,,,,,,,,,,
NEXT GEN BAMBOO LLC,LLC,Dissolved,,1265329,2020-03-31,11 COVEWOOD DRIVE,ROWAYTON,06853,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,CIARACOLEMAN@GMAIL.COM,,,,,,,,,,,,,,,,,,,2021-05-12T00:00:00.000,,,,
"CYBERAMI, LLC",LLC,Active,Ready for dissolution,1265330,2019-03-31,46 COBBLERS MILL RD.,SANDY HOOK,06482,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.0900000,,AREAGAN@CYBERAMI.COM,,,,,,,,,,,,,,,,,,,,,,,
"HOOF'S INTERNATIONAL LTD., L.L.C.",LLC,Active,,1265331,2022-03-31,59 WEST BROAD STREET,PAWCATUCK,06379,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.0900000,United States,pmaneri@petermaneri.com,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,,,,,,,,,
"MAPLE STREET TERANGA, LLC",LLC,Active,Ready for dissolution,1265332,2019-03-31,74 MAPLE STREET,NEW HAVEN,06511,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,MARIAMESECK1@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
189 DEKALB LLC,LLC,Dissolved,,1265333,2021-03-31,74 FRESH MEADOW DRIVE,TRUMBULL,06611,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,info@qualitycontrolllc.com,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,2021-06-01T00:00:00.000,,,,
"ANDMAR, LLC",LLC,Active,Annual report past due,1265334,2021-03-31,60 PEQUOT ROAD,PLAINVILLE,06062,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,andmar34@aol.com,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,,,
24 HOUR LAUNDRY LLC,LLC,Active,,1265336,2022-03-31,312 SOUTH FRONTAGE ROAD,NEW LONDON,06320,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,meilaundromat@yahoo.com,Coin-Operated Laundries and Drycleaners (812310),812310.0,,,,,,,,,,,,,,,,,,,,,
RUSHFORD DIESEL AND AUTO SERVICE LLC,LLC,Active,Ready for dissolution,1265337,2020-03-31,25 ORIOLE RD,EAST HADDAM,06423,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,United States,krushford88@gmail.com,,,,,,,,,,,,,,,,,,,,,,,
GROW WELLNESS LLC,LLC,Active,Ready for dissolution,1265338,2019-03-31,109 DANBURY ROAD,RIDGEFIELD,06877,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,,,
"JENNIFER AND PHILIP DUBE FAMILY TRUST, LLC",LLC,Active,Ready for dissolution,1265339,2019-03-31,968 FARMINGTON AVENUE SUITE 208,WEST HARTFORD,06107,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,JPDUBE2009@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST VOLLEYBALL GROUP LLC,LLC,Active,,1265342,2022-03-31,589 DANBURY ROAD,WILTON,06897,CT,Domestic,2018-03-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,cat@northeastvbc.com,All Other Amusement and Recreation Industries (713990),713990.0,,,,,,,,,,,,,,,,,,,,,
REALTY SURGEONS LLC,LLC,Active,,1265343,2022-03-31,101 DORRANCE ST,HAMDEN,06518,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,adam@realtysurgeons.com,Offices of Real Estate Agents and Brokers (531210),531210.0,,,,,,,,,,,,,,,,,,,,,
SAS COMMUNICATIONS INCORPORATED,Stock,Active,Annual report past due,1265344,2021-03-01,16 MEADOWRUE DRIVE,GLASTONBURY,06033,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1200000,United States,EFILE1234@INCFILE.COM,All Other Telecommunications (517919),517919.0,1200.0,,,,,,,,,,,,,,,,,,,,
TCT CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1265345,2019-03-31,222 RAVENELLE RD,NORTH GROSVENORDALE,06255,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,EFILE1234@INCFILE.COM,,,,,,,,,,,,,,,,,,,,,,,
LANDMARK- CONSULTING GROUP LLC,LLC,Active,Ready for dissolution,1265346,2019-03-31,15 EAST PUTNAM AVE #235,GREENWICH,06830,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,LANDMARKCONSULTLLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
AMBITIOUS BOSS LLC,LLC,Active,Ready for dissolution,1265349,2019-03-31,60 CONNOLLY PARKWAY BUILDING 10B SUITE 2,HAMDEN,06514,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,AMBITIOUSBOSSLLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
"TAD REDSTONE, LLC",LLC,Active,Ready for dissolution,1265351,2019-03-31,10 LOUGHLIN AVE,COS COB,06807,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,MEDM100@AOL.COM,,,,,,,,,,,,,,,,,,,,,,,
RCM PROPERTIES LLC,LLC,Active,Ready for dissolution,1265352,2019-03-31,17 CHURCH HILL ROAD,REDDING,06896,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1200000,,JAN.KARDYS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
22 CLASSIC LLC,LLC,Active,Ready for dissolution,1265353,2020-03-31,287 JUDD ROAD,EASTON,06612,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,United States,LANMIC04@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
HUMMEL MOTORSPORTS LLC,LLC,Active,,1265355,2022-03-31,304 OLD TAVERN ROAD,ORANGE,06477,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,United States,john_hummel@att.net,Sports Teams and Clubs (711211),711211.0,,,,,,,,,,,,,,,,,,,,,
"112 LOUNGE, LLC",LLC,Active,Ready for dissolution,1265356,2019-03-31,278 WEST MAIN ST,MERIDEN,06450,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,112LOUNGELLC@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
SIERRA REAL ESTATE HOLDINGS LLC,LLC,Active,Ready for dissolution,1265357,2019-03-31,50 ANCIENT HIGHWAY 50 ANCIENT HIGHWAY,OXFORD,06478,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,JSOSS0424@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
CERTIFIED FRESH BOYS LLC,LLC,Active,Ready for dissolution,1265358,2019-03-31,1880 EAST MAIN ST 1880 EAST MAIN ST,WATERBURY,06705,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,CERTIFIEDFRESHBOYS@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
BLACK POINT REAL ESTATE LLC,LLC,Active,Ready for dissolution,1265361,2019-03-31,96 COLTON ROAD,GLASTONBURY,06033,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,JHOPE@ALTERPEARSON.COM,,,,,,,,,,,,,,,,,,,,,,,
J & A HOME CARE SERVICES LLC,LLC,Active,Ready for dissolution,1265365,2019-03-31,10 COTTAGE STREET 2ND FLOOR,DANBURY,06810,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,HOMECARE1231@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
SIMPLY BEING WELLNESS COUNSELING PROFESSIONAL CORPORATION,Stock,Active,,1265366,2022-02-28,304 MAIN STREET SUITE 214,FARMINGTON,06032,CT,Domestic,2018-03-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:10:24.1666667,United States,krystal@simplybeingcounseling.com,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,10000.0,,,,,,,,,,,,,,,,,,,,
GOMARTIN3 LLC,LLC,Active,,1265367,2022-03-31,154 PRATT ST.,FAIRFIELD,06824,CT,Domestic,2018-03-01,CT,Connecticut,False,False,True,False,False,,2021-11-10 00:10:24.1666667,United States,Gomartin3@gmail.com,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,
"CORE FIBER SOLUTIONS, LLC",LLC,Active,Ready for dissolution,1265368,2020-03-31,60 POND VIEW LANE,MARLBOROUGH,06447,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,dgagnon@corefibersol.com,,,,,,,,,,,,,,,,,,,,,,,
SHORELINE DANCE ACADEMY LLC,LLC,Active,Ready for dissolution,1265369,2019-03-31,73 STANNARD AVE,BRANFORD,06405,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,SHORELINEDANCEACADEMYCT@GMAIL.COM,,,,,,,,,,,,,,,,,,,,,,,
WOODGREEN WINDSOR LLC,LLC,Active,,1265372,2022-03-31,375 BRIDGEPORT AVE. SUITE 310,SHELTON,06484,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.1666667,United States,Andreww@woodgreenmgt.com,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,,
"WOLF POND RUN A, LLC",LLC,Active,Ready for dissolution,1265373,2019-03-31,18 PLUMTREES ROAD,DANBURY,06810,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.1666667,,JBUNBLASKY@COMCAST.NET,,,,,,,,,,,,,,,,,,,,,,,
NIGHT FIGHTER TACTICAL INCORPORATED,Stock,Active,,1265374,2022-03-01,340 VALLEY ROAD UNIT 1,COS COB,06807,CT,Domestic,2018-03-01,CT,Connecticut,True,True,False,False,False,,2021-11-10 00:10:24.1666667,United States,robben@nightfightertactical.com,Other Professional Equipment and Supplies Merchant Wholesalers (423490),423490.0,10.0,,,,,,,,,,,,,,,,,,,,
"LANPHIER DAY SPA, LLC",LLC,Active,,1265375,2022-03-31,20 WEST AVENUE,DARIEN,06820,CT,Foreign,2018-03-01,DE,DE,False,False,False,False,False,,2021-11-10 00:10:24.1666667,United States,Finance@Lanphier.us,Beauty Salons (812112),812112.0,,2017-10-01,"LANPHIER DAY SPA, LLC",United States,"16192 COASTAL HIGHWAY, LEWES, DE, 19958,",16192 COASTAL HIGHWAY,LEWES,DE,19958,,"16192 COASTAL HIGHWAY, LEWES, DE, 19958, United States",16192 COASTAL HIGHWAY,LEWES,DE,19958,United States,,,,,
"TAIT TRANSPORTATION, LLC",LLC,Active,,1265376,2022-03-31,80 MASSIRIO DRIVE,BERLIN,06037,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.7933333,United States,colonialmovingandstorage@gmail.com,Used Household and Office Goods Moving (484210),484210.0,,,,,,,,,,,,,,,,,,,,,
SUNBRIDGE SOLAR LLC,LLC,Active,,1265378,2022-03-31,1301 CLIFTON DR,MINOOKA,60447,IL,Domestic,2018-03-01,IL,Connecticut,False,False,False,False,False,,2021-11-10 00:10:24.7933333,United States,cbrochu@sunbridge-solar.com,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,,,,,,,,,,,,,
"CARE ADVOCATES, LLC",LLC,Withdrawn,,1265379,2022-03-31,8300 E. THORN DRIVE SUITE 200,WICHITA,67226,KS,Foreign,2018-03-01,KS,KS,False,False,False,False,False,,2021-11-10 00:10:24.7933333,United States,professional@harborcompliance.com,All Other Insurance Related Activities (524298),524298.0,,2018-02-21,"CARE ADVOCATES, LLC",United States,"8300 E. THORN DRIVE SUITE 200, WICHITA, KS, 67226, United States",8300 E. THORN DRIVE SUITE 200,WICHITA,KS,67226,United States,"8300 E. THORN DRIVE SUITE 200, WICHITA, KS, 67226, United States",8300 E. THORN DRIVE SUITE 200,WICHITA,KS,67226,United States,,,,,
JOJO NAILS & SPA LLC,LLC,Active,Ready for dissolution,1265383,2019-03-31,831 BRIDGEPORT AVE,MILFORD,06460,CT,Domestic,2018-03-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:10:24.7933333,,TAX@BAWAGENCY.COM,,,,,,,,,,,,,,,,,,,,,,,
