name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,create_dt,reason_for_administrative,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,total_authorized_shares,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting,mailing_address
THE MEDIATOR INC.,Non-Stock,Active,First report past due,1271866,2020-05-01,No information provided,,,,,HOWIEBLAU@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
"HOLLAND'S GARAGE & REPAIR, LLC",LLC,Active,Ready for dissolution,1271868,2020-03-31,271 SPIELMAN HIGHWAY,BURLINGTON,United States,06013,CT,info@hollandsct.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
KINDRED INSTALLS INC,Non-Stock,Active,Ready for dissolution,1271870,2019-05-01,361 ROUTE 216,STORMVILLE,,12582-5103,NY,OFFICE@KINDREDINSTALLS.COM,Foreign,2018-05-01,NY,NY,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,2018-05-01,KINDRED INSTALLS INC,,,,,,,,,,,,,,,,,,,
84 OXFORD LLC,LLC,Active,Annual report past due,1271871,2021-03-31,18 MERIDIAN RIDGE DRIVE,NEWTOWN,United States,06470,CT,doctor953@aol.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Nonresidential Property Managers (531312),531312.0,2021-11-10 00:10:22.2466667,,,,,,,,,,,,,,,,,,,,,,
O'HARA RESTORATION CORP,Stock,Active,,1271873,2022-03-31,70 HIGH ROCK RD,NEWTOWN,United States,06482,CT,tom.ohara@restoration1.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Remediation Services (562910),562910.0,2021-11-10 00:10:22.2466667,,,,,,,,,,,,,,,,,200.0,,,,,
M ARICI LLC,LLC,Active,Ready for dissolution,1271874,2019-03-31,9 SPRING COVE ROAD,BRANFORD,,06405,CT,ALGHIROLI@SBCGLOBAL.NET,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
ANERU STUDIOS LLC,LLC,Active,Ready for dissolution,1271875,2020-03-31,16 LAKE AVE,DANBURY,United States,06810,CT,ANERUSTUDIOS@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"205 MONTICELLO, LLC",LLC,Active,Ready for dissolution,1271876,2020-03-31,35 RIDGEWOOD TERRACE,NORTH HAVEN,,06473,CT,happychamp@att.net,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"BUDGET HOME SERVICES, LLC",LLC,Active,Ready for dissolution,1271878,2019-03-31,427 SPRINGFIELD ROAD,SOMERS,,06071,CT,AWORONECKI@YAHOO.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
GRAMMY BOY AND COMPANY LLC,LLC,Active,Ready for dissolution,1271879,2019-03-31,65 READ STREET,NEW HAVEN,,06511,CT,GRAMMYBOY203@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2466667,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"N7608H, LLC",LLC,Active,,1271880,2022-03-31,9 KOWAL DRIVE,CROMWELL,United States,06416,CT,timdale@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,True,False,False,False,All Other Amusement and Recreation Industries (713990),711110.0,2021-11-10 00:10:22.2466667,,,,,,,,,,,,,,,,,,,,,,
KEEP SMILING LLC,LLC,Active,,1271881,2022-03-31,143 WEST ST,NEW MILFORD,United States,06776,CT,sf@intriguegroup.net,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:22.2466667,,,,,,,,,,,,,,,,,,,,,,
KAPERI PAINTING LLC,LLC,Active,Annual report past due,1271882,2021-03-31,23 LENOX,NEW LONDON,United States,06320,CT,shazoenn@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),812990.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
FAMILY HOUSE CLEANING SERVICES LLC,LLC,Active,Ready for dissolution,1271883,2019-03-31,52 DEXTER ST,HARTFORD,,06106,CT,MONASPIKE@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
GROSSO PROPERTY MAINTENANCE LLC,LLC,Active,Annual report due,1271884,2021-03-31,24 CAYE RD,DANBURY,United States,06811,CT,grossopropmaint@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Landscaping Services (561730),,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,grossopropmaint@gmail.com,,,,
"MARTINEZ DISTRIBUTIONS,LLC",LLC,Active,,1271885,2022-03-31,17 HUNTINGTON COURT UNIT 88,BETHEL,United States,06801,CT,MARIDANIA28@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Grocery and Related Products Merchant Wholesalers (424490),,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,maridania28@gmail.com,,,,
SKYWORD EXCELLENCE ENTERPRISE LLC,LLC,Active,Ready for dissolution,1271886,2019-03-31,16192 COASTAL HWY,LEWES,,19958,DE,ANDREW@FOURTWENTEE.COM,Domestic,2018-05-01,DE,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"CHLOE'S CLOSET, INC.",Non-Stock,Active,,1271887,2022-05-01,245 BOSTON ST,GUILFORD,United States,06437,CT,mama.masonmann@yahoo.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Other Grantmaking and Giving Services (813219),813219.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
DR HESSAM VAZIRI & ASSOCIATES INC,Non-Stock,Active,First report past due,1271888,2020-05-01,No information provided,,,,,DOCTORHESSAMVAZIRI@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
"BOSTON ROAD HOME PLAZA, L.L.C.",LLC,Active,Ready for dissolution,1271889,2020-03-31,240 BOSTON AVE,BRIDGEPORT,United States,06610,CT,BB@BLUERIBBONCPA.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
BELLA CALLI DISTRIBUTION LLC,LLC,Active,Ready for dissolution,1271890,2019-03-31,13 LAKE SHORE DRIVE,EAST HAMPTON,,06024,CT,BELLACALLIDISTRIBUTION@GMAIL.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
FAIRFIELD COUNTY TEST PREP. LLC,LLC,Dissolved,,1271891,2021-03-31,91 SHERMAN TURNPIKE,06896,United States,06896,CT,ct-reports@statefilings.in,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Educational Support Services (611710),611710.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,2021-06-01T00:00:00.000,,,
"SENTRY MANAGEMENT, INC.",Stock,Active,,1271892,2022-05-01,2180 W. STATE ROAD 434 SUITE 5000,LONGWOOD,United States,32779,FL,INFORMATION@SENTRYMGT.COM,Foreign,2018-05-01,FL,FL,False,False,False,False,False,Residential Property Managers (531311),531311.0,2021-11-10 00:10:22.2933333,,2018-05-01,"SENTRY MANAGEMENT, INC.",,,,,,,,,,,United States,,,,,,,,
"MADUSE LOGISTIC, LLC",LLC,Active,Ready for dissolution,1271893,2019-03-31,27 CRESTDALE RD,DANBURY,,06811,CT,SENECABUSINESS@SBCGLOBAL.NET,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
SEGUNDO ORTEGA INC.,Stock,Active,Ready for dissolution,1271894,2020-05-01,163 CHATTERTON AVE,WHITE PLAINS,United States,10606,NY,MYISA1114@HOTMAIL.COM,Foreign,2018-05-01,NY,NY,False,False,False,False,False,All Other Specialty Trade Contractors (238990),,2021-11-10 00:10:22.2933333,Failure to file Annual Report,2018-05-01,SEGUNDO ORTEGA INC.,,,,,,,,,,,,,,,,,,,
ASTORIA ENTERPRISES LLC,LLC,Active,,1271895,2022-03-31,3 WHEELER DRIVE,DANBURY,United States,06811,CT,7.10Astoria@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,New Housing For-Sale Builders (236117),,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
A&Z QUADRI FAMILY FOUNDATION CORP,Non-Stock,Active,First report past due,1271896,2020-05-01,No information provided,,,,,ZHASSAN@ZAIDLAWFIRM.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
K&L ENTERPRISE LLC,LLC,Active,,1271897,2022-03-31,316 OLD COUNTY ROAD,WINDSOR LOCKS,United States,06096,CT,KandLEnterpriseLLC@gmail.com,Domestic,2018-05-01,CT,Connecticut,True,False,False,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
THE HOP KNOT NEW HAVEN INC.,Stock,Active,Ready for dissolution,1271898,2019-05-01,196 CROWN ST UNIT 1001,NEW HAVEN,,06510,CT,mike@thehopknot.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2933333,Failure to file Annual Report,,,,,,,,,,,,,,,,100.0,,,,,
L & N SERVICES LLC,LLC,Active,Annual report past due,1271899,2021-03-31,444 CONNECTICUT AVE,NEWINGTON,United States,06111,CT,dstransport@live.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Personal and Household Goods Repair and Maintenance (811490),811490.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
6 OUTLOOK LLC,LLC,Active,,1271902,2022-03-31,7 WOODLAND DRIVE,DARIEN,United States,06820,CT,DavinJG626@gmail.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),531390.0,2021-11-10 00:10:22.2933333,,,,,,,,,,,,,,,,,,,,,,
44 FOX LLC,LLC,Active,Ready for dissolution,1271903,2020-03-31,494 LALLEY BOULEVARD,FAIRFIELD,,06824,CT,AL@BELLAHOMESCT.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"40 CLINTON, LLC",LLC,Active,,1271904,2022-03-31,15 BONNYBROOK TRAIL,NORWALK,United States,06850,CT,filings@corpnet.com,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,All Other Consumer Goods Rental (532289),532289.0,2021-11-10 00:10:22.3233333,,,,,,,,,,,,,,,,,,,,,,
SCIENCE OF SOUND LLC,LLC,Active,Ready for dissolution,1271905,2019-03-31,733 HIGHLAND AVENUE,WATERBURY,,06708,CT,YONG@CIAMPITAX.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
KEN GRAVELINE AND ASSOCIATES LLC,LLC,Active,Ready for dissolution,1271907,2020-03-31,34 MALER AVE,SHELTON,United States,06484,CT,YONG@CIAMPITAX.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
"KID-U-NOT LIVING ORGAN DONOR FUND, INC",Non-Stock,Active,Ready for dissolution,1271908,2020-05-01,1204 MAIN ST #220,BRANFORD,,06405,CT,KIDUNOT@YAHOO.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
CFC VALLEY LLC,LLC,Active,Ready for dissolution,1271909,2019-03-31,491 WITCHES ROCK ROAD,BRISTOL,,06010,CT,YONG@CIAMPITAX.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,,
BRASS CITY CARES INC,Non-Stock,Active,First report past due,1271910,2020-05-01,No information provided,,,,,YONG@CIAMPITAX.COM,Domestic,2018-05-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3233333,Failure to file First Report,,,,,,,,,,,,,,,,,,,,,
