name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,category_survey_email_address,total_authorized_shares,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,billing_unit,date_of_organization_meeting,mailing_jurisdiction_3,office_jurisdiction_3
536 MIDLAND STREET LLC,LLC,Active,,1291942,2022-03-31,88 FOX STREET,FAIRFIELD,06824,CT,trevorgrauer@yahoo.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.9766667,United States,Lessors of Residential Buildings and Dwellings (531110),,,,,,,,,,,,,,,,,,,,,,,
Roman & Noorden LLC,LLC,Active,,1291943,2022-03-31,4 D'AMATO DR.,STONINGTON,06378,CT,JESS@WEBUYHOUSESINCONNECTICUT.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:28.9766667,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
BROTHERS PIZZERIA & RESTAURANT LLC,LLC,Active,Annual report past due,1291945,2021-03-31,179 MAIN ST.,MONROE,06468,CT,efranciane@rohuer.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:28.9766667,United States,Full-Service Restaurants (722511),722511.0,,,,,,,,,,,,,,,,,,,,,,
"55 HUNTING, LLC",LLC,Dissolved,,1291950,2021-03-31,23 FIELD CREST ROAD,NEW CANAAN,06840,CT,rrroina@att.net,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6800000,United States,Other Activities Related to Real Estate (531390),,,,2021-07-15T00:00:00.000,,,,,,,,,,,,,,,,,,,
MARIA DEVITA LEGACY LLC,LLC,Active,,1291951,2022-03-31,305 BUCKSKIN COURT UNIT 26,TRUMBULL,06611,CT,E_DEVITA@HOTMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6800000,United States,Offices of Other Holding Companies (551112),551112.0,,,,,,,,,,,,,,,,,,,,,,
BRIAN R. BILL LEGACY INC.,Non-Stock,Active,First report past due,1291953,2020-12-03,No information provided,,,,,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6800000,,,,,,,,,,,,,,,,,,,,,,,,,
"ANDAIL III, LLC",LLC,Active,Annual report past due,1291958,2021-03-31,38 BARNVIEW TERRACE,BROOKFIELD,06804,CT,ct-reports@statefilings.in,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:24.6800000,United States,Child Day Care Services (624410),624410.0,,,,,,,,,,,,,,,,,,,,,,
LOVING LIFE LLC,LLC,Active,,1291959,2022-03-31,363 ROCKVILLE RD,VOLUNTOWN,06384,CT,laurenmrichmond82@gmail.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:24.6800000,United States,Women's Clothing Stores (448120),448120.0,,,,,,,,,,,,,,,,,,,,,,
"1 FORSYTH STREET, LLC",LLC,Active,,1291981,2022-03-31,97 MISTUXET AVE.,MYSTIC,06355,CT,lisa@tedladwig.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:25.2400000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,,,
"VIRTUAL RADIOLOGIC SERVICES, LLC",LLC,Active,,1291986,2022-03-31,11995 SINGLETREE LANE SUITE 500,EDEN PRAIRIE,55344,MN,complianceteam@cogencyglobal.com,Foreign,2018-12-03,DE,DE,False,False,False,False,False,,2021-11-10 00:12:25.2400000,United States,Offices of Physicians (except Mental Health Specialists) (621111),621111.0,,,,2019-01-01,"VIRTUAL RADIOLOGIC SERVICES, LLC",United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904.0,United States,,,,
JD FENCING LLC,LLC,Active,Ready for dissolution,1291990,2019-03-31,953 HANCOCK AVE,BRIDGEPORT,06605,CT,,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
SPIRIT SOUL AND BODY CLINICAL SERVICES LLC,LLC,Active,,1291991,2022-03-31,3 FRANKLIN SQUARE,NEW BRITAIN,06051,CT,briggittebrownmsw@gmail.com,Domestic,2018-12-03,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:25.2900000,United States,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,,,,,,,,,,,,,,,,,,,,,,
"NORWALK ORAL AND MAXILLOFACIAL SURGERY CENTER, PLLC",LLC,Active,Ready for dissolution,1291994,2019-03-31,460 NUTMEG LANE,STRATFORD,06114,CT,,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
"HENSHON FINE GP, LLC",LLC,Active,Ready for dissolution,1291996,2019-03-31,C/O FIBRO REALTY CORP. 255 MAIN ST.,HARTFORD,06106,CT,,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
STARR INDEMNITY LLC,LLC,Active,Ready for dissolution,1291998,2019-03-31,41 WOLFPIT AVE APT 3K,NORWALK,06851,CT,PRIMEGLOBALINVESTMENTS@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.2900000,,,,,,,,,,,,,,,,,,,,,,,,,
FARAM HOLDING AND FURNITURE INC.,Stock,Active,,1291999,2022-12-03,"450 7TH AVENUE, 36TH FL.",NEW YORK,10123,NY,accounting@iapartitions.com,Foreign,2018-12-03,DE,DE,False,False,False,False,False,,2021-11-10 00:12:25.2900000,United States,Glass and Glazing Contractors (238150),238150.0,,,,2015-10-01,FARAM HOLDING AND FURNITURE INC.,United States,,,,,,,,,,,,,,,,
"BIOHABITATS, INC.",Stock,Active,Annual report due,1292006,2021-12-03,2081 CLIPPER PARK RD.,BALTIMORE,21211,MD,equinn@biohabitats.com,Foreign,2018-12-03,MD,MD,False,False,False,False,False,,2021-11-10 00:12:25.3200000,United States,Environmental Consulting Services (541620),541620.0,,,,2018-11-01,"BIOHABITATS, INC.",United States,,,,,,,,,,,,,,,,
ZEBRA IN THE KITCHEN LLC,LLC,Active,Ready for dissolution,1292055,2019-03-31,8 GREAT MEADOW ROAD,SEYMOUR,06483,CT,AMY@ZEBRAINTHEKITCHEN.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9600000,,,,,,,,,,,,,,,,,,,,,,,,,
TAG COMICS L.L.C.,LLC,Active,Ready for dissolution,1292073,2019-03-31,27 UNITED PL.,SHELTON,06484,CT,ARAOYE@TAGCOMICS.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9933333,,,,,,,,,,,,,,,,,,,,,,,,,
I. E. CONSULTING LLC,LLC,Active,,1292074,2022-03-31,5 E MAIN ST SUITE 1,AVON,06001,CT,i.edwards@talemhc.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,Home Health Care Services (621610),621610.0,,,,,,,,,,,,,,,,,,,,,,
SRIVEN REALTY LLC,LLC,Active,,1292076,2022-03-31,719 S MAIN ST,CHESHIRE,06410,CT,venkat@srivenrealty.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,Offices of Real Estate Agents and Brokers (531210),531210.0,,,,,,,,,,,,,,,,,,,,,,
"CT SMART HOMES, LLC",LLC,Active,,1292077,2022-03-31,7 IVER AVENUE,EAST HAVEN,06512,CT,ctsmarthomes@calcagni.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
"ONE MORE, LLC",LLC,Active,,1292078,2022-03-31,7 IVER AVENUE,EAST HAVEN,06512,CT,ctsmarthomes@calcagni.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,Other Activities Related to Real Estate (531390),,,,,,,,,,,,,,,,,,,,,,,
772 LLC,LLC,Active,Ready for dissolution,1292079,2020-03-31,772 SOUTH QUAKER LANE,WEST HARTFORD,06110,CT,SHANTE.A.GRADY@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:25.9933333,United States,,,,,,,,,,,,,,,,,,,,,,,,
"WASHINGTON INVESTMENTS, LLC",LLC,Active,,1292080,2022-03-31,1701 BRIGHTWATERS BLVD.,SAINT PETERSBURG,33704,FL,klobianco@gafoods.com,Domestic,2018-12-03,FL,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
HERON COVE PROPERTIES LLC,LLC,Active,,1292081,2022-03-31,29 NECK RD,OLD LYME,06371,CT,brianfarnham@gmail.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:25.9933333,United States,All Other Specialty Trade Contractors (238990),238990.0,,,,,,,,,,,,,,,,,,,,,,
SOUND PRODUCTIONS LLC,LLC,Active,,1292083,2022-03-31,88 VILLAGE LANE,WINDSOR,06095,CT,brucezim@soundproductionsmusic.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,United States,"Independent Artists, Writers, and Performers (711510)",711510.0,,,,,,,,,,,,,,,,,,,,,,
"DUONG, LLC",LLC,Active,Ready for dissolution,1292084,2020-03-31,295 FLANDERS ROAD,EAST LYME,06333,CT,FRANNY222222@YAHOO.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,United States,,,,,,,,,,,,,,,,,,,,,,,,
BOLDUC LAW LLC,LLC,Active,,1292085,2022-03-31,67 HOLLY HILL LANE STE 200,GREENWICH,06830,CT,cb@bolduc-law.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,United States,Offices of Lawyers (541110),541110.0,,,,,,,,,,,,,,,,,,,,,,
UNIEVENTS COMPANY  LLC,LLC,Active,Ready for dissolution,1292086,2019-03-31,38 PADANARAM AVE  APT 21B,DANBURY,06811,CT,EKBITENCOURT@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
VRAJ RADHA LLC,LLC,Active,Ready for dissolution,1292087,2019-03-31,1167 N COLONY RD,MERIDEN,06450,CT,RASHESHPATEL@HOTMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
"PAUL J. CLAPIS, PH.D. LLC",LLC,Active,,1292088,2022-03-31,254 BUTTERNUT LANE,STAMFORD,06903,CT,pjclapis@gmail.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,United States,Computer Systems Design Services (541512),541512.0,,,,,,,,,,,,,,,,,,,,,,
JUNCO MARKET PIZZERIA LLC,LLC,Active,Ready for dissolution,1292089,2019-03-31,1411 PARK AVE,BRIDGEPORT,06605,CT,MMOREL1987@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0233333,,,,,,,,,,,,,,,,,,,,,,,,,
KME CONSULTING LLC,LLC,Active,Annual report past due,1292091,2021-03-31,291 BIRCH ROAD,FAIRFIELD,06824,CT,kervin291@yahoo.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0233333,United States,Other Computer Related Services (541519),541519.0,,,,,,,,,,,,,,,,,,,,,,
"ALL SEASON'S REALTY, LLC",LLC,Active,Ready for dissolution,1292092,2019-03-31,ONE CANAL STREET SUITE 201,LAWRENCE,01840,MA,ATTORNEYFORGHANY@GMAIL.COM,Domestic,2018-12-03,MA,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,,
MLP USA LLC,LLC,Active,Ready for dissolution,1292093,2020-03-31,"150 SOUTHFIELD AVENUE, APT. 2004",STAMFORD,06902,CT,FILING@ACS123.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,United States,,,,,,,,,,,,,,,,,,,,,,,,
EDISON TORRES LLC,LLC,Active,Ready for dissolution,1292094,2019-03-31,118 HENRY ST,STAMFORD,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,,
NJRC CLEANERS LLC,LLC,Active,Ready for dissolution,1292095,2019-03-31,140 WARDWELL ST FL 1,STAMFORD,06902,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,,
"KREP HAMMETTS WHARF, LLC",LLC,Active,,1292096,2022-03-31,31 MEADOWBROOK ROAD,WEST HARTFORD,06107,CT,jim.scanlan@kingstonrep.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0400000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,,,
LUIS CHAVARRIA CARPENTRY LLC,LLC,Active,Ready for dissolution,1292097,2019-03-31,34 MORSE AVE,GROTON,06340,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,,
"MAYNARD SUPPORT SERVICES, LLC",LLC,Active,,1292098,2022-03-31,15 EGYPT LANE,CLINTON,06413,CT,Lindamaynard295@yahoo.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:26.0400000,United States,Diet and Weight Reducing Centers (812191),812191.0,,,,,,,,,,,,,,,,,,,,,,
DENISE MOUNT LLC,LLC,Active,Annual report past due,1292099,2021-03-31,47 PHEASANT HILL RD,COLLINSVILLE,06019,CT,EFILE1234@INCFILE.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.0400000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,,,
YOUNIQUE BOUTIQUE LLC,LLC,Active,Ready for dissolution,1292100,2019-03-31,118 NEW PARK AVE,HARTFORD,06106,CT,KEZZIARJ@HOTMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.0400000,,,,,,,,,,,,,,,,,,,,,,,,,
ONE BAD APPLE LLC,LLC,Active,Ready for dissolution,1292101,2019-03-31,736 EAST MAIN STREET,BRANFORD,06405,CT,ABCLERS@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6000000,,,,,,,,,,,,,,,,,,,,,,,,,
STONE POINT PROPERTIES LLC,LLC,Active,,1292102,2022-03-31,386 MAIN STREET,MIDDLETOWN,06457,CT,jblanchard@stonepointprops.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6000000,United States,Offices of Real Estate Agents and Brokers (531210),531210.0,,,,,,,,,,,,,,,,,,,,,,
REBORN DESIGNS LLC,LLC,Active,,1292103,2022-03-31,63 SCRUB OAK RD,NORTH HAVEN,06473,CT,erinrbornstein@gmail.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:26.6000000,United States,Other Specialized Design Services (541490),541490.0,,,,,,,,,,,,,,,,,,,,,,
EMMAS PIZZA LLC,LLC,Active,,1292104,2022-03-31,653 DANIELS FARM RD,TRUMBULL,06611,CT,PFAHY@PARKEREATERY.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6000000,United States,Limited-Service Restaurants (722513),722513.0,,,,,,,,,,,,,,,,,,,,,,
"JFR ASSOCIATES, LLC",LLC,Active,,1292105,2022-03-31,56 MAIN ST WATERSIDE OFFICE PARK,WINDSOR LOCKS,06096,CT,mikeytaxxx@yahoo.com,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:26.6000000,United States,Tax Preparation Services (541213),541213.0,,,,,,,,,,,,,,,,,,,,,,
SAFE HARBOUR LLC,LLC,Active,Ready for dissolution,1292107,2020-03-31,"SAFE HARBOUR 1000 BRIDGEPORT, SUITE 2D",SHELTON,06484,CT,ROB@SAFEHARBOURRETIREMENT.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6000000,United States,,,,,,,,,,,,,,,,,,,,,,,,
PATRICIO D PAINTING LLC,LLC,Active,Ready for dissolution,1292108,2019-03-31,35 GLASSER ST APT B,NORWALK,06854,CT,BLANCHEDPEREZ@OUTLOOK.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6000000,,,,,,,,,,,,,,,,,,,,,,,,,
"MC CREATIVE SOLUTIONS, LLC",LLC,Active,,1292109,2022-03-31,367 SILVER LANE,EAST HARTFORD,06118,CT,CRUZ@MARYANNCRUZ.CO,Domestic,2018-12-03,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:26.6000000,United States,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,,,,
HR DEPT. LLC,LLC,Active,,1292110,2022-03-31,99 TALCOTT RIDGE ROAD,SOUTH WINDSOR,06074,CT,hopeereagan@gmail.com,Domestic,2018-12-03,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:26.6000000,United States,Graphic Design Services (541430),541430.0,,,,,,,,,,,,,,,,,,,,,,
FORTH STUDIO CO. LLC,LLC,Active,Ready for dissolution,1292120,2019-03-31,56 ARBOR STREET #108,HARTFORD,06106,CT,FORTHSTUDIOCO@GMAIL.COM,Domestic,2018-12-03,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:26.6333333,,,,,,,,,,,,,,,,,,,,,,,,,
SL 345 MACCAUSLAND COURT LLC,LLC,Active,,1292121,2022-03-31,195 MORRISTOWN ROAD,BASKING RIDGE,07920,NJ,christinakedra@silvermangroup.net,Foreign,2018-12-03,DE,DE,False,False,False,False,False,,2021-11-10 00:12:26.6333333,United States,Lessors of Residential Buildings and Dwellings (531110),531312.0,,,,2019-01-01,SL 345 MACCAUSLAND COURT LLC,United States,"195 MORRISTOWN ROAD, BASKING RIDE, NJ, 07920, United States",195 MORRISTOWN ROAD,BASKING RIDE,NJ,07920,United States,"195 MORRISTOWN ROAD, BASKING RIDGE, NJ, 07920, United States",195 MORRISTOWN ROAD,BASKING RIDGE,NJ,7920.0,United States,,,,
