name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,total_authorized_shares,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,category_survey_email_address,billing_unit,date_of_organization_meeting
"FABRICTECH 2000, LLC",LLC,Active,,1262020,2022-03-31,1402 SOUTH 40TH AVENUE,PHOENIX,85009,AZ,Compliancemail@cscinfo.com,Foreign,2018-02-01,NJ,NJ,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,Other Miscellaneous Nondurable Goods Merchant Wholesalers (424990),424990.0,2018-02-01,"FABRICTECH 2000, LLC",United States,"1402 SOUTH 4OTH AVENUE, PHOENIX, AZ, 85009, United States",1402 SOUTH 4OTH AVENUE,PHOENIX,AZ,85009,United States,"1402 SOUTH 4OTH AVENUE, PHOENIX, AZ, 85009, United States",1402 SOUTH 4OTH AVENUE,PHOENIX,AZ,85009,United States,,,,
"CARRY BACK, LLC",LLC,Active,Annual report past due,1262021,2021-03-31,35 LOCKWOOD AVE,"GREENWICH,",06870,CT,thetomwasserman@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,
ANCHORED FITNESS LLC,LLC,Active,Annual report past due,1262023,2021-03-31,40 HOCKANUM BOULEVARD UNIT 9,VERNON,06066,CT,anchoredbillmgt@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,Fitness and Recreational Sports Centers (713940),713940.0,,,,,,,,,,,,,,,,,,,
"KOSOVA, LLC",LLC,Active,Ready for dissolution,1262024,2019-03-31,390 POST ROAD,DARIEN,06820,CT,LENNYILC7375@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2300000,,,,,,,,,,,,,,,,,,,,,,
RESTAUREX DEVELOPMENTS INC.,Stock,Active,,1262025,2022-02-01,750 E MAIN STREET SUITE 810,STAMFORD,06902,CT,Paul@Restaurex.me,Foreign,2018-02-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,Food Service Contractors (722310),812990.0,2018-02-01,RESTAUREX DEVELOPMENTS INC.,United States,,,,,,,,,,,,,,,,
"HARTE PROPERTIES, INC.",Stock,Active,,1262027,2022-02-01,375 SOUTH BROAD ST,MERIDEN,06450,CT,jmm@mielelaw.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,20000.0,2021-11-10 00:10:22.2300000,United States,"Corporate, Subsidiary, and Regional Managing Offices (551114)",551114.0,,,,,,,,,,,,,,,,,,,
"GRIND HAUS E-LIQUID, LLC",LLC,Active,Ready for dissolution,1262031,2019-03-31,15 MARITA DR.,WATERBURY,06705,CT,IKALICI@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2600000,,,,,,,,,,,,,,,,,,,,,,
EMPIRE STATE THOROUGHBREDS LLC,LLC,Active,Ready for dissolution,1262032,2019-03-31,34 MAY COURT,MONROE,06468,CT,,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2600000,,,,,,,,,,,,,,,,,,,,,,
"INFLUENCE, INC.",Stock,Active,,1262046,2022-02-01,85 BROAD ST 18TH FL,NEW YORK,10004,NY,donna.richardson@jtshulman.com,Foreign,2018-02-01,NY,NY,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,"All Other Professional, Scientific, and Technical Services (541990)",541990.0,2018-02-01,"INFLUENCE, INC.",United States,,,,,,,,,,,,,,,,
"EXHALE ENTERPRISES XX, LLC",LLC,Active,Ready for dissolution,1262056,2021-03-31,"150 NORTH RIVERSIDE PLAZA 14TH FLOOR, LEGAL DEPARTMENT",CHICAGO,60606,IL,kathleen.schreiber@hyatt.com,Foreign,2018-02-01,DE,DE,False,False,False,False,False,Failure to appoint or maintain an agent for service,,2021-11-10 00:10:22.3066667,United States,Fitness and Recreational Sports Centers (713940),713940.0,2018-02-01,"EXHALE ENTERPRISES XX, LLC",United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,United States,,,,
"THE ROWMAN & LITTLEFIELD PUBLISHING GROUP, INC.",Stock,Active,,1262062,2022-02-01,4501 FORBES BLVD,LANHAM,20706,MD,mlippenholz@rowman.com,Foreign,2018-02-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Book Publishers (511130),,2017-02-01,"THE ROWMAN & LITTLEFIELD PUBLISHING GROUP, INC.",United States,,,,,,,,,,,,,,,,
"ROGER SMITH STAMFORD, LLC",LLC,Active,Annual report past due,1262063,2021-03-31,C/O ROGER SMITH HOTEL 501 LEXINGTON AVE,NEW YORK,10017,NY,archingbridge@gmail.com,Domestic,2018-02-01,NY,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Hotels (except Casino Hotels) and Motels (721110),721110.0,,,,,,,,,,,,,,,,,,,
"ARBOR STAFFING, INC.",Stock,Active,,1262071,2022-02-01,1270 TURNPIKE STREET,NORTH ANDOVER,01845,MA,steve@arborstaffing.com,Foreign,2018-02-01,MA,MA,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Temporary Help Services (561320),561320.0,2018-02-01,"ARBOR ASSOCIATES, INC.",United States,,,,,,,,,,,,,,,,
PARK CITY PRODUCTIONS 06604 LLC,LLC,Active,Ready for dissolution,1262242,2019-03-31,325 MYRTLE AVE UNIT 1206,BRIDGEPORT,06604,CT,PARKCITYPRODUCTIONS06604@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:20.8866667,,,,,,,,,,,,,,,,,,,,,,
TRIRAM CANCER FOUNDATION INC,Non-Stock,Active,First report past due,1262345,2020-02-01,No information provided,,,,CHANDRAMOHAN1718@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file First Report,,2021-11-10 00:10:22.2300000,,,,,,,,,,,,,,,,,,,,,,
S MAIN ST LLC,LLC,Active,Ready for dissolution,1262346,2019-03-31,17 BUSH HILL DRIVE,NIANTIC,06357,CT,IT1@IRATURNER.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2300000,,,,,,,,,,,,,,,,,,,,,,
"KENT ELITE PREP HOCKEY, LLC",LLC,Active,Ready for dissolution,1262347,2020-03-31,70 LAKE WARAMAUG ROAD,KENT,06757,CT,DEAN.DINICOLA@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2300000,,,,,,,,,,,,,,,,,,,,,,
EVOLVE ELECTRIC LLC,LLC,Active,,1262349,2022-03-31,50 TOWN HILL RD,TERRYVILLE,06786,CT,evolveelectricllc@yahoo.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,Electrical Contractors and Other Wiring Installation Contractors (238210),238210.0,,,,,,,,,,,,,,,,,,,
"IN COLOR ORDER, LLC",LLC,Active,,1262350,2022-03-31,38 ELGIN ST,HAMDEN,06517,CT,jenib320@gmail.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,"Sewing, Needlework, and Piece Goods Stores (451130)",451130.0,,,,,,,,,,,,,,,,,,,
"RAYMOND, LLC",LLC,Active,Annual report past due,1262352,2021-03-31,9 TARONE DR,NORWALK,06851,CT,29RAYMONDLLC@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,New Housing For-Sale Builders (236117),236117.0,,,,,,,,,,,,,,,,,,,
"MARY SHARNICK, LLC",LLC,Active,,1262358,2022-03-31,7 BONNA STREET,BEACON FALLS,06403,CT,w.sharnick@rubens-lazinger.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.2300000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,
"MARIANNINA, LLC",LLC,Active,Ready for dissolution,1262359,2020-03-31,98 EDGEWOOD PLACE 98 EDGEWOOD PLACE,FAIRFIELD,06825,CT,GARCIAPARTYOF6@AOL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2300000,United States,,,,,,,,,,,,,,,,,,,,,
CAMPUTARO CORP,Stock,Active,First report past due,1262361,2020-02-01,No information provided,,,,LEGALDEPARTMENT@COMPANIESINC.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file First Report,200.0,2021-11-10 00:10:22.2600000,,,,,,,,,,,,,,,,,,,,,,
"POMFRET CHOCOLATES, LLC",LLC,Active,,1262362,2022-03-31,168 QUASSETT ROAD POMFRET CENTER POMFRET CENTER,POMFRET CENTER,06259,CT,JAMESALANWEISS@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,Confectionery and Nut Stores (445292),445292.0,,,,,,,,,,,,,,,,,,,
JOE GITTERMAN SCULPTOR LLC,LLC,Active,,1262363,2022-03-31,193 SABBADAY LANE #2,WASHINGTON DEPOT,06794,CT,jim@jgk-law.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,"Independent Artists, Writers, and Performers (711510)",711510.0,,,,,,,,,,,,,,,,,,,
JMR CHARTERS LLC,LLC,Active,,1262364,2022-03-31,1408 NEIPSIC ROAD,GLASTONBURY,06033,CT,hrhoades@cl-law.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,"Scenic and Sightseeing Transportation, Water (487210)",487210.0,,,,,,,,,,,,,,,,,,,
T.A.P. PLUMBING AND HEATING LLC,LLC,Active,,1262367,2022-03-31,30 VANDERBILT RD.,BRISTOL,06010,CT,travis@tapplumbing.net,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2600000,United States,Residential Remodelers (236118),,,,,,,,,,,,,,,,,,,,
A&G FEDERATION L.L.P.,LLP,Active,Ready for dissolution,1262368,2019-02-01,827 EAST CENTER STREET,WALLINGFORD,06492,CT,PIZZAGUY106@HOTMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2600000,,,,,,,,,,,,,,,,,,,,,,
COMPONENTS FOR INDUSTRY LLC,LLC,Active,,1262369,2022-03-31,204 BAKER ST,KEENE,03431,NH,ernie@apcsales.com,Foreign,2018-02-01,NH,NH,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,Industrial Supplies Merchant Wholesalers (423840),423840.0,2017-01-01,COMPONENTS FOR INDUSTRY LLC,United States,"204 BAKER ST, KEENE, NH, 03431,",204 BAKER ST,KEENE,NH,03431,,"204 BAKER ST, KEENE, NH, 03431, United States",204 BAKER ST,KEENE,NH,03431,United States,,,,
"MELISSA BECCE COACHING & EVALUATION, LLC",LLC,Active,,1262372,2022-03-31,17 HUGH ST 17 HUGH ST,WEST HARTFORD,06119,CT,melissa@melissabecce.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,Administrative Management and General Management Consulting Services (541611),541611.0,,,,,,,,,,,,,,,,,,,
GOOD LIFE REALESTATE LLC,LLC,Active,Annual report past due,1262378,2021-03-31,415 BOSTON POST RD STE 3 # 1100,MILFORD,06460,CT,odainejones@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,Residential Property Managers (531311),531311.0,,,,,,,,,,,,,,,,,,,
"STANFORD LABORATORY SERVICES, LLC",LLC,Dissolved,,1262379,2021-03-31,11 STONE RIDGE 11 STONE RIDGE,WOODCLIFF LAKE,07677,NJ,tompatire@tompatire.com,Domestic,2018-02-01,NJ,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.2600000,United States,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,,,,,,,,,,,,,,,2021-01-13T00:00:00.000,,,
A GIRLS GUIDE TO CARS LLC,LLC,Active,Ready for dissolution,1262380,2019-03-31,1273 E PUTNAM AVE,RIVERSIDE,06878,CT,JCK@KRSCPASLLP.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.2766667,,,,,,,,,,,,,,,,,,,,,,
"DEAR DREW MILLIGAN FOUNDATION, LLC",LLC,Active,Ready for dissolution,1262381,2019-03-31,20 MEADOWBROOK LANE,AVON,06001,CT,MARKPMILLIGAN1@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
"EMERALD ASSET MANAGEMENT, LLC",LLC,Active,,1262382,2022-03-31,"1 DOCK STREET, SUITE 610",STAMFORD,06902,CT,pwolansky888@gmail.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Investment Advice (523930),523930.0,,,,,,,,,,,,,,,,,,,
"LVI AMERICA, INC.",Stock,Active,,1262383,2022-02-01,"302 SAUNDERS ROAD, SUITE 200",RIVERWOODS,60015,IL,tsoseman@sosemanlaw.com,Foreign,2018-02-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Ophthalmic Goods Merchant Wholesalers (423460),423460.0,2018-01-26,"LVI AMERICA, INC.",United States,,,,,,,,,,,,,,,,
"DUBLIN TRADING, LLC",LLC,Active,Ready for dissolution,1262384,2020-03-31,240 OVERLOOK DR,GREENWICH,06830,CT,DOSULLIVAN18@YAHOO.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
LOCAL TO GLOBAL LLC,LLC,Active,Ready for dissolution,1262385,2019-03-31,232 PEACEDALE ST,BRISTOL,06010,CT,LLCSUPPORT@PRIMECORPORATESERVICES.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
"TECHNOMETALPOST OF MASSACHUSETTS, LLC",LLC,Active,,1262386,2022-03-31,766 MARION RD.,CHESHIRE,06410,CT,michel@technomp.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Other Building Equipment Contractors (238290),238290.0,,,,,,,,,,,,,,,,,,,
HARTFORD SOUTH HANGARS LLC,LLC,Active,,1262387,2022-03-31,17 NELSON STREET,EAST HARTFORD,06108,CT,lindseyr@hfdjet.com,Foreign,2018-02-01,DE,DE,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing (532411)",532411.0,2018-02-01,HARTFORD SOUTH HANGARS LLC,United States,"850 NEW BURTON ROAD, SUITE 201, DOVER, DE, 19904,","850 NEW BURTON ROAD, SUITE 201",DOVER,DE,19904,,"850 NEW BURTON ROAD SUITE 201, DOVER, DE, 19904, United States",850 NEW BURTON ROAD SUITE 201,DOVER,DE,19904,United States,,,,
ASCENT HARTFORD LLC,LLC,Dissolved,,1262388,2019-03-31,58 SUMMIT AVE,EAST HAVEN,06512,CT,MATT@CLIMBINGGYMSOLUTIONS.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,2021-03-13T00:00:00.000,,,
Z & Z FOOD STORE INC,Stock,Active,Ready for dissolution,1262389,2020-02-01,2008 WHITNEY AVE,HAMDEN,06517,CT,zsyed20@yahoo.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,100.0,2021-11-10 00:10:22.3066667,United States,,,,,,,,,,,,,,,,,,,,,
"HOME SOLUTIONS ETCETERA, LLC",LLC,Active,Ready for dissolution,1262391,2019-03-31,30 OLD KINGS HIGHWAY SOUTH,DARIEN,06820,CT,HMSETCETERA@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,United States,,,,,,,,,,,,,,,,,,,,,
"LANE DIGITAL, LLC",LLC,Active,Ready for dissolution,1262392,2019-03-31,201 JOHN STREET,GREENWICH,06831,CT,NSTEINMAN@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
"THE TACK SHACK, LLC",LLC,Dissolved,,1262393,2021-03-31,247 HALL HILL ROAD,SOMERS,06071,CT,jamie@haluchslandscapes.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Sporting Goods Stores (451110),451110.0,,,,,,,,,,,,,,,,2020-12-22T00:00:00.000,,,
"BLUERING, LLC",LLC,Active,Ready for dissolution,1262394,2019-03-31,31 MARY LANE,RIVERSIDE,06878,CT,ROB@BLUERING.CO,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
"BATH LEEDS, LLC",LLC,Active,,1262395,2022-03-31,200 PEMBERWICK ROAD SUITE 110,GREENWICH,06831,CT,mike@bathleeds.com,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Miscellaneous Financial Investment Activities (523999),523999.0,,,,,,,,,,,,,,,,,,,
"NL AISLING, LLC",LLC,Active,Ready for dissolution,1262396,2020-03-31,256 FAN HILL RD,MONROE,06468,CT,B.ESSENTER@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.3066667,,,,,,,,,,,,,,,,,,,,,,
RKBH LLC,LLC,Active,Annual report past due,1262397,2021-03-31,394 BRUSHY RIDGE RD,NEW CANAAN,06840,CT,risalysenko@mac.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,
MCDONALD LAWN AND GARDEN LLC,LLC,Active,Annual report past due,1262399,2021-03-31,34 SWALLER HILL RD 34 SWALLER HILL RD,SHARON,06069,CT,mslc@comcast.net,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,
ERIKA DUNHAM LLC,LLC,Active,,1262401,2022-03-31,"41 CROSSROADS PLAZA, #107",WEST HARTFORD,06117,CT,erika@wordsonamission.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.3066667,United States,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,
"FOUND PUBLIC RELATIONS, LLC",LLC,Active,,1262403,2022-03-31,275 HOLLOW TREE RIDGE ROAD,DARIEN,06820,CT,dana@foundpr.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,
"MCPADDEN MACHINE LEARNING, LLC",LLC,Active,Ready for dissolution,1262405,2020-03-31,1830 ELLA T GRASSO BOULEVARD,NEW HAVEN,06511,CT,SCCONVERY@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,United States,,,,,,,,,,,,,,,,,,,,,
OPTIBRUSHER LLC,LLC,Active,,1262406,2022-03-31,9 BAUER PL.,WESTPORT,06880,CT,audreylawrencerosenberg@gmail.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Dental Equipment and Supplies Manufacturing (339114),339114.0,,,,,,,,,,,,,,,,,,,
DAVIS TRUCKING AND TRANSPORT LLC,LLC,Active,Ready for dissolution,1262407,2019-03-31,70 CRYSTAL POND ROAD,WOODSTOCK VALLEY,06282,CT,DAVISTRUCKINGANDTRANSPORT@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
"E & J HOME CONSULTING, LLC",LLC,Active,,1262409,2022-03-31,89 FOUR WINDS LANE,NEW CANAAN,06840,CT,eandjhomeconsult@gmail.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,Interior Design Services (541410),541410.0,,,,,,,,,,,,,,,,,,,
GOLDEN COAST GAMES LLC,LLC,Active,Ready for dissolution,1262410,2019-03-31,95 DORCHESTER COURT,BEACON FALLS,06403,CT,GOLDENCOAST001@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,,,,,,,,,,,,,,,,,,,,,,
"PROVIJUNS, LLC",LLC,Active,,1262411,2022-03-31,24 HOYT CT.,DARIEN,06820,CT,sharonschoen@provijuns.com,Domestic,2018-02-01,CT,Connecticut,True,False,False,False,False,,,2021-11-10 00:10:22.8700000,United States,All Other Miscellaneous Food Manufacturing (311999),311999.0,,,,,,,,,,,,,,,,,,,
KKP DESIGN LLC,LLC,Active,Ready for dissolution,1262412,2020-03-31,131 GODEK HILL ROAD,MERIDEN,06451,CT,KKELLYPARM@GMAIL.COM,Domestic,2018-02-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,,2021-11-10 00:10:22.8700000,United States,,,,,,,,,,,,,,,,,,,,,
