name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,naics_sub_code,total_authorized_shares,create_dt,sub_status,reason_for_administrative,dissolution_date,began_transacting_in_ct,business_name_in_state_country,country_formation,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
215 DISTRICT LLC,LLC,Active,1259124,2022-03-31,89 TORRINGTON ROAD,GOSHEN,United States,06756,CT,Jen@kidsinactionllc.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,2021-11-10 00:10:18.9333333,,,,,,,,,,,,,,,,,,,,,
209-211 WESTLAND ST. LLC,LLC,Active,1259127,2019-03-31,90 EAST STREET,HARTFORD,,06120,CT,CAROL@CFREIDCONSTRUCTION.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.9333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"MARLBOROUGH STREET VENTURES, LLC",LLC,Active,1259128,2022-03-31,6 STONYBROOK ROAD,WESTPORT,United States,06880,CT,jgabler4@gmail.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Other Management Consulting Services (541618),541618.0,,2021-11-10 00:10:18.9333333,,,,,,,,,,,,,,,,,,,,,
"LONGROAD ENERGY SERVICES, LLC",LLC,Active,1259129,2022-03-31,"330 CONGRESS STREET, 6TH FLOOR",BOSTON,United States,02210,MA,jocelyn.koo@longroadenergy.com,Foreign,2018-01-02,DE,DE,False,False,False,False,False,"Other Similar Organizations (except Business, Professional, Labor, and Political Organizations) (813990)",813990.0,,2021-11-10 00:10:18.9333333,,,,2018-01-01,"LONGROAD ENERGY SERVICES, LLC",United States,"251 LITTLE FALLS DRIVE COUNTY OF NEW CASTLE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE COUNTY OF NEW CASTLE,WILMINGTON,DE,19808.0,United States,"251 LITTLE FALLS DRIVE COUNTY OF NEW CASTLE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE COUNTY OF NEW CASTLE,WILMINGTON,DE,19808.0,United States,,,
MYR ACCOUNTING SERVICES LLC,LLC,Active,1259130,2019-03-31,4 GLENWOOD AVE APT B8,NORWALK,,06854,CT,,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:18.9333333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"CASSISI GROUP, LLC",LLC,Active,1259131,2019-03-31,56 OLNEY ST,SEEKONK,,02771,MA,CASSISI.ANTONIO@GMAIL.COM,Foreign,2018-01-02,RI,RI,False,False,False,False,False,,,,2021-11-10 00:10:18.9633333,Ready for dissolution,Failure to file Annual Report,,2017-12-12,"CASSISI GROUP, LLC",,,,,,,,,,,,,,,,
LIMA ROOFING LLC,LLC,Active,1259132,2022-03-31,74 DEVILS GARDEN RD APT 1,NORWALK,United States,06854,CT,MARLOSTURCIOS@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Roofing Contractors (238160),238160.0,,2021-11-10 00:10:18.9633333,,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
MARION FARMS LLC,LLC,Active,1259198,2022-03-31,1777 MARION ROAD,CHESHIRE,United States,06410,CT,joemarionfarms@gmail.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Floriculture Production (111422),111422.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
"WOODS 5, LLC",LLC,Active,1259199,2022-03-31,18 RUSSETT LANE,ESSEX,United States,06426,CT,jeff.woods62@gmail.com,Domestic,2018-01-02,CT,Connecticut,True,False,False,False,False,All Other Personal Services (812990),812990.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
"NORTHEAST PROTECHS, LLC",LLC,Active,1259200,2020-03-31,7 OLD MILL ROAD,PLANTSVILLE,United States,06479,CT,NORTHEASTPROTECHS@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
BONEYARD PROPERTIES LLC,LLC,Active,1259201,2022-03-31,170 NORTH MAPLE STREET,ENFIELD,United States,06082,CT,slanetzcorp@att.net,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
GENESYS STAFFING LLC,LLC,Active,1259202,2019-03-31,1425 BEDFORD ST APT 3K,STAMFORD,,06905,CT,EFILE1234@INCFILE.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"THERAPY FOR A CHANGE, LLC",LLC,Active,1259203,2022-03-31,147 COVENTRY RD,MANSFIELD CENTER,United States,06250,CT,EFILE1234@INCFILE.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
SQUISHY LIFE LLC,LLC,Active,1259205,2022-03-31,8 BAILEY AVE,DARIEN,United States,06820,CT,megan@megandey.com,Domestic,2018-01-02,CT,Connecticut,True,False,False,False,False,"Photography Studios, Portrait (541921)",541921.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
"MTM EQUIPMENT SERVICES, LLC",LLC,Active,1259206,2020-03-31,47 HANSEN DR,VERNON,United States,06066,CT,MTMSERVICES@COMCAST.NET,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"DOWN TO EARTH CT, LLC",LLC,Active,1259208,2022-03-31,17 FARM GATE DR,COLCHESTER,United States,06415,CT,Downtoearthctllc@yahoo.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,All Other Personal Services (812990),,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
"SHRE COMPANY, LLC",LLC,Active,1259209,2020-03-31,404 SPORT HILL ROAD,EASTON,United States,06612,CT,SPULIE@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
KINGSWAY URBAN COMMUNITIES BENNETT LLC,LLC,Dissolved,1259210,2021-03-31,152 WESTPORT AVENUE,NORWALK,United States,06851,CT,michael@kingswaygroup.org,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Recreational Goods Rental (532284),532284.0,,2021-11-10 00:10:19.5733333,,,2021-02-16T00:00:00.000,,,,,,,,,,,,,,,,,,
PSV SERVICES LLC,LLC,Active,1259211,2022-03-31,984 MAIN STREET,BRANFORD,United States,06405,CT,debra@pvfamilyoffice.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Office Administrative Services (561110),561110.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
"THE GARDINER COMPANY, LLC",LLC,Active,1259213,2022-03-31,232 SOUTH MAIN STREET,WEST HARTFORD,United States,06107,CT,cgardiner@snet.net,Domestic,2018-01-02,CT,Connecticut,False,False,True,False,False,Administrative Management and General Management Consulting Services (541611),541611.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
EAST COAST ORTHOTIC & PROSTHETIC CORP.,Stock,Active,1259215,2022-01-02,2389 MAIN ST. STE 100,GLASTONBURY,United States,06033,CT,eastern@northwestregisteredagent.com,Foreign,2018-01-02,NY,NY,False,False,False,False,False,Surgical Appliance and Supplies Manufacturing (339113),,,2021-11-10 00:10:19.5733333,,,,2017-12-26,EAST COAST ORTHOTIC & PROSTHETIC CORP.,United States,,,,,,,,,,,,,,,
TC TRAINING DISCIPLINES LLC,LLC,Active,1259216,2022-03-31,297 WEST STREET,PLANTSVILLE,United States,06479,CT,catzr600@cox.net,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,All Other Miscellaneous Schools and Instruction (611699),611699.0,,2021-11-10 00:10:19.5733333,,,,,,,,,,,,,,,,,,,,,
DAPHNE CREST MINING CO. LLC,LLC,Active,1259217,2019-03-31,22 CEDAR CREST PLACE,NORWALK,,06854,CT,GIORGIO.VITIELLO@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:19.5733333,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
VEPEAY LLC,LLC,Active,1259218,2019-03-31,8 HILLWOOD PLACE,NORWALK,,06850,CT,SKI06840@YAHOO.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:20.1366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"WISDOM, LLC",LLC,Active,1259219,2019-03-31,28 FOREST AVENUE,DANBURY,,06810,CT,DANIELDS0809@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:20.1366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
UNCASLU LLC,LLC,Active,1259235,2022-03-31,"527 WEST THAMES ST, UNIT #62",NORWICH,United States,06360,CT,YLIU@WYCPAS.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),,,2021-11-10 00:10:20.1366667,,,,,,,,,,,,,,,,,,,,,
"15 CORPORATE, LLC",LLC,Active,1259236,2022-03-31,323 NORTH AVENUE,BRIDGEPORT,United States,06606,CT,laura@dinardoent.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,,2021-11-10 00:10:20.1366667,,,,,,,,,,,,,,,,,,,,,
BUFFALO CUSTOMS LLC,LLC,Active,1259237,2019-03-31,345 SALMON BROOK ST,GRANBY,,06035,CT,EFILE1234@INCFILE.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:20.1366667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
REPFLOW LIMITED LIABILITY COMPANY,LLC,Dissolved,1259239,2021-03-31,46 FIELDCREST DRIVE 46 FIELDCREST DRIVE,TRUMBULL,United States,06611,CT,Mfaria@repflow.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,"Data Processing, Hosting, and Related Services (518210)",518210.0,,2021-11-10 00:10:20.1366667,,,2021-02-26T00:00:00.000,,,,,,,,,,,,,,,,,,
"65 CORPORATE, LLC",LLC,Active,1259240,2022-03-31,323 NORTH AVENUE,BRIDGEPORT,United States,06606,CT,laura@dinardoent.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Lessors of Other Real Estate Property (531190),531190.0,,2021-11-10 00:10:20.1366667,,,,,,,,,,,,,,,,,,,,,
A BEST ROOFING LLC,LLC,Active,1259241,2022-03-31,381 CABIN ROAD,COLCHESTER,United States,06415,CT,pdabuilders@gmail.com,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,Roofing Contractors (238160),238160.0,,2021-11-10 00:10:16.9166667,,,,,,,,,,,,,,,,,,,,,
DOORSTEP SOLUTIONS LLC,LLC,Dissolved,1259242,2019-03-31,141 KINGS HIGHWAY EAST REAR 141 KINGS HIGHWAY EAST REAR,FAIRFIELD,,06825,CT,RBGATRCC@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:16.9166667,,,2021-06-11T00:00:00.000,,,,,,,,,,,,,,,,,,
ANG NETWORK INVESTMENT'S FIRM LLC.,LLC,Active,1259243,2019-03-31,23-1 VILLAGEWOOD DR.,WATERBURY,,06705,CT,AKIEVAHEATH@GMAIL.COM,Domestic,2018-01-02,CT,Connecticut,False,False,False,False,False,,,,2021-11-10 00:10:16.9166667,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,
"LENDINGPOINT FUNDING I 2017-1, LLC",LLC,Active,1259244,2022-03-31,1201 ROBERTS BLVD. SUITE 200,KENNESAW,United States,30144,GA,gmclaughlin@lendingpoint.com,Foreign,2018-01-02,DE,DE,False,False,False,False,False,Consumer Lending (522291),522291.0,,2021-11-10 00:10:16.9166667,,,,2018-01-02,"LENDINGPOINT FUNDING I 2017-1, LLC",United States,"1201 ROBERTS BLVD. SUITE 200, KENNESAW, GA, 30144, United States",1201 ROBERTS BLVD. SUITE 200,KENNESAW,GA,30144.0,United States,"1201 ROBERTS BLVD. SUITE 200, KENNESAW, GA, 30144,",1201 ROBERTS BLVD. SUITE 200,KENNESAW,GA,30144.0,,,,
