name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,began_transacting_in_ct,billingcountry,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,naics_code,naics_sub_code,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,dissolution_date,mailing_jurisdiction_country,total_authorized_shares,category_survey_email_address,billing_unit,date_of_organization_meeting,mailing_address
"NORTHERN CRANE, LLC",LLC,Active,,1289445,2022-03-31,1520 PARK STREET,PALMER,01069,MA,cpa@northernconstruction.com,Foreign,2018-11-01,MA,MA,False,False,False,False,False,,2021-11-10 00:12:22.1933333,2017-05-01,United States,"NORTHERN CRANE, LLC",United States,"1520 PARK STREET P.O. BOX 964, PALMER, MA, 01069,",1520 PARK STREET P.O. BOX 964,PALMER,MA,01069,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing (532412)",532412.0,"1520 PARK STREET, PALMER, MA, 01069, United States",1520 PARK STREET,PALMER,MA,01069,United States,,,,,,,
"MALLOY & ASSOCIATES, LLC",LLC,Active,Ready for dissolution,1289446,2020-03-31,29 SADDLE RIDGE DRIVE,WEST SIMSBURY,06092,CT,MALLOYLAW@COMCAST.NET,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,United States,,,,,,,,,,,,,,,,,,,,,,
667 WINTHROP PARTNERS LLC,LLC,Active,,1289447,2022-03-31,40 TRUMBULL STREET,NEW HAVEN,06510,CT,ALEXANDRA.D.DAUM@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.1933333,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
"3D MEDICINES USA, INC.",Stock,Active,Annual report past due,1289450,2020-11-01,57 W 57TH ST FL 3,NEW YORK,10019,NY,3DMED@CLOUDACC.US,Foreign,2018-11-01,DE,DE,False,False,False,False,False,,2021-11-10 00:12:22.1933333,2018-11-05,United States,"3D MEDICINES USA, INC.",United States,,,,,,,,,,,,,,,,,,,,
MAMI LLC,LLC,Active,Ready for dissolution,1289451,2019-03-31,46 FARNSWORTH ST,HAMDEN,06517,CT,SHOPMAMIIC@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
"B.LUXE TRAVEL, LLC",LLC,Active,,1289452,2022-03-31,180 TURN OF RIVER ROAD UNIT 2A,STAMFORD,06905,CT,lisabankson@optonline.net,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.1933333,,United States,,,,,,,,Travel Agencies (561510),561510.0,,,,,,,,,,,,,
INTEGRITY PAINTING LLC,LLC,Active,,1289453,2022-03-31,"72 PINE ST FL1 72 PINE ST, FL1",MANCHESTER,06040,CT,integrity.paintingct@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.1933333,,United States,,,,,,,,Painting and Wall Covering Contractors (238320),238320.0,,,,,,,,,,,,,
GO CHELSEA LLC,LLC,Active,,1289454,2022-03-31,756 SAVIN AVE,WEST HAVEN,06516,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.1933333,,United States,,,,,,,,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,
THOMAS SOLUTIONS LLC,LLC,Active,Ready for dissolution,1289455,2019-03-31,29 HIGGINS AVE.,PLAINVILLE,06062,CT,THOMASSOLUTIONS@COMCAST.NET,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
JUAN CARLOS SERVICES LLC,LLC,Active,Ready for dissolution,1289456,2019-03-31,76 TOWN HILL AVENUE APT 1B,DANBURY,06810,CT,JR609281@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
SUNDANCE COURIER SERVICES LLC,LLC,Active,Ready for dissolution,1289457,2019-03-31,412 FARMINGTON AVE,HARTFORD,06105,CT,SUNDANCECOURIER@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
"RESIDENTS ENERGY, LLC",LLC,Active,,1289458,2022-03-31,520 BROAD ST,NEWARK,07102,NJ,MINI.RIVERA@IDT.NET,Foreign,2018-11-01,NY,NY,False,False,False,False,False,,2021-11-10 00:12:22.1933333,2018-11-01,United States,"RESIDENTS ENERGY, LLC",United States,"80 STATE STREET, ALBANY, NY, 12207, United States",80 STATE STREET,ALBANY,NY,12207,Electric Power Distribution (221122),221122.0,"80 STATE STREET, ALBANY, NY, 12207, United States",80 STATE STREET,ALBANY,NY,12207,United States,,United States,,,,,
"P'S & Q'S CRAFT COUTURE, LLC",LLC,Active,Ready for dissolution,1289459,2019-03-31,68 LONG LOTS ROAD,WESTPORT,06880,CT,PANDQCRAFTCOUTURE@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
"TNT LADY SLEDDERS, LLC",LLC,Active,Ready for dissolution,1289460,2019-03-31,127 PETTIPAUGH RD,WESTBROOK,06498,CT,TNTLADYSLEDDERS@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.1933333,,,,,,,,,,,,,,,,,,,,,,,,
OLD REPUBLIC SURETY COMPANY,Stock,Active,Annual report past due,1289461,2021-11-01,"445 S. MOORLAND ROAD, STE. 200",BROOKFIELD,53005,WI,orsctaxes@orsurety.com,Foreign,2018-11-01,WI,WI,False,False,False,False,False,,2021-11-10 00:12:22.1933333,2018-11-01,United States,OLD REPUBLIC SURETY COMPANY,United States,,,,,,Direct Property and Casualty Insurance Carriers (524126),524126.0,,,,,,,,,,,,,
"YARDI KUBE, INC.",Stock,Active,Annual report past due,1289463,2021-11-01,430 S. FAIRVIEW AVENUE,SANTA BARBARA,93117,CA,Compliancemail@cscinfo.com,Foreign,2018-11-01,CA,CA,False,False,False,False,False,,2021-11-10 00:12:22.2400000,2018-11-15,United States,"YARDI KUBE, INC.",United States,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"SKIP HOLDINGS, LLC",LLC,Active,,1289464,2022-03-31,2070 WEST STREET,SOUTHINGTON,06489,CT,al@edilandscape.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,United States,,,,,,,,Other Heavy and Civil Engineering Construction (237990),237990.0,,,,,,,,,,,,,
SF ENTERPRISES LLC,LLC,Active,Ready for dissolution,1289465,2019-03-31,44 NEWFIELD COURT,STAMFORD,06905,CT,SETH.STENMETZ@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
"BAC ENTERPRISES, LLC",LLC,Active,,1289466,2022-03-31,80 CREEK ROW,EAST HADDAM,06423,CT,bcarey48@comcast.net,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,United States,,,,,,,,Residential Property Managers (531311),,,,,,,,,,,,,,
"BIG RED HOUSE, LLC",LLC,Active,Ready for dissolution,1289467,2019-03-31,137 HOLLOW TREE RIDGE ROAD APT. 621,DARIEN,06820,CT,DPIERSOL@OPTONLINE.NET,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
EASTBROOK FITNESS LLC,LLC,Active,Ready for dissolution,1289468,2019-03-31,24 ORCHARD STREET,MONSEY,10952,NY,MRKLEIN@YAHOO.COM,Domestic,2018-11-01,NY,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
VSOL INNOVATIVE INVESTMENTS LLC,LLC,Dissolved,,1289470,2019-03-31,12 MARY CATHERINE CIR,WINDSOR,06095,CT,LLCSUPPORT@PRIMECORPORATESERVICES.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,2021-01-19T00:00:00.000,,,,,,
NEW ENGLAND PSYCHOTHERAPY PLLC,LLC,Active,,1289471,2022-03-31,246 WOLCOTT ROAD,WOLCOTT,06716,CT,EFILE1234@INCFILE.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,United States,,,,,,,,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,
"NRC REALTY & CAPITAL ADVISORS OF CT, LLC",LLC,Active,,1289472,2022-03-31,445 W. ERIE SUITE 210,CHICAGO,60654,IL,accounting@nrc.com,Domestic,2018-11-01,IL,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,United States,,,,,,,,Offices of Real Estate Agents and Brokers (531210),531210.0,,,,,,,,,,,,,
ENTERPRISE INTEGRITY INC.,Stock,Active,Ready for dissolution,1289473,2019-11-01,2389 MAIN ST. STE 100,GLASTONBURY,06033,CT,NE@REGISTEREDAGENTSINC.COM,Foreign,2018-11-01,DE,DE,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,2018-11-01,,ENTERPRISE INTEGRITY INC.,,,,,,,,,,,,,,,,,,,,,
"1000 HORSES REPAIR & MODIFICATIONS, LLC",LLC,Active,Ready for dissolution,1289474,2019-03-31,251 NORTH ANGUILLA RD,PAWCATUCK,06379,CT,DISCUILLO4@COMCAST.NET,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
BLOOMFIELD RESOURCES LTD,Stock,Dissolved,,1289475,2022-02-06,58 FANTON HILL RD,WESTON,06883,CT,firm@crefacorp.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,2021-07-12T00:00:00.000,,200.0,,,,
BARBERA ASSOCIATES REAL ESTATE LLC,LLC,Active,,1289476,2022-03-31,451 GROVE ST,WORCESTER,01605,MA,mbarbera@barberaassociates.com,Foreign,2018-11-01,MA,MA,False,False,False,False,False,,2021-11-10 00:12:22.2400000,2018-11-01,United States,BARBERA ASSOCIATES REAL ESTATE LLC,United States,"451 GROVE ST, WORCESTER, MA, 01605,",451 GROVE ST,WORCESTER,MA,01605,Offices of Real Estate Agents and Brokers (531210),531210.0,"451 GROVE ST, WORCESTER, MA, 01605, United States",451 GROVE ST,WORCESTER,MA,01605,United States,,,,,,,
"SUSAN HACKEL LCSW, PLLC",LLC,Active,Ready for dissolution,1289477,2019-03-31,22 GLEN HILL ROAD,REDDING,06896,CT,SATHACKEL@YAHOO.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
MARK TRADING GROUP LLC,LLC,Active,Ready for dissolution,1289478,2020-03-31,"15 DANBURY RD, APT 16",RIDGEFIELD,06877,CT,575KIR@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,United States,,,,,,,,,,,,,,,,,,,,,,
THE TRZEBINSKA-SATARA FAMILY STATUTORY TRUST,Statutory Trust,Active,,1289480,2019-11-01,26 PROSPECT AVE APT A14,NORWALK,06850,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
MAROTTI AUTOSPORT LLC,LLC,Active,Ready for dissolution,1289481,2019-03-31,344 HIGH HILL RD,WALLINGFORD,06492,CT,WILL@MAROTTIRACING.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.2400000,,,,,,,,,,,,,,,,,,,,,,,,
AN AVERAGE JILL LLC,LLC,Active,Annual report past due,1289488,2021-03-31,183 LOOKING GLASS HILL ROAD,MORRIS,06763,CT,jill@anaveragejill.com,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,All Other General Merchandise Stores (452319),,,,,,,,,,,,,,
KLC ADMINISTRATITIVE SERVICES LLC,LLC,Active,Ready for dissolution,1289489,2019-03-31,151 WESSELS AVE,BRIDGEPORT,06610,CT,KLC775@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,,,,,,,,,,,,,,,,,,,,,,,
M & S PROPERTY SERVICES LLC,LLC,Active,Ready for dissolution,1289491,2019-03-31,15 SIDOR DR,ENFIELD,06082,CT,MSPROPERTYSERVICESNOW@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,,,,,,,,,,,,,,,,,,,,,,,
"MDDM CONSULTING, LLC",LLC,Active,Ready for dissolution,1289492,2020-03-31,53 JENTA LANE,WATERTOWN,06795,CT,INFO@ACCUMERA.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,United States,,,,,,,,,,,,,,,,,,,,,,
EURECA AUDIO LLC,LLC,Active,Ready for dissolution,1289493,2019-03-31,787D MIX AVENUE,HAMDEN,06514,CT,JETTSTRINGER3@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,,,,,,,,,,,,,,,,,,,,,,,
G&C INVESTMENTS LLC,LLC,Active,Ready for dissolution,1289494,2020-03-31,5 PINE STREET,OXFORD,06478,CT,OFFICE@1040ACCOUNTANT.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,United States,,,,,,,,,,,,,,,,,,,,,,
SAUL PAINTING SERVICES LLC,LLC,Active,Ready for dissolution,1289495,2019-03-31,19 LAFAYETTE STREET,DERBY,06418,CT,MULTISERVICE@7STATECT.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,,,,,,,,,,,,,,,,,,,,,,,
ACR LLC,LLC,Active,,1289497,2022-03-31,64 TRIANGLE STREET,DANBURY,06810,CT,awilk@rizzocompanies.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,
"ELEVATE COUNSELING SERVICES, LLC",LLC,Active,,1289498,2022-03-31,"C/O ICARE, 341 BIDWELL STREET",MANCHESTER,06040,CT,BWalsh@icarehn.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,Offices of All Other Miscellaneous Health Practitioners (621399),621399.0,,,,,,,,,,,,,
BEKND PROPERTIES LLC,LLC,Active,Ready for dissolution,1289499,2019-03-31,680 E MAIN STREET  #546,STAMFORD,06901,CT,NONO112345@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,United States,,,,,,,,,,,,,,,,,,,,,,
RAY BIRDSALL LLC.,LLC,Active,,1289501,2022-03-31,132 SANDPIPER CRESCENT,MILFORD,06460,CT,rjmtax1@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,All Other Personal Services (812990),,,,,,,,,,,,,,
DAVIGNON SAFETY LLC,LLC,Active,,1289502,2022-03-31,68 STONY CORNERS CIR,AVON,06001,CT,jdavignon@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,Other Scientific and Technical Consulting Services (541690),541690.0,,,,,,,,,,,,,
"WOOD SIGNS & VINYL DECALS BY JESS, LLC",LLC,Active,Ready for dissolution,1289504,2019-03-31,579 SQUAW ROCK ROAD,MOOSUP,06354,CT,JESSICALYNN0909@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.7566667,,,,,,,,,,,,,,,,,,,,,,,,
"MINICUCCI PROPERTIES, LLC",LLC,Active,,1289505,2022-03-31,120 SHODDY MILL RD,ANDOVER,06232,CT,c.minicucci@aol.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.7566667,,United States,,,,,,,,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,
TIRES AND WHEELS TOO LLC,LLC,Active,Ready for dissolution,1289507,2019-03-31,20 SUNNYBANK AVE,STRATFORD,06614,CT,TAX1040-941@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
PANDA REALTY LLC,LLC,Active,Ready for dissolution,1289508,2019-03-31,43 STURGES HWY,WESTPORT,06880,CT,RWU@WYCPAS.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
"MEDINA LEON, LLC",LLC,Active,Ready for dissolution,1289509,2019-03-31,498-502 GLENBROOK ROAD,STAMFORD,06906,CT,CTLIQUORCONSULTANTS@HOTMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
"ABDALA'SCLEANING, LLC",LLC,Active,Ready for dissolution,1289511,2019-03-31,1 SPRUCE ST APT 1,DANBURY,06810,CT,VALERIAABDALA69@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
COMMON GROUNDS SHELTON LLC,LLC,Active,,1289512,2022-03-31,30 Farmington Dr,Northford,06472-1168,CT,dena@commongrounds.com,Domestic,2018-11-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,Baked Goods Stores (445291),445291.0,,,,,,,,,,,,,
CHICKEN NOW AT WATERBURY LLC,LLC,Active,Ready for dissolution,1289513,2019-03-31,495 UNION STREET SUITE 2210,WATERBURY,06706,CT,CCTS.EA@GMAIL.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
SURETYS LLC,LLC,Converted Out,,1289514,2021-03-31,365 BELLEVUE RD,NEW HAVEN,06511,CT,mendy@tmscinc.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,Insurance Agencies and Brokerages (524210),524210.0,,,,,,,,,,,,,
THE HILLTOP GALLERY LLC,LLC,Active,Ready for dissolution,1289515,2019-03-31,616 E MAIN STREET,BRANFORD,06405,CT,SEAN@THEHILLTOPGALLERY.COM,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,,,,,
GVA LLC,LLC,Active,Annual report past due,1289516,2021-03-31,300 CARMEL HILL RD NORTH,BETHLEHEM,06751,CT,gunvalleyarms@gmail.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,All Other Miscellaneous Store Retailers (except Tobacco Stores) (453998),453998.0,,,,,,,,,,,,,
"MATTHEW F. MCCABE DMD, PC",Stock,Active,Ready for dissolution,1289518,2019-11-01,2139 SILAS DEANE HIGHWAY,ROCKY HILL,06067,CT,,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:12:22.8033333,,,,,,,,,,,,,,,,,,,,1000.0,,,,
"BRC CAPITAL, L.L.C.",LLC,Active,,1289519,2022-03-31,452 TWIN LAKES RD,NORTH BRANFORD,06471,CT,carmen@esict.com,Domestic,2018-11-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,Miscellaneous Financial Investment Activities (523999),523999.0,,,,,,,,,,,,,
"ANIMAL HOUSE MOBILE PET GROOMING, LLC",LLC,Active,,1289520,2022-03-31,43 ROWLAND ROAD,OLD LYME,06371,CT,animalhousemobilepetgrooming@gmail.com,Domestic,2018-11-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:12:22.8033333,,United States,,,,,,,,Pet Care (except Veterinary) Services (812910),812910.0,,,,,,,,,,,,,
