name,business_type,status,sub_status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,reason_for_administrative,create_dt,billingcountry,naics_code,naics_sub_code,began_transacting_in_ct,business_name_in_state_country,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,total_authorized_shares,country_formation,mailing_jurisdiction_country,office_in_jurisdiction_country,category_survey_email_address,dissolution_date,billing_unit,date_of_organization_meeting
COASTAL CRAFT CIRCUIT LLC,LLC,Active,,1286383,2022-03-31,67 CARRIAGE DR,WALLINGFORD,06492,CT,coastalcraftcircuit@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,All Other Miscellaneous Wood Product Manufacturing (321999),,,,,,,,,,,,,,,,,,,,,
"JBMAK, LLC",LLC,Active,Annual report past due,1286384,2021-03-31,166 GRINDLE BROOK ROAD,SOUTH GLASTONBURY,06073,CT,brennen@makilawct.com,Domestic,2018-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:28.0700000,United States,Lessors of Nonresidential Buildings (except Miniwarehouses) (531120),531120.0,,,,,,,,,,,,,,,,,,,,
BLUE WATER STRATEGY PARTNERS LLC,LLC,Active,Ready for dissolution,1286386,2020-03-31,6 NAWTHORNE ROAD 6 NAWTHORNE ROAD,OLD GREENWICH,06870,CT,VZ@VLZADVISORY.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1033333,,,,,,,,,,,,,,,,,,,,,,,
CT KIDS MATTER LLC,LLC,Active,,1286387,2022-03-31,416 HIGHLAND AVE BUILDING B,CHESHIRE,06410,CT,heather@ctkidsmatter.com,Domestic,2018-10-01,CT,Connecticut,False,True,False,True,False,,2021-11-10 00:08:28.1033333,United States,Offices of Mental Health Practitioners (except Physicians) (621330),621330.0,,,,,,,,,,,,,,,,,,,,
"SULLIVAN, GRIFFITH & BEATTY, LLP",LLP,Active,,1286388,2022-10-01,705 BOSTON POST ROAD,GUILFORD,06437,CT,psullivan@sgbllp.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Offices of Lawyers (541110),541110.0,,,,,,,,,,,,,,,,,,,,
PNEUMATIC PROPERTIES LLC,LLC,Active,Ready for dissolution,1286390,2019-03-31,843 MONTAUK AVENUE,NEW LONDON,06320,CT,DANTEPIACENZA@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1033333,,,,,,,,,,,,,,,,,,,,,,,
COCOONING ELECTRONICS LTD.,Stock,Active,,1286391,2021-10-01,247 W 37th St,New York,10018-5706,NY,bill.kelly@eeny.net,Foreign,2018-10-01,NY,NY,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers (423620)",,2018-10-01,COCOONING ELECTRONICS LTD.,,,,,,,,,,,,United States,,,emynes@rosannabellcpa.com,,,
PETER SCHALLER MEDIA LLC,LLC,Active,,1286392,2022-03-31,59 ARUNDEL AVE.,WEST HARTFORD,06107,CT,peterhschaller@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Marketing Consulting Services (541613),541613.0,,,,,,,,,,,,,,,,,,,,
"ARCHITECTURAL GLASS, LLC",LLC,Active,,1286393,2022-03-31,9 TURNBERRY LANE,SANDY HOOK,06482,CT,gene.lee@seventhreeholdings.com,Foreign,2018-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Glass Product Manufacturing Made of Purchased Glass (327215),327215.0,2018-10-02,"ARCHITECTURAL GLASS INDUSTRIES, LLC","251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808,,United States,United States,United States,,,,
"THE DAY KIMBALL HEALTHCARE FOUNDATION, INC.",Non-Stock,Active,Annual report past due,1286394,2021-10-01,309 POMFRET STREET,PUTNAM,06260,CT,WINSHIP@GOODWIN.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Voluntary Health Organizations (813212),,,,,,,,,,,,,,,,,,,,,
BLUE DOT PROPERTIES LLC,LLC,Active,,1286395,2022-03-31,40 TRUMBULL STREET 40 TRUMBULL STREET,NEW HAVEN,06510,CT,ad@fieldpropertiesct.com,Domestic,2018-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,
CITRINE POWER LLC,LLC,Active,,1286396,2022-03-31,55 GREENS FARMS RD STE 200-78,WESTPORT,06880,CT,cela@citrinepower.com,Foreign,2018-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Solar Electric Power Generation (221114),221114.0,2018-10-01,CITRINE POWER LLC,"108 WEST 13TH STREET, WILMINGTON, DE, 19801,",108 WEST 13TH STREET,WILMINGTON,DE,19801,"108 WEST 13TH STREET, WILMINGTON, DE, 19801, United States",108 WEST 13TH STREET,WILMINGTON,DE,19801,,United States,,United States,,,,
NORTHEASTERN HOOD AND DUCT LLC,LLC,Active,,1286398,2022-03-31,350 LEDGE RD,DAYVILLE,06241,CT,EFILE1234@INCFILE.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,All Other Personal Services (812990),811310.0,,,,,,,,,,,,,,,,,,,,
AF FABRICATION & REPAIR LTD. LIABILITY COMPANY,LLC,Active,Annual report past due,1286399,2021-03-31,51 NORTH STREET,SHELTON,06484,CT,EFILE1234@INCFILE.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,
TRANSPACIFIC LINK INC.,Stock,Active,,1286404,2022-08-06,45 ADELINE PL,MANSFIELD CENTER,06250,CT,DTTAXINFO@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1033333,United States,Insurance Agencies and Brokerages (524210),524210.0,,,,,,,,,,,,,200.0,,,,,,,
CITY SAFE PARTNERS LLC,LLC,Active,Ready for dissolution,1286405,2019-03-31,2311 ADAM CLAYTON POWELL JR BLVD SUITE #2,NEW YORK,,NY,INFO@CITYSAFEPARTNERS.COM,Foreign,2018-10-01,NY,NY,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1500000,,,,2018-10-01,CITY SAFE PARTNERS LLC,"2311 ADAM CLAYTON POWELL JR BLVD SUITE #2, NEW YORK, NY,",2311 ADAM CLAYTON POWELL JR BLVD SUITE #2,NEW YORK,NY,,"2311 ADAM CLAYTON POWELL JR BLVD SUITE #2, NEW YORK, NY,",2311 ADAM CLAYTON POWELL JR BLVD SUITE #2,NEW YORK,NY,,,,,,,,,
HK SMITH ENTERPRISES LLC,LLC,Active,,1286406,2022-03-31,178 TEMPLE STREET SUITE 33,NEW HAVEN,06510,CT,hkenterprisesct@gmail.com,Domestic,2018-10-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:28.1500000,United States,All Other Outpatient Care Centers (621498),,,,,,,,,,,,,,,,,,,,,
SASCO CT OPP FUND LLP,LLP,Active,Ready for dissolution,1286407,2019-10-01,336 GREENS FARMS ROAD,WESTPORT,06880,CT,JPAGAH@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1500000,,,,,,,,,,,,,,,,,,,,,,,
SSCS LLC,LLC,Active,,1286408,2022-03-31,738 WASHINGTON AVE.,WEST HAVEN,06516,CT,kursadece@hotmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Motor Vehicle Towing (488410),488410.0,,,,,,,,,,,,,,,,,,,,
NINAPAO CONSTRUCTION LLC,LLC,Active,Ready for dissolution,1286409,2019-03-31,66 BALMFORTH AVE 1FL,DANBURY,06810,CT,CRIS@MIRANTEAGENCY.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1500000,,,,,,,,,,,,,,,,,,,,,,,
"WINDSOR ENTERPRISE, LLC",LLC,Active,,1286410,2022-03-31,111 COBBLESTONE LANE,MERIDEN,06450,CT,gsab333@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Residential Property Managers (531311),711219.0,,,,,,,,,,,,,,,,,,,,
"WORLDWIDE FITNESS DISTRIBUTORS, LLC",LLC,Active,Ready for dissolution,1286411,2020-03-31,211 COUNTRY LANE 211 COUNTRY LN,GLASTONBURY,06073,CT,gkatsy@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1500000,United States,,,,,,,,,,,,,,,,,,,,,,
"COTTE, LLC",LLC,Active,Ready for dissolution,1286412,2020-03-31,270 FLAX HILL ROAD,NORWALK,06854,CT,ALISHA@COTTESJEWEL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:28.1500000,,,,,,,,,,,,,,,,,,,,,,,
"THE ENGINEERING CORP., INC.",Stock,Active,Annual report past due,1286413,2020-10-01,146 DASCOMB ROAD,ANDOVER,01810,MA,cchristy@theengineeringcorp.com,Foreign,2018-10-01,MA,MA,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Engineering Services (541330),541330.0,2018-10-01,"TEC, INC.",,,,,,,,,,,,United States,,,,,,
"ROCKET HOMES REAL ESTATE, LLC",LLC,Active,,1286414,2022-03-31,701 GRISWOLD ST,DETROIT,48226,MI,inquiries@rockethomes.com,Foreign,2018-10-01,MI,MI,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Offices of Real Estate Agents and Brokers (531210),531210.0,2018-10-01,"ROCKET HOMES REAL ESTATE, LLC","701 GRISWOLD ST ATTN: LEGAL/LICENSING TEAM, DETROIT, MI, 48226,",701 GRISWOLD ST ATTN: LEGAL/LICENSING TEAM,DETROIT,MI,48226,"701 GRISWOLD ST, DETROIT, MI, 48226, United States",701 GRISWOLD ST,DETROIT,MI,48226,,United States,,United States,,,,
KNEPLER DRIVING SCHOOLS LLC,LLC,Active,,1286415,2022-03-31,388 MAIN STREET STE 100,MONROE,06468,CT,Howard@KneplerDrivingSchools.com,Domestic,2018-10-01,CT,Connecticut,False,False,True,True,False,,2021-11-10 00:08:28.1500000,United States,Automobile Driving Schools (611692),611692.0,,,,,,,,,,,,,,,,,,,,
REWARD TECHNOLOGIES LLC,LLC,Active,,1286417,2022-03-31,101 NORTH PLAINS INDUSTRIAL ROAD BLDG 4,WALLINGFORD,06492,CT,fward@re-wardtech.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Communication Equipment Repair and Maintenance (811213),811213.0,,,,,,,,,,,,,,,,,,,,
"LMNOP PROPERTIES, LLC",LLC,Active,,1286418,2022-03-31,15 COOLIDGE RD,WEST HARTFORD,06117,CT,LMNOPProperties@gmail.com,Domestic,2018-10-01,CT,Connecticut,True,False,True,False,False,,2021-11-10 00:08:28.1500000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,
LMRK PROPCO 3 LLC,LLC,Active,,1286420,2022-03-31,400 N CONTINENTAL BLVD STE 500,EL SEGUNDO,90245,CA,cmatthews@landmarkdividend.com,Foreign,2018-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Other Activities Related to Real Estate (531390),531390.0,2018-10-01,LMRK PROPCO 3 LLC,"160 GREENTREE DRIVE #101, DOVER, DE, 90245,",160 GREENTREE DRIVE #101,DOVER,DE,90245,"160 GREENTREE DRIVE #101, DOVER, DE, 90245, United States",160 GREENTREE DRIVE #101,DOVER,DE,90245,,United States,,United States,,,,
NOBLE SON ENTERPRISES LLC,LLC,Active,,1286422,2022-03-31,16 GLEN RIDGE DRIVE,ANSONIA,06401,CT,john@thenobleson.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:28.1500000,United States,Administrative Management and General Management Consulting Services (541611),,,,,,,,,,,,,,,,,,,,,
STRONG ROOTED NUTRITION LLC,LLC,Active,,1286423,2022-03-31,57 CHARLTON DR.,SOUTH GLASTONBURY,06073,CT,jencooknorman@live.com,Domestic,2018-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:29.1500000,United States,All Other Personal Services (812990),812990.0,,,,,,,,,,,,,,,,,,,,
SUPERIOR HVAC & TANK REMOVAL LLC,LLC,Active,Ready for dissolution,1286424,2019-03-31,"240 RAILROAD HILL STREET, BLDG B",WATERBURY,06708,CT,JRIGGI27@YAHOO.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:29.1500000,,,,,,,,,,,,,,,,,,,,,,,
CARABETTA COMPANIES LLC,LLC,Active,,1286425,2022-03-31,200 PRATT ST,MERIDEN,06450,CT,doeann.fiondella@carabetta.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:29.1500000,United States,Other Activities Related to Real Estate (531390),531390.0,,,,,,,,,,,,,,,,,,,,
"4MS, LLC",LLC,Active,Ready for dissolution,1286426,2019-03-31,1279 SILAS DEANE HIGHWAY,WETHERSFIELD,06109,CT,FRIDASBARGRILL@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:29.1500000,,,,,,,,,,,,,,,,,,,,,,,
HAVEN ART GROUP LLC,LLC,Active,,1286427,2022-03-31,"44 SOUTH BROADWAY, SUITE 301",WHITE PLAINS,10601,NY,govdocs@corpcreations.com,Foreign,2018-10-01,DE,DE,False,False,False,False,False,,2021-11-10 00:08:29.1500000,United States,Art Dealers (453920),453920.0,2018-10-01,HAVEN ART GROUP LLC,"3411 SILVERSIDE ROAD TATNALL BUILDING #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING #104,WILMINGTON,DE,19810,"3411 SILVERSIDE ROAD TATNALL BUILDING #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING #104,WILMINGTON,DE,19810,,United States,United States,United States,,,,
HARTBEAT DANCE CREW LLC,LLC,Active,Ready for dissolution,1286428,2019-03-31,40 PAWTUCKET AVE.,WETHERSFIELD,06109,CT,LGIANNITTI@GMAIL.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:29.1500000,,,,,,,,,,,,,,,,,,,,,,,
JUAN ALGODON LLC,LLC,Active,Ready for dissolution,1286429,2019-03-31,124 GREENWICH AVE,NEW HAVEN,06519,CT,ANTHONY@DURANGOAGENCY.COM,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,Failure to file Annual Report,2021-11-10 00:08:29.1500000,,,,,,,,,,,,,,,,,,,,,,,
RG PROPERTIES CENTRAL LLC,LLC,Active,,1286430,2022-03-31,254 TOWPATH LANE,CHESHIRE,06410,CT,Friedmangadi@gmail.com,Domestic,2018-10-01,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:29.1500000,United States,Lessors of Residential Buildings and Dwellings (531110),531110.0,,,,,,,,,,,,,,,,,,,,
BIOLO COUNSELING LLC,LLC,Active,,1286431,2022-03-31,969 WEST MAIN ST,WATERBURY,06708,CT,nicolemariebiolo@gmail.com,Domestic,2018-10-01,CT,Connecticut,True,False,False,False,False,,2021-11-10 00:08:29.1500000,United States,Outpatient Mental Health and Substance Abuse Centers (621420),621420.0,,,,,,,,,,,,,,,,,,,,
