name,business_type,status,accountnumber,annual_report_due_date,billingstreet,billingcity,billingcountry,billingpostalcode,billingstate,business_email_address,citizenship,date_registration,formation_place,state_or_territory_formation,woman_owned_organization,veteran_owned_organization,minority_owned_organization,org_owned_by_person_s_with,organization_is_lgbtqi_owned,naics_code,create_dt,naics_sub_code,sub_status,reason_for_administrative,dissolution_date,total_authorized_shares,began_transacting_in_ct,business_name_in_state_country,country_formation,mailing_jurisdiction_address,mailing_jurisdiction_2,mailing_jurisdiction,mailing_jurisdiction_1,mailing_jurisdiction_4,office_jurisdiction_address,office_jurisdiction_2,office_jurisdiction,office_jurisdiction_1,office_jurisdiction_4,office_in_jurisdiction_country,mailing_jurisdiction_country,category_survey_email_address,billing_unit,date_of_organization_meeting
PEGASUS REALTY LLC,LLC,Active,1268153,2022-03-31,"2 CORPORATE DRIVE,5TH FLOOR",SHELTON,United States,06484,CT,CLS-CTARMSevidence@wolterskluwer.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),2021-11-10 00:08:23.1200000,551112.0,,,,,,,,,,,,,,,,,,,,,,
PKV MANAGEMENT CO. LLC,LLC,Active,1268174,2022-03-31,5 CROFUT RD,ORANGE,United States,06477,CT,gabrieles@optonline.net,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:23.6800000,541611.0,,,,,,,,,,,,,,,,,,,,,,
CYRIL LLC,LLC,Active,1268182,2019-03-31,127 GRANT STREET,HARTFORD,,06106,CT,ABRAHAMPEARL@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.6800000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"CHIVO CONSTRUCTION, LLC",LLC,Active,1268195,2019-03-31,151 LAKES RD.,BETHLEHEM,,06751,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.7266667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"BOZI, LLC",LLC,Active,1268199,2019-03-31,58 HARRISON AVE.,NEW CANAAN,,06840,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.7266667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"INTEGRATE MOBILITY, LLC",LLC,Active,1268202,2022-03-31,15 EAST PUTNAM AVENUE #228,GREENWICH,United States,06830,CT,Alex@IntegrateMobility.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,True,False,Offices of All Other Miscellaneous Health Practitioners (621399),2021-11-10 00:08:23.7266667,621399.0,,,,,,,,,,,,,,,,,,,,,,
TRIBACK,LLC,Active,1268208,2022-03-31,69 BRIDGE STREET,NEW MILFORD,United States,06776,CT,esalazar@tribacksports.com,Domestic,2018-04-02,CT,Connecticut,False,False,True,False,False,Other Direct Selling Establishments (454390),2021-11-10 00:08:23.7266667,,,,,,,,,,,,,,,,,,,,,,,
"FERRIS ACRES FIREWOOD, LLC",LLC,Active,1268215,2019-03-31,144 SUGAR STREET,NEWTOWN,,06470,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
CRAVE CUSTOM CAKES AND COOKIES LLC,LLC,Active,1268216,2022-03-31,6 MERLINS LN.,NEWTOWN,United States,06470,CT,Cravecustomcakes@yahoo.com,Domestic,2018-04-02,CT,Connecticut,True,False,False,False,False,Food Service Contractors (722310),2021-11-10 00:08:20.9300000,,,,,,,,,,,,,,,,,,,,,,,
"BRIDGEPORT RENT, LLC",LLC,Active,1268217,2019-03-31,34 PARISH ROAD NORTH,NEW CANAAN,,06840,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"ALOE GLOBAL HOLDINGS, INC.",Stock,Dissolved,1268218,2020-04-02,No information provided,,,,,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,,,,2021-03-06T00:00:00.000,10000.0,,,,,,,,,,,,,,,,,,
"FORTIER INVESTMENTS, LLC",LLC,Active,1268219,2019-03-31,16 WASHINGTON RD.,MARLBOROUGH,,06447,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"WOMEN & MEN OF DESTINY, LLC",LLC,Active,1268220,2019-03-31,574 STANLEY ST.,NEW BRITAIN,,06051,CT,WOMENANDMENOFDESTINY@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9300000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"TENNIS PRO SEARCH, LLC",LLC,Active,1268221,2022-03-31,5 RIVER ROAD SUITE 133,WILTON,United States,06897,CT,patricio.misitrano@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,True,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:20.9300000,,,,,,,,,,,,,,,,,,,,,,,
"MI CASA HOME INSPECTION, LLC",LLC,Active,1268222,2022-03-31,97 CHESTERFIELD RD.,EAST LYME,United States,06333,CT,palomasnest@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,True,False,False,Building Inspection Services (541350),2021-11-10 00:08:20.9300000,541350.0,,,,,,,,,,,,,,,,,,,,,,
WITTCOFF LLC,LLC,Active,1268224,2022-03-31,425 MAIN ST STE 201,RIDGEFIELD,United States,06877,CT,cschmidt@wittcoff.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:08:20.9300000,523999.0,,,,,2018-04-04,WITTCOFF LLC,United States,"16192 COASTAL HIGHWAY, LEWES, DE, 16192,",16192 COASTAL HIGHWAY,LEWES,DE,16192.0,"16192 COASTAL HIGHWAY, LEWES, DE, 16192, United States",16192 COASTAL HIGHWAY,LEWES,DE,16192.0,United States,,,,
HIBISCUS HOME CARE LLC,LLC,Active,1268231,2022-03-31,172 HAWTHORNE DRIVE APT 18G,NEW LONDON,United States,06320,CT,agent@bizfilings.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Home Health Care Services (621610),2021-11-10 00:08:20.9300000,,,,,,,,,,,,,,,,,,,,,,,
"ISCHADE PRODUCTIONS, LLC",LLC,Active,1268238,2022-03-31,16 BINNEY ROAD,OLD LYME,United States,06371,CT,Katy.Quinn@icloud.com,Domestic,2018-04-02,CT,Connecticut,True,False,False,False,False,"Independent Artists, Writers, and Performers (711510)",2021-11-10 00:08:20.9766667,,,,,,,,,,,,,,,,,,,,,,,
IBPO LOCAL 731 INC.,Non-Stock,Active,1268239,2020-04-02,No information provided,,,,,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9766667,,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,
"ECHONOUS, INC.",Stock,Active,1268240,2022-04-02,"8310 154TH AVENUE NE, SUITE 200",REDMOND,United States,98052,WA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Surgical and Medical Instrument Manufacturing (339112),2021-11-10 00:08:20.9766667,339112.0,,,,,2018-04-15,"ECHONOUS, INC.",United States,,,,,,,,,,,,,,,
SOLAN LANDSCAPING LLC,LLC,Active,1268241,2019-03-31,9 FENWAY DR,HAMDEN,,06517,CT,F.SOLANO76@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9766667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
BEGIN AGAIN INC.,Non-Stock,Dissolved,1268244,2020-04-02,1 PORTERS LANE,WESTPORT,United States,06880,CT,beginagain1.inc@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:20.9766667,,,,2021-03-16T00:00:00.000,,,,,,,,,,,,,,,,,,,
"L&R INVESTMENTS, LLC",LLC,Dissolved,1268246,2022-03-31,4 MERRIMAN LANE,PROSPECT,United States,06712,CT,marlomb62@aol.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:20.9766667,531390.0,,,2021-03-18T00:00:00.000,,,,,,,,,,,,,,,,,,,
WHITE RABBIT THEATRE INC.,Non-Stock,Active,1268249,2022-04-02,17 NORMAN DRIVE,GLASTONBURY,United States,06033,CT,adam.tortorello@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Theater Companies and Dinner Theaters (711110),2021-11-10 00:08:20.9766667,711110.0,,,,,,,,,,,,,,,,,,,,,,
LGA HOLDINGS LLC,LLC,Active,1268255,2022-03-31,9 DEWART ROAD,GREENWICH,United States,06830,CT,kdougherty@doughertyandconnell.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Offices of Other Holding Companies (551112),2021-11-10 00:08:21.0100000,551112.0,,,,,,,,,,,,,,,,,,,,,,
FLASCHEN ADVISORY LLC,LLC,Dissolved,1268258,2021-03-31,242 HUBBARD STREET,GLASTONBURY,United States,06033,CT,eflaschen@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:21.0100000,541611.0,,,2021-02-01T00:00:00.000,,,,,,,,,,,,,,,,,,,
SUPERIOR MAINTENANCE CORP,Stock,Active,1268259,2022-04-02,147 SWAIN AVE,MERIDEN,United States,06450,CT,superiormaintenancecorp@outlook.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Janitorial Services (561720),2021-11-10 00:08:21.0100000,561720.0,,,,200.0,,,,,,,,,,,,,,,,,,
"ENROLLMENT MANAGEMENT SOLUTIONS, INC.",Stock,Active,1268262,2022-04-13,10 ORLANDO ROAD,NORWALK CT.,United States,06854,CT,jmurphy54@att.net,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Educational Support Services (611710),2021-11-10 00:08:21.0100000,611710.0,,,,10000.0,,,,,,,,,,,,,,,,,,
TOMORROW'S MAN INC.,Non-Stock,Active,1268264,2020-04-02,No information provided,,,,,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.0100000,,First report past due,Failure to file First Report,,,,,,,,,,,,,,,,,,,,
N-1 CUSTOM CONSTRUCTION LLC,LLC,Active,1268266,2020-03-31,1074 DIXWELL AVE 2ND UNIT,HAMDEN,United States,06514,CT,JOSE19851@HOTMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.0100000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"ULX PARTNERS, LLC",LLC,Active,1268267,2022-03-31,"6130 SPRING PARKWAY, SUITE 300",OVERLAND PARK,United States,66226,KS,govdocs@corpcreations.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Miscellaneous Financial Investment Activities (523999),2021-11-10 00:08:21.0100000,523999.0,,,,,2018-03-29,"ULX PARTNERS, LLC",United States,"3411 SILVERSIDE ROAD TATNALL BLDG #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BLDG #104,WILMINGTON,DE,19810.0,"3411 SILVERSIDE ROAD TATNALL BUILDING #104, WILMINGTON, DE, 19810, United States",3411 SILVERSIDE ROAD TATNALL BUILDING #104,WILMINGTON,DE,19810.0,United States,United States,,,
ALAIN GOULET HEALTHCARE CONSULTING LLC,LLC,Active,1268268,2019-03-31,179 CONNECTICUT AVENUE,GREENWICH,,06830,CT,ALAINGOULET@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.0100000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"D&B CHEMTOX, LLC",LLC,Domesticated,1268280,2022-03-31,202 WOLF PIT DRIVE,SOUTHBURY,United States,06488,CT,mabchemtox@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Other Scientific and Technical Consulting Services (541690),2021-11-10 00:08:21.6500000,541690.0,,,,,,,,,,,,,,,,,,,,,,
"FORREST & BLAKE, INC.",Stock,Active,1268290,2022-04-02,77 BRANT AVE. SUITE 105,CLARK,United States,07066,NJ,ashallcross@fbdigital.net,Foreign,2018-04-02,NJ,NJ,False,False,False,False,False,Marketing Consulting Services (541613),2021-11-10 00:08:21.6500000,541613.0,,,,,2018-04-01,"FORREST & BLAKE, INC.",United States,,,,,,,,,,,,,,,
RRR APPRAISAL SERVICES MANAGEMENT INC.,Stock,Active,1268292,2022-04-02,68 SOUTH SERVICE ROAD SUITE 120,MELVILLE,United States,11747,NY,complianceteam@cogencyglobal.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Other Financial Vehicles (525990),2021-11-10 00:08:21.6500000,525990.0,,,,,2018-04-02,RRR APPRAISAL SERVICES MANAGEMENT INC.,United States,,,,,,,,,,,,,,,
DON ARMANDOS RESTAURANT LLC,LLC,Active,1268294,2019-03-31,405 FOXON BLVD,NEW HAVEN,,06513,CT,SOTOALBERT1950@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6500000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"INSPIR MANAGEMENT COMPANY, LLC",LLC,Active,1268300,2022-03-31,ONE GORHAM ISLAND SUITE 100,WESTPORT,United States,06880,CT,amiller@maplewoodsl.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:21.6500000,541611.0,,,,,,,,,,,,,,,,,,,,,,
G&C POWERWASHING LLC,LLC,Active,1268303,2019-03-31,9 LORENSEN RD,WEST HARTLAND,,06091,CT,GCWASHING@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.6800000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
THOMPSON HINE LLP,LLP,Active,1268308,2022-04-02,3900 KEY CENTER 127 PUBLIC SQUARE,CLEVELAND,United States,44114,OH,Peter.Zacharias@thompsonhine.com,Foreign,2018-04-02,OH,OH,False,False,False,False,False,Offices of Lawyers (541110),2021-11-10 00:08:21.6800000,541110.0,,,,,2017-06-16,THOMPSON HINE LLP,United States,,,,,,,,,,,,,,,
"BERKSHIRE COMMUNITIES, L.L.C.",LLC,Active,1268312,2022-03-31,ONE BEACON STREET SUITE 2400,BOSTON,United States,02108,MA,Compliancemail@cscinfo.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:21.6800000,531390.0,,,,,2017-01-28,"BERKSHIRE COMMUNITIES, L.L.C.",United States,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808.0,"251 LITTLE FALLS DR, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DR,WILMINGTON,DE,19808.0,United States,United States,,,
KING'S CHAPEL MINISTRIES LLC,LLC,Active,1268360,2022-03-31,400 WOODLAND STREET,HARTFORD,United States,06112,CT,fmatthews@kingschapelministries.org,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:22.2900000,531390.0,,,,,,,,,,,,,,,,,,,,,,
CRO ART CORP.,Stock,Active,1268361,2020-04-02,No information provided,,,,,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.2900000,,First report past due,Failure to file First Report,,1.0,,,,,,,,,,,,,,,,,,
OXFORD HOLDCO LLC,LLC,Active,1268384,2022-03-31,"115 SOUTH UNION STREET, SUITE 300",ALEXANDRIA,United States,22314,VA,CLS-CTARMSEvidence@wolterskluwer.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",2021-11-10 00:08:22.3533333,522320.0,,,,,2018-04-05,OXFORD HOLDCO LLC,United States,NONE,NONE,,,,NONE,NONE,,,,,,,,
OXFORD FINANCE LLC,LLC,Active,1268385,2022-03-31,115 SOUTH UNION STREET SUITE 300,ALEXANDRIA,United States,22314,VA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)",2021-11-10 00:08:22.3533333,522320.0,,,,,2018-04-05,OXFORD FINANCE LLC,United States,NONE,NONE,,,,NONE,NONE,,,,,,,,
L.E.K. CONSULTING AMERICA INC.,Stock,Active,1268388,2022-04-02,75 STATE STREET 19TH FLOOR,BOSTON,United States,02109,MA,CLS-CTARMSevidence@wolterskluwer.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Administrative Management and General Management Consulting Services (541611),2021-11-10 00:08:22.3533333,541611.0,,,,,2018-04-02,L.E.K. CONSULTING AMERICA INC.,United States,,,,,,,,,,,,,,,
HALLIARD CAPITAL LLC,LLC,Active,1268393,2022-03-31,17 LAKE DRIVE,RIVERSIDE,United States,06878,CT,jens@mueffelmann.com,Foreign,2018-04-02,DE,DE,False,False,False,False,False,Portfolio Management (523920),2021-11-10 00:08:22.3533333,,,,,,2018-03-20,HALLIARD CAPITAL LLC,United States,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,"251 LITTLE FALLS DRIVE, WILMINGTON, DE, 19808, United States",251 LITTLE FALLS DRIVE,WILMINGTON,DE,19808.0,United States,United States,,,
200 KENMONT LLC,LLC,Active,1268407,2022-03-31,33 MACARTHUR DR.,OLD GREENWICH,United States,06870,CT,roseline.scola@hklaw.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Other Activities Related to Real Estate (531390),2021-11-10 00:08:22.4000000,531390.0,,,,,,,,,,,,,,,,,,,,,,
AMADOR LLC,LLC,Active,1268465,2019-03-31,143 SEASIDE AVE.APT B,STAMFORD,United States,06902,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.1333333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"DELVEC'S, LLC",LLC,Active,1268495,2019-03-31,65 CHURCH ST.,WEST HAVEN,,06516,CT,,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:23.7266667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
IGLESIA EVANGELICA BETHEL,Religious,Active,1268568,,No information provided,,,,,,Domestic,2018-04-02,,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.0100000,,,,,,,,,,,,,,,,,,,,,,,
WILLIAMS HOLDINGS LLC,LLC,Active,1268625,2022-03-31,61 SPRING STREET,DEEP RIVER,United States,06417,CT,msbottomline@comcast.net,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:21.7266667,531110.0,,,,,,,,,,,,,,,,,,,,,,
"QUEEN'S GATE ASSOCIATION, INC.",Non-Stock,Active,1268626,2019-04-02,3 NORTH MAIN STRET,IVORYTON,,06442,CT,jfmckenna@aol.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:21.7266667,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"29GRANDVIEW, LLC",LLC,Active,1268685,2020-03-31,40 SOUTH KING STREET,DANBURY,,06811,CT,MOHAMMAD.HAQ@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
LET'S GO DOGS LLC,LLC,Active,1268690,2019-03-31,47 BYRAM TERRACE DRIVE,GREENWICH,,06831,CT,PAR4RAGS@AOL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"ROYAL ENFIELD OF KENT, LLC",LLC,Active,1268693,2019-03-31,21 BRIDGE STREET,KENT,,06757,CT,WASAWORKS@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
KENNY ELECTRICAL LLC,LLC,Active,1268695,2022-03-31,2268 BOSTON TURNPIKE 2268 BOSTON TURNPIKE,COVENTRY,United States,06238,CT,Kennyelectricalllc@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Electrical Contractors and Other Wiring Installation Contractors (238210),2021-11-10 00:08:22.3533333,238210.0,,,,,,,,,,,,,,,,,,,,,,
TEDDY'S HOUSE LLC,LLC,Active,1268696,2022-03-31,156 LAUREL STREET,EAST HAVEN,United States,06512,CT,kimlendroth@gmail.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Lessors of Residential Buildings and Dwellings (531110),2021-11-10 00:08:22.3533333,531110.0,,,,,,,,,,,,,,,,,,,,,,
"ELLINGTON SYNCRONEX MEDIA, LLC",LLC,Active,1268697,2021-03-31,38 CARTBRIDGE ROAD 38 CARTBRIDGE ROAD,WESTON,United States,06883,CT,rshorten@silverminecapital.com,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Software Publishers (511210),2021-11-10 00:08:22.3533333,511210.0,Annual report past due,,,,,,,,,,,,,,,,,,,,,
XPOSE PHOTO BOOTHS LLC,LLC,Active,1268699,2020-03-31,"5 CONSTITUTION PLAZA, APT 805",HARTFORD,United States,06103,CT,XPOSEPHOTOBOOTHS@GMAIL.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.3533333,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
ROSIEBOY LLC,LLC,Active,1268712,2019-03-31,195 SOUTHPORT WOODS DR.,SOUTHPORT,,06890,CT,NANVRAGO@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.4000000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
"LITTLE'S RACE INNOVATIONS, LLC",LLC,Active,1268714,2022-03-31,51 CAPITAL DRIVE,WALLINGFORD,United States,06492,CT,JOHNLITTLE364@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,Other Motor Vehicle Parts Manufacturing (336390),2021-11-10 00:08:22.4000000,336390.0,,,,,,,,,,,,,,,,,,,,,,
"ELIXIR ENTERPRISE, LLC",LLC,Active,1268715,2019-03-31,258 OLD COLCHESTER ROAD,AMSTON,,06231,CT,MCHLLMRCH@YAHOO.COM,Domestic,2018-04-02,CT,Connecticut,False,False,False,False,False,,2021-11-10 00:08:22.4000000,,Ready for dissolution,Failure to file Annual Report,,,,,,,,,,,,,,,,,,,,
