title,brand,price,ASIN,item_info
"VisionTek Radeon 7750 2GB GDDR5 6 4k Monitor Graphics Card, 6 Mini DisplayPort Outputs, AMD Eyefinity 2.0, PCI Express 3.0 Video Card, 7.1 Surround Sound - 900614", VisionTek Store,$198.53,B00C7EPSVS,"['SIX 4K DISPLAY SETUP - Connect up to six 4K displays with 6 included Mini DisplayPort outputs cables featuring lock down screws for secure cable connection. NOTE: Active adapters are required for 4k monitors', 'INDEPENDENTLY POWERED - 70W max power draw and requires no additional power source (minimum of 300W PC power supply is required)', 'EYEFINITY - Delivers flawless graphics and frame rates at the highest resolutions in tandem with DirectX 11. Combine multiple displays to behave like a single large display with independent resolutions, refresh rates, color controls, and video overlays', 'HD 4K CONTENT - Watch 4K content (4096 x 2160 max @ 60Hz) with exceptional frame rate and hear in brilliant 7.1 Surround Sound without additional drivers', 'VERSATILE USE - HD graphics and wrap-around capabilities, 5x1 landscape, stereo 3D and universal bezel compensation. Great for healthcare, marketing, stock exchange, and any space needing more display setups', 'OPERATING SYSTEMS - Windows 10, Windows 8.1, Windows 8, Windows 7, Windows Vista, and Windows XP', 'Drive up to six displays simultaneously with independent resolutions, refresh rates, color controls, and video overlays', 'Combine multiple displays to behave like a single large display with display grouping', 'Anisotropic filtering method and enhanced texture filtering precision']"
"ASUS ROG Herculx Graphics Card Anti-Sag Holder Bracket (Solid Zinc Alloy Construction, Easy Toolless Installation, Included Spirit Level, Adjustable Height, Wide Compatibility, Aura Sync RGB)", ASUS Store,$29.99,B0B173F6RM,"['Stand design is compatible with a variety of chassis and doesn’t occupy PCIe slots.', 'Offers a support height of 72-128 mm, delivering a strong, adaptable design.', 'An adjustable wheel and release button enable easy, toolless setup and removal.', 'Included spirit level simplifies setup.', 'Embedded 3D ARGB element is compatible with Aura Sync.']"
"VisionTek Radeon 7750 SFF 1GB DDR3 3M (2x HDMI, miniDP) Graphics Card - 900574", VisionTek Store,$110.50,B009ZQ5HW6,"['Digital Max Resolution:3840 x 2160', 'GCN Architecture, PCI Express 3.0 x16 bus interface, High Speed DDR3 memory, and DirectX 11-capable graphics', '9th generation programmable hardware tessellation units', '300W Minimum PSU recommended- Active Adapters required for the mDP port.Avoid using unofficial software', 'Operating System-Windows 10, 8/8.1, 7, Vista, XP. Windows XP limited to Dual Video and single audio only', 'PCI Express based PC is required with one X16 lane graphics slot available on the motherboard']"
"MSI SUPRIM Liquid X GeForce RTX 4090 Liquid Cool Graphics Card (PCIe 4.0, 24GB 384Bit GDRR6X, HDMI 2.1a, DP 1.4a, TORX Fan 5.0), w/HDMI 2.1 Cable", msi Store,"$2,436.35",B0CMC8NZ9F,"[""【ELEVATE YOUR GAMING EXPERIENCE】MSI's renowned GAMING series has once again redefined performance, efficiency, and aesthetics for hardcore gamers. Trust in the best for a cooler, quieter, and more powerful gaming experience."", ""【IMMERSIVE LIGHTING】Elevate your gaming setup by synchronizing your lighting with other compatible devices. Take your light show to the next level, and when it's time to go dark, it's as easy as flipping the switch."", '【TORX FAN 5.0 TECHNOLOGY】With a revolutionary ring design, our TORX FAN 5.0 technology optimizes airflow and air pressure, directing them precisely where needed into the heatsink for optimal cooling performance.', '【ADVANCED ADA LOVELACE ARCHITECTURE】Embrace the future of gaming with Ada Lovelace architecture. It features cutting-edge 3rd Gen Ray Tracing Cores and 4th Gen Tensor Cores, delivering a new level of realism and performance to your gaming adventures.', '【EFFICIENT LIQUID COOLING】Keep your gaming rig running at peak performance with our efficient liquid cooling system. Say goodbye to overheating and hello to smoother, uninterrupted gameplay.']"
"ASUS TUF Gaming NVIDIA GeForce RTX 4090 OC Edition Gaming Graphics Card (24GB GDDR6X, PCIe 4.0, HDMI 2.1a, DisplayPort 1.4a, Dual Ball Bearing Axial Fans)", ASUS Store,,B0BHD9TS9Q,"['NVIDIA Ada Lovelace Streaming Multiprocessors: Up to 2x performance and energy efficiency', 'Tensor Cores of the 4th Generation: up to 2x AI performance', 'RT-cores of the 3rd Generation: up to 2x raytracing performance', 'OC mode: Boost clock 2595 MHz (OC mode) / 2565 MHz (gaming mode)', 'Axial Tech fans deliver up to 23% higher airflow']"
Dell AMD Radeon HD 5450 512MB DDR3 64-Bit PCI-Express x16 Video Graphics Card HFKYC 0HFKYC CN-0HFKYC 1CX3M,,,B07DXBB4DV,[]
MSI Gaming GeForce RTX 4070 Ti 12GB GDRR6X 192-Bit HDMI/DP Nvlink TORX Fan 4.0 Ada Lovelace Architecture Graphics Card (RTX 4070 Ti Ventus 3X 12G OC),,,B0BNWFM7MZ,[]
ASUS GeForce GT 1030 2GB GDDR5 HDMI DVI Graphics Card (GT1030-2G-CSM), ASUS Store,$105.26,B0716ZH99K,"[""1506MHz Boost Clock (OC Mode) with 2GB GDDR5 on NVIDIA's Pascal architecture"", 'Asus exclusive heatsink design with passive cooling ensures quiet HTPC and multimedia operation', 'Auto-extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components', 'Gpu Tweak II makes monitoring performance and streaming easier than ever, featuring Game Booster and a free 1-year premium license of XSplit Gamecaster', 'Fully supports DX12 on Microsoft Windows 10', 'Form Factor: Low profile']"
Gigabyte GeForce GT 1030 GV-N1030D5-2GL Low Profile 2G Computer Graphics Card, GIGABYTE Store,$103.62,B071DY2VJR,"['Core clock (MHertz): 1506 in OC mode and 1468 in gaming mode', 'Low profile design with 150 millimeter card length; Power requirement: 300 watts', 'Integrated with 2GB GDDR5 64bit memory', 'One click overclocking via AORUS Graphics Engine', 'Form factor: Low profile']"
ZOTAC GeForce GT 1030 2GB GDDR5 64-bit PCIe 3.0 DirectX 12 HDCP Ready Low Profile Video Card ZT-P10300A-10L, ZOTAC Store,$139.77,B0711NWFJX,"['Unleash your creativity with stunning photo and video editing', 'Windows 10, 8 and 7', 'Get easy driver updates and one-click game optimization with GeForce experience', 'Tap into the efficient performance of the award-winning NVidia Pascal architecture', 'Extended warranty included with every graphics card purchase. User registration required on Zotac website', 'Form factor: low-profile']"
AMD Radeon Pro WX 3100 Graphic Card - 1.22 GHz Core - 4 GB GDDR5 - Half-Length - Single Slot Space Required, AMD Store,$124.96,B073Q1SBB9,"['Full Product Specifications Click to view', 'API Supported OpenCL 2 0', 'API Supported OpenGL 4 5', 'API Supported Vulkan', 'Number of Monitors Supported 3']"
"ASUS Phoenix NVIDIA GeForce GTX 1650 OC Edition Gaming Graphics Card (PCIe 3.0, 4GB GDDR6 Memory, HDMI, DisplayPort, DVI-D, Axial-tech Fan Design)", ASUS Store,$209.99,B08G5CH316,"['Memory Speed:12 Gbps.Digital Max Resolution:7680 x 4320', 'OC Edition: Boost Clock 1665 MHz (OC Mode)/ 1635 MHz (Gaming Mode)', 'Ultra-fast GDDR6 with over 50% more memory bandwidth for high-speed gaming.', 'Axial-tech fan design features a smaller fan hub that facilitates longer blades and a barrier ring that increases downward air pressure.', 'Auto Extreme Manufacturing uses automation to enhance reliability.', 'Stainless steel bracket is harder and more resistant to corrosion.']"
Video Card Holder Bracket Support ATX Power Supply EXP GDC Graphics Dock PCI-E Extension Riser Cable DIY Aluminum Computer Graphics Card Holder Black,,$26.59,B0BS6XVFH9,[]
Sapphire AMD FirePro W600 2GB GDDR5 6 Mini DisplayPort Eyefinity 6 Edition PCI-Express Graphics Card Graphics Cards 100-505835,,$299.99,B00H6LRC66,[]
AMD Radeon HD 8570 1GB DDR3 PCIe x16 DVI/ DP Graphics Video Card Dell YT0RH, AMD Store,$52.50,B01D0E1TNY,[]
"ASUS ROG Strix GeForce RTX™ 4090 White OC Edition Gaming Graphics Card (PCIe 4.0, 24GB GDDR6X, HDMI 2.1a, DisplayPort 1.4a)", ASUS Store,,B0BSVMLVTD,"['NVIDIA Ada Lovelace Streaming Multiprocessors: Up to 2x performance and power efficiency', '4th Generation Tensor Cores: Up to 2X AI performance', '3rd Generation RT Cores: Up to 2X ray tracing performance', 'Axial-tech fans scaled up for 23% more airflow', 'New patented vapor chamber with milled heatspreader for lower GPU temps', '3.5-slot design: massive fin array optimized for airflow from the three Axial-tech fans, Diecast shroud, frame, and backplate add rigidity and are vented to further maximize airflow and heat dissipation.', 'Digital power control with high-current power stages and 15K capacitors to fuel maximum performance.', 'GPU Tweak III software provides intuitive performance tweaking, thermal controls, and system monitoring']"
"XFX Speedster MERC319 RX 6950XT Black Gaming Graphics Card with 16GB GDDR6 HDMI 3xDP, AMD RDNA 2 - RX-695XATBD9",,,B0B6GKX8MD,[]
"NVIDIA NVS 310 by PNY 512MB DDR3 PCI Express Gen 2 x16 DisplayPort 1.2 and DVI-D SL Mllti-Display Professional Graphics Board, VCNVS310DVI-PB", PNY Store,,B008B6ONYE,"['48 CUDA Cores', '512MB GDDR3 GPU Memory', 'DisplayPort 1.2 with Multi-Streaming or DVI-D SL', 'Maximum DP resolution 2560 x 1600 at 60Hz 30bpp, maximum DVI resolution 1920 x 1200 at 60Hz', 'Drives two displays', 'Ideal for SFF systems, low profile form factor', 'Graphics APIs: Shader Model 5.0, OpenGL 4.1, DirectX 11', 'Compute APIs: CUDA, DirectCompute, OpenCL']"
"GIGABYTE GeForce RTX 3050 WINDFORCE OC 8G Graphics Card, 2X WINDFORCE Fans, 8GB GDDR6 128-bit GDDR6, GV-N3050WF2OC-8GD Video Card", GIGABYTE Store,,B0C1T7FYQ3,"['NVIDIA Ampere Streaming Multiprocessors', '2nd Generation RT Cores', '3rd Generation Tensor Cores', 'Powered by GeForce RTX 3050', 'Integrated with 8GB GDDR6 128-bit memory interface', 'WINDFORCE 2X Cooling System', 'Protection back plate', '1x HDMI 2.1, 1x Display Port 1.4a']"
PNY Professional NVIDIA NVS 310 Disply Port QuadroGraphics Cards VCNVS310DP-PB, PNY Store,,B008B6ONWQ,"['48 CUDA Cores', '512MB GDDR3 GPU Memory', 'DisplayPort 1.2 with Multi-Streaming', 'Maximum DP resolution 2560 x 1600 at 60Hz 30bpp', 'Drives two displays', 'Ideal for SFF systems, low profile form factor', 'Graphics APIs: Shader Model 5.0, OpenGL 4.1, DirectX 11', 'Compute APIs: CUDA, DirectCompute, OpenCL']"
"GIGABYTE GeForce RTX 3090 Vision OC 24G Graphics Card, 3X WINDFORCE Fans, 24GB 384-bit GDDR6X, GV-N3090VISION OC-24GD Video Card", GIGABYTE Store,"$1,589.00",B083GS45CR,"['NVIDIA Ampere Streaming Multiprocessors', '2nd Generation RT Cores', '3rd Generation Tensor Cores', 'Powered by GeForce RTX 3090', 'Integrated with 24GB GDDR6X 384-bit memory interface']"
PNY Quadro NVS 295 256MB DDR3 2DisplayPort PCI-Express x16 Low Profile Video Card, PNY Store,,B0023B132S,"['Chipset: nVidia Quadro NVS 295', 'Video Memory: 256MB DDR3 Memory Interface: 64-bit Memory Bandwidth: 11.2 GB/s', 'Bus: PCI-Express x16 RAMDAC: 400 MHz Max. Resolution: 2560 x 1600', 'Connectors: Dual DisplayPort Thermal: Heatsink Essential for Microsoft Windows Vista Low-Profile Form Factor', 'nView Multi-Display Technology nVidia PureVideo Technology nVidia GPU Unified Architecture nVidia CUDA Architecture Unified Driver Architecture']"
ASUS DUAL-RTX3050-O8G 90YV0HH0-M0NA00 Video Card, ASUS Store,,B09QMG6FZX,"['Asus DUAL-RTX3050', 'Color: BLACK', 'Warranty: 36 months', 'Brand: ASUS']"
MSI Gaming GeForce GTX 1650 128-Bit HDMI/DP/DVI 4GB GDRR6 HDCP Support DirectX 12 VR Ready OC Graphics Card (GTX 1650 D6 Ventus XS OCV1),,,B08J9CF57K,[]
Dell 0WH7F AMD Radeon HD 6450 1GB 64-Bit DDR3 PCIe x16 Low Profile Video Card,,,B01CCJ29JG,[]
AMD RADEON PRO WX 2100 2GB GDDR5 PCIE 1XDP 2XMDP, AMD Store,$99.99,B073CK9MLR,"['100-506001', 'AMD']"
PNY NVIDIA NVS 510 Graphics Card with DisplayPort and DVI Accessories VCNVS510DVI-PB, PNY Store,,B00AE0EP0C,"['192 CUDA Cores', '2GB DDR3 GPU Memory', '128-bit Memory Interface', '28.5GB/s Memory Bandwidth', '4 Mini DisplayPort Connectors', 'Includes 4 Mini-DisplayPort to DisplayPort Adapters', 'DisplayPort 1.2 Multi-Streaming and Cloning']"
"GIGABYTE AORUS GeForce RTX 3070 Ti Master 8G Graphics Card, MAX-Covered Cooling, 8GB 256-bit GDDR6X, GV-N307TAORUS M-8GD Video Card", GIGABYTE Store,$979.84,B097GMHNCT,"['Digital Max Resolution:7680x4320.Form Factor:ATX', 'NVIDIA Ampere Streaming Multiprocessors', '2nd Generation RT Cores', '3rd Generation Tensor Cores', 'Powered by GeForce RTX 3070 Ti', 'Integrated with 8GB GDDR6X 256-bit memory interface']"
ATI - ATI Radeon 7000 64MB DDR VGA DVI-D TV Out 1028310100 AGP Video Card 109-83100-00,,$39.94,B00456OHZO,[]
MSI Gaming GeForce GTX 1660 Ti 192-bit HDMI/DP 6GB GDRR6 HDCP Support DirectX 12 Dual Fan VR Ready OC Graphics Card (GTX 1660 TI VENTUS XS 6G OC), msi Store,$237.80,B07N824KNV,"['Chipset: NVIDIA GeForce GTX 1660 Ti', 'Boost Clock: 1830 MHz; Core Clocks: 1770 MHz', 'Memory Interface: 192-bit', 'Video Memory: 6GB GDDR6', 'Output: DisplayPort x 3 (V1. 4)/ HDMI 2. 0B x 1', 'RECOMMENDED PSU: 450 W. Power consumption: 120 W']"
"Sapphire 11310-01-20G Pulse AMD Radeon RX 6600 Gaming Graphics Card with 8GB GDDR6, AMD RDNA 2", Sapphire Technology Store,,B09JHRQY4Y,"['Game Clock: Up to 2044 MHz', 'Boost Clock: Up to 2491 MHz', 'Memory Interface: 128-bit DDR6', 'External Power: 1 x 8 pin', 'PCI-Express 4.0']"
ASPIRING Colorful GeForce RTX 4090 Advanced OC 24GB 384bit Graphics Card DDR6X Gaming Video Card RTX4090 Desktop GPU, ASPIRING Store,"$4,369.99",B0CM8BMBJ4,"['4th Generation Tensor Cores: Up to 2x AI performance', '3rd Generation RT Cores: Up to 2x ray tracing performance', 'Powered by GeForce RTX 4090', 'Integrated with 24GB GDDR6X 384-bit memory interface', 'WINDFORCE cooling system, RGB Fusion, Dual BIOS']"
PNY Quadro RTX A2000 6GB GDDR6 Graphics Card, PNY Store,$574.69,B09GRMK5ZQ,['VCNRTXA2000-SB']
MSI Gaming GeForce RTX 4060 Ti 8GB GDRR6 128-Bit HDMI/DP Nvlink TORX Fan 4.0 Ada Lovelace Architecture Graphics Card (RTX 4060 Ti Gaming X 8G), msi Store,,B0C5C5LR3J,"['Chipset: GeForce RTX 4060 Ti', 'Video Memory: 8GB GDDR6', 'Memory Interface: 128-bit', 'Output: DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1', 'Digital maximum resolution: 7680 x 4320']"
"ASUS ThunderboltEX 4 with Intel® Thunderbolt™ 4 JHL 8540 Controller, 2 USB Type-C Ports, up to 40Gb/s bi-Directional Bandwidth, DisplayPort 1.4 Support, up to 100W Quick Charge.", ASUS Store,$121.99,B08ZS3D6JY,"['1. Intel Thunderbolt 4 JHL 8540 controller', '2. Ultrafast connectivity: Two Type-C ports with USB 4 support, up to 40Gb/s bi-directional bandwidth, per port allows you to connect up to five Thunderbolt-enabled devices in a daisy-chain configuration using Thunderbolt cables.', 'DisplayPort 1.4: support up to 8K resolution monitors', 'Quick charge solution: up to 100W quick charge']"
ASUS PH-GT1030-O2G GeForce GT 1030 2GB Phoenix Fan OC Edition HDMI DVI Graphics Card, ASUS Store,,B071JV26GH,"[""1531MHz Boost Clock (OC Mode) with 2GB GDDR5 on NVIDIA's Pascal architecture"", 'Dual-ball Bearing fan provides superior airflow and cooling with 2x longer lifespan', 'Auto-extreme manufacturing technology delivers premium quality and reliability with aerospace-grade Super Alloy Power II components', 'Gpu Tweak II makes monitoring performance easier than ever, featuring Game Booster and XSplit Gamecaster, all via an intuitive interface', 'Fully supports DX12 on Microsoft Windows 10.Bus standard: PCI Express 3. 0. Interface: DVI output: Yes x 1 (native) (DVI-D). HDMI output: Yes x 1 (native). HDCP support: yes']"
AMD FirePro W8100 Graphics Card Graphic Cards 100-505976,,$269.96,B01CZ117SK,[]
"Cooler Master MasterAccessory Vertical GPU Card Holder Kit V3 Black, Premium Riser Cable PCI-E 4.0 x16-165mm, PCIe 3.0 Compatible, Adjustable Length for E-ATX|ATX|Micro ATX Case (MCA-U000R-KFVK03)", Cooler Master Store,$49.99,B0B72D88KL,"['Cooler Master Riser Cable PCIe 4.0 Included:\xa0Allows for efficient data transmission and connectivity between the latest hardware components.', 'Effortlessly Showcase Your Graphics Card:\xa0Bring the best out of your components by showing off your GPU.', 'ATX\xa0 & mATX Compatibility:\xa0Designed for both ATX and mATX cases, this accessory is compatible with the latest GPUs available on the market.', 'Toolless, Instantly Adjustable Design:\xa0Toollessly adjustable up to 65mm horizontally, as well as up to 30mm towards the side panel.', 'Premium Materials, 42% Increased Durability:\xa0Premium SGCC steel provides reliable support, eliminating possibilities of sagging or deformation.']"
"GALAX GeForce RTX™ 4060 Ti EX White 1-Click OC, Dark Obelisk Graphics Card Anti-Sag Support Bracket Bundle Set - Ultimate Gaming Performance Bundle", GALAX Store,$409.96,B0CKRK81JD,"['【Xtreme Tuner】1. To control RGB effect in-App, please make sure your device and PC are in the same WiFi network. For more information, please visit GALAX website. 2. The mobile device in the photo is for app reference only, it is not included with the product.', '【GPU Engine Specs】 CUDA Cores: 4352 / Boost Clock: 2550MHz / 1-Click OC Clock: 2565MHz (by installing Xtreme Tuner Plus Software and using 1-Click OC)', '【Memory Specs】 Memory Speed: 18 Gbps / Standard Memory Config: 8GB / Memory Interface Width 128-bit GDDR6 / Memory Bandwidth: 288 GB/sec', '【Height Adjustable (38-168mm)】With a height adjustment range of 38-168mm, the Dark Obelisk offers flexibility to adapt to your specific needs, ensuring optimal positioning and compatibility with various components.', '【Fortified Magnetic Base and Flip Design】The Dark Obelisk features a sturdy magnetic base and flip design that helps it stand its ground, ensuring stability and preventing accidental toppling.']"
MSI Gaming GeForce RTX 3070 8GB GDRR6 256-Bit HDMI/DP Tri-Frozr 2 TORX Fan 4.0 Ampere Architecture RGB OC Graphics Card (RTX 3070 Gaming X Trio), msi Store,,B08KWN2LZG,"['Chipset: NVIDIA GeForce RTX 3070', 'Video Memory: 8GB GDDR6', 'Memory Interface: 256-bit', 'Output: DisplayPort x 3 (v1.4a) / HDMI 2.1 x 1', 'Digital maximum resolution - 7680 x 4320']"
"New 4GB MXM Graphics Card Replacement, for Dell Precision M7520 M7510 M4800 Mobile Workstation Laptop PC, Original Nvidia Quadro M2000M N16P-Q3-A2 GPU Video Board Spare Parts",,$83.99,B09YV75DW8,[]
"Radeon RX 5700 XT Graphics Card, 8GB GDDR6 256-bit Gaming GPU HDMI DisplayPort Interface Video Card 2K 4K Game Card for Desktop PCs (Radeon RX 5700 XT)",Brand: Mllse,,B0C8N3LGWQ,"['Exceptional GPU Performance: The Mllse RX 5700 XT graphics card is equipped with 2560 CUDA cores, which are capable of executing multiple instructions simultaneously, delivering superior gaming, and streaming performance. The powerful Navi 10 GPU architecture provides stable and smooth gameplay, even in the most demanding environments.', 'Cutting-Edge Technology: The RX 5700 XT’s advanced 7nm core technology ensures exceptional performance and efficiency while reducing power consumption. This technology provides improved performance per watt, enabling you to play games for longer while maintaining optimal performance.', 'High-Quality VRAM: Video memory is vital for any graphics card, especially in gaming. The RX 5700 XT is equipped with 8GB of high-speed GDDR6 memory, offering improved data transfer speeds and superior visual quality. The card also features a 256-bit memory interface, which enables faster data transmission and lower latency.', 'Efficient Power Consumption: The RX 5700 XT is built with energy efficiency in mind, making it an eco-friendly and budget-friendly gaming solution. The card is designed to use less power than previous models, allowing you to play games for longer without worrying about energy consumption. The recommended power supply is 600 watts or above, and power is supplied via a 6Pin+8Pin power interface.', 'Compact & User-friendly Design: The RX 5700 XT’s compact design is perfect for gamers who want high-quality performance without sacrificing space. The card measures only 255*126*48mm, making it compatible with most desktops. It is also easy to install and use, with straightforward installation procedures and a user-friendly interface. The PCI-e 4.0 x16 compatibility ensures that the card is compatible with the latest motherboards and offers optimal data transmission speeds.']"
PNY NVIDIA Quadro K2200 Graphics Cards VCQK2200-PB, PNY Store,,B00MPXRYAE,"['Scalable geometry architecture', 'Hardware tessellation engine', 'FXAA/TSAA dedicated antialiasing engine', 'Transparent multisampling and super sampling', '16X Angle Independent Anisotropic Filtering', '32-Bit Per Component Floating Point Texture Filtering And Blending', 'Dedicated H.264 encoder. Form Factor: flexible single-slot form factor', 'Blu-Ray Dual-Stream Hardware Accelerating', 'Simultaneously drive up to three displays when connected natively', 'Support up to four displays when using Display Port 1.2 multi-streaming', 'Scalable geometry architecture', 'Dual Display Port 1.2 outputs including Multi-Stream and HBR2 support (capable of supporting resolutions such as 4096 x 2160)', 'Display Port 1.2 (up to 4096 x 2160 at 60Hz and 2560 x 1600 at 120Hz)', 'DVI-I Dual-Link output (up to 2560 x 1600 at 60Hz and 1920 x 1200 at 120Hz)', 'DVI-D Dual-Link output (up to 2560 x 1600 at 60Hz and 1920 x 1200 at 120Hz)', 'Support for all the latest CUDA 6 features, including Unified Memory, Dynamic Parallelism and Dedicated Shared Memory)']"
EVGA GeForce RTX3050 XC Gaming Dual Fan 8GB GDDR6 HDMI 3XDP,,$276.59,B09RWBS8SJ,[]
"Original for iMac Mid-2007 24-Inch A1225 Desktop PC Core 2 Duo 2.4 2.8 MA878LL Graphics Card, ATI Radeon HD 2600 PRO GDDR3 256 MB MXM Video Board Replacement Spare Parts",,,B09YRKV9HL,[]
PNY TECHNOLOGIES Nvidia Quadro P2000, PNY Store,,B077V4L34S,[]
"Original Graphics Card GPU Replacement, for Apple iMac Late 2009 A1312 MC507LL/A 27-Inch Core i7 2.8 27-Inch Computer, AMD Radeon HD4850 HD 4850 GDDR3 512MB, MXM GPU Video Board Repair Parts",,,B09FPFVFLF,[]
