Sr.No.,CRO Name,CUIN,Company Name,Date of Incorporation,Date of Revocation of Licence,Reasons for revocation of Licence
63,Islamabad,66980,INSTITUTE OF SOCIAL ANALYSIS AND RESEARCH,17-Jul-08,9-Jul-15,Failed to apply for renewal of its license 
64,Karachi,52599,INSTITUTE OF SURVEYORS AND LOSS ADJUSTORS OF PAKISTAN,29-Sep-05,29-Jan-16,Failed to comply with the requirements of the license
65,Karachi,17203,INSTITUTE OF TAXATION MANAGEMENT,22-Dec-87,24-Aug-15,Dormant 
66,Lahore,32989,ISLAMIC WELFARE FOUNDATION,17-Jul-94,9-Jul-15,Failed to apply for renewal of its license 
67,Islamabad,69126,JAMIL MALIK FOUNDATION,8-Apr-09,7-Sep-15,Dormant 
68,Islamabad,7573,JAVED TARIQ MEMORIAL TRUST,16-Mar-80,30-Dec-15,voluntary winnding up by the company 
69,Karachi,515,KARACHI CHAMBER HOSPITAL,11-Feb-52,9-Jul-15,Failed to apply for renewal of its license 
70,Karachi,793,KARACHI CRICKET ASSOCIATION,7-Feb-56,9-Jul-15,Failed to apply for renewal of its license 
71,Karachi,34029,KASSIM DADA EDUCATION & WELFARE FOUNDATION,10-Jan-95,9-Jul-15,Failed to apply for renewal of its license 
72,Peshawar,32962,KURRAM RURAL SUPPORT ORGANISATION,12-Jul-94,9-Jul-15,Failed to apply for renewal of its license 
73,Multan,57900,LIVESTOCK BREEDERS & DAIRY FARMERS ASSOCIATION,5-Sep-06,9-Jul-15,Failed to apply for renewal of its license 
74,Islamabad,68724,MANZIL FOUNDATION,16-Feb-09,6-Apr-15,Dormant 
75,Islamabad,53377,MASS DEVELOPMENT FOUNDATION,21-Dec-05,6-Apr-15,Dormant 
76,Faisalabad,53281,MCMANUS NARU TRUST,12-Dec-05,6-Apr-15,Dormant 
77,Islamabad,58412,METUPAK FOUNDATION,2-Nov-06,6-Apr-15,Dormant 
78,Lahore,42920,MIAN GHULAM NABI TRUST,27-Sep-01,6-Apr-15,Dormant 
79,Islamabad,56725,MISSION UNTO LIGHT,7-Jun-06,6-Apr-15,Dormant 
80,Islamabad,40771,MOHSIN FOUNDATION,7-Dec-99,6-Apr-15,Dormant 
81,Islamabad,8878,MOHTARMA CHANNABAI OF CHAKORA MEMORIAL (CHARITABLE) TRUST,29-Aug-81,6-Apr-15,Dormant 
82,Islamabad,43625,MULLACH FOREST AND COMMUNITY DEVELOPMENT ORGANIZATION,12-Apr-02,9-Jul-15,Failed to apply for renewal of its license 
83,Islamabad,64106,NASEEM HIJAZI SOCIAL DEVELOPMENT NETWORK,21-Jan-08,9-Jul-15,Failed to apply for renewal of its license 
84,Islamabad,44287,NATIONAL INSTITUTE OF WTO & INTERNATIONAL TRADE LAWS,27-Aug-02,6-Apr-15,Dormant 
85,Islamabad,57764,NAWAB FARID KHAN DEVELOPMENT FOUNDATION,22-Aug-06,6-Apr-15,Dormant 
86,Islamabad,48034,NAZARIYA PAKISTAN COUNCIL,22-Jul-04,9-Jul-15,Failed to apply for renewal of its license 
87,Multan,45579,NISHTAR MEDICAL FOUNDATION,24-Jun-03,9-Jul-15,Failed to apply for renewal of its license 
88,Islamabad,58027,NOOR-E-JAHAN,19-Sep-06,6-Apr-15,Dormant 
89,Lahore,31740,ORCO FOUNDATION,23-Dec-93,6-Apr-15,Dormant 
90,Islamabad,45659,ORGANIZATION FOR REHABILITATION OF DISABLED PERSONS,4-Jul-03,6-Apr-15,Dormant 
91,Peshawar,37544,PAKISTAN AGRO CULTURE AND ENVIRONMENT FOUNDATION,28-Dec-96,6-Apr-15,Dormant 
92,Islamabad,63214,PAKISTAN AIDS CONTROL FEDERATION,22-Oct-07,6-Apr-15,Dormant 
93,Islamabad,45382,PAKISTAN ASSOCIATION FOR FREE FLYING,14-May-03,6-Apr-15,Dormant 
94,Islamabad,45197,PAKISTAN COMPLIANCE INITIATIVE,8-Apr-03,6-Apr-15,Dormant 
95,Islamabad,44149,PAKISTAN CRICKET COUNCIL FOR THE BLIND,22-Jul-02,6-Apr-15,Dormant 
96,Islamabad,43716,PAKISTAN EDUCATION ALLIANCE,20-May-02,6-Apr-15,Dormant 
97,Lahore,11152,PAKISTAN HEART FOUNDATION,22-Jan-84,9-Jul-15,Failed to apply for renewal of its license 
98,Lahore,44333,PAKISTAN HORSE BREEDERS ASSOCIATION,4-Sep-02,9-Jul-15,Failed to apply for renewal of its license 
99,Islamabad,45810,"PAKISTAN HORSE BREEDERS, EQUESTRIAN AND RACING FOUNDATION",30-Jul-03,29-Jan-16,Failed to comply with the requirements of the license
100,Lahore,63850,PAKISTAN INSTITUTE OF FASHION AND DESIGN,18-Dec-07,9-Jul-15,Failed to apply for renewal of its license 
101,Lahore,25039,PAKISTAN MARKAZI ANJUMAN RAJPUTAN,5-Sep-91,6-Apr-15,Dormant 
102,Karachi,52521,PAKISTAN POLAND BUSINESS FORUM,21-Sep-05,9-Jul-15,Failed to apply for renewal of its license 
103,Islamabad,19883,PAKISTAN RURAL SUPPORT PROJECT,3-Jul-89,9-Jul-15,Failed to apply for renewal of its license 
104,Karachi,24840,PAKISTAN SCRABBLERS ASSOCIATION,15-Aug-91,9-Jul-15,Failed to apply for renewal of its license 
105,Lahore,70016,PARWAAZ FOUNDATION,17-Jul-09,6-Apr-15,Dormant 
106,Islamabad,65496,PEACE AND DEVELOPMENT FOUNDATION,29-Apr-08,9-Jul-15,Failed to apply for renewal of its license 
107,Islamabad,65140,PEACE EDUCATION FOUNDATION,9-Apr-08,9-Jul-15,Failed to apply for renewal of its license 
108,Lahore,29416,PEPSI FOUNDATION PAKISTAN,20-Jan-93,9-Jul-15,Failed to apply for renewal of its license 
109,Islamabad,61086,PMKS FOUNDATION,17-May-07,9-Jul-15,Failed to apply for renewal of its license 
110,Lahore,40379,PRESBYTERIAN PROPERTY TRUST IN PAKISTAN,29-Jul-99,6-Apr-15,Dormant 
111,Islamabad,54469,PSY FOUNDATION,22-Mar-06,6-Apr-15,Dormant 
112,Lahore,42570,PUNJTAN PAK WELFARE TRUST,19-Jun-01,6-Apr-15,Dormant 
113,Islamabad,58193,QUOMI WELFARE FOUNDATION,5-Oct-06,9-Jul-15,Failed to apply for renewal of its license 
114,Lahore,12662,RAJPUT BHATTI ASSOCIATION OF PAKISTAN,30-Jan-85,9-Jul-15,Failed to apply for renewal of its license 
115,Lahore,12584,RANA MOHAMMAD SARWAR KHAN TRUST,31-Dec-84,6-Apr-15,Dormant 
116,Faisalabad,43215,RASHIDA MUHAMMAD ALI FOUNDATION,31-Dec-01,9-Jul-15,Failed to apply for renewal of its license 
117,Islamabad,57625,RAWALPINDI-ISLAMABAD CUSTOMS AGENTS ASSOCIATION,7-Aug-06,9-Jul-15,Failed to apply for renewal of its license 
118,Islamabad,46277,RIFFAH FOUNDATION,29-Oct-03,6-Apr-15,Dormant 
119,Islamabad,55979,ROSHNI FOUNDATION,18-May-06,6-Apr-15,Dormant 
120,Islamabad,70656,SAFE HANDS,14-Oct-09,6-Apr-15,Dormant 
121,Islamabad,67600,SAFWAN FOUNDATION,16-Sep-08,6-Apr-15,Dormant 
122,Lahore,64273,SAIBAN COMMUNITY FOUNDATION,6-Feb-08,29-Jan-16,Failed to comply with the requirements of the license
123,Faisalabad,68999,SARWAR FOUNDATION,27-Mar-09,9-Jul-15,Failed to apply for renewal of its license 
124,Islamabad,35768,SHAHEED ZULFIKAR ALI BHUTTO FOUNDATION,21-Nov-95,9-Jul-15,Failed to apply for renewal of its license 
125,Islamabad,54053,SOCIAL AND MORAL AWARENESS FOR YOUTH,23-Feb-06,9-Jul-15,Failed to apply for renewal of its license 
126,Islamabad,62327,SPORTS DEVELOPMENT FOUNDATION,26-Jul-07,6-Apr-15,Dormant 
127,Lahore,44690,SUFNA FOUNDATION,28-Nov-02,9-Jul-15,Failed to apply for renewal of its license 
128,Lahore,61549,SULTAN-UL-ARFEEN DEVELOPMENT NETWORK,11-Jun-07,6-Apr-15,Dormant 
129,Islamabad,62790,SUPPORT FOR HEALTH AND DEVELOPMENT ENDEAVOURS,5-Sep-07,9-Jul-15,Failed to apply for renewal of its license 
130,Karachi,3768,SURVEYORS & ADJUSTERS ASSOCIATION OF PAKISTAN,26-Sep-72,9-Jul-15,Failed to apply for renewal of its license 
131,Islamabad,49870,SYNERGY FOR HEALTH & EDUCATION,22-Mar-05,9-Jul-15,Failed to apply for renewal of its license 
132,Karachi,44537,THE EDUCATION FOUNDATION,22-Oct-02,9-Jul-15,Failed to apply for renewal of its license 
133,Islamabad,6295,THE GUL RANO FOUNDATION,12-Jun-78,6-Apr-15,Dormant 
134,Islamabad,53687,"THE IQBAL INTERNATIONAL INSTITUTE FOR RESEARCH, EDUCATION AND DIALOGUE",24-Jan-06,6-Apr-15,Dormant 
135,Islamabad,8676,THE KARAM BAKHSH AWAN TRUST,13-Jun-81,6-Apr-15,Dormant 
136,Karachi,21112,ULTRASOUND SOCIETY OF PAKISTAN,11-Feb-90,9-Jul-15,Failed to apply for renewal of its license 
137,Islamabad,43539,UMEED FOUNDATION,26-Feb-02,29-Jan-16,voluntary winding up by the company 
138,Islamabad,57120,WATAN FOUNDATION,22-Jun-06,6-Apr-15,Dormant 
139,Islamabad,36004,WILDLIFE REHABILITATION FOUNDATION,4-Jan-96,6-Apr-15,Dormant 
140,Islamabad,58590,WTR FOUNDATION,22-Nov-06,9-Jul-15,Failed to apply for renewal of its license 
141,Karachi,20741,ZULFIQAR ALI BHUTTO SPORTS FOUNDATION,16-Dec-89,9-Jul-15,Failed to apply for renewal of its license 
142,Lahore,75753,A.N.K RANA FOUNDATION,29-Apr-11,3-Sep-15,on the request of the company
143,Islamabad,75724,AGRICULTURE & LIVESTOCK TRAINING FOUNDATION,27-Apr-11,9-May-16,Failed to comply with the requirements of the license
144,Islamabad,73754,AL AMANAH FOUNDATION,11-Oct-10,10-May-16,Failed to comply with the requirements of the license
145,Karachi,74592,AWAZ-E-DIL FOUNDATION,24-Jan-11,24-Mar-16,Failed to comply with the requirements of the license
146,Islamabad,74782,CENTER FOR CHANGE,4-Feb-11,24-Mar-16,Failed to comply with the requirements of the license
147,Islamabad,75313,CENTER FOR CULTURAL DIALOGUE & RESEARCH,22-Mar-11,9-May-16,Failed to comply with the requirements of the license
148,Lahore,74907,CONSERVATION AND HUNTING ASSOCIATION OF PAKISTAN,15-Feb-11,9-May-16,Failed to comply with the requirements of the license
149,Islamabad,75784,DARMAAN WELFARE FOUNDATION,4-May-11,25-May-16,Failed to comply with the requirements of the license
150,Lahore,76303,FARZ FOUNDATION,21-Jun-11,25-May-16,Failed to comply with the requirements of the license
151,Islamabad,74880,FIRST STEP FOUNDATION,14-Feb-11,24-Mar-16,Failed to comply with the requirements of the license
152,Islamabad,72744,FOUNDATION FOR BETTER TOMORROW,7-Jun-10,1-Apr-16,Failed to comply with the requirements of the license
153,Islamabad,75119,FOUNDATION FOR RESEARCH AND SOCIO - ECOLOGICAL HARMONY,7-Mar-11,10-May-16,Failed to comply with the requirements of the license
154,Islamabad,72338,FURQAN EDUCATION FOUNDATION,27-Apr-10,14-Apr-16,Failed to comply with the requirements of the license
155,Islamabad,93478,German Shepherd Dog Club Of Pakistan,18-May-15,29-Apr-16,Club with the similar name was already in existence but the company concealed the facts at the time of obtaining the license. 
156,Lahore,73241,GLOBAL FOUNDATION FOR SME CLUSTER DEVELOPMENT,2-Aug-10,24-Mar-16,Failed to comply with the requirements of the license
157,Multan,73961,INSAN FOUNDATION,4-Nov-10,24-Mar-16,Failed to comply with the requirements of the license
158,Islamabad,74649,KOHSAR PROGRESSIVE FOUNDATION,27-Jan-11,2-Jun-16,Failed to comply with the requirements of the license
159,Islamabad,75725,LET'S SERVE HUMANITY,27-Apr-11,8-Jun-16,Failed to comply with the requirements of the license
160,Karachi,75964,MADAD FOUNDATION,19-May-11,13-Jul-16,Failed to comply with the requirements of the license
161,Islamabad,74950,NASRA SATTAR FOUNDATION,21-Feb-11,25-May-16,Failed to comply with the requirements of the license
162,Lahore,72717,PAKISTAN INSTITUTE OF COST AND CONTRACTS,4-Jun-10,14-Apr-16,Failed to comply with the requirements of the license
163,Islamabad,74033,PASSENGER WELFARE FOUNDATION,22-Nov-10,24-Mar-16,Failed to comply with the requirements of the license
164,Islamabad,74671,PAVING PATHS FOUNDATION,28-Jan-11,9-May-16,Failed to comply with the requirements of the license
165,Islamabad,72652,PEHCHAN,28-May-10,24-Mar-16,Failed to comply with the requirements of the license
166,Karachi,6236,AL-RIAZ FOUNDATION,4-May-78,6-Apr-15,Dormant 
167,Karachi,3136,ANJUMAN-E-KAKEZAIAN KARACHI (PAK),15-May-70,6-Apr-15,Dormant 
168,Islamabad,54537,ASIAN INSTITUTE OF TRADE AND DEVELOPMENT,28-Mar-06,9-Jul-15,Failed to apply for renewal of its license 
169,Karachi,44133,ASSOCIATION OF ROAD USERS OF PAKISTAN,19-Jul-02,6-Apr-15,Dormant 
170,Karachi,13970,BALOCH WELFARE ASSOCIATION OF PAKISTAN,13-Jan-86,6-Apr-15,Dormant 
171,Karachi,16385,BSA FOUNDATION,12-Jul-87,6-Apr-15,Dormant 
172,Karachi,34293,CHIRAGH TAJ ASSOCIATION,19-Feb-95,6-Apr-15,Dormant 
173,Karachi,54511,CONSUMERS FOUNDATION,27-Mar-06,6-Apr-15,Dormant 
174,Karachi,43080,FEDERATION OF CHINIOT COMMUNITY,14-Nov-01,6-Apr-15,Dormant 
175,Karachi,44596,FRIENDS SANS FRONTIERS,6-Nov-02,6-Apr-15,Dormant 
176,Karachi,11487,GREY GROUP FOUNDATION,5-Apr-84,6-Apr-15,Dormant 
177,Karachi,11440,INTERNATIONAL CENTRE FOR SCIENCE TECHNOLOGY,24-Mar-84,6-Apr-15,Dormant 
178,Karachi,2570,KARASONS FOUNDATION,21-Nov-67,6-Apr-15,Dormant 
179,Karachi,3212,KASSIM FOUNDATION,9-Aug-70,6-Apr-15,Dormant 
180,Karachi,62298,MEDICAID FOUNDATION,25-Jul-07,6-Apr-15,Dormant 
181,Karachi,3181,MOHAMMED AHMED RANGOONWALA FOUNDATION,29-Jun-70,6-Apr-15,Dormant 
182,Karachi,10011,MOTAMAR FOUNDATION,5-Jan-83,6-Apr-15,Dormant 
183,Karachi,8041,MSJ RESEARCH INSTITUTE,18-Sep-80,6-Apr-15,Dormant 
184,Karachi,22368,MUSLIM INSTITUTE,1-Sep-90,6-Apr-15,Dormant 
185,Karachi,3392,NATIONAL LITERACY FOUNDATION,28-Apr-71,6-Apr-15,Dormant 
186,Karachi,3256,PAKISTAN ASSOCIATION OF CREDIT MANAGEMENT,7-Oct-70,6-Apr-15,Dormant 
187,Karachi,10105,PAKISTAN DEAF SPORTS COUNCIL,7-Feb-83,6-Apr-15,Dormant 
188,Karachi,19735,PAKISTAN EYE FOUNDATION,5-Jun-89,6-Apr-15,Dormant 
189,Karachi,380,PAKISTAN GENERAL HAWKER'S UNION,20-Jun-50,6-Apr-15,Dormant 
190,Karachi,66906,PAKISTAN HONG KONG BUSINESS FORUM,11-Jul-08,9-Jul-15,Failed to apply for renewal of its license 
191,Karachi,1216,PAKISTAN INSTITUTE OF CITY & REGIONAL PLANNING,1-Dec-60,6-Apr-15,Dormant 
192,Karachi,2993,PAKISTAN JOCKEYS ASSOCIATIONS LIMITED,23-Oct-69,6-Apr-15,Dormant 
193,Karachi,41280,PETROLEUM FOUNDATION,23-May-00,6-Apr-15,Dormant 
194,Karachi,9517,POLKA FOUNDATION,20-Jun-82,6-Apr-15,Dormant 
195,Karachi,23109,PROFESSIONAL EDUCATION FOUNDATION,16-Jan-91,6-Apr-15,Dormant 
196,Karachi,43108,SAFI QURESHEY FOUNDATION,22-Nov-01,6-Apr-15,Dormant 
197,Karachi,22908,SHARF-E-HAYAT FOUNDATION,10-Dec-90,6-Apr-15,Dormant 
198,Karachi,3896,SHIKARIS ASSOCIATION,22-Jan-73,6-Apr-15,Dormant 
199,Karachi,1154,SULTAN MOHAMMAD SHAH FOUNDATION,30-Jun-60,6-Apr-15,Dormant 
200,Karachi,62163,THE HAVEN FOUNDATION,17-Jul-07,6-Apr-15,Dormant 
201,Karachi,59326,THE SOLAR ENERGY AWARENESS SOCIETY,31-Jan-07,6-Apr-15,Dormant 
202,Karachi,34040,TRADE & TRANSPORT FACILITATION COUNCIL,11-Jan-95,6-Apr-15,Dormant 
203,Karachi,64589,UNITED RELIEF AND DEVELOPMENT FOUNDATION,4-Mar-08,6-Apr-15,Dormant 
204,Karachi,52248,VERA FOUNDATION,25-Aug-05,6-Apr-15,Dormant 
205,Karachi,19489,YADGARE HUSAINI COUNCIL,16-Apr-89,6-Apr-15,Dormant 
206,Karachi,43180,YAQEEN EDUCATION FOUNDATION,13-Dec-01,6-Apr-15,Dormant 
207,Karachi,42903,YOUNG MEN'S CHRISTIAN ASSOCIATION,20-Sep-01,6-Apr-15,Dormant 
208,Karachi,9280,ZAIDI ABID FOUNDATION,27-Feb-82,6-Apr-15,Dormant 
209,Peshawar,74256,PINE RURAL AREA DEVELOPMENT ORGANIZATION,15-Dec-10,14-Apr-16,Failed to comply with the requirements of the license
210,Islamabad,74117,RADIO LIVESTOCK PAKISTAN,2-Dec-10,14-Apr-16,Failed to comply with the requirements of the license
211,Islamabad,73978,ROOTS EDUCATION FOUNDATION,8-Nov-10,1-Apr-16,Failed to comply with the requirements of the license
212,Islamabad,73770,SOHNI DHARTI FOUNDATION,12-Oct-10,24-Mar-16,Failed to comply with the requirements of the license
213,Karachi,76353,TEACH FOR PAKISTAN,24-Jun-11,15-Jun-16,on the request of the company
214,Islamabad,73746,UMEED-E-SAHER FOUNDATION,8-Oct-10,24-Mar-16,Failed to comply with the requirements of the license
215,Islamabad,75779,WHITE CRESCENT FOUNDATION,4-May-11,8-Jun-16,Failed to comply with the requirements of the license
216,Karachi,72122,ZAKRIA FOUNDATION,7-Apr-10,14-Apr-16,Failed to comply with the requirements of the license
217,Islamabad,76594,MAIRAJ FOUNDATION,15-Jul-11,22-Jul-16,Failed to comply with the requirements of the license
218,Islamabad,76992,PRIME MINISTER'S EDUCATION ENDOWMENT FUND FOR BALOCHISTAN,26-Aug-11,23-Aug-16,Failed to comply with the requirements of the license
219,Sukkur,77132,GENCO EMPLOYEES HOUSING FOUNDATION,19-Sep-11,10-Nov-16,Failed to apply for renewal of its license 
220,Islamabad,54490,FATA RURAL SUPPORT PROGRAMME,24-Mar-06,9-Jul-15,Failed to apply for renewal of its license 
221,Islamabad,74951,ABDUL SATTAR FOUNDATION,21-Feb-11,1-Nov-16,Failed to comply with the requirements of the license
222,Islamabad,77411,RADIANCE WELFARE FOUNDATION,18-Oct-11,1-Nov-16,Failed to comply with the requirements of the license
223,Peshawar,77854,Malakand Welfare Foundation,13-Dec-11,26-Dec-16,Failed to comply with the requirements of the license
224,Islamabad,77651,NAFEES FOUNDATION,21-Nov-11,26-Dec-16,Failed to comply with the requirements of the license
225,Lahore,78089,RESEARCH INSTITUTE OF NATURAL RESOURCES OF PAKISTAN,4-Jan-12,30-Jan-17,Failed to comply with the requirements of the license
226,Karachi,78218,BENAZIRABAD INDUSTRIAL ESTATE DEVELOPMENT AND MANAGEMENT COMPANY,18-Jan-12,30-Jan-17,Failed to comply with the requirements of the license
227,Lahore ,78494,AL-JEHAN WELFARE FOUNDATION,9-Feb-12,13-Feb-17,Failed to apply for renewal of its license 
228,Lahore ,78775,ASIAN SOCIETY OF NEUROLOGICAL SURGEONS,2-Mar-12,13-Feb-17,Failed to apply for renewal of its license 
229,Islamabad,79018,PAKISTAN YOUTH ALLIANCE,22-Mar-12,13-Feb-17,Failed to comply with the requirements of the license
230,Lahore ,79171,THE INSTITUTE OF INTERNAL AUDITORS-PAKISTAN,4-Apr-12,4-Sep-15,on the request of the company
231,Islamabad,53727,THE COMPETITIVENESS SUPPORT FUND (CSF),26-Jan-06,25-Dec-13,Failed to filed the statuory returns and financial statements
232,Islamabad,80125,AASARA-E-ADAL O NOOR,8-Jun-12,3-Sep-15,on the request of the company
233,Faisalabad,81024,Arshad Welfare Association,5-Sep-12,6-Aug-17,Failed to apply for renewal of its license 
234,Islamabad,79673,CNFA Pakistan Center for Enterprise and Development.,9-May-12,12-May-17,on the request of the company
235,Karachi,93752,Victim Assistance Foundation,2-Jun-15,6-Feb-17,on the request of the company
